"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,13.704,-9.484,300.51,87.273,-160.605,-33.11,-15.406,4.329,240.334,374.531,143.398,87.604,-1.312,0.769,1.452,3.94,-1.356,2.178,0,0
2,13.231,-9.403,300.962,90.505,-158.779,-38.321,-15.494,3.976,240.321,374.411,146.953,87.563,-1.296,0.795,1.489,3.941,-1.34,2.192,0.002,-0.005
3,13.635,-9.43,300.962,90.505,-158.779,-29.879,-15.541,4.109,240.762,377.589,145.149,87.622,-1.295,0.795,1.467,3.967,-1.337,2.205,0.005,-0.009
4,13.316,-8.864,300.962,90.505,-158.779,-29.208,-15.72,3.94,241.654,377.332,145.022,85.506,-1.296,0.793,1.46,3.95,-1.318,2.199,0.008,-0.014
5,13.412,-9.087,300.962,90.505,-158.779,-28.787,-15.122,3.933,241.644,371.289,144.961,86.591,-1.296,0.794,1.462,3.887,-1.317,2.171,0.01,-0.018
6,13.631,-8.996,300.962,90.505,-158.779,-25.553,-15.706,3.718,242.072,374.347,146.712,89.405,-1.295,0.794,1.475,3.913,-1.3,2.184,0.013,-0.021
7,13.27,-9.08,301.382,93.573,-160.512,-30.48,-15.448,3.628,242.513,377.525,144.908,86.604,-1.309,0.819,1.455,3.939,-1.314,2.21,0.016,-0.025
8,13.477,-9.142,300.507,99.878,-160.546,-33.393,-15.656,3.938,242.513,377.525,144.908,86.629,-1.312,0.875,1.454,3.938,-1.298,2.243,0.019,-0.029
9,13.415,-9.043,300.507,99.878,-160.546,-33.375,-16.02,3.979,242.941,380.584,146.658,88.286,-1.313,0.874,1.468,3.963,-1.28,2.255,0.021,-0.032
10,13.449,-9.091,300.959,103.11,-158.721,-35.473,-15.891,4.158,242.941,380.584,146.658,90.054,-1.295,0.9,1.469,3.962,-1.28,2.268,0.024,-0.035
11,13.895,-9.233,300.507,99.878,-160.546,-35.22,-15.844,3.894,242.941,380.584,146.658,93.35,-1.311,0.875,1.469,3.963,-1.279,2.255,0.028,-0.037
12,13.346,-8.969,300.053,109.251,-162.313,-35.785,-15.852,4.118,242.941,380.584,146.658,87.28,-1.33,0.955,1.469,3.962,-1.28,2.3,0.031,-0.039
13,13.49,-9.047,299.633,106.183,-160.58,-32.692,-15.485,4.07,242.477,383.899,148.535,91.948,-1.316,0.93,1.493,4.005,-1.265,2.305,0.034,-0.041
14,13.841,-8.392,299.63,118.788,-160.522,-33.686,-15.272,4.294,242.477,383.899,148.535,87.008,-1.315,1.035,1.494,4.004,-1.264,2.363,0.037,-0.042
15,13.513,-8.694,299.21,115.719,-158.789,-31.321,-15.622,4.063,242.477,383.899,148.535,90.847,-1.303,1.011,1.492,4.005,-1.249,2.351,0.041,-0.043
16,13.325,-8.328,299.654,112.53,-157,-36.717,-15.894,4.56,242.477,383.899,148.535,91.19,-1.287,0.982,1.491,4.003,-1.25,2.333,0.044,-0.044
17,13.459,-8.299,299.21,115.719,-158.789,-33.86,-15.668,4.333,242.477,383.899,148.535,90.459,-1.303,1.01,1.492,4.004,-1.249,2.35,0.048,-0.044
18,13.589,-8.253,299.63,118.788,-160.522,-29.692,-15.884,3.893,242.941,380.584,146.658,90.096,-1.316,1.034,1.469,3.963,-1.263,2.346,0.051,-0.044
19,12.86,-8.614,300.505,112.483,-160.488,-35.401,-16.058,3.982,242.941,380.584,146.658,87.928,-1.314,0.979,1.468,3.963,-1.281,2.313,0.055,-0.043
20,13.308,-8.203,300.074,115.598,-158.733,-33.592,-16.013,4.019,242.477,383.899,148.535,92.918,-1.299,1.006,1.491,4.005,-1.266,2.346,0.059,-0.042
21,13.571,-8.626,300.481,118.741,-164.009,-38.87,-15.571,4.342,242.477,383.899,148.535,87.682,-1.341,1.032,1.492,4.004,-1.297,2.359,0.062,-0.041
22,13.772,-8.52,300.05,121.856,-162.255,-33.24,-15.718,3.844,242.905,386.957,150.285,89.046,-1.328,1.06,1.507,4.031,-1.262,2.389,0.066,-0.04
23,13.404,-8.66,300.05,121.856,-162.255,-29.52,-15.847,4.202,242.905,386.957,150.285,87.979,-1.329,1.06,1.507,4.029,-1.263,2.389,0.069,-0.039
24,13.443,-8.594,300.502,125.088,-160.429,-35.047,-15.896,4.148,243.346,390.135,148.482,93.592,-1.311,1.086,1.485,4.055,-1.261,2.415,0.072,-0.037
