"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,3.498,-5.483,250.929,-100.232,205.798,14.12,-4.889,0.491,274.066,115.792,-274.541,12.867,2.097,-0.993,-2.562,1.071,0.169,0.085,0.002,-0.014
2,3.733,-5.132,250.929,-100.232,205.798,15.262,-4.943,0.535,274.935,122.029,-274.594,15.035,2.098,-0.994,-2.555,1.125,0.187,0.114,0.003,-0.021
3,3.277,-5.016,250.499,-97.117,207.552,14.252,-4.844,0.762,275.376,125.207,-276.398,15.421,2.118,-0.965,-2.567,1.152,0.205,0.144,0.006,-0.026
4,3.178,-5.218,250.485,-97.043,204.009,10.988,-5.103,0.218,276.281,125.069,-280.079,17.531,2.081,-0.963,-2.593,1.149,0.189,0.145,0.009,-0.031
5,3.335,-4.958,250.054,-93.928,205.764,12.91,-5.15,0.569,277.568,128.321,-278.443,15.012,2.103,-0.934,-2.566,1.172,0.243,0.174,0.012,-0.036
6,3.239,-5.416,249.19,-93.806,205.708,13.525,-5.196,0.76,277.568,128.321,-278.443,17.52,2.11,-0.935,-2.567,1.172,0.261,0.175,0.016,-0.039
7,3.649,-5.175,249.18,-87.623,205.73,14.966,-4.666,0.713,278.901,131.242,-280.373,12.324,2.112,-0.872,-2.57,1.193,0.282,0.218,0.02,-0.042
8,3.419,-5.155,248.736,-84.433,203.941,11.433,-4.844,0.667,279.342,134.42,-282.177,21.899,2.096,-0.842,-2.583,1.22,0.284,0.249,0.025,-0.044
9,3.339,-4.784,248.291,-81.244,202.152,11.547,-4.622,0.845,280.225,140.776,-285.784,15.882,2.081,-0.812,-2.607,1.273,0.286,0.294,0.031,-0.046
10,3.236,-4.729,246.972,-71.749,200.329,10.032,-5.013,0.616,280.653,143.834,-284.034,20.876,2.073,-0.719,-2.588,1.3,0.323,0.355,0.036,-0.047
11,3.383,-4.732,246.098,-65.445,200.295,8.213,-5.374,1.158,281.558,143.697,-287.715,20.112,2.081,-0.656,-2.614,1.292,0.344,0.383,0.043,-0.046
