"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,6.42,-9.177,247.324,-180.268,118.2,-36.739,-7.531,4.984,279.27,56.253,-155.015,100.817,1.24,-1.814,-1.437,0.494,0.514,-0.59,-0.025,0.018
2,6.226,-9.789,246.428,-180.31,114.585,-39.293,-7.614,4.758,278.401,50.016,-154.962,105.396,1.206,-1.819,-1.441,0.439,0.498,-0.621,-0.037,0.027
3,6.417,-9.24,247.3,-174.01,114.678,-40.117,-7.563,4.491,278.401,50.016,-154.962,109.983,1.204,-1.75,-1.441,0.44,0.479,-0.59,-0.051,0.037
4,6.411,-9.203,247.752,-170.779,116.504,-37.549,-7.614,4.806,277.937,53.332,-153.085,105.742,1.22,-1.714,-1.426,0.47,0.477,-0.559,-0.064,0.047
5,6.285,-9.208,248.196,-173.968,118.292,-36.654,-7.894,4.981,277.078,53.138,-152.971,107.089,1.236,-1.743,-1.431,0.469,0.458,-0.576,-0.077,0.058
6,6.887,-9.427,249.047,-174.015,114.805,-43.453,-7.803,4.666,277.519,56.316,-154.774,107.515,1.198,-1.737,-1.444,0.499,0.424,-0.559,-0.091,0.069
7,6.451,-9.23,249.047,-174.015,114.805,-35.488,-7.481,4.977,277.078,53.138,-152.971,106.104,1.197,-1.738,-1.429,0.469,0.423,-0.575,-0.105,0.08
8,6.942,-9.466,249.491,-177.205,116.593,-35.533,-7.978,4.661,276.614,56.454,-151.094,108.841,1.215,-1.766,-1.416,0.502,0.421,-0.574,-0.119,0.091
9,6.617,-9.728,250.373,-177.088,116.664,-37.281,-7.979,5.064,276.614,56.454,-151.094,108.501,1.21,-1.758,-1.416,0.5,0.401,-0.573,-0.133,0.102
10,6.854,-9.323,250.366,-183.509,116.628,-38.67,-7.882,4.981,277.078,53.138,-152.971,107.803,1.21,-1.825,-1.43,0.469,0.402,-0.62,-0.147,0.114
11,7.115,-9.335,249.049,-186.62,114.746,-33.702,-8.069,4.797,276.614,56.454,-151.094,107.754,1.199,-1.866,-1.416,0.501,0.422,-0.62,-0.161,0.125
12,7.059,-9.72,249.924,-192.924,114.78,-36.671,-7.893,4.884,276.614,56.454,-151.094,106.305,1.195,-1.922,-1.416,0.501,0.403,-0.649,-0.176,0.136
13,6.975,-9.672,249.493,-189.809,116.535,-38.418,-8.263,4.973,276.614,56.454,-151.094,106.955,1.214,-1.894,-1.417,0.501,0.42,-0.635,-0.19,0.147
14,6.854,-9.66,249.493,-189.809,116.535,-32.201,-7.897,5.064,275.732,62.753,-150.906,103.488,1.214,-1.894,-1.418,0.56,0.403,-0.606,-0.204,0.158
15,6.894,-10.301,248.177,-192.92,114.653,-37.713,-8.306,5.284,275.29,59.575,-149.103,106.242,1.201,-1.933,-1.406,0.531,0.422,-0.637,-0.218,0.169
16,6.974,-9.733,249.493,-189.809,116.535,-34.551,-7.991,5.066,274.826,62.891,-147.226,103.477,1.214,-1.894,-1.389,0.563,0.402,-0.606,-0.232,0.18
17,6.714,-9.598,249.049,-186.62,114.746,-30.568,-8.222,5.376,274.849,69.053,-150.719,103.474,1.197,-1.865,-1.422,0.619,0.386,-0.562,-0.246,0.19
18,6.844,-9.202,249.921,-180.32,114.839,-34.839,-8.176,5.288,274.849,69.053,-150.719,103.828,1.194,-1.796,-1.422,0.619,0.367,-0.531,-0.26,0.2
19,6.93,-9.284,250.796,-186.624,114.873,-34.102,-8.358,5.106,274.385,72.369,-148.842,104.444,1.191,-1.853,-1.408,0.651,0.346,-0.545,-0.274,0.211
20,7.066,-9.237,251.238,-177.209,116.72,-38.362,-8.892,5.834,274.813,75.427,-147.092,108.046,1.208,-1.755,-1.392,0.676,0.362,-0.485,-0.287,0.221
21,7.597,-9.306,251.668,-180.324,114.966,-29.737,-8.852,5.332,274.813,75.427,-147.092,105.836,1.19,-1.783,-1.391,0.678,0.345,-0.498,-0.301,0.231
22,7.103,-9.361,252.963,-183.561,113.267,-33.492,-9.172,5.868,273.908,75.564,-143.411,106.111,1.165,-1.806,-1.363,0.68,0.305,-0.514,-0.314,0.242
23,7.104,-9.326,252.987,-189.819,116.788,-32.494,-8.899,5.462,273.908,75.564,-143.411,106.519,1.201,-1.869,-1.362,0.681,0.322,-0.543,-0.327,0.252
24,7.598,-9.524,253.869,-189.702,116.859,-31.078,-8.722,5.456,272.157,75.628,-143.171,106.551,1.199,-1.861,-1.368,0.686,0.268,-0.543,-0.34,0.262
25,7.283,-9,253.869,-189.702,116.859,-34.183,-8.65,5.362,272.134,82.121,-143.098,105.759,1.198,-1.863,-1.367,0.747,0.268,-0.513,-0.354,0.272
26,7.508,-9.568,254.314,-192.892,118.648,-32.159,-8.99,5.187,272.121,82.002,-139.543,106.455,1.214,-1.889,-1.335,0.747,0.283,-0.527,-0.367,0.282
27,7.323,-9.034,253.862,-196.124,116.822,-29.323,-8.904,5.953,271.275,81.928,-142.983,106.814,1.198,-1.927,-1.371,0.745,0.25,-0.546,-0.38,0.292
28,7.636,-9.655,255.178,-193.013,118.704,-29.084,-8.597,5.493,270.393,88.228,-142.796,104.377,1.211,-1.884,-1.373,0.809,0.213,-0.498,-0.393,0.302
29,7.68,-9.001,254.734,-189.824,116.915,-32.576,-8.951,5.808,269.06,85.307,-140.866,107.481,1.196,-1.858,-1.363,0.784,0.194,-0.501,-0.406,0.311
30,7.353,-9.663,255.164,-192.939,115.161,-31.082,-8.479,5.543,268.178,91.607,-140.678,106.528,1.175,-1.883,-1.364,0.847,0.158,-0.484,-0.419,0.32
31,7.683,-9.586,256.06,-192.897,118.775,-32.485,-8.798,6.159,268.605,94.665,-138.928,107.41,1.208,-1.876,-1.346,0.872,0.174,-0.469,-0.432,0.33
32,7.841,-9.659,256.911,-192.943,115.287,-35.831,-8.265,5.794,267.259,104.28,-136.864,105.361,1.17,-1.87,-1.331,0.97,0.12,-0.422,-0.446,0.339
33,7.85,-9.427,257.353,-183.528,117.135,-31.188,-8.348,6.169,267.701,107.458,-138.667,106.865,1.186,-1.775,-1.347,0.997,0.12,-0.362,-0.459,0.348
34,7.946,-9.471,258.655,-180.343,115.473,-32.911,-8.915,5.757,266.818,113.758,-138.48,106.354,1.165,-1.734,-1.351,1.062,0.065,-0.315,-0.472,0.357
35,8.339,-8.896,259.958,-177.158,113.811,-31.532,-8.537,6.071,267.246,116.816,-136.73,104.684,1.144,-1.697,-1.331,1.088,0.047,-0.285,-0.486,0.367
36,8.199,-9.771,260.854,-177.116,117.425,-34.146,-9.213,6.248,267.687,119.994,-138.533,109.925,1.175,-1.687,-1.349,1.115,0.045,-0.268,-0.5,0.377
37,8.163,-9.333,261.719,-177.238,117.481,-35.138,-9.22,6.327,265.936,120.058,-138.293,102.67,1.171,-1.685,-1.355,1.123,-0.011,-0.27,-0.514,0.387
38,8.245,-9.276,262.569,-177.285,113.994,-31.877,-9.088,5.928,265.936,120.058,-138.293,115.548,1.134,-1.68,-1.355,1.125,-0.045,-0.269,-0.528,0.398
39,8.372,-9.289,262.577,-170.863,114.031,-32.991,-8.868,6.284,265.923,132.594,-138.159,110.284,1.135,-1.618,-1.353,1.243,-0.044,-0.178,-0.542,0.409
40,9.007,-9.683,262.577,-170.863,114.031,-28.552,-9.132,6.239,265.495,129.536,-139.909,109.136,1.137,-1.616,-1.373,1.216,-0.061,-0.192,-0.557,0.42
41,8.43,-9.715,262.577,-170.863,114.031,-32.025,-9.089,6.91,264.172,132.658,-137.918,110.598,1.135,-1.616,-1.36,1.25,-0.082,-0.179,-0.572,0.431
42,9,-9.641,261.702,-164.558,113.996,-32.311,-8.876,6.277,264.149,139.151,-137.845,110.205,1.141,-1.56,-1.359,1.315,-0.062,-0.116,-0.587,0.443
43,8.995,-9.857,262.567,-164.68,114.052,-32.647,-9.195,6.46,263.29,138.958,-137.73,107.639,1.137,-1.556,-1.363,1.316,-0.099,-0.118,-0.602,0.454
44,8.557,-9.853,262.997,-167.795,112.298,-31.291,-9.331,6.33,262.826,142.273,-135.854,108.366,1.117,-1.583,-1.348,1.351,-0.119,-0.117,-0.617,0.467
45,8.827,-9.564,262.125,-174.095,112.205,-37.503,-9.153,6.468,261.957,136.037,-135.8,109.526,1.121,-1.651,-1.351,1.295,-0.119,-0.178,-0.632,0.479
46,8.67,-9.956,263,-180.399,112.239,-35.254,-9.21,6.28,261.075,142.337,-135.613,109.085,1.117,-1.705,-1.354,1.361,-0.156,-0.177,-0.647,0.492
47,9.264,-10.357,263,-180.399,112.239,-32.554,-8.894,5.741,261.075,142.337,-135.613,108.736,1.119,-1.703,-1.353,1.363,-0.154,-0.176,-0.663,0.504
48,9.074,-10.345,262.548,-183.631,110.413,-33.935,-9.115,6.412,261.075,142.337,-135.613,112.945,1.103,-1.737,-1.354,1.36,-0.154,-0.193,-0.679,0.517
49,8.988,-10.197,263,-180.399,112.239,-28.525,-8.891,6.453,260.634,139.159,-133.809,106.58,1.118,-1.704,-1.338,1.332,-0.156,-0.193,-0.694,0.529
50,9.337,-10.248,263.444,-183.589,114.028,-28.205,-9.248,6.941,260.621,151.695,-133.675,106.906,1.135,-1.731,-1.338,1.452,-0.157,-0.148,-0.71,0.541
51,9.073,-10.546,264.316,-177.289,114.12,-29.984,-9.304,6.868,261.039,148.71,-131.986,108.7,1.131,-1.664,-1.32,1.421,-0.158,-0.131,-0.725,0.553
52,9.149,-10.731,265.191,-183.594,114.155,-28.74,-8.716,7.261,260.621,151.695,-133.675,105.206,1.128,-1.718,-1.336,1.451,-0.193,-0.147,-0.741,0.566
53,9.853,-10.539,264.747,-180.404,112.366,-30.576,-9.12,6.666,260.193,148.636,-135.425,107.188,1.115,-1.691,-1.357,1.426,-0.209,-0.146,-0.756,0.578
54,9.569,-10.694,264.747,-180.404,112.366,-29.53,-9.078,5.65,260.193,148.636,-135.425,108.732,1.114,-1.691,-1.357,1.429,-0.21,-0.144,-0.771,0.59
55,9.468,-13.796,265.598,-180.451,108.878,-33.915,-8.929,3.72,260.611,145.652,-133.736,107.266,1.077,-1.674,-1.337,1.405,-0.227,-0.149,-0.787,0.601
56,9.491,-14.989,267.368,-186.714,112.527,-28.38,-8.751,2.868,262.398,139.215,-137.604,107.647,1.104,-1.718,-1.365,1.337,-0.226,-0.205,-0.802,0.613
57,9.736,-13.7,266.917,-189.945,110.701,-28.451,-8.848,3.321,261.98,142.199,-139.293,111.207,1.09,-1.756,-1.384,1.366,-0.242,-0.21,-0.817,0.624
58,9.687,-12.896,266.494,-180.409,112.493,-20.221,-9.118,4.035,260.611,145.652,-133.736,109.732,1.108,-1.671,-1.338,1.404,-0.229,-0.151,-0.832,0.635
59,10.249,-12.912,265.177,-183.519,110.611,-29.742,-9.25,3.943,260.611,145.652,-133.736,112.139,1.098,-1.709,-1.339,1.405,-0.209,-0.166,-0.847,0.646
60,9.807,-13.015,264.726,-186.751,108.786,-27.718,-9.294,3.983,260.17,142.474,-131.932,109.345,1.081,-1.743,-1.323,1.376,-0.21,-0.197,-0.862,0.656
61,9.736,-11.873,264.305,-189.819,110.518,-24.335,-9.66,5.065,260.17,142.474,-131.932,107.902,1.099,-1.779,-1.325,1.372,-0.194,-0.216,-0.876,0.667
62,9.73,-11.043,263.423,-189.936,110.447,-26.567,-8.951,6.182,259.31,142.281,-131.818,107.532,1.102,-1.79,-1.325,1.37,-0.192,-0.222,-0.89,0.676
63,9.315,-10.677,263.423,-189.936,110.447,-25.856,-9.311,6.139,258.86,145.716,-133.495,107.171,1.1,-1.791,-1.346,1.406,-0.212,-0.206,-0.904,0.686
64,9.877,-10.36,264.749,-193.009,112.307,-27.947,-9.032,5.875,258.882,139.222,-133.568,109.336,1.115,-1.813,-1.345,1.343,-0.229,-0.252,-0.918,0.695
65,9.471,-10.236,265.194,-196.199,114.096,-26.615,-9.55,6.679,259.765,132.922,-133.756,110.001,1.128,-1.841,-1.344,1.274,-0.213,-0.299,-0.931,0.704
66,9.474,-10.294,265.194,-196.199,114.096,-23.566,-9.29,6.546,259.765,132.922,-133.756,108.249,1.128,-1.84,-1.343,1.275,-0.213,-0.299,-0.944,0.712
67,9.358,-10.26,265.186,-202.62,114.059,-23.219,-9.873,6.008,258.896,126.686,-133.702,108.541,1.128,-1.902,-1.349,1.22,-0.233,-0.36,-0.957,0.719
68,9.956,-9.955,267.387,-211.998,115.953,-24.932,-9.098,6.056,259.814,114.013,-137.517,109.315,1.139,-1.977,-1.379,1.092,-0.266,-0.465,-0.969,0.726
69,9.787,-10.138,267.81,-221.534,114.161,-22.75,-9.369,6.283,260.255,104.535,-135.9,107.508,1.119,-2.063,-1.362,0.996,-0.267,-0.555,-0.982,0.732
70,9.428,-9.775,267.392,-237.207,115.835,-24.804,-9.479,6.242,260.268,91.998,-136.034,108.234,1.135,-2.217,-1.364,0.874,-0.252,-0.692,-0.994,0.737
71,9.426,-10.745,266.967,-259.301,117.473,-24.221,-9.388,5.76,259.84,76.284,-134.364,108.589,1.153,-2.427,-1.349,0.724,-0.236,-0.873,-1.006,0.74
72,9.251,-12.523,266.114,-290.885,120.806,-26.551,-9.186,4.204,259.033,38.602,-138.206,109.671,1.188,-2.73,-1.39,0.362,-0.238,-1.204,-1.017,0.742
73,9.38,-13.631,264.365,-322.511,120.525,-20.97,-9.311,3.132,258.2,13.336,-138.36,109.956,1.193,-3.047,-1.397,0.119,-0.221,-1.483,-1.028,0.741
74,8.895,-14.738,262.171,-350.947,118.455,-25.155,-9.343,2.526,258.668,-8.558,-140.431,108.919,1.181,-3.344,-1.415,-0.094,-0.185,-1.73,-1.039,0.737
75,8.93,-14.561,260.453,-382.41,121.733,-25.523,-8.884,2.792,257.834,-33.824,-140.585,103.941,1.221,-3.674,-1.419,-0.344,-0.15,-2.017,-1.049,0.729
76,9.281,-15.804,260.028,-404.504,123.37,-25.834,-8.747,2.436,258.275,-43.302,-138.968,103.58,1.241,-3.891,-1.4,-0.435,-0.114,-2.169,-1.059,0.718
77,8.89,-16.247,260.031,-417.109,123.311,-25.532,-8.898,1.151,259.612,-58.96,-141.094,108.991,1.239,-4.012,-1.414,-0.581,-0.096,-2.298,-1.069,0.703
78,8.387,-17.044,259.595,-433.02,124.97,-23.654,-9.15,1.288,261.412,-77.933,-145.096,108.632,1.255,-4.171,-1.444,-0.762,-0.06,-2.461,-1.077,0.685
79,8.371,-16.738,259.629,-445.461,128.47,-25.98,-8.696,2.145,262.317,-90.726,-145.356,105.482,1.289,-4.294,-1.44,-0.887,-0.024,-2.581,-1.085,0.662
80,8.352,-16.419,259.622,-451.883,128.433,-28.07,-9.096,1.934,263.199,-97.026,-145.543,102.643,1.289,-4.358,-1.439,-0.944,-0.006,-2.639,-1.092,0.636
81,8.04,-14.619,260.51,-458.262,132.011,-24.646,-9.585,5.071,264.509,-100.268,-143.98,105.135,1.318,-4.412,-1.418,-0.982,0.026,-2.684,-1.099,0.606
82,8.21,-8.089,259.215,-455.026,133.709,-22.008,-9.586,11.166,263.627,-93.968,-143.793,100.151,1.342,-4.428,-1.421,-0.947,0.045,-2.673,-1.105,0.573
83,8.834,-5.501,256.147,-432.922,131.818,-21.497,-9.876,11.969,262.696,-68.758,-139.844,102.299,1.341,-4.272,-1.389,-0.71,0.103,-2.468,-1.11,0.537
84,8.635,-9.807,256.574,-423.432,130.123,-17.991,-9.066,6.99,266.211,-68.766,-143.88,99.966,1.322,-4.154,-1.407,-0.682,0.143,-2.386,-1.114,0.499
85,8.702,-12.32,262.259,-426.636,132.292,-15.143,-9.268,4.666,271.037,-72.015,-146.353,101.009,1.314,-4.085,-1.405,-0.692,0.12,-2.361,-1.117,0.46
86,7.899,-11.86,265.33,-417.109,134.337,-18.476,-9.444,6.144,273.644,-53.306,-146.513,106.446,1.316,-3.948,-1.394,-0.517,0.116,-2.206,-1.119,0.419
87,8.096,-11.288,264.032,-401.268,136.094,-14.586,-9.202,5.675,273.176,-31.412,-144.442,104.255,1.34,-3.818,-1.376,-0.313,0.153,-2.035,-1.121,0.378
88,7.958,-11.916,263.134,-388.705,132.539,-17.079,-9.608,5.943,274.023,-18.682,-144.422,109.577,1.31,-3.707,-1.373,-0.195,0.173,-1.915,-1.122,0.338
89,7.833,-10.357,262.687,-372.911,130.809,-20.215,-10.004,6.88,274.01,-6.146,-144.288,103.861,1.295,-3.567,-1.374,-0.082,0.173,-1.787,-1.122,0.297
90,8.625,-10.114,260.493,-357.112,128.952,-15.603,-9.944,6.959,271.781,9.769,-142.037,105.219,1.29,-3.443,-1.364,0.066,0.178,-1.652,-1.121,0.258
91,9.27,-10.018,259.151,-341.36,123.607,-15.645,-9.634,7.273,270.863,22.443,-138.222,108.054,1.247,-3.307,-1.331,0.184,0.182,-1.523,-1.12,0.22
92,9.022,-9.966,256.957,-325.561,121.751,-17.881,-10.096,7.539,270.386,38.294,-136.211,108.041,1.238,-3.18,-1.317,0.332,0.22,-1.379,-1.119,0.184
