"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,33.171,-2.884,367.684,946.143,-434.085,-140.254,-36.983,-1.927,360.081,991.702,156.573,153.079,-2.909,6.544,1.003,7.001,-1.093,6.77,0.014,-0.02
2,33.56,-3.205,368.115,943.028,-435.839,-145.396,-36.974,-1.978,361.391,988.46,158.136,154.892,-2.916,6.516,1.01,6.953,-1.077,6.732,0.022,-0.032
3,33.648,-2.666,368.559,939.838,-434.051,-146.782,-36.794,-2.149,361.868,985.264,152.705,150.693,-2.9,6.484,0.971,6.922,-1.087,6.701,0.029,-0.044
4,33.529,-2.61,368.559,939.838,-434.051,-140.333,-36.251,-1.651,362.287,982.28,154.395,149.701,-2.901,6.484,0.983,6.891,-1.073,6.686,0.036,-0.058
5,33.204,-2.839,369.885,936.765,-432.191,-140.355,-36.524,-1.694,362.751,978.964,152.518,152.177,-2.878,6.44,0.968,6.859,-1.085,6.648,0.043,-0.072
6,33.38,-3.646,368.569,933.655,-434.072,-138.486,-36.517,-1.374,362.751,978.964,152.518,156.843,-2.901,6.444,0.968,6.859,-1.073,6.65,0.05,-0.087
7,33.709,-3.452,367.718,933.702,-430.585,-141.445,-36.302,-1.924,362.287,982.28,154.395,153.614,-2.883,6.459,0.983,6.892,-1.049,6.674,0.058,-0.103
8,33.57,-3.018,366.846,927.402,-430.678,-141.758,-36.122,-1.479,361.418,976.044,154.448,156.452,-2.891,6.429,0.986,6.864,-1.052,6.645,0.065,-0.12
9,33.464,-2.759,366.846,927.402,-430.678,-138.949,-36,-1.387,361.868,985.264,152.705,152.547,-2.891,6.429,0.973,6.919,-1.05,6.672,0.072,-0.137
10,33.7,-2.854,365.971,933.706,-430.712,-137.91,-36.031,-0.982,362.296,988.323,154.456,154.808,-2.898,6.488,0.984,6.932,-1.024,6.709,0.079,-0.154
11,33.705,-2.626,365.519,930.475,-432.537,-142.394,-36.394,-0.671,361.832,991.638,156.333,152.178,-2.914,6.473,0.998,6.963,-1.026,6.717,0.087,-0.171
12,33.167,-2.603,365.099,927.406,-430.804,-137.393,-36.441,-0.004,361.368,994.953,158.209,150.761,-2.907,6.459,1.012,6.993,-1.016,6.725,0.094,-0.189
13,32.954,-2.36,365.099,927.406,-430.804,-142.728,-36.404,-0.363,361.796,998.012,159.96,155.389,-2.907,6.458,1.023,7.008,-1.003,6.732,0.101,-0.207
14,33.035,-2.223,364.248,927.453,-427.317,-139.598,-36.441,-0.272,361.368,994.953,158.209,154.295,-2.889,6.473,1.012,6.994,-0.992,6.733,0.109,-0.224
15,32.732,-2.368,362.956,918.085,-425.677,-140.199,-36.224,-0.532,361.368,994.953,158.209,153.284,-2.889,6.431,1.013,6.995,-0.967,6.712,0.116,-0.242
16,32.381,-1.827,363.4,914.895,-423.888,-140.688,-36.165,-0.801,361.427,982.086,154.509,152.208,-2.874,6.4,0.987,6.904,-0.98,6.651,0.123,-0.259
17,32.466,-2.753,362.551,902.337,-420.459,-139.851,-36.075,-1.02,361.44,969.55,154.375,154.758,-2.856,6.329,0.986,6.816,-0.956,6.572,0.131,-0.276
18,32.467,-2.583,362.575,896.079,-416.938,-135.579,-36.608,-1.598,361.431,963.507,154.314,152.844,-2.832,6.285,0.984,6.776,-0.945,6.53,0.138,-0.294
19,31.854,-2.837,362.578,883.475,-416.996,-136.91,-36.257,-1.96,361.467,957.134,150.687,148.566,-2.834,6.197,0.96,6.731,-0.958,6.464,0.146,-0.312
20,32.032,-3.288,362.181,874.148,-411.742,-137.738,-36.507,-1.822,361.516,938.224,146.926,152.473,-2.799,6.14,0.932,6.597,-0.946,6.368,0.153,-0.33
21,32.349,-3.89,362.215,861.707,-408.242,-138.787,-36.094,-1.906,361.98,934.909,145.049,152.217,-2.774,6.053,0.919,6.565,-0.932,6.309,0.161,-0.349
22,31.712,-4.036,361.787,852.217,-406.546,-137.146,-35.83,-2.577,362.471,919.177,139.484,153.312,-2.767,5.994,0.88,6.448,-0.931,6.221,0.169,-0.369
23,32.115,-4.161,361.821,839.776,-403.046,-130.757,-36.087,-2.795,361.638,906.567,135.911,150.016,-2.741,5.907,0.856,6.375,-0.946,6.141,0.176,-0.389
24,31.619,-4.552,362.72,827.213,-399.49,-130.78,-35.726,-3.592,362.546,887.85,132.035,145.122,-2.711,5.805,0.827,6.23,-0.945,6.018,0.184,-0.41
25,31.616,-4.649,361.871,814.656,-396.062,-132.208,-35.515,-4.074,362.619,862.447,128.201,144.858,-2.693,5.731,0.801,6.052,-0.932,5.892,0.191,-0.432
26,31.135,-4.463,362.794,795.835,-388.984,-131.106,-35.699,-4.748,362.204,846.853,126.317,142.182,-2.638,5.584,0.788,5.952,-0.936,5.768,0.199,-0.455
27,31.262,-5.04,363.678,783.347,-388.972,-133.331,-35.143,-5.229,363.563,824.702,124.119,145.542,-2.631,5.485,0.771,5.776,-0.932,5.63,0.206,-0.48
28,31.581,-5.562,364.567,776.968,-385.394,-129.609,-35.365,-5.396,363.612,805.792,120.357,140.904,-2.599,5.428,0.744,5.644,-0.944,5.536,0.214,-0.506
29,31.451,-5.496,365.872,767.548,-387.115,-130.297,-35.342,-5.12,364.949,790.134,118.232,142.382,-2.602,5.344,0.727,5.513,-0.954,5.428,0.221,-0.533
30,31.32,-6.067,367.198,764.475,-385.255,-134.426,-35.119,-5.297,364.093,771.361,118.152,139.145,-2.58,5.305,0.729,5.396,-0.981,5.35,0.228,-0.563
31,31.17,-5.853,368.525,761.402,-383.396,-130.356,-34.783,-5.654,363.273,746.215,114.444,134.508,-2.558,5.264,0.705,5.233,-1.02,5.248,0.235,-0.594
32,31.26,-5.885,368.948,751.866,-385.187,-134.661,-34.425,-5.955,362.845,730.501,116.114,137.094,-2.567,5.192,0.719,5.13,-1.033,5.161,0.241,-0.627
33,31.408,-5.657,369.822,745.561,-385.153,-127.806,-34.505,-6.766,361.989,711.729,116.033,130.604,-2.561,5.136,0.72,5.013,-1.06,5.075,0.247,-0.661
34,31.025,-7.22,370.274,748.792,-383.327,-135.18,-34.681,-6.627,362.012,705.235,115.96,130.892,-2.546,5.156,0.719,4.966,-1.061,5.062,0.253,-0.697
35,31.552,-7.618,370.705,745.677,-385.082,-132.31,-34.674,-7.3,361.538,702.508,117.776,131.252,-2.554,5.13,0.732,4.955,-1.074,5.044,0.258,-0.735
36,31.243,-7.35,371.125,748.746,-386.815,-126.314,-34.508,-7.377,360.251,699.256,116.14,132.745,-2.564,5.144,0.724,4.95,-1.114,5.049,0.263,-0.774
37,31.373,-6.743,371.546,751.814,-388.548,-128.064,-34.455,-7.201,359.81,696.078,117.944,130.219,-2.572,5.158,0.738,4.934,-1.127,5.047,0.267,-0.813
38,31.568,-5.783,372.404,758.189,-391.998,-129.697,-34.338,-6.801,358.928,702.378,118.131,129.516,-2.589,5.187,0.741,4.989,-1.165,5.09,0.271,-0.854
39,32.048,-5.657,372.394,764.372,-391.977,-127.584,-34.65,-6.446,357.618,705.62,116.568,135.507,-2.588,5.229,0.732,5.03,-1.193,5.131,0.275,-0.895
40,31.412,-5.484,371.926,773.82,-397.287,-131.682,-34.339,-6.487,358.046,708.678,118.319,131.287,-2.629,5.299,0.744,5.045,-1.192,5.175,0.277,-0.937
41,32.003,-5.304,372.367,783.235,-395.44,-131.402,-34.388,-5.735,358.033,721.214,118.453,136.272,-2.612,5.357,0.745,5.132,-1.191,5.247,0.28,-0.978
42,31.88,-4.91,372.344,789.493,-398.961,-131.991,-34.215,-5.787,357.974,734.081,122.153,132.38,-2.636,5.399,0.772,5.225,-1.191,5.313,0.281,-1.019
43,32.142,-5.138,372.32,795.751,-402.483,-133.832,-34.137,-5.072,357.519,743.439,124.091,132.38,-2.66,5.442,0.787,5.296,-1.203,5.371,0.283,-1.06
44,32.016,-4.723,372.738,811.424,-404.157,-132.962,-34.323,-5.208,357.065,752.797,126.028,132.672,-2.669,5.542,0.801,5.37,-1.216,5.458,0.283,-1.1
45,32.131,-5.076,372.714,817.682,-407.679,-134.883,-34.409,-4.592,356.137,759.428,129.782,131.925,-2.692,5.586,0.83,5.429,-1.231,5.509,0.284,-1.138
46,32.56,-4.43,373.121,820.825,-412.955,-135.933,-34.504,-4.635,355.683,768.786,131.72,137.241,-2.724,5.6,0.845,5.503,-1.256,5.552,0.284,-1.176
47,32.041,-4.14,374.413,830.193,-414.595,-132.912,-34.207,-4.46,354.765,781.46,135.534,133.384,-2.727,5.643,0.875,5.607,-1.283,5.626,0.283,-1.212
48,33.188,-3.865,373.959,839.566,-416.362,-134.38,-34.618,-4.425,354.324,790.938,133.918,131.883,-2.74,5.713,0.863,5.682,-1.295,5.698,0.282,-1.247
49,32.872,-4.143,372.188,845.828,-420.011,-136.805,-34.611,-3.711,354.287,797.311,137.545,138.262,-2.778,5.783,0.889,5.727,-1.271,5.756,0.28,-1.28
50,32.351,-4.397,373.06,852.128,-419.918,-138.028,-34.41,-3.881,353.405,803.611,137.732,137.266,-2.773,5.814,0.894,5.787,-1.298,5.8,0.278,-1.311
51,32.896,-3.906,371.313,852.133,-420.045,-135.596,-34.363,-3.89,354.274,809.847,137.679,138.314,-2.785,5.84,0.891,5.817,-1.259,5.829,0.276,-1.341
52,32.74,-4.238,371.734,855.201,-421.778,-137.144,-34.626,-3.389,354.679,819.399,139.502,138.758,-2.794,5.855,0.902,5.878,-1.258,5.866,0.273,-1.369
53,32.791,-4.001,372.186,858.433,-419.952,-136.305,-34.544,-3.587,355.071,828.831,144.88,135.819,-2.778,5.869,0.94,5.939,-1.232,5.903,0.27,-1.395
54,33.06,-3.905,373.037,858.386,-423.439,-134.093,-34.95,-3.271,355.904,841.441,148.453,138.669,-2.795,5.855,0.962,6.014,-1.229,5.933,0.267,-1.419
55,33.195,-4.664,374.326,880.359,-425.021,-136.289,-34.959,-3.992,357.201,863.391,146.73,143.001,-2.796,5.986,0.946,6.151,-1.236,6.066,0.264,-1.441
56,33.404,-5.184,376.898,899.171,-431.845,-138.183,-35.149,-4.627,359.331,885.296,152.001,140.812,-2.822,6.073,0.978,6.271,-1.24,6.17,0.261,-1.462
57,33.735,-5.95,380.785,921.092,-436.787,-140.058,-35.446,-5.66,362.32,907.394,157.157,146.643,-2.825,6.16,1.005,6.377,-1.242,6.265,0.258,-1.48
58,34.073,-6.054,383.753,949.23,-448.865,-141.499,-36.009,-5.234,365.296,942.028,162.447,149.357,-2.883,6.299,1.032,6.564,-1.255,6.428,0.255,-1.496
59,34.533,-5.607,385.892,983.76,-453.875,-143.803,-36.504,-4.699,367.389,970.306,171.345,149.071,-2.898,6.49,1.086,6.721,-1.236,6.603,0.251,-1.509
60,34.495,-5.061,387.557,1008.713,-464.292,-149.687,-37.191,-4.354,368.15,1008.319,178.753,155.753,-2.954,6.624,1.133,6.968,-1.257,6.792,0.248,-1.519
61,34.534,-4.979,387.959,1037.065,-469.45,-150.016,-37.693,-4.505,368.525,1048.866,184.459,159.97,-2.985,6.803,1.17,7.241,-1.254,7.016,0.244,-1.526
62,34.219,-5.57,387.457,1058.954,-478.261,-154.358,-37.718,-4.156,366.224,1077.528,193.965,163.473,-3.047,6.956,1.243,7.485,-1.284,7.213,0.241,-1.53
63,34.963,-6.085,385.253,1080.937,-480.096,-159.319,-36.924,-3.662,364.411,1109.038,198.101,167.583,-3.075,7.142,1.28,7.74,-1.276,7.433,0.237,-1.53
64,34.853,-6.122,383.036,1102.994,-485.474,-158.378,-37.078,-3.69,363.015,1137.563,203.926,173.496,-3.129,7.33,1.326,7.97,-1.268,7.641,0.233,-1.526
65,35.819,-7.081,382.103,1127.997,-492.53,-163.326,-37.22,-4.007,361.192,1163.03,208.001,174.255,-3.181,7.517,1.361,8.19,-1.295,7.844,0.229,-1.518
66,36.488,-7.136,382.918,1152.997,-499.459,-159.154,-36.887,-4.558,362.012,1188.176,211.709,178.523,-3.218,7.667,1.385,8.349,-1.302,7.998,0.225,-1.506
67,36.302,-7.494,382.867,1178.117,-506.443,-166.932,-38.106,-5.284,362.368,1216.637,217.293,185.832,-3.265,7.835,1.419,8.542,-1.302,8.179,0.221,-1.489
68,36.154,-8.536,384.984,1206.301,-515.034,-169.916,-38.242,-5.621,364.079,1241.526,220.874,180.774,-3.304,7.981,1.437,8.677,-1.319,8.319,0.217,-1.469
69,36.265,-9.792,387.974,1240.786,-523.532,-173.209,-39.097,-6.958,366.196,1275.967,226.279,189.702,-3.334,8.148,1.464,8.869,-1.335,8.498,0.213,-1.443
70,36.855,-10.51,391.376,1271.917,-533.799,-177.487,-38.889,-7.873,367.894,1313.392,229.994,192.166,-3.371,8.281,1.483,9.089,-1.372,8.673,0.209,-1.414
71,37.779,-11.156,394.355,1312.584,-542.275,-178.131,-39.349,-8.152,369.569,1344.654,237.203,195.759,-3.397,8.482,1.525,9.263,-1.387,8.86,0.204,-1.38
72,37.767,-11.963,396.034,1337.462,-549.148,-185.28,-39.26,-9.377,370.389,1369.8,240.911,201.084,-3.427,8.608,1.547,9.419,-1.406,9,0.199,-1.342
73,38.199,-13.706,396.838,1368.645,-556.055,-185.809,-38.108,-9.928,371.718,1391.3,239.175,198.4,-3.463,8.795,1.533,9.533,-1.42,9.152,0.194,-1.299
74,38.94,-15.469,395.034,1387.349,-563.204,-187.437,-38.659,-10.776,370.833,1416.179,239.558,202.264,-3.523,8.959,1.538,9.729,-1.434,9.332,0.189,-1.253
75,38.305,-16.495,393.274,1406.141,-563.25,-190.324,-39.524,-11.812,369.496,1431.837,241.683,207.828,-3.541,9.123,1.555,9.874,-1.428,9.487,0.184,-1.202
76,38.998,-17.624,389.305,1409.177,-568.851,-190.123,-39.525,-12.445,366.859,1444.124,245.726,211.32,-3.612,9.239,1.595,10.032,-1.425,9.624,0.178,-1.148
77,38.134,-17.758,384.099,1415.463,-562.108,-192.518,-39.987,-12.994,362.034,1447.373,248.199,213.251,-3.618,9.406,1.632,10.19,-1.409,9.787,0.172,-1.089
78,38.699,-17.617,378.462,1406.151,-557.234,-187.938,-39.562,-13.082,357.244,1444.249,247.045,211.042,-3.638,9.484,1.647,10.305,-1.401,9.882,0.166,-1.027
79,39.107,-17.815,371.071,1390.422,-552.523,-187.466,-40.027,-14.331,352.05,1431.572,244.067,210.133,-3.677,9.565,1.648,10.369,-1.385,9.957,0.161,-0.962
80,37.799,-17.932,362.839,1368.557,-544.347,-190.824,-39.976,-13.929,344.631,1416.232,243.146,209.969,-3.707,9.63,1.677,10.478,-1.378,10.043,0.155,-0.893
81,38.564,-17.783,353.779,1340.48,-529.162,-186.957,-39.371,-14.064,335.937,1385.104,240.455,204.503,-3.691,9.674,1.702,10.514,-1.36,10.083,0.149,-0.821
82,37.918,-18.164,345.978,1315.5,-522.74,-184.435,-39.342,-14.411,328.113,1360.213,237.711,202.6,-3.729,9.71,1.721,10.573,-1.379,10.13,0.143,-0.746
83,37.356,-18.803,337.787,1287.615,-511.028,-186.86,-39.394,-15.306,318.969,1319.864,236.763,200.559,-3.733,9.738,1.763,10.558,-1.391,10.136,0.138,-0.669
84,37.179,-19.742,330.487,1240.745,-495.796,-177.949,-39.533,-15.929,311.599,1285.614,232.081,202.824,-3.698,9.595,1.766,10.53,-1.383,10.049,0.132,-0.59
85,36.572,-21.715,323.205,1194.114,-480.549,-178.936,-39.662,-16.917,304.22,1245.322,227.337,202.236,-3.664,9.451,1.769,10.453,-1.375,9.937,0.127,-0.51
86,36.749,-23.502,316.312,1150.388,-470.594,-179.734,-38.946,-18.653,297.709,1211.265,222.541,194.776,-3.663,9.312,1.769,10.396,-1.376,9.838,0.122,-0.43
87,36.792,-25.321,311.166,1106.657,-460.512,-175.592,-39.557,-20.487,291.676,1161.358,215.734,201.195,-3.641,9.115,1.744,10.183,-1.405,9.632,0.116,-0.349
88,36.659,-27.862,305.145,1069.23,-450.463,-175.777,-39.483,-22.092,286.488,1124.179,208.946,197.525,-3.63,8.991,1.716,10.043,-1.402,9.501,0.111,-0.269
89,37.022,-29.879,299.102,1025.457,-443.996,-177.211,-39.742,-23.116,282.134,1086.955,209.152,196.306,-3.647,8.808,1.743,9.867,-1.364,9.322,0.106,-0.19
90,37.199,-31.489,295.679,987.979,-437.308,-179.394,-39.944,-24.581,279.148,1046.278,203.801,195.462,-3.631,8.593,1.713,9.607,-1.365,9.086,0.101,-0.113
91,37.473,-32.499,292.256,950.502,-430.621,-181.238,-40.2,-25.251,274.366,1005.996,202.256,191.365,-3.615,8.372,1.727,9.404,-1.389,8.872,0.096,-0.039
92,38.522,-33.823,290.566,913.094,-427.35,-173.712,-40.101,-25.95,269.988,962.609,205.956,194.856,-3.604,8.098,1.791,9.151,-1.425,8.605,0.092,0.033
93,40.064,-35.617,291.025,878.512,-425.7,-182.367,-40.393,-27.592,267.398,912.785,205.787,198.28,-3.578,7.789,1.805,8.773,-1.484,8.26,0.087,0.101
94,40.796,-37.796,298.458,843.985,-427.087,-184.489,-40.975,-29.285,271.394,865.691,202.965,193.261,-3.498,7.309,1.75,8.209,-1.542,7.738,0.082,0.164
95,41.837,-42.448,318.558,787.21,-425.892,-191.796,-40.361,-35.825,296.215,770.041,173.668,195.902,-3.265,6.41,1.354,6.723,-1.455,6.56,0.077,0.221
96,39.886,-58.265,381.277,601.529,-384.943,-196.305,-38.776,-58.362,384.605,496.024,50.223,184.001,-2.46,4.16,0.232,3.426,-1.059,3.791,0.072,0.269
97,32.809,-97.069,471.351,283.72,-300.047,-197.99,-33.484,-103.895,478.731,126.424,-121.231,141.714,-1.548,1.734,-0.712,0.886,-1.038,1.307,0.068,0.301
98,28.457,-130.581,536.042,10.007,-223.887,-172.159,-31.926,-132.769,518.676,-113.088,-212.78,97.911,-1.008,0.29,-1.103,-0.3,-1.243,0,0.065,0.314
99,29.216,-135,550.638,-87.445,-196.668,-167.662,-36.149,-129.519,506.47,-162.787,-211.63,88.482,-0.854,-0.159,-1.132,-0.563,-1.465,-0.353,0.062,0.305
100,31.305,-121.376,517.41,-81.023,-206.142,-165.465,-38.463,-111.013,454.418,-152.926,-161.725,83.641,-0.952,-0.164,-0.988,-0.613,-1.709,-0.374,0.059,0.274
101,33.113,-102.967,470.187,-36.674,-219.999,-164.295,-41.216,-90.606,403.564,-83.294,-106.021,81.61,-1.118,0.02,-0.768,-0.302,-1.828,-0.129,0.056,0.225
102,35.353,-81.223,430.42,-1.792,-228.037,-153.3,-40.711,-66.819,361.247,-30.778,-71.224,79.893,-1.264,0.177,-0.612,-0.033,-1.965,0.081,0.051,0.159
103,35.67,-70.658,391.584,8.086,-229.021,-151.929,-38.161,-55.929,321.663,2.866,-51.218,87.4,-1.395,0.232,-0.522,0.195,-2.122,0.215,0.045,0.078
104,34.554,-70.431,361.961,2.31,-224.081,-141.408,-33.883,-55.029,293.636,10.497,-50.846,79.899,-1.477,0.21,-0.554,0.276,-2.255,0.24,0.037,-0.016
105,34.2,-75.523,345.459,-35.088,-214.794,-131.824,-29.431,-57.497,280.617,-14.415,-59.988,79.15,-1.481,-0.04,-0.647,0.072,-2.291,0.01,0.028,-0.121
106,31.849,-75.248,343.837,-91.583,-197.43,-121.313,-26.716,-56.006,284.373,-71.814,-82.44,67.793,-1.366,-0.459,-0.829,-0.446,-2.205,-0.453,0.016,-0.237
107,30.622,-75.328,347.457,-160.696,-179.744,-119.434,-25.814,-56.737,294.678,-120.108,-103.917,70.306,-1.226,-0.959,-0.982,-0.845,-2.054,-0.906,0.004,-0.363
108,31.24,-78.156,351.003,-198.431,-172.565,-114.82,-25.223,-61.693,304.447,-152.341,-116.263,67.301,-1.16,-1.214,-1.052,-1.07,-1.922,-1.147,-0.009,-0.499
109,29.341,-82.307,355.866,-233.055,-163.504,-120.654,-26.884,-66.958,312.824,-174.627,-122.978,58.68,-1.085,-1.433,-1.084,-1.206,-1.82,-1.327,-0.023,-0.645
110,29.475,-85.822,362.381,-242.653,-168.403,-120.094,-27.795,-70.097,323.295,-168.635,-120.796,54.786,-1.099,-1.465,-1.034,-1.11,-1.72,-1.298,-0.036,-0.8
111,30.261,-84.318,372.41,-245.913,-169.467,-118.311,-29.353,-70.622,331.988,-150.163,-114.685,58.045,-1.075,-1.452,-0.965,-0.938,-1.679,-1.21,-0.049,-0.962
112,30.694,-83.649,377.592,-227.228,-176.108,-116.673,-31.412,-73.101,337.906,-105.756,-97.252,58.909,-1.104,-1.308,-0.823,-0.581,-1.605,-0.964,-0.062,-1.131
113,31.653,-83.078,383.576,-183.469,-193.222,-124.855,-33.261,-73.473,345.573,-42.833,-79.865,57.051,-1.197,-0.999,-0.682,-0.104,-1.549,-0.575,-0.074,-1.303
114,31.746,-81.508,389.581,-133.363,-206.754,-126.54,-34.569,-72.588,354.55,29.503,-64.336,67.452,-1.267,-0.661,-0.557,0.414,-1.467,-0.149,-0.085,-1.479
115,31.39,-80.366,392.988,-83.206,-216.926,-127.794,-34.756,-71.008,360.916,101.71,-48.451,76.816,-1.322,-0.334,-0.436,0.911,-1.385,0.262,-0.095,-1.655
116,30.941,-78.101,392.885,-20.36,-230.837,-129.842,-35.088,-68.29,365.471,174.192,-25.205,86.25,-1.414,0.066,-0.27,1.396,-1.276,0.707,-0.104,-1.83
117,31.572,-76.403,391.001,54.932,-248.374,-134.302,-35.115,-66.036,366.098,256.398,-6.648,95.15,-1.533,0.552,-0.141,1.957,-1.236,1.231,-0.112,-2.003
118,31.639,-72.117,386.958,133.582,-264.268,-131.65,-35.343,-61.913,364.531,335.49,13.954,111.882,-1.653,1.063,0.001,2.506,-1.192,1.763,-0.119,-2.171
119,31.474,-68.474,379.434,212.166,-276.872,-143.347,-35.435,-58.301,359.44,408.546,38.531,119.692,-1.771,1.6,0.175,3.048,-1.134,2.304,-0.124,-2.334
120,30.925,-64.735,371.897,290.825,-293.02,-145.47,-35.748,-55.233,352.669,468.919,56.094,124.904,-1.918,2.16,0.304,3.532,-1.14,2.828,-0.127,-2.49
121,31.553,-61.957,366.134,350.617,-305.578,-145.708,-36.093,-53.472,347.209,526.05,75.22,132.968,-2.034,2.601,0.447,4.001,-1.13,3.282,-0.13,-2.637
122,31.696,-60.113,360.362,403.988,-318.173,-151.754,-36.79,-51.511,345.323,570.307,86.61,139.662,-2.155,3.014,0.532,4.343,-1.084,3.664,-0.131,-2.775
123,31.809,-58.51,355.944,435.422,-325.445,-156.402,-37.041,-50.094,343.428,608.521,97.939,142.807,-2.233,3.271,0.618,4.645,-1.038,3.946,-0.131,-2.904
124,32.52,-58.378,353.272,466.852,-332.591,-155.871,-37.529,-50.913,345.475,637.13,110.403,150.268,-2.3,3.521,0.704,4.83,-0.942,4.168,-0.13,-3.023
125,33.17,-58.2,354.945,498.226,-342.97,-159.784,-38.219,-51.912,348.915,668.449,113.816,156.244,-2.361,3.729,0.72,5.013,-0.932,4.366,-0.127,-3.131
126,34.254,-58.516,357.059,539.015,-351.502,-161.282,-38.84,-53.715,356.213,715.446,125.753,157.068,-2.405,3.998,0.789,5.251,-0.824,4.624,-0.123,-3.23
127,35.294,-57.304,362.213,589.167,-361.547,-159.198,-40.63,-53.368,365.284,768.542,133.955,164.104,-2.438,4.289,0.821,5.489,-0.753,4.891,-0.118,-3.319
128,34.67,-56.422,365.613,632.903,-371.756,-171.029,-41.524,-52.482,372.105,831.39,147.902,167.766,-2.488,4.551,0.899,5.815,-0.679,5.188,-0.111,-3.397
129,34.442,-55.246,367.748,680.039,-376.708,-175.114,-41.901,-51.707,375.887,891.051,160.454,181.3,-2.509,4.847,0.974,6.157,-0.623,5.509,-0.102,-3.466
130,33.785,-53.755,366.369,720.837,-385.494,-178.887,-41.868,-50.24,377.481,941.674,171.436,188.528,-2.581,5.144,1.044,6.468,-0.571,5.816,-0.093,-3.524
131,32.99,-52.425,364.538,758.404,-396.105,-179.959,-41.532,-49.679,377.797,995.088,180.842,192.533,-2.67,5.428,1.107,6.82,-0.544,6.136,-0.081,-3.572
132,32.972,-51.747,360.593,799.417,-397.971,-182.853,-42.185,-49.197,377.639,1033.119,195.485,199.207,-2.712,5.774,1.204,7.078,-0.445,6.441,-0.068,-3.609
133,33.617,-50.096,357.049,824.547,-405.21,-186.745,-42.638,-48.578,375.826,1064.628,199.621,200.591,-2.789,6.006,1.237,7.323,-0.432,6.681,-0.054,-3.637
134,34.301,-49.002,352.179,852.75,-414.307,-178.961,-42.976,-48.185,373.561,1086.917,205.499,204.735,-2.891,6.289,1.283,7.518,-0.406,6.922,-0.038,-3.654
135,34.844,-47.725,347.794,871.743,-418.08,-181.276,-43.616,-47.209,371.297,1109.206,211.378,208.87,-2.953,6.503,1.33,7.714,-0.368,7.128,-0.022,-3.661
136,35.414,-45.88,343.844,893.73,-420.042,-183.451,-43.451,-46.408,368.236,1112.511,210.056,208.826,-3,6.735,1.332,7.799,-0.368,7.285,-0.003,-3.659
137,35.922,-44.832,339.475,900.044,-420.329,-180.322,-43.236,-45.913,364.734,1112.638,210.538,208.182,-3.04,6.866,1.349,7.873,-0.357,7.387,0.016,-3.647
138,35.377,-44.831,336.854,906.354,-420.49,-182.001,-43.053,-45.607,363.888,1112.564,207.098,212.014,-3.066,6.967,1.328,7.89,-0.343,7.446,0.036,-3.627
139,35.415,-44.416,335.107,906.359,-420.617,-176.606,-42.754,-45.697,363.483,1115.668,201.854,214.539,-3.083,7.002,1.294,7.921,-0.341,7.48,0.057,-3.6
140,35.8,-44.375,335.561,896.986,-418.85,-187.899,-42.517,-45.922,364.365,1109.369,201.667,211.052,-3.064,6.921,1.29,7.858,-0.327,7.409,0.078,-3.565
141,36.236,-44.574,337.728,900.049,-420.456,-184.652,-42.154,-45.789,365.27,1109.231,197.986,211.464,-3.055,6.901,1.262,7.837,-0.364,7.387,0.1,-3.524
142,36.027,-44.857,339.93,890.672,-418.562,-188.667,-42.466,-46.275,367.485,1105.852,195.869,212.167,-3.022,6.787,1.239,7.768,-0.363,7.297,0.123,-3.477
143,36.186,-46.474,342.972,887.43,-420.134,-188.546,-42.279,-46.814,369.691,1096.431,193.69,206.512,-3.006,6.707,1.218,7.659,-0.387,7.201,0.146,-3.426
144,36.339,-47.614,347.347,887.538,-419.81,-189.311,-42.261,-48.103,371.478,1089.993,189.822,209.801,-2.966,6.627,1.185,7.581,-0.437,7.12,0.169,-3.371
145,36.338,-48.488,350.796,887.44,-426.658,-184.647,-42.613,-49.21,373.729,1080.241,184.078,203.738,-2.986,6.563,1.138,7.472,-0.497,7.032,0.192,-3.313
146,36.951,-48.782,354.734,884.24,-424.616,-190,-42.639,-49.747,374.624,1061.405,183.756,203.391,-2.937,6.468,1.133,7.328,-0.534,6.91,0.215,-3.253
147,36.829,-48.701,355.608,877.936,-424.582,-194.62,-42.603,-50.271,374.661,1055.031,180.129,198.794,-2.929,6.407,1.109,7.285,-0.56,6.858,0.237,-3.191
148,36.521,-49.568,356.087,862.305,-419.293,-189.272,-42.427,-50.82,373.387,1039.243,178.359,194.413,-2.889,6.29,1.101,7.204,-0.576,6.758,0.259,-3.127
