"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,5.995,-4.827,253.128,43.841,146.289,-90.628,-7.507,0.914,270.36,379.681,-113.061,123.78,1.492,0.459,-1.09,3.564,0.535,2.062,0,0.003
2,6.097,-4.689,252.674,53.214,144.522,-93.027,-7.559,0.827,269.896,382.996,-111.184,129.039,1.477,0.553,-1.074,3.601,0.536,2.128,0.001,0.005
3,6.28,-5.052,252.684,47.031,144.5,-96.571,-7.728,0.867,269.004,383.253,-111.058,127.981,1.477,0.493,-1.077,3.616,0.518,2.103,0.002,0.008
4,6.096,-4.877,252.254,50.146,146.255,-93.193,-7.748,1.094,268.573,386.118,-109.193,126.211,1.497,0.524,-1.061,3.648,0.536,2.135,0.002,0.011
5,6.403,-4.649,252.254,50.146,146.255,-90.94,-7.471,1.219,268.573,386.118,-109.193,125.847,1.498,0.523,-1.06,3.647,0.537,2.134,0.003,0.015
6,6.273,-4.936,252.254,50.146,146.255,-93.563,-7.513,1.533,268.573,386.118,-109.193,125.872,1.497,0.524,-1.06,3.646,0.537,2.134,0.005,0.018
7,6.416,-4.91,252.708,40.773,148.022,-93.8,-7.734,0.958,269.05,382.922,-114.624,125.129,1.513,0.429,-1.111,3.611,0.518,2.07,0.006,0.022
8,6.202,-4.87,253.549,46.909,144.556,-94.561,-7.372,1.27,269.478,385.981,-112.873,123.409,1.473,0.489,-1.091,3.633,0.5,2.109,0.007,0.025
9,6.327,-5.402,253.128,43.841,146.289,-89.955,-7.869,1.172,269.014,389.296,-110.997,132.262,1.493,0.461,-1.077,3.671,0.517,2.115,0.009,0.029
10,6.369,-5.14,253.58,47.073,148.115,-91.822,-7.813,0.689,270.337,386.174,-112.988,125.156,1.509,0.492,-1.09,3.626,0.533,2.109,0.01,0.033
11,6.189,-5.262,254.003,37.537,146.323,-90.756,-7.232,0.912,269.896,382.996,-111.184,125.251,1.487,0.396,-1.073,3.601,0.515,2.047,0.011,0.036
12,6.445,-5.22,254.024,43.883,149.903,-92.485,-8.174,0.954,269.896,382.996,-111.184,126.517,1.524,0.459,-1.076,3.601,0.531,2.078,0.013,0.04
13,6.442,-5.342,254.455,40.768,148.149,-95.692,-7.87,0.723,269.478,385.981,-112.873,128.631,1.504,0.428,-1.093,3.635,0.496,2.078,0.014,0.043
14,6.548,-4.772,254.024,43.883,149.903,-90.962,-7.99,0.91,269.896,382.996,-111.184,129.719,1.525,0.458,-1.076,3.601,0.531,2.077,0.016,0.047
15,6.45,-4.994,254.445,46.951,148.17,-92.224,-8.173,0.955,269.919,389.159,-114.677,130.053,1.504,0.488,-1.109,3.659,0.496,2.12,0.017,0.05
16,6.406,-5.135,254.445,46.951,148.17,-92.923,-7.873,0.913,269.455,392.474,-112.8,130.849,1.504,0.489,-1.092,3.696,0.496,2.138,0.019,0.054
17,6.637,-4.959,253.57,53.256,148.136,-93.265,-7.687,1.093,269.014,389.296,-110.997,129.497,1.51,0.553,-1.076,3.672,0.516,2.158,0.02,0.057
