"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,20.895,1.746,365.193,-326.492,126.024,-63.499,-23.159,-4.328,421.165,-313.949,-73.516,37.215,0.934,-2.276,-0.498,-1.883,0.98,-2.065,0.001,-0.002
2,20.719,1.587,365.214,-320.146,129.605,-68.783,-23.325,-4.058,421.593,-310.89,-71.766,41.486,0.958,-2.231,-0.487,-1.864,1.003,-2.034,0.001,-0.003
3,21.11,1.33,364.342,-326.446,129.512,-65.765,-22.892,-4.071,421.165,-313.949,-73.516,38.577,0.961,-2.279,-0.497,-1.884,1.006,-2.067,0.001,-0.003
4,21.023,1.822,365.214,-320.146,129.605,-64.633,-23.108,-4.518,421.165,-313.949,-73.516,38.207,0.959,-2.232,-0.498,-1.883,0.992,-2.045,0.001,-0.003
5,21.073,1.956,363.898,-323.256,127.723,-61.783,-22.668,-4.422,420.724,-317.127,-71.712,36.844,0.949,-2.262,-0.486,-1.904,1.007,-2.07,0.001,-0.003
6,21.064,1.715,364.318,-320.188,125.99,-65.707,-23.015,-4.646,420.737,-317.007,-75.266,37.913,0.936,-2.237,-0.509,-1.903,0.983,-2.058,0.001,-0.002
7,20.758,1.721,363.898,-323.256,127.723,-62.471,-22.882,-4.56,421.165,-313.949,-73.516,41.116,0.948,-2.261,-0.497,-1.883,1.007,-2.058,0,-0.001
8,20.975,1.891,364.318,-320.188,125.99,-65.842,-22.777,-4.244,421.629,-317.264,-75.393,40.8,0.936,-2.237,-0.508,-1.901,0.995,-2.057,0,0
9,20.673,1.856,364.342,-326.446,129.512,-66.331,-22.878,-4.696,421.629,-317.264,-75.393,42.222,0.959,-2.281,-0.508,-1.9,1.005,-2.077,0,0.002
10,20.894,1.541,363.89,-329.677,127.686,-67.239,-22.789,-4.875,421.629,-317.264,-75.393,41.518,0.948,-2.305,-0.508,-1.9,1.007,-2.088,0,0.003
11,20.844,1.232,364.786,-329.635,131.301,-66.415,-22.882,-4.106,422.07,-314.086,-77.197,42.586,0.971,-2.299,-0.518,-1.881,1.004,-2.074,-0.001,0.005
12,21.01,1.185,364.345,-339.05,129.453,-68.231,-22.734,-4.106,422.083,-326.622,-77.331,37.295,0.96,-2.367,-0.519,-1.956,1.006,-2.146,-0.001,0.007
13,20.879,0.962,363.893,-342.282,127.628,-66.066,-22.88,-4.642,422.511,-323.564,-75.58,39.017,0.948,-2.392,-0.508,-1.934,1.018,-2.146,-0.001,0.008
14,21.061,0.686,363.465,-351.772,129.324,-68.4,-22.637,-4.38,422.547,-329.937,-79.207,40.806,0.961,-2.46,-0.529,-1.973,1.019,-2.198,-0.001,0.01
15,20.897,0.451,363.475,-357.955,129.302,-67.533,-22.648,-4.553,422.083,-326.622,-77.331,40.843,0.961,-2.503,-0.518,-1.955,1.019,-2.208,-0.002,0.011
16,20.632,0.721,363.047,-367.445,130.998,-64.611,-22.778,-4.287,422.975,-326.879,-77.457,39.727,0.973,-2.573,-0.518,-1.953,1.042,-2.239,-0.002,0.012
17,20.797,0.038,363.491,-370.634,132.787,-66.598,-22.599,-4.505,422.083,-326.622,-77.331,42.286,0.985,-2.59,-0.518,-1.955,1.03,-2.249,-0.002,0.013
18,20.533,0.802,363.484,-377.056,132.75,-68.158,-23,-4.504,422.547,-329.937,-79.207,41.846,0.984,-2.637,-0.53,-1.973,1.029,-2.28,-0.002,0.013
19,20.534,0.537,363.508,-383.314,136.271,-63.232,-22.921,-4.55,422.547,-329.937,-79.207,39.359,1.008,-2.68,-0.53,-1.973,1.04,-2.3,-0.002,0.013
20,20.592,0.35,363.938,-386.429,134.517,-69.214,-22.915,-4.688,422.965,-332.922,-77.518,39.72,0.995,-2.698,-0.519,-1.988,1.039,-2.316,-0.002,0.013
21,21.03,-0.062,364.813,-392.733,134.551,-67.194,-22.907,-4.464,422.538,-335.98,-79.268,40.051,0.994,-2.734,-0.53,-2.009,1.014,-2.345,-0.002,0.012
22,20.887,-0.145,364.393,-395.802,136.284,-61.944,-22.596,-4.73,423.002,-339.296,-81.145,39.093,1.007,-2.759,-0.54,-2.026,1.027,-2.365,-0.002,0.011
23,20.622,-0.397,363.965,-405.291,137.98,-64.455,-22.774,-4.775,422.56,-342.474,-79.341,38.656,1.019,-2.827,-0.53,-2.047,1.038,-2.408,-0.002,0.01
24,20.58,-0.489,364.409,-408.481,139.768,-65.584,-22.903,-4.727,422.56,-342.474,-79.341,42.186,1.03,-2.846,-0.531,-2.048,1.037,-2.417,-0.002,0.007
25,20.612,-0.519,364.388,-414.828,136.188,-64.087,-23.028,-4.59,423.038,-345.669,-84.772,39.409,1.006,-2.89,-0.563,-2.065,1.014,-2.447,-0.002,0.005
26,20.881,-0.563,364.411,-421.086,139.71,-61.074,-22.799,-4.901,422.597,-348.847,-82.968,40.121,1.031,-2.933,-0.552,-2.085,1.026,-2.478,-0.002,0.002
27,20.317,-0.7,364.411,-421.086,139.71,-63.737,-22.998,-5.263,422.133,-345.532,-81.092,40.759,1.029,-2.933,-0.542,-2.067,1.025,-2.468,-0.002,-0.002
28,20.923,-0.701,364.842,-424.201,137.955,-63.816,-22.991,-5.037,422.169,-351.905,-84.719,41.806,1.018,-2.951,-0.564,-2.105,1.002,-2.498,-0.002,-0.006
29,20.134,-0.66,363.983,-430.575,141.406,-60.681,-22.766,-4.85,422.155,-352.025,-81.165,39.414,1.042,-3.003,-0.542,-2.107,1.037,-2.522,-0.001,-0.011
30,20.221,-0.771,363.563,-433.644,143.138,-63.732,-22.78,-5.041,422.155,-352.025,-81.165,40.036,1.055,-3.027,-0.542,-2.106,1.05,-2.533,-0.001,-0.016
31,20.618,-0.818,363.983,-430.575,141.406,-61.709,-23.308,-4.865,421.264,-351.768,-81.038,42.063,1.043,-3.002,-0.543,-2.11,1.026,-2.523,-0.001,-0.021
32,20.442,-1.002,363.976,-436.997,141.369,-59.017,-23.178,-5.218,421.728,-355.083,-82.915,38.933,1.042,-3.047,-0.554,-2.126,1.026,-2.553,-0.001,-0.027
33,20.578,-0.696,364.438,-439.948,143.173,-59.564,-23.036,-5.303,421.728,-355.083,-82.915,40.024,1.054,-3.064,-0.553,-2.126,1.025,-2.561,-0.001,-0.034
34,20.612,-1.003,364.882,-443.138,144.961,-66.617,-22.756,-5.3,422.61,-361.383,-83.102,38.719,1.065,-3.082,-0.553,-2.16,1.035,-2.587,-0.001,-0.041
35,20.58,-1.259,364.882,-443.138,144.961,-57.32,-22.981,-4.854,422.61,-361.383,-83.102,39.027,1.065,-3.081,-0.553,-2.161,1.035,-2.587,0,-0.048
36,20.801,-0.249,365.326,-446.328,146.75,-60.61,-23.165,-5.348,421.741,-367.62,-83.049,39.292,1.077,-3.102,-0.555,-2.201,1.022,-2.62,0,-0.055
37,20.395,-0.776,365.326,-446.328,146.75,-61.666,-22.757,-4.942,421.741,-367.62,-83.049,39.34,1.076,-3.101,-0.554,-2.202,1.022,-2.62,0,-0.063
38,20.444,-0.907,364.906,-449.396,148.483,-58.229,-23.121,-4.76,421.741,-367.62,-83.049,42.191,1.089,-3.126,-0.554,-2.203,1.034,-2.631,0,-0.071
39,20.76,-0.867,365.357,-446.164,150.308,-56.816,-22.59,-5.033,422.182,-364.442,-84.853,38.675,1.102,-3.099,-0.563,-2.181,1.034,-2.607,0.001,-0.08
40,20.483,-1.09,364.906,-449.396,148.483,-58.621,-23.073,-4.935,421.313,-370.678,-84.799,39.703,1.089,-3.125,-0.565,-2.223,1.023,-2.642,0.001,-0.089
