"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,22.006,2.841,354.423,26.648,84.34,-94.539,-22.646,-6.303,427.688,-64.616,-164.201,52.371,0.666,0.183,-1.028,-0.369,0.811,-0.119,-0.014,0.016
2,21.836,3.098,354.874,29.88,86.166,-86.31,-22.687,-5.851,427.688,-64.616,-164.201,57.725,0.678,0.205,-1.028,-0.37,0.809,-0.109,-0.021,0.025
3,21.888,3.121,354.42,39.253,84.399,-90.436,-22.52,-5.977,427.688,-64.616,-164.201,50.317,0.666,0.273,-1.027,-0.37,0.811,-0.079,-0.028,0.035
4,22.188,2.553,354.423,26.648,84.34,-89.925,-22.862,-6.017,427.688,-64.616,-164.201,54.204,0.667,0.184,-1.028,-0.37,0.811,-0.119,-0.035,0.045
5,22.224,2.753,354,36.185,86.132,-89.998,-22.64,-6.026,428.534,-64.542,-160.761,53.137,0.681,0.252,-1.005,-0.369,0.846,-0.088,-0.042,0.056
6,21.792,2.462,353.992,29.763,86.095,-85.978,-22.731,-6.695,428.129,-74.094,-162.585,54.819,0.679,0.207,-1.017,-0.424,0.834,-0.139,-0.048,0.067
7,22.06,2.282,354.423,26.648,84.34,-88.195,-22.602,-6.34,428.129,-74.094,-162.585,53.815,0.666,0.185,-1.017,-0.425,0.822,-0.149,-0.055,0.079
8,21.806,2.015,353.572,26.695,87.828,-86.007,-22.862,-6.465,429.416,-70.842,-160.949,53.451,0.692,0.186,-1.005,-0.404,0.869,-0.138,-0.061,0.091
9,22.007,2.043,354.446,20.39,87.862,-89.64,-22.729,-6.512,429.88,-74.157,-162.826,54.213,0.691,0.14,-1.014,-0.423,0.856,-0.168,-0.067,0.103
10,21.92,2.199,354.446,20.39,87.862,-88.544,-22.731,-6.828,429.416,-70.842,-160.949,53.815,0.691,0.14,-1.004,-0.403,0.856,-0.158,-0.073,0.115
11,22.027,2.324,353.992,29.763,86.095,-88.926,-22.947,-6.916,430.308,-71.099,-161.075,54.883,0.68,0.207,-1.004,-0.404,0.868,-0.128,-0.079,0.127
12,21.892,2.356,353.548,32.953,84.306,-90.378,-22.778,-6.775,429.416,-70.842,-160.949,53.18,0.667,0.23,-1.005,-0.403,0.858,-0.117,-0.085,0.14
