"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,24.428,2.947,353.768,37.46,-11.514,-89,-26.139,-8.004,425.923,9.764,-163.18,43.294,-0.014,0.261,-1.034,0.077,0.487,0.16,-0.001,0.003
2,24.418,2.5,354.22,40.692,-9.689,-83.706,-26.263,-8.082,426.828,9.626,-166.861,40.825,-0.001,0.285,-1.054,0.076,0.486,0.171,-0.001,0.005
3,24.806,2.659,354.212,34.271,-9.726,-87.476,-26.494,-8.171,426.387,6.448,-165.057,41.151,0,0.238,-1.045,0.057,0.486,0.139,-0.002,0.008
4,24.368,2.979,354.212,34.271,-9.726,-87.721,-26.713,-7.957,426.828,9.626,-166.861,43.205,-0.001,0.237,-1.055,0.076,0.486,0.149,-0.002,0.01
5,24.185,2.575,353.792,31.202,-7.993,-86.794,-26.799,-7.906,426.828,9.626,-166.861,43.587,0.011,0.217,-1.055,0.076,0.497,0.14,-0.003,0.013
6,24.4,2.27,355.108,34.313,-6.111,-84.76,-26.219,-7.773,428.138,6.385,-165.298,39.415,0.025,0.239,-1.041,0.056,0.508,0.139,-0.003,0.015
7,24.585,2.092,354.244,34.434,-6.167,-88.997,-26.841,-8.269,427.674,9.7,-163.421,41.808,0.025,0.241,-1.033,0.077,0.52,0.151,-0.003,0.017
8,24.238,2.093,354.212,34.271,-9.726,-83.925,-26.763,-8.178,427.71,3.327,-167.048,37.501,-0.002,0.24,-1.054,0.039,0.497,0.13,-0.003,0.018
9,24.688,2.539,353.782,37.386,-7.971,-86.73,-26.701,-8.179,427.674,9.7,-163.421,42.244,0.012,0.261,-1.032,0.077,0.521,0.16,-0.003,0.02
10,24.094,2.349,353.792,31.202,-7.993,-89.12,-26.534,-7.953,427.233,6.522,-161.617,39.693,0.01,0.217,-1.022,0.057,0.52,0.13,-0.003,0.022
11,24.093,2.085,353.768,37.46,-11.514,-85.19,-26.305,-8.221,427.256,12.685,-165.11,35.764,-0.015,0.263,-1.043,0.094,0.498,0.171,-0.003,0.023
12,24.069,2.357,352.917,37.507,-8.027,-91.071,-26.61,-7.995,427.674,9.7,-163.421,39.322,0.01,0.263,-1.032,0.076,0.534,0.161,-0.003,0.024
13,24.281,1.848,352.894,43.765,-11.549,-91.1,-26.392,-7.721,427.697,15.863,-166.914,42.631,-0.015,0.31,-1.052,0.112,0.512,0.201,-0.002,0.026
14,24.221,2.025,353.789,43.807,-7.934,-87.03,-26.802,-8.001,427.697,15.863,-166.914,38.625,0.011,0.309,-1.053,0.113,0.51,0.201,-0.002,0.027
15,24.289,2.061,352.473,40.697,-9.816,-88.159,-26.891,-8.082,427.256,12.685,-165.11,40.731,-0.002,0.287,-1.044,0.094,0.523,0.182,-0.001,0.028
16,23.801,2.618,353.345,46.997,-9.723,-88.925,-26.451,-8.133,427.661,22.236,-163.287,44.692,-0.003,0.33,-1.031,0.151,0.522,0.232,-0.001,0.03
17,23.652,2.698,353.345,46.997,-9.723,-90.027,-26.705,-8.043,427.661,22.236,-163.287,43.981,-0.003,0.33,-1.032,0.151,0.521,0.232,0,0.031
18,23.655,2.12,353.345,46.997,-9.723,-91.634,-27.112,-8.271,428.102,25.414,-165.091,43.935,-0.003,0.332,-1.042,0.17,0.521,0.243,0.001,0.033
19,23.86,2.252,353.766,50.065,-11.456,-90.973,-26.624,-7.739,427.661,22.236,-163.287,42.915,-0.015,0.353,-1.031,0.15,0.51,0.242,0.001,0.035
20,24.547,2.316,353.766,50.065,-11.456,-87.466,-26.536,-7.639,427.661,22.236,-163.287,45.082,-0.013,0.353,-1.031,0.15,0.511,0.242,0.002,0.036
21,24.315,2.354,353.766,50.065,-11.456,-89.628,-26.547,-7.729,427.243,25.221,-164.976,46.525,-0.014,0.353,-1.042,0.168,0.499,0.252,0.003,0.038
22,24.579,2.661,353.766,50.065,-11.456,-87.942,-26.755,-7.738,427.674,22.356,-166.841,46.077,-0.013,0.352,-1.053,0.151,0.499,0.242,0.003,0.04
23,24.316,2.532,354.217,53.297,-9.63,-88.273,-26.725,-7.767,426.351,25.478,-164.85,41.155,-0.001,0.375,-1.044,0.17,0.486,0.263,0.004,0.042
24,24.365,2.093,353.766,50.065,-11.456,-87.291,-26.581,-7.554,426.779,28.536,-163.1,43.241,-0.014,0.354,-1.032,0.187,0.499,0.263,0.005,0.044
25,24.582,2.348,355.082,53.175,-9.574,-88.256,-26.816,-7.741,426.779,28.536,-163.1,39.273,0,0.374,-1.033,0.188,0.485,0.272,0.005,0.047
26,24.568,2.616,354.638,56.365,-11.363,-90.322,-26.358,-7.602,427.661,22.236,-163.287,40.471,-0.012,0.396,-1.031,0.15,0.498,0.261,0.006,0.049
27,24.492,2.452,354.638,56.365,-11.363,-88.207,-26.861,-7.823,426.779,28.536,-163.1,45.34,-0.013,0.397,-1.033,0.188,0.485,0.283,0.006,0.051
28,24.232,2.314,353.766,50.065,-11.456,-87.119,-26.775,-7.691,426.779,28.536,-163.1,40.752,-0.014,0.353,-1.033,0.188,0.498,0.263,0.007,0.054
29,24.465,2.989,353.321,53.255,-13.245,-86.967,-26.906,-7.833,427.22,31.714,-164.903,41.437,-0.026,0.374,-1.043,0.207,0.5,0.283,0.007,0.056
30,24.638,2.556,353.343,59.601,-9.664,-86.211,-26.591,-7.821,427.22,31.714,-164.903,43.272,0,0.421,-1.042,0.207,0.511,0.304,0.008,0.059
31,24.672,2.34,352.867,62.628,-15.012,-83.283,-26.326,-8.005,427.22,31.714,-164.903,41.129,-0.038,0.444,-1.041,0.207,0.502,0.314,0.008,0.062
32,24.148,2.752,352.447,59.559,-13.279,-84.975,-26.59,-7.733,427.648,34.773,-163.153,40.455,-0.027,0.421,-1.031,0.224,0.524,0.313,0.008,0.065
33,24.33,2.883,352.447,59.559,-13.279,-89.473,-26.555,-7.738,427.648,34.773,-163.153,37.875,-0.027,0.421,-1.031,0.224,0.525,0.313,0.009,0.068
34,24.326,2.798,353.319,65.859,-13.186,-86.009,-26.997,-7.598,427.184,38.088,-161.276,42.542,-0.026,0.466,-1.022,0.244,0.511,0.344,0.009,0.071
35,24.537,2.708,352.867,62.628,-15.012,-84.946,-26.953,-7.923,427.648,34.773,-163.153,44.651,-0.039,0.443,-1.031,0.225,0.512,0.324,0.01,0.074
36,24.362,2.835,352.867,62.628,-15.012,-86.696,-26.818,-7.784,427.648,34.773,-163.153,43.204,-0.039,0.443,-1.031,0.225,0.512,0.323,0.011,0.077
37,24.449,2.785,352.867,62.628,-15.012,-92.053,-26.777,-7.469,428.507,34.966,-163.268,43.99,-0.039,0.443,-1.03,0.225,0.524,0.323,0.011,0.08
38,24.281,2.787,352.423,65.817,-16.8,-87.869,-26.902,-7.637,427.648,34.773,-163.153,42.263,-0.052,0.466,-1.031,0.224,0.513,0.334,0.012,0.084
39,24.409,2.961,352.423,65.817,-16.8,-90.251,-26.727,-7.462,427.22,31.714,-164.903,42.929,-0.052,0.466,-1.042,0.206,0.502,0.323,0.012,0.087
40,24.679,3.061,351.993,68.932,-15.046,-89.505,-26.634,-7.507,427.648,34.773,-163.153,41.177,-0.039,0.489,-1.031,0.224,0.526,0.343,0.013,0.091
41,24.777,2.922,352.875,69.049,-14.975,-90.009,-26.768,-7.561,428.971,31.651,-165.144,44.68,-0.038,0.489,-1.04,0.205,0.525,0.333,0.013,0.094
