"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.477,-2.101,271.667,60.766,-111.3,-39.26,-16.59,-2.789,280.641,63.725,100.833,31.786,-0.988,0.576,0.854,0.587,0.134,0.581,0.008,-0.043
2,14.535,-1.776,272.118,63.998,-109.475,-41.182,-16.41,-2.433,281.082,66.903,99.029,32.514,-0.969,0.604,0.837,0.613,0.134,0.609,0.012,-0.064
3,14.188,-2.143,271.244,70.302,-109.509,-39.932,-16.267,-3.147,281.082,66.903,99.029,31.451,-0.973,0.666,0.838,0.616,0.152,0.64,0.016,-0.084
4,14.451,-2.445,270.792,67.071,-111.335,-40.934,-16.9,-3.148,280.236,66.83,95.589,34.203,-0.991,0.638,0.807,0.617,0.119,0.627,0.019,-0.103
5,13.736,-1.863,271.674,67.187,-111.264,-41.152,-16.228,-2.703,281.105,73.066,95.536,31.128,-0.99,0.635,0.806,0.67,0.118,0.653,0.023,-0.121
6,14.041,-2.033,271.222,63.956,-113.089,-41.473,-16.811,-2.576,280.628,76.262,100.967,33.159,-1.008,0.606,0.855,0.699,0.134,0.654,0.026,-0.139
7,14.313,-2.26,271.656,66.949,-111.279,-42.674,-16.952,-2.122,280.651,82.424,97.474,34.222,-0.988,0.634,0.822,0.753,0.118,0.695,0.029,-0.155
8,14.116,-1.916,271.244,70.302,-109.509,-41.997,-16.824,-1.868,280.651,82.424,97.474,33.809,-0.974,0.665,0.823,0.753,0.135,0.71,0.032,-0.171
9,14.264,-1.943,272.094,70.256,-112.996,-39.785,-16.951,-2.346,281.079,85.482,99.224,28.938,-1.003,0.663,0.837,0.781,0.118,0.723,0.035,-0.186
10,14.093,-2.12,272.99,70.298,-109.382,-38.993,-16.993,-1.938,280.615,88.798,101.101,33.223,-0.966,0.662,0.855,0.811,0.114,0.737,0.038,-0.201
11,14.1,-1.761,272.539,67.066,-111.208,-39.699,-16.908,-2.576,280.615,88.798,101.101,31.706,-0.985,0.631,0.855,0.813,0.116,0.723,0.041,-0.214
12,14.256,-1.971,272.094,70.256,-112.996,-44.077,-16.716,-2.437,281.079,85.482,99.224,29.272,-1.003,0.663,0.838,0.781,0.118,0.723,0.043,-0.226
13,13.905,-2.059,272.108,70.181,-109.453,-41.941,-16.73,-2.26,280.651,82.424,97.474,34.951,-0.971,0.663,0.823,0.754,0.117,0.709,0.045,-0.238
14,14.137,-2.26,272.99,70.298,-109.382,-39.673,-16.592,-2.839,281.079,85.482,99.224,29.281,-0.966,0.662,0.838,0.782,0.116,0.723,0.048,-0.249
15,14.175,-1.651,272.967,76.556,-112.904,-40.848,-16.731,-2.713,280.605,82.755,101.04,32.099,-0.999,0.718,0.856,0.759,0.099,0.739,0.05,-0.26
16,14.098,-1.589,273.863,76.597,-109.289,-39.738,-16.459,-2.662,280.651,82.424,97.474,31.809,-0.962,0.716,0.824,0.755,0.082,0.736,0.052,-0.269
17,14.309,-1.721,272.967,76.556,-112.904,-39.085,-16.592,-2.845,281.079,85.482,99.224,34.263,-0.998,0.719,0.838,0.782,0.101,0.751,0.054,-0.278
18,13.956,-1.313,272.988,82.902,-109.323,-35.708,-16.734,-2.258,280.615,88.798,101.101,35.662,-0.966,0.776,0.856,0.812,0.115,0.794,0.055,-0.287
19,13.922,-1.339,272.988,82.902,-109.323,-35.398,-16.701,-2.619,281.065,98.019,99.358,31.758,-0.966,0.776,0.839,0.895,0.116,0.837,0.057,-0.294
20,14.14,-1.328,273.408,85.97,-111.056,-38.708,-16.691,-2.349,280.638,94.96,97.608,38.871,-0.98,0.804,0.825,0.868,0.083,0.836,0.058,-0.301
21,14.134,-1.77,272.964,89.16,-112.845,-39.979,-16.822,-2.047,280.638,94.96,97.608,31.758,-0.998,0.836,0.824,0.867,0.084,0.852,0.06,-0.307
22,14.344,-2.177,272.964,89.16,-112.845,-38.799,-16.518,-1.947,280.638,94.96,97.608,33.611,-0.998,0.838,0.825,0.866,0.085,0.852,0.061,-0.313
