"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.988,-2.75,277.661,-84.396,-136.38,-28.394,-17.162,-2.112,275.572,17.886,138.371,32.28,-1.194,-0.762,1.214,0.172,-0.038,-0.297,-0.013,0
2,15.29,-3.46,277.64,-90.742,-139.961,-23.242,-17.013,-1.613,274.703,11.649,138.425,32.307,-1.226,-0.818,1.219,0.114,-0.071,-0.355,-0.02,-0.001
3,15.641,-2.972,278.061,-87.674,-141.694,-21.511,-16.663,-1.755,274.275,8.591,136.674,32.647,-1.238,-0.79,1.206,0.086,-0.103,-0.355,-0.028,-0.001
4,15.234,-2.793,278.933,-81.374,-141.601,-18.959,-16.838,-1.8,274.298,14.753,133.181,30.152,-1.235,-0.731,1.172,0.143,-0.137,-0.298,-0.037,-0.003
5,15.416,-2.974,279.807,-87.679,-141.567,-25.384,-16.704,-2.018,274.298,14.753,133.181,30.944,-1.23,-0.785,1.173,0.144,-0.154,-0.325,-0.046,-0.004
6,15.7,-3.079,280.259,-84.447,-139.741,-24.075,-16.217,-1.481,274.726,17.812,134.931,31.301,-1.211,-0.754,1.189,0.17,-0.137,-0.297,-0.055,-0.006
7,15.371,-2.437,280.259,-84.447,-139.741,-23.604,-16.808,-1.214,273.857,24.231,131.565,28.075,-1.212,-0.757,1.159,0.229,-0.172,-0.269,-0.065,-0.007
8,15.594,-3.004,280.259,-84.447,-139.741,-23.712,-16.487,-1.304,273.416,21.053,133.369,33.406,-1.211,-0.755,1.179,0.2,-0.172,-0.283,-0.075,-0.009
9,15.498,-2.753,280.259,-84.447,-139.741,-27.151,-16.62,-1.352,272.975,17.875,135.172,33.433,-1.211,-0.756,1.197,0.171,-0.173,-0.298,-0.086,-0.011
10,15.419,-3.09,281.134,-90.752,-139.707,-22.409,-16.798,-1.579,272.129,17.802,131.733,28.661,-1.208,-0.809,1.168,0.172,-0.225,-0.327,-0.097,-0.013
11,15.194,-3.124,281.134,-90.752,-139.707,-25.61,-16.905,-1.538,272.092,24.175,135.36,29.671,-1.208,-0.809,1.202,0.231,-0.21,-0.297,-0.109,-0.015
12,15.384,-3.316,281.134,-90.752,-139.707,-27.165,-16.802,-1.663,271.665,21.117,133.609,30.113,-1.208,-0.808,1.188,0.204,-0.226,-0.311,-0.12,-0.017
13,15.559,-2.88,281.134,-90.752,-139.707,-27.187,-16.488,-1.661,272.129,17.802,131.733,34.088,-1.207,-0.81,1.17,0.172,-0.224,-0.327,-0.132,-0.019
14,15.288,-2.812,281.554,-87.683,-141.44,-22.543,-16.814,-1.534,272.092,24.175,135.36,29.762,-1.222,-0.781,1.202,0.231,-0.226,-0.284,-0.145,-0.021
15,15.503,-3.088,281.554,-87.683,-141.44,-23.767,-16.902,-0.995,271.665,21.117,133.609,27.61,-1.221,-0.78,1.188,0.201,-0.243,-0.298,-0.157,-0.023
16,15.243,-3.172,281.134,-90.752,-139.707,-24.373,-16.941,-1.314,272.092,24.175,135.36,30.419,-1.208,-0.809,1.202,0.23,-0.21,-0.298,-0.17,-0.025
17,15.626,-3.088,281.554,-87.683,-141.44,-26.174,-16.763,-1.218,272.534,27.353,133.556,31.94,-1.221,-0.78,1.184,0.259,-0.224,-0.269,-0.182,-0.028
18,15.37,-2.73,281.554,-87.683,-141.44,-28.093,-16.681,-1.317,272.092,24.175,135.36,29.026,-1.222,-0.781,1.203,0.23,-0.225,-0.284,-0.195,-0.03
19,15.415,-3.72,282.006,-84.452,-139.614,-30.04,-17.033,-1.624,272.092,24.175,135.36,31.525,-1.203,-0.748,1.202,0.232,-0.227,-0.267,-0.207,-0.032
20,15.452,-3.246,281.554,-87.683,-141.44,-26.744,-16.936,-1.708,272.534,27.353,133.556,30.164,-1.221,-0.78,1.183,0.261,-0.225,-0.268,-0.22,-0.034
21,15.285,-3.394,281.562,-81.262,-141.403,-22.935,-17.038,-1.4,272.534,27.353,133.556,33.31,-1.222,-0.721,1.183,0.26,-0.225,-0.239,-0.232,-0.036
22,15.377,-2.469,281.124,-84.568,-139.685,-26.714,-17.21,-1.615,272.534,27.353,133.556,35.071,-1.208,-0.755,1.182,0.261,-0.209,-0.255,-0.245,-0.037
23,15.293,-2.544,281.554,-87.683,-141.44,-23.156,-17.033,-1.443,272.092,24.175,135.36,31.521,-1.222,-0.782,1.202,0.231,-0.226,-0.284,-0.257,-0.039
24,15.354,-3.102,281.124,-84.568,-139.685,-20.586,-17.256,-1.615,272.534,27.353,133.556,32.651,-1.208,-0.753,1.182,0.261,-0.209,-0.254,-0.269,-0.041
25,15.279,-3.015,280.259,-84.447,-139.741,-27.495,-16.812,-1.718,272.511,21.191,137.049,31.885,-1.212,-0.755,1.216,0.204,-0.175,-0.282,-0.281,-0.042
26,15.549,-2.944,280.703,-87.637,-137.952,-20.866,-17.296,-1.668,272.547,14.817,133.422,31.132,-1.193,-0.783,1.181,0.144,-0.192,-0.326,-0.293,-0.044
27,15.312,-2.832,280.259,-84.447,-139.741,-26.524,-17.428,-2.119,272.975,17.875,135.172,32.896,-1.212,-0.755,1.195,0.174,-0.175,-0.297,-0.304,-0.045
28,15.05,-2.953,281.554,-87.683,-141.44,-26.704,-17.032,-1.67,272.975,17.875,135.172,32.639,-1.223,-0.781,1.196,0.172,-0.209,-0.311,-0.315,-0.047
29,15.111,-3.318,280.249,-78.264,-139.719,-20.823,-17.019,-1.977,272.511,21.191,137.049,30.149,-1.213,-0.698,1.216,0.205,-0.176,-0.253,-0.326,-0.049
30,15.315,-3.416,279.829,-81.332,-137.986,-24.853,-17.421,-2.122,273.416,21.053,133.369,27.879,-1.198,-0.726,1.176,0.203,-0.157,-0.267,-0.336,-0.05
31,15.416,-3.334,280.249,-78.264,-139.719,-22.691,-17.16,-1.749,273.416,21.053,133.369,32.252,-1.212,-0.697,1.177,0.202,-0.173,-0.253,-0.346,-0.052
32,15.157,-3.096,279.829,-81.332,-137.986,-23.577,-17.06,-1.842,273.416,21.053,133.369,30.877,-1.199,-0.727,1.177,0.202,-0.157,-0.268,-0.356,-0.053
33,15.148,-3.145,279.384,-78.142,-139.775,-21.775,-17.293,-1.756,273.38,27.427,136.996,31.203,-1.217,-0.699,1.21,0.261,-0.141,-0.224,-0.365,-0.054
34,15.427,-2.934,279.398,-78.217,-136.232,-25.834,-17.513,-1.799,273.844,24.112,135.119,30.444,-1.183,-0.701,1.19,0.23,-0.123,-0.24,-0.374,-0.055
35,15.519,-2.748,278.954,-75.027,-138.021,-24.319,-17.926,-1.625,273.38,27.427,136.996,33.531,-1.201,-0.673,1.208,0.261,-0.124,-0.211,-0.383,-0.056
36,15.519,-3.231,279.406,-71.796,-136.195,-25.408,-17.521,-1.708,274.271,27.17,136.869,29.697,-1.183,-0.641,1.204,0.258,-0.106,-0.196,-0.391,-0.057
37,14.934,-3.115,278.523,-71.912,-136.266,-25.33,-17.517,-1.711,274.249,33.663,136.942,32.593,-1.189,-0.645,1.205,0.318,-0.09,-0.167,-0.399,-0.057
38,14.927,-3.116,278.523,-71.912,-136.266,-23.971,-17.514,-1.665,274.249,33.663,136.942,28.661,-1.189,-0.645,1.205,0.318,-0.09,-0.167,-0.406,-0.057
39,15.279,-2.926,278.954,-75.027,-138.021,-23.275,-17.883,-1.67,274.676,36.722,138.693,30.74,-1.202,-0.673,1.218,0.346,-0.09,-0.167,-0.412,-0.057
40,15.152,-2.903,278.079,-68.723,-138.055,-24.631,-17.605,-1.622,274.676,36.722,138.693,35.431,-1.207,-0.617,1.219,0.345,-0.072,-0.139,-0.419,-0.057
41,15.341,-2.654,277.649,-65.608,-136.3,-23.587,-17.614,-1.758,274.676,36.722,138.693,30.748,-1.192,-0.591,1.219,0.346,-0.054,-0.125,-0.425,-0.057
42,15.26,-2.575,277.204,-62.418,-138.089,-23.481,-17.83,-1.796,275.545,42.958,138.639,32.194,-1.21,-0.563,1.214,0.402,-0.036,-0.082,-0.43,-0.056
43,15.071,-2.589,277.226,-56.071,-134.508,-27.088,-17.834,-1.487,274.654,43.215,138.766,31.14,-1.178,-0.504,1.219,0.405,-0.038,-0.052,-0.435,-0.054
44,15.073,-2.309,277.194,-56.235,-138.067,-24.892,-17.887,-1.943,274.654,43.215,138.766,32.864,-1.211,-0.507,1.219,0.407,-0.054,-0.052,-0.439,-0.053
45,14.463,-2.006,277.646,-53.003,-136.241,-25.153,-17.834,-1.758,275.082,46.273,140.516,33.995,-1.194,-0.478,1.233,0.434,-0.039,-0.024,-0.443,-0.051
46,14.948,-2.673,276.781,-52.882,-136.297,-21.052,-17.919,-1.719,275.509,49.331,142.266,35.743,-1.197,-0.476,1.247,0.461,-0.004,-0.008,-0.447,-0.048
47,15.109,-2.537,276.771,-46.698,-136.275,-24.082,-17.664,-1.765,275.95,52.509,140.462,30.437,-1.196,-0.419,1.23,0.49,-0.002,0.034,-0.45,-0.045
48,15.277,-2.682,276.351,-49.767,-134.542,-29.57,-18.063,-1.987,275.937,52.39,144.017,34.639,-1.182,-0.448,1.261,0.489,0.03,0.02,-0.453,-0.042
49,15.011,-2.19,276.771,-46.698,-136.275,-21.217,-17.692,-1.409,276.378,55.568,142.213,35.077,-1.197,-0.421,1.244,0.516,0.015,0.047,-0.455,-0.038
50,14.62,-2.327,276.327,-43.509,-138.064,-21.318,-18.144,-1.365,276.378,55.568,142.213,34.641,-1.216,-0.392,1.242,0.516,0.014,0.062,-0.457,-0.034
51,15.418,-2.104,276.327,-43.509,-138.064,-24.447,-17.84,-1.321,276.82,58.746,140.409,33.28,-1.213,-0.392,1.225,0.544,0.017,0.076,-0.458,-0.029
52,14.982,-2.366,276.348,-37.162,-134.484,-26.581,-17.832,-1.404,276.806,58.626,143.963,36.824,-1.182,-0.333,1.257,0.543,0.048,0.105,-0.459,-0.024
53,15.157,-2.014,276.348,-37.162,-134.484,-22.463,-17.93,-1.231,276.783,65.119,144.036,33.245,-1.181,-0.334,1.258,0.602,0.048,0.134,-0.46,-0.019
54,15.074,-2.279,275.904,-33.972,-136.273,-26.323,-18.098,-1.722,276.793,71.162,144.097,34.351,-1.2,-0.305,1.258,0.659,0.049,0.178,-0.46,-0.013
55,15.334,-2.52,275.474,-30.857,-134.518,-30.461,-17.973,-1.407,276.793,71.162,144.097,35.78,-1.185,-0.275,1.258,0.658,0.067,0.192,-0.46,-0.007
56,15.235,-4.123,275.894,-27.789,-136.251,-24.484,-17.982,-4.814,277.234,74.34,142.293,35.779,-1.199,-0.241,1.239,0.698,0.051,0.23,-0.46,0
57,15.144,-6.46,276.325,-30.904,-138.005,-24.9,-17.447,-6.566,277.652,71.356,143.983,33.336,-1.214,-0.261,1.255,0.676,0.051,0.209,-0.459,0.008
58,15.272,-7.076,277.199,-37.209,-137.971,-23.534,-18.191,-6.015,278.534,65.056,143.795,36.445,-1.209,-0.316,1.247,0.615,0.049,0.151,-0.458,0.016
59,15.111,-4.731,277.654,-46.582,-136.204,-25.694,-18.192,-5.037,278.953,62.071,145.485,31.448,-1.192,-0.409,1.26,0.583,0.064,0.088,-0.457,0.024
60,15.328,-4.981,277.209,-43.392,-137.993,-25.933,-18.15,-5.163,280.704,62.008,145.244,34.385,-1.209,-0.38,1.25,0.579,0.1,0.103,-0.456,0.032
61,15.506,-5.575,277.643,-40.398,-136.183,-27.736,-18.196,-5.669,280.713,68.05,145.305,33.588,-1.19,-0.35,1.251,0.636,0.1,0.146,-0.454,0.04
62,14.924,-4.906,276.755,-34.019,-139.76,-25.557,-18.326,-4.232,280.713,68.05,145.305,26.893,-1.229,-0.295,1.25,0.631,0.101,0.171,-0.452,0.048
63,15.067,-3.571,276.769,-34.094,-136.217,-24.416,-18.104,-2.977,280.249,71.366,147.182,30.111,-1.196,-0.3,1.27,0.657,0.116,0.182,-0.449,0.056
64,15.298,-2.961,275.894,-27.789,-136.251,-28.707,-18.196,-2.256,280.249,71.366,147.182,28.726,-1.199,-0.245,1.27,0.655,0.134,0.208,-0.447,0.064
65,14.976,-3.601,275.474,-30.857,-134.518,-23.867,-17.837,-2.39,279.38,65.129,147.235,26.942,-1.186,-0.271,1.275,0.601,0.134,0.168,-0.444,0.073
66,15.161,-2.571,274.147,-27.784,-136.378,-20.326,-18.56,-1.502,279.831,74.35,145.492,28.253,-1.208,-0.248,1.255,0.68,0.153,0.221,-0.441,0.081
67,15.487,-1.081,273.727,-30.853,-134.645,-22.977,-18.289,-0.725,278.534,65.056,143.795,26.53,-1.193,-0.282,1.246,0.596,0.137,0.161,-0.438,0.09
68,15.128,-1.101,272.876,-30.806,-131.157,-24.287,-18.421,-1.079,278.962,68.114,145.546,28.306,-1.166,-0.283,1.26,0.624,0.187,0.176,-0.434,0.098
69,15.119,-1.776,273.32,-33.996,-129.368,-27.014,-18.409,-1.403,278.511,58.893,147.289,24.343,-1.147,-0.309,1.278,0.542,0.184,0.12,-0.43,0.107
