"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,12.991,-1.993,275.203,73.45,-103.886,-28.772,-17.019,-1.865,274.76,85.057,172.965,30.274,-0.912,0.685,1.538,0.793,0.303,0.739,0.02,-0.021
2,12.404,-1.953,276.075,79.75,-103.794,-27.354,-17.062,-1.952,274.76,85.057,172.965,29.157,-0.91,0.741,1.537,0.793,0.283,0.767,0.031,-0.031
3,13.12,-1.501,275.631,82.939,-105.582,-24.565,-16.71,-2.264,274.76,85.057,172.965,26.058,-0.926,0.77,1.539,0.794,0.287,0.782,0.042,-0.04
4,12.709,-1.567,274.758,76.639,-105.675,-25.339,-17.155,-2.722,274.76,85.057,172.965,29.467,-0.931,0.714,1.537,0.796,0.303,0.755,0.053,-0.049
5,13.036,-1.907,275.21,79.871,-103.849,-27.107,-16.791,-2.314,274.76,85.057,172.965,29.19,-0.911,0.744,1.538,0.795,0.303,0.769,0.064,-0.058
6,12.673,-1.908,274.328,79.754,-103.92,-27.717,-17.016,-2.671,274.76,85.057,172.965,32.402,-0.916,0.745,1.538,0.796,0.321,0.771,0.075,-0.067
7,12.862,-2.084,274.758,76.639,-105.675,-28.364,-17.185,-2.716,274.318,81.879,174.769,34.143,-0.93,0.716,1.556,0.768,0.303,0.742,0.087,-0.075
8,12.759,-2.134,274.328,79.754,-103.92,-24.048,-16.657,-2.503,273.891,78.821,173.018,30.198,-0.916,0.746,1.544,0.74,0.304,0.743,0.098,-0.083
9,12.666,-2.288,275.21,79.871,-103.849,-33.45,-17.05,-2.359,273.891,78.821,173.018,28.803,-0.913,0.745,1.543,0.739,0.285,0.742,0.11,-0.091
10,13.305,-1.906,275.21,79.871,-103.849,-26.465,-16.57,-2.406,273.891,78.821,173.018,30.987,-0.91,0.744,1.545,0.74,0.287,0.742,0.122,-0.099
11,12.762,-1.866,275.21,79.871,-103.849,-25.396,-16.751,-2.266,274.796,78.683,169.338,32.065,-0.912,0.744,1.505,0.735,0.287,0.74,0.133,-0.106
12,12.972,-2.007,275.21,79.871,-103.849,-29.564,-16.964,-2.354,273.891,78.821,173.018,26.671,-0.911,0.744,1.543,0.739,0.285,0.742,0.145,-0.113
13,12.902,-2.343,275.631,82.939,-105.582,-28.052,-17.049,-2.709,273.891,78.821,173.018,30.271,-0.926,0.773,1.543,0.741,0.268,0.757,0.156,-0.12
14,12.627,-1.821,275.654,76.681,-102.061,-27.367,-16.781,-2.531,273.891,78.821,173.018,28.188,-0.895,0.713,1.544,0.74,0.284,0.727,0.167,-0.127
15,12.768,-2.076,276.505,76.635,-105.548,-27.861,-16.74,-2.084,274.354,75.505,171.142,32.058,-0.924,0.711,1.524,0.707,0.251,0.709,0.178,-0.133
