"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,24.462,-7.301,390.104,619.383,-352.353,-111.73,-26.321,2.261,336.429,620.742,102.579,152.751,-2.232,4.052,0.697,4.68,-1.72,4.342,-0.005,-0.007
2,24.399,-7.498,390.535,616.268,-354.108,-109.05,-26.404,2.569,336.893,617.426,100.702,150.86,-2.241,4.027,0.682,4.648,-1.73,4.315,-0.01,-0.014
3,24.276,-7.082,390.527,609.847,-354.145,-110.741,-26.488,1.939,337.311,614.442,102.391,150.872,-2.241,3.985,0.693,4.621,-1.717,4.28,-0.015,-0.02
4,24.186,-6.891,391.423,609.889,-350.53,-110.682,-26.174,2.028,337.765,605.084,100.453,149.832,-2.213,3.975,0.679,4.544,-1.715,4.239,-0.019,-0.027
5,24.155,-7.506,391.003,606.82,-348.798,-104.083,-26.344,2.211,338.67,604.946,96.773,147.003,-2.204,3.961,0.649,4.531,-1.7,4.225,-0.024,-0.033
6,23.951,-7.835,391.457,597.447,-347.031,-110.102,-26.122,1.725,338.265,595.395,94.95,147.027,-2.191,3.897,0.637,4.466,-1.713,4.16,-0.028,-0.04
7,23.968,-7.812,391.481,591.189,-343.509,-109.932,-26.295,1.184,337.824,592.217,96.753,151.991,-2.168,3.856,0.65,4.449,-1.703,4.131,-0.032,-0.047
8,24.064,-8.003,390.609,584.889,-343.602,-109.458,-26.379,0.786,336.991,579.607,93.18,148.733,-2.173,3.824,0.625,4.366,-1.719,4.075,-0.036,-0.054
9,23.71,-8.72,390.632,578.631,-340.08,-110.254,-26.394,0.78,336.991,579.607,93.18,149.374,-2.151,3.785,0.625,4.366,-1.708,4.054,-0.04,-0.061
10,23.36,-8.309,389.76,572.331,-340.173,-106.974,-26.295,0.877,337.851,579.8,93.065,147.34,-2.157,3.751,0.623,4.356,-1.682,4.032,-0.044,-0.069
11,23.761,-8.689,389.784,566.073,-336.651,-107.587,-26.289,1.055,337.41,576.622,94.869,149.505,-2.133,3.711,0.637,4.338,-1.671,4.002,-0.048,-0.077
12,23.314,-8.528,389.784,566.073,-336.651,-109.582,-26.167,1.225,338.279,582.858,94.816,150.545,-2.134,3.711,0.635,4.373,-1.656,4.018,-0.051,-0.086
13,23.628,-8.624,389.784,566.073,-336.651,-108.692,-26.11,1.142,338.279,582.858,94.816,150.955,-2.133,3.711,0.636,4.373,-1.655,4.019,-0.054,-0.095
14,23.807,-7.796,392.379,578.627,-339.953,-111.409,-26.299,1.237,338.72,586.036,93.012,149.536,-2.14,3.765,0.621,4.391,-1.7,4.055,-0.057,-0.104
15,24.184,-7.426,392.345,591.068,-343.453,-107.974,-25.946,1.092,338.72,586.036,93.012,148.46,-2.162,3.845,0.622,4.391,-1.711,4.098,-0.06,-0.113
16,23.66,-6.831,392.773,600.558,-345.149,-108.869,-26.253,1.596,339.161,589.214,91.208,146.3,-2.172,3.901,0.606,4.408,-1.722,4.136,-0.063,-0.122
17,23.928,-6.969,393.18,603.701,-350.425,-109.322,-26.482,1.316,339.184,582.721,91.135,145.163,-2.203,3.918,0.605,4.36,-1.745,4.122,-0.066,-0.131
18,24.18,-7.418,392.298,603.584,-350.496,-112.884,-26.015,1.285,338.766,585.706,89.446,152.103,-2.208,3.927,0.595,4.388,-1.746,4.14,-0.068,-0.14
