"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,20.545,0.2,305.364,-323.936,-29.084,-29.302,-22.75,-4.478,405.281,-436.047,147.798,8.402,-0.175,-2.695,0.871,-2.722,2.028,-2.71,0,0.002
2,20.715,0.005,305.819,-333.309,-27.317,-30.852,-23.075,-4.621,404.389,-435.79,147.924,8.306,-0.159,-2.768,0.873,-2.726,2.015,-2.744,0,0.005
3,20.676,0.416,304.944,-327.004,-27.351,-30.09,-23.511,-4.215,403.543,-435.864,144.484,7.207,-0.16,-2.725,0.852,-2.733,2.007,-2.73,0,0.007
4,20.451,-0.243,305.819,-333.309,-27.317,-32.214,-23.023,-4.884,403.102,-439.042,146.288,7.226,-0.16,-2.768,0.865,-2.754,1.991,-2.76,0,0.01
5,20.969,-0.026,305.388,-330.194,-25.563,-26.994,-22.97,-4.978,402.674,-442.1,144.538,11.891,-0.144,-2.746,0.855,-2.776,1.995,-2.763,-0.001,0.013
6,20.686,0.339,305.388,-330.194,-25.563,-28.523,-22.843,-4.88,401.805,-448.336,144.591,10.107,-0.145,-2.747,0.858,-2.822,1.983,-2.79,-0.002,0.016
7,20.811,0.2,305.388,-330.194,-25.563,-31.447,-23.023,-5.059,401.805,-448.336,144.591,7.235,-0.145,-2.747,0.857,-2.822,1.983,-2.789,-0.002,0.019
8,21.032,-0.061,306.27,-330.078,-25.492,-28.3,-23.023,-4.882,401.805,-448.336,144.591,7.994,-0.143,-2.737,0.857,-2.822,1.967,-2.785,-0.003,0.022
9,21.08,-0.025,306.27,-330.078,-25.492,-29.084,-22.932,-5.194,402.269,-451.652,142.714,11.153,-0.143,-2.737,0.845,-2.839,1.966,-2.795,-0.005,0.024
10,20.842,-0.149,305.819,-333.309,-27.317,-30.409,-22.805,-4.665,401.818,-460.872,144.457,9.331,-0.159,-2.768,0.857,-2.902,1.969,-2.844,-0.006,0.027
11,20.931,0.066,307.114,-336.546,-29.016,-27.358,-23.137,-5.192,402.723,-461.01,140.777,7.238,-0.172,-2.784,0.831,-2.895,1.937,-2.847,-0.007,0.03
12,21.12,0.076,307.565,-333.314,-27.191,-29.461,-22.694,-5.24,402.723,-461.01,140.777,4.735,-0.156,-2.753,0.832,-2.895,1.935,-2.833,-0.009,0.032
13,21.023,0.295,307.986,-330.246,-28.923,-28.372,-22.742,-5.282,401.818,-460.872,144.457,7.59,-0.171,-2.725,0.857,-2.9,1.922,-2.824,-0.011,0.034
14,21.102,0.644,307.986,-330.246,-28.923,-26.993,-22.607,-5.281,402.282,-464.188,142.58,6.553,-0.17,-2.726,0.845,-2.918,1.922,-2.835,-0.013,0.036
15,20.671,0.391,307.986,-330.246,-28.923,-29.713,-22.919,-5.458,402.282,-464.188,142.58,4.745,-0.172,-2.725,0.844,-2.917,1.921,-2.834,-0.015,0.038
16,20.991,0.567,308.868,-330.129,-28.853,-32.193,-22.609,-4.837,401.39,-463.931,142.707,10.134,-0.17,-2.717,0.847,-2.924,1.894,-2.834,-0.017,0.039
17,20.848,0.21,307.986,-330.246,-28.923,-31.099,-22.744,-5.322,401.854,-467.246,140.83,10.156,-0.171,-2.724,0.834,-2.94,1.909,-2.847,-0.02,0.041
18,21.069,0.492,308.868,-330.129,-28.853,-29.349,-22.959,-5.012,400.995,-467.439,140.945,11.454,-0.169,-2.716,0.836,-2.949,1.882,-2.848,-0.023,0.042
19,20.936,0.911,308.868,-330.129,-28.853,-29.091,-22.562,-5.146,400.567,-470.498,139.194,8.71,-0.17,-2.718,0.827,-2.971,1.87,-2.861,-0.026,0.044
20,20.856,0.974,309.312,-333.319,-27.064,-25.873,-22.741,-5.148,400.995,-467.439,140.945,9.384,-0.155,-2.74,0.837,-2.948,1.88,-2.858,-0.029,0.045
