"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,21.615,-0.532,342.2,-289.868,-70.611,-28.318,-21.538,-3.56,367.289,-319.728,131.125,20.219,-0.461,-2.15,0.849,-2.201,0.621,-2.177,-0.009,0.028
2,21.394,-0.887,342.644,-293.058,-68.822,-30.703,-21.72,-3.155,366.861,-322.786,129.375,19.146,-0.448,-2.17,0.837,-2.226,0.607,-2.199,-0.013,0.041
3,21.754,-0.305,342.621,-286.8,-72.344,-30.253,-21.768,-3.649,365.979,-316.486,129.562,21.985,-0.473,-2.125,0.84,-2.187,0.582,-2.157,-0.018,0.054
4,21.406,-0.337,342.652,-286.637,-68.786,-37.535,-21.634,-3.429,365.979,-316.486,129.562,21.975,-0.448,-2.124,0.841,-2.187,0.594,-2.157,-0.023,0.067
5,21.15,-0.619,341.746,-280.495,-72.378,-31.267,-21.238,-3.383,365.979,-316.486,129.562,19.157,-0.476,-2.083,0.842,-2.187,0.597,-2.137,-0.028,0.079
6,21.254,-0.361,341.746,-280.495,-72.378,-30.172,-21.583,-3.289,365.979,-316.486,129.562,21.993,-0.476,-2.084,0.841,-2.188,0.596,-2.137,-0.034,0.092
7,21.435,-0.277,342.198,-277.264,-70.553,-33.186,-21.409,-3.031,366.407,-313.428,131.313,22.008,-0.461,-2.057,0.852,-2.165,0.609,-2.113,-0.039,0.104
8,21.618,-0.103,342.628,-280.379,-72.307,-34.588,-21.546,-3.293,366.848,-310.25,129.509,23.061,-0.473,-2.078,0.839,-2.139,0.595,-2.11,-0.045,0.116
9,21.534,-0.588,341.777,-280.332,-68.82,-33.523,-21.899,-3.435,366.848,-310.25,129.509,19.106,-0.449,-2.082,0.838,-2.139,0.622,-2.111,-0.051,0.128
10,21.186,-0.746,341.347,-277.217,-67.065,-31.233,-21.723,-3.344,368.135,-306.998,131.145,17.711,-0.437,-2.061,0.846,-2.109,0.66,-2.086,-0.056,0.14
11,21.231,-0.211,340.902,-274.027,-68.854,-32.792,-21.634,-2.89,369.027,-307.255,131.018,19.913,-0.451,-2.041,0.844,-2.107,0.675,-2.075,-0.062,0.151
12,20.838,-0.527,340.451,-277.259,-70.679,-33.639,-22.033,-3.337,369.445,-310.24,132.708,19.524,-0.466,-2.067,0.853,-2.124,0.687,-2.097,-0.067,0.163
13,21.405,-0.326,339.576,-270.954,-70.713,-36.454,-22.247,-2.898,369.873,-307.182,134.458,18.38,-0.466,-2.026,0.864,-2.102,0.715,-2.065,-0.072,0.174
14,21.143,-0.515,339.146,-267.839,-68.959,-38.666,-21.765,-3.296,370.732,-306.988,134.344,17.783,-0.454,-2.004,0.862,-2.094,0.742,-2.051,-0.077,0.185
15,21.009,0.076,338.271,-261.535,-68.993,-31.507,-22.2,-3.017,372.483,-307.052,134.103,18.49,-0.456,-1.964,0.855,-2.086,0.781,-2.028,-0.081,0.196
16,21.424,0.041,338.271,-261.535,-68.993,-35.687,-22.913,-2.795,372.911,-303.994,135.853,20.893,-0.455,-1.964,0.864,-2.063,0.794,-2.016,-0.085,0.207
17,21.052,0.123,337.827,-258.345,-70.782,-33.63,-22.231,-2.795,373.375,-307.309,133.976,21.361,-0.47,-1.943,0.852,-2.083,0.796,-2.016,-0.089,0.218
18,20.609,-0.058,337.406,-261.413,-69.049,-32.186,-22.136,-2.97,373.793,-310.293,135.666,20.023,-0.459,-1.968,0.863,-2.101,0.821,-2.038,-0.092,0.229
19,20.792,0.104,336.962,-258.224,-70.837,-36.447,-22.34,-3.11,374.221,-307.235,137.416,15.991,-0.472,-1.947,0.874,-2.077,0.835,-2.015,-0.095,0.239
20,20.919,0.013,336.08,-258.34,-70.908,-38.183,-22.726,-2.88,374.675,-316.593,135.478,23.106,-0.474,-1.953,0.858,-2.139,0.849,-2.051,-0.097,0.25
21,20.664,0.163,335.649,-255.225,-69.154,-35.538,-22.281,-2.974,374.639,-310.22,139.106,16.022,-0.462,-1.932,0.884,-2.095,0.875,-2.018,-0.099,0.26
22,20.622,-0.162,334.809,-261.362,-65.688,-35.599,-22.325,-3.193,374.675,-316.593,135.478,18.874,-0.437,-1.982,0.859,-2.138,0.89,-2.064,-0.1,0.27
23,20.572,-0.209,333.913,-261.404,-69.302,-34.214,-22.682,-3.286,375.103,-313.535,137.229,21.651,-0.466,-1.988,0.869,-2.114,0.905,-2.055,-0.101,0.28
24,20.803,-0.387,332.61,-264.589,-67.64,-38.803,-22.635,-3.322,375.985,-319.835,137.041,23.153,-0.454,-2.019,0.866,-2.152,0.946,-2.09,-0.101,0.29
25,20.571,-0.783,332.61,-264.589,-67.64,-30.58,-23.064,-3.367,376.845,-319.642,136.927,21.345,-0.455,-2.018,0.862,-2.146,0.957,-2.086,-0.101,0.299
26,20.537,-0.074,331.738,-270.889,-67.733,-34.21,-22.585,-3.241,376.403,-322.82,138.731,18.447,-0.457,-2.074,0.877,-2.17,0.973,-2.125,-0.1,0.308
27,20.58,-0.314,332.19,-267.657,-65.908,-34.938,-22.448,-3.37,377.727,-325.941,136.739,20.696,-0.442,-2.046,0.861,-2.183,0.984,-2.119,-0.099,0.316
28,19.869,-0.261,331.769,-270.725,-64.175,-31.629,-22.794,-3.499,378.609,-332.241,136.552,21.79,-0.432,-2.072,0.856,-2.22,1.009,-2.151,-0.097,0.324
29,20.167,0.092,330.897,-277.025,-64.267,-34.125,-22.435,-3.415,378.609,-332.241,136.552,18.187,-0.433,-2.127,0.857,-2.22,1.024,-2.177,-0.095,0.332
30,19.91,-0.711,330.887,-270.842,-64.246,-35.63,-22.568,-3.728,379.491,-338.541,136.365,23.17,-0.433,-2.077,0.854,-2.256,1.036,-2.173,-0.092,0.339
31,19.881,-0.61,330.911,-277.1,-60.724,-32.513,-22.238,-4.032,379.491,-338.541,136.365,20.439,-0.406,-2.125,0.855,-2.255,1.049,-2.195,-0.089,0.345
32,20.042,-0.583,329.595,-280.21,-62.605,-29.386,-22.926,-3.855,379.05,-341.719,138.168,19.947,-0.422,-2.158,0.866,-2.28,1.065,-2.223,-0.085,0.351
33,19.746,-0.687,329.15,-277.021,-64.394,-33.391,-23.137,-3.667,379.909,-341.526,138.054,16.775,-0.437,-2.136,0.863,-2.274,1.078,-2.21,-0.081,0.357
