"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,24.394,-3.9,344.331,-32.442,-136.694,-69.274,-26.897,-1.321,362.792,-71.69,178.788,79.316,-0.938,-0.228,1.178,-0.498,0.446,-0.367,0.003,0.003
2,24.316,-4.03,343.879,-35.673,-138.519,-67.548,-27.216,-1.325,362.792,-71.69,178.788,86.732,-0.953,-0.252,1.177,-0.498,0.447,-0.378,0.004,0.005
3,24.259,-3.587,343.879,-35.673,-138.519,-70.631,-27.077,-1.053,362.779,-71.81,182.342,89.275,-0.953,-0.253,1.203,-0.5,0.459,-0.38,0.006,0.007
4,24.627,-3.674,343.435,-32.484,-140.308,-67.094,-27.09,-1.196,362.756,-65.316,182.415,83.225,-0.966,-0.23,1.203,-0.454,0.461,-0.345,0.007,0.01
5,24.444,-3.684,343.425,-26.3,-140.286,-65.102,-27.357,-0.964,362.756,-65.316,182.415,81.412,-0.967,-0.184,1.203,-0.455,0.461,-0.323,0.009,0.012
6,24.484,-3.416,343.005,-29.369,-138.554,-70.983,-27.125,-0.781,363.184,-62.258,184.166,87.516,-0.955,-0.208,1.214,-0.433,0.487,-0.324,0.011,0.015
7,24.708,-3.337,343.435,-32.484,-140.308,-69.983,-27.217,-0.962,363.197,-62.138,180.611,84.674,-0.966,-0.231,1.189,-0.432,0.461,-0.334,0.013,0.018
8,24.676,-3.629,343.425,-26.3,-140.286,-62.211,-27.434,-1.103,363.625,-59.08,182.362,89.648,-0.966,-0.184,1.199,-0.41,0.474,-0.3,0.015,0.021
9,24.796,-3.855,343.005,-29.369,-138.554,-67.894,-27.304,-0.92,363.625,-59.08,182.362,88.523,-0.954,-0.206,1.199,-0.41,0.488,-0.311,0.017,0.024
10,24.738,-3.648,342.56,-26.179,-140.342,-65.022,-27.266,-0.753,362.743,-52.78,182.549,87.48,-0.969,-0.184,1.204,-0.368,0.476,-0.278,0.019,0.027
11,24.712,-3.531,342.13,-23.064,-138.588,-64.499,-27.301,-1.196,363.171,-49.722,184.3,91.404,-0.957,-0.161,1.215,-0.344,0.502,-0.255,0.022,0.031
12,24.615,-3.755,342.13,-23.064,-138.588,-73.24,-27.405,-0.832,364.076,-49.859,180.619,87.162,-0.957,-0.16,1.186,-0.346,0.503,-0.256,0.024,0.035
13,24.611,-3.651,342.13,-23.064,-138.588,-63.341,-27.365,-0.659,363.171,-49.722,184.3,86.712,-0.957,-0.161,1.214,-0.346,0.502,-0.256,0.027,0.039
14,24.443,-3.508,341.676,-13.691,-140.355,-66.285,-27.314,-1.106,364.04,-43.486,184.246,88.57,-0.972,-0.092,1.211,-0.3,0.516,-0.199,0.029,0.043
15,24.605,-3.314,342.106,-16.806,-142.109,-71.7,-27.305,-0.651,364.04,-43.486,184.246,87.899,-0.983,-0.115,1.211,-0.302,0.503,-0.211,0.032,0.048
16,24.86,-3.191,343.002,-16.764,-138.495,-68.55,-27.048,-0.698,363.576,-40.17,186.123,83.302,-0.953,-0.115,1.227,-0.279,0.501,-0.199,0.034,0.053
17,24.771,-3.314,342.106,-16.806,-142.109,-69.676,-27.371,-0.522,363.576,-40.17,186.123,89.968,-0.983,-0.115,1.226,-0.279,0.503,-0.2,0.037,0.058
18,24.705,-3.299,342.558,-13.574,-140.284,-69.53,-27.23,-0.347,363.576,-40.17,186.123,89.651,-0.968,-0.091,1.226,-0.28,0.502,-0.188,0.04,0.063
19,24.864,-3.472,342.127,-10.459,-138.529,-69.641,-27.043,-0.338,364.04,-43.486,184.246,88.318,-0.956,-0.068,1.212,-0.302,0.516,-0.189,0.043,0.068
20,24.538,-3.502,343.002,-16.764,-138.495,-71.289,-27.184,-0.392,363.576,-40.17,186.123,86.076,-0.954,-0.114,1.226,-0.28,0.501,-0.199,0.046,0.074
21,24.526,-3.644,342.978,-10.506,-142.016,-67.472,-27.001,-0.519,364.04,-43.486,184.246,85.814,-0.98,-0.067,1.212,-0.302,0.489,-0.188,0.048,0.08
22,24.486,-3.73,342.55,-19.996,-140.321,-67.045,-27.179,-0.523,364.481,-40.308,182.442,86.466,-0.969,-0.137,1.198,-0.279,0.502,-0.211,0.051,0.086
23,24.529,-3.243,343.002,-16.764,-138.495,-69.977,-27.585,-0.708,363.576,-40.17,186.123,89.575,-0.954,-0.115,1.225,-0.279,0.5,-0.199,0.054,0.091
24,24.525,-3.122,342.558,-13.574,-140.284,-71.011,-27.083,-0.703,364.04,-43.486,184.246,88.624,-0.969,-0.092,1.212,-0.301,0.502,-0.2,0.057,0.097
25,24.758,-3.466,342.55,-19.996,-140.321,-70.553,-27.581,-0.609,363.612,-46.544,182.496,86.795,-0.968,-0.138,1.2,-0.323,0.489,-0.234,0.059,0.103
26,24.488,-3.471,342.13,-23.064,-138.588,-65.72,-27.28,-0.389,364.04,-43.486,184.246,88.219,-0.958,-0.161,1.211,-0.302,0.515,-0.234,0.062,0.109
27,24.832,-3.29,342.582,-19.832,-136.762,-69.945,-26.997,-0.481,363.171,-49.722,184.3,86.768,-0.942,-0.137,1.215,-0.346,0.502,-0.245,0.065,0.115
28,24.483,-3.383,342.13,-23.064,-138.588,-71.265,-27.13,-0.788,363.612,-46.544,182.496,84.698,-0.958,-0.161,1.201,-0.323,0.502,-0.245,0.067,0.12
29,24.791,-3.653,342.574,-26.254,-136.799,-69.665,-27.495,-1.144,363.612,-46.544,182.496,81.734,-0.942,-0.184,1.2,-0.322,0.501,-0.255,0.07,0.126
30,24.523,-3.354,343.005,-29.369,-138.554,-67.855,-27.041,-0.646,363.171,-49.722,184.3,87.953,-0.955,-0.208,1.215,-0.346,0.488,-0.279,0.072,0.131
31,24.42,-3.562,342.584,-32.437,-136.821,-68.287,-27.126,-0.694,363.625,-59.08,182.362,83.998,-0.943,-0.23,1.2,-0.411,0.501,-0.323,0.075,0.136
32,24.303,-3.721,343.456,-26.137,-136.728,-65.008,-27.488,-1.181,363.625,-59.08,182.362,85.691,-0.941,-0.183,1.199,-0.409,0.486,-0.299,0.077,0.141
33,24.757,-3.935,343.879,-35.673,-138.519,-66.767,-27.308,-1.321,362.756,-65.316,182.415,88.915,-0.951,-0.252,1.203,-0.454,0.46,-0.356,0.079,0.145
34,24.285,-3.287,343.449,-32.558,-136.765,-65.682,-27.568,-1.231,363.22,-68.632,180.538,88.164,-0.941,-0.231,1.187,-0.477,0.473,-0.357,0.082,0.149
