"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,18.969,-0.121,284.162,753.687,-226.158,-77.715,-21.472,-1.039,287.197,817.171,141.634,84.649,-1.955,6.737,1.179,7.231,-0.319,6.985,0.002,0.006
2,19.582,-0.024,283.29,747.387,-226.251,-75.702,-21.398,-1.353,287.661,813.856,139.758,83.533,-1.96,6.701,1.16,7.191,-0.3,6.948,0.003,0.011
3,19.463,-0.057,283.314,741.129,-222.729,-76.343,-21.646,-0.848,288.543,807.556,139.57,87.55,-1.928,6.645,1.154,7.112,-0.268,6.88,0.005,0.017
4,19.679,-0.422,281.546,734.787,-226.436,-77.407,-21.773,-1.837,288.556,795.02,139.436,82.177,-1.973,6.63,1.153,7.004,-0.25,6.82,0.007,0.023
5,19.685,-0.768,281.142,719.039,-221.219,-78.177,-21.808,-2.325,289.88,791.898,137.445,84.32,-1.929,6.499,1.13,6.947,-0.201,6.726,0.01,0.029
6,19.11,-1.042,280.7,709.625,-223.066,-76.93,-22.034,-2.412,289.893,779.361,137.311,83.207,-1.951,6.425,1.128,6.837,-0.202,6.634,0.013,0.034
7,18.82,-1.019,281.575,703.32,-223.032,-73.231,-22.014,-2.627,292.085,769.82,138.687,81.506,-1.945,6.348,1.131,6.703,-0.169,6.529,0.016,0.039
8,19.092,-1.186,281.568,696.898,-223.069,-76.915,-21.826,-2.729,293.385,760.536,140.189,85.034,-1.945,6.291,1.14,6.594,-0.136,6.445,0.02,0.042
9,19.381,-1.928,282.88,693.9,-224.752,-77.6,-22.045,-2.895,293.385,760.536,140.189,82.57,-1.95,6.237,1.139,6.594,-0.169,6.419,0.024,0.045
10,18.923,-1.644,283.769,687.521,-221.175,-71.477,-21.766,-2.988,294.695,757.294,141.752,84.019,-1.913,6.16,1.149,6.537,-0.138,6.352,0.029,0.046
11,19.577,-1.639,284.175,690.664,-226.451,-68.56,-22.354,-2.754,294.695,757.294,141.752,79.712,-1.955,6.179,1.147,6.536,-0.168,6.361,0.033,0.047
12,19.787,-1.296,284.606,687.549,-228.206,-67.472,-22.395,-2.666,295.136,760.472,139.948,84.397,-1.967,6.141,1.129,6.554,-0.183,6.351,0.039,0.046
13,19.754,-1.424,283.272,684.2,-230.103,-70.123,-22.267,-2.576,294.695,757.294,141.752,85.45,-1.994,6.14,1.147,6.536,-0.166,6.342,0.044,0.044
14,19.574,-1.405,281.963,687.511,-231.947,-74.201,-22.122,-2.346,293.826,751.058,141.805,84.005,-2.02,6.198,1.151,6.5,-0.166,6.352,0.049,0.042
15,19.454,-1.009,280.661,684.326,-230.285,-71.466,-21.692,-2.403,293.398,747.999,140.055,80.845,-2.015,6.197,1.139,6.484,-0.149,6.343,0.055,0.039
16,19.093,-0.942,281.105,681.137,-228.496,-71.499,-21.414,-2.349,292.993,738.448,138.231,81.968,-1.997,6.158,1.126,6.41,-0.166,6.286,0.06,0.035
17,19.356,-0.85,280.684,678.069,-226.764,-72.813,-21.28,-2.657,292.124,732.212,138.285,78.359,-1.983,6.139,1.13,6.376,-0.167,6.26,0.066,0.03
18,18.954,-0.773,279.812,671.769,-226.856,-70.319,-21.063,-3.026,290.791,729.291,140.215,78.692,-1.992,6.101,1.153,6.381,-0.169,6.243,0.072,0.024
19,19.553,-0.835,280.687,665.464,-226.822,-73.515,-21.097,-3.426,291.697,729.153,136.534,82.264,-1.983,6.025,1.117,6.361,-0.183,6.196,0.077,0.018
20,19.231,-1.267,279.836,665.51,-223.335,-73.653,-21.144,-3.208,292.542,729.227,139.974,84.366,-1.959,6.045,1.144,6.342,-0.119,6.197,0.083,0.011
21,19.321,-1.348,279.815,659.164,-226.915,-70.821,-21.093,-3.243,293.006,725.912,138.097,82.315,-1.991,5.988,1.126,6.304,-0.133,6.15,0.089,0.003
22,19.441,-1.711,280.259,655.974,-225.126,-69.915,-21.393,-3.375,293.425,722.927,139.787,84.463,-1.971,5.951,1.138,6.269,-0.119,6.114,0.095,-0.005
23,19.264,-1.504,280.69,652.859,-226.881,-71.933,-21.435,-3.644,295.199,716.37,139.473,84.113,-1.985,5.913,1.128,6.176,-0.101,6.048,0.101,-0.015
24,19.234,-1.824,281.585,652.901,-223.267,-71.119,-21.664,-3.738,295.64,719.548,137.669,85.805,-1.946,5.896,1.11,6.195,-0.102,6.049,0.107,-0.025
25,18.873,-1.638,282.436,652.854,-226.754,-71.19,-21.931,-3.506,296.031,728.98,143.047,86.938,-1.973,5.877,1.154,6.267,-0.104,6.076,0.114,-0.035
26,18.947,-1.773,283.729,662.223,-228.394,-75.058,-21.657,-3.642,296.018,741.516,143.181,86.617,-1.978,5.935,1.156,6.375,-0.135,6.159,0.12,-0.047
27,19.089,-1.29,284.178,678.059,-226.51,-74.455,-21.494,-3.119,295.136,747.816,143.368,88.038,-1.958,6.065,1.162,6.446,-0.152,6.259,0.126,-0.058
28,19.01,-0.826,284.598,681.127,-228.243,-71.438,-21.543,-2.357,294.254,754.116,143.555,85.858,-1.97,6.082,1.167,6.517,-0.185,6.303,0.132,-0.07
29,19.323,-0.403,284.152,696.922,-229.973,-73.996,-21.334,-2.094,293.8,763.474,145.493,87.658,-1.988,6.231,1.186,6.608,-0.184,6.422,0.138,-0.081
30,19.408,-0.136,283.277,703.226,-230.007,-75.977,-21.206,-1.551,292.941,775.937,142.187,89.497,-1.994,6.306,1.161,6.733,-0.198,6.523,0.144,-0.091
31,19.545,-0.141,281.974,700.041,-228.345,-76.979,-20.949,-1.246,291.631,779.178,140.624,86.267,-1.988,6.306,1.154,6.791,-0.198,6.553,0.149,-0.101
32,19.764,-0.374,279.379,687.488,-225.043,-70.018,-21.357,-1.204,291.167,782.493,142.501,86.227,-1.976,6.252,1.17,6.83,-0.134,6.547,0.155,-0.11
33,19.627,-1.03,278.063,684.378,-226.924,-72.808,-21.165,-1.473,289.429,770.021,142.608,86.197,-2.003,6.255,1.179,6.763,-0.151,6.514,0.16,-0.119
34,19.59,-1.172,276.763,668.588,-225.321,-74.973,-20.985,-1.788,289.037,760.589,137.231,84.365,-1.997,6.14,1.134,6.69,-0.15,6.421,0.165,-0.126
35,19.326,-1.303,277.217,659.215,-223.554,-72.605,-21.016,-2.75,290.36,744.811,138.66,84.831,-1.979,6.045,1.141,6.525,-0.118,6.29,0.17,-0.134
36,18.882,-1.12,277.671,649.842,-221.787,-74.488,-21.148,-3.022,291.697,729.153,136.534,83.703,-1.961,5.948,1.117,6.359,-0.103,6.159,0.175,-0.141
37,18.785,-1.388,278.99,640.348,-219.965,-76.715,-21.58,-3.415,293.461,716.553,136.16,81.93,-1.936,5.835,1.106,6.214,-0.088,6.029,0.18,-0.149
38,18.974,-2.08,279.865,634.043,-219.93,-79.611,-21.643,-3.497,295.248,697.46,135.712,83.408,-1.928,5.762,1.095,6.012,-0.071,5.89,0.185,-0.157
39,18.728,-2.138,279.844,627.697,-223.511,-73.267,-21.815,-3.94,296.571,694.338,133.721,83.419,-1.962,5.705,1.072,5.96,-0.069,5.836,0.19,-0.166
40,18.627,-2.078,281.17,624.624,-221.651,-72.593,-21.944,-3.715,297.871,685.054,135.223,86.982,-1.936,5.65,1.08,5.854,-0.055,5.755,0.195,-0.177
41,18.825,-2.446,280.312,618.249,-218.2,-77.854,-21.933,-3.893,299.181,681.812,136.786,81.982,-1.91,5.611,1.089,5.801,0.01,5.709,0.2,-0.188
42,19.085,-2.698,280.322,612.066,-218.222,-78.687,-21.756,-3.756,299.636,672.454,134.848,81.647,-1.909,5.556,1.071,5.713,0.011,5.637,0.205,-0.2
43,18.878,-2.167,279.891,615.181,-216.468,-75.381,-21.8,-3.795,299.672,666.081,131.221,79.544,-1.897,5.59,1.04,5.658,0.012,5.625,0.211,-0.214
44,18.482,-1.77,280.742,615.134,-219.955,-72.547,-21.71,-3.937,300.1,669.139,132.971,83.431,-1.924,5.572,1.054,5.676,-0.005,5.626,0.217,-0.229
45,18.76,-2.413,280.322,612.066,-218.222,-74.232,-21.535,-3.976,299.231,662.903,133.024,83.841,-1.911,5.555,1.058,5.64,-0.005,5.599,0.222,-0.244
46,18.772,-2.225,281.17,624.624,-221.651,-80.04,-21.31,-3.667,297.479,662.966,133.265,83.104,-1.936,5.651,1.067,5.673,-0.07,5.662,0.228,-0.26
47,18.734,-2.034,281.612,634.039,-219.804,-74.771,-21.642,-3.613,296.584,681.802,133.587,82.399,-1.916,5.726,1.072,5.851,-0.088,5.79,0.234,-0.277
48,18.948,-1.53,281.588,640.296,-223.325,-80.824,-21.507,-2.69,295.238,691.418,135.651,80.194,-1.947,5.781,1.095,5.957,-0.12,5.871,0.24,-0.294
49,18.955,-0.978,280.713,646.601,-223.359,-75.009,-21.305,-2.74,293.46,703.898,139.58,83.732,-1.954,5.854,1.136,6.102,-0.121,5.981,0.245,-0.311
50,19.489,-0.412,279.839,652.906,-223.393,-74.603,-21.056,-2.293,293.02,713.375,137.963,85.152,-1.958,5.928,1.125,6.192,-0.118,6.063,0.25,-0.327
51,19.364,-0.854,275.473,646.615,-223.74,-70.093,-21.262,-1.757,292.565,722.734,139.901,85.544,-1.993,5.965,1.143,6.281,-0.034,6.128,0.255,-0.343
52,18.875,-1.577,273.308,630.947,-222.192,-78.016,-20.554,-2.349,291.696,716.497,139.955,85.951,-1.996,5.869,1.149,6.247,0,6.064,0.259,-0.357
53,19.234,-2.38,273.755,615.153,-220.462,-76.722,-20.855,-2.838,292.556,716.691,139.84,85.903,-1.976,5.716,1.144,6.232,0.015,5.983,0.264,-0.372
