"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,17.35,-5.06,298.682,410.297,-221.38,-62.076,-18.673,-0.476,282.847,412.319,139.735,97.39,-1.825,3.506,1.189,3.704,-0.67,3.603,-0.012,0.017
2,17.213,-4.786,299.108,432.392,-223.018,-66.741,-18.586,-0.196,282.383,415.635,141.612,101.019,-1.837,3.688,1.209,3.739,-0.686,3.713,-0.017,0.025
3,17.326,-3.906,299.525,448.064,-224.692,-65.681,-18.632,0.161,281.046,431.293,143.737,100.689,-1.848,3.813,1.233,3.897,-0.72,3.854,-0.023,0.033
4,17.484,-3.509,299.943,463.737,-226.366,-66.728,-18.339,0.555,280.569,447.144,145.748,98.52,-1.859,3.939,1.255,4.046,-0.735,3.991,-0.028,0.042
5,17.578,-3.184,298.201,482.768,-226.397,-68.35,-18.801,0.993,279.674,465.98,146.069,96.337,-1.87,4.123,1.26,4.229,-0.721,4.174,-0.034,0.051
6,17.805,-2.364,297.327,489.073,-226.431,-66.402,-18.05,1.611,278.337,481.638,148.194,98.851,-1.875,4.186,1.288,4.39,-0.722,4.284,-0.04,0.062
7,17.608,-1.755,295.601,495.424,-222.978,-69.464,-18.143,2.328,277.919,484.623,146.505,98.861,-1.857,4.263,1.274,4.421,-0.692,4.339,-0.046,0.074
8,17.515,-1.399,294.705,495.382,-226.592,-73.73,-18.01,2.361,277.478,494.101,144.889,100.992,-1.894,4.274,1.262,4.515,-0.707,4.391,-0.051,0.087
9,17.435,-1.722,293.006,482.871,-219.676,-71.877,-18.017,2.278,277.897,491.116,146.578,107.415,-1.845,4.192,1.276,4.481,-0.629,4.332,-0.057,0.101
10,17.627,-3.698,289.938,460.739,-221.78,-71.842,-18.087,1.615,278.779,484.816,146.39,99.274,-1.882,4.049,1.27,4.412,-0.562,4.227,-0.062,0.117
11,16.786,-5.069,289.991,423.014,-214.854,-69.808,-18.571,0.636,281.876,475.137,144.086,103.159,-1.824,3.723,1.233,4.279,-0.479,3.997,-0.067,0.133
12,16.979,-6.111,290.87,391.5,-214.937,-71.336,-18.961,0.903,284.5,462.731,143.596,97.727,-1.819,3.44,1.216,4.128,-0.445,3.78,-0.071,0.149
13,16.797,-6.671,293.495,372.586,-214.835,-69.604,-19.587,0.201,286.264,450.131,143.221,96.301,-1.802,3.247,1.203,3.993,-0.461,3.616,-0.074,0.164
14,16.835,-6.611,295.268,353.719,-211.245,-66.765,-19.824,-0.101,288.028,437.531,142.847,95.275,-1.76,3.065,1.192,3.859,-0.445,3.457,-0.077,0.178
15,16.694,-6.79,295.722,344.346,-209.478,-70.476,-19.784,-0.06,288.91,431.232,142.659,99.535,-1.743,2.981,1.186,3.791,-0.429,3.381,-0.079,0.19
16,16.871,-5.753,296.142,347.414,-211.211,-65.976,-19.815,-0.049,289.351,421.754,144.276,94.957,-1.755,2.999,1.199,3.702,-0.428,3.347,-0.081,0.201
17,17.051,-5.481,296.119,353.672,-214.733,-68.774,-19.774,-0.196,288.923,418.695,142.525,101.321,-1.785,3.052,1.185,3.682,-0.458,3.363,-0.082,0.21
18,17.049,-5.37,295.22,366.235,-218.288,-62.73,-19.825,0.034,287.6,421.817,144.516,96.346,-1.821,3.169,1.208,3.725,-0.475,3.444,-0.083,0.218
19,17.683,-4.779,295.218,378.839,-218.23,-62.414,-19.704,0.115,286.3,431.102,143.015,100.191,-1.818,3.276,1.201,3.824,-0.507,3.546,-0.083,0.225
20,17.888,-4.63,295.191,397.702,-221.693,-63.506,-19.658,0.421,284.048,440.854,148.759,102.292,-1.847,3.438,1.262,3.941,-0.543,3.684,-0.084,0.231
21,17.937,-3.829,295.606,425.98,-223.308,-61.542,-19.542,0.597,283.153,459.69,149.081,104.117,-1.858,3.673,1.269,4.122,-0.574,3.893,-0.084,0.237
22,17.356,-2.594,295.588,451.264,-226.734,-65.403,-19.555,1.08,281.817,475.348,151.206,105.181,-1.89,3.886,1.294,4.28,-0.608,4.079,-0.084,0.243
23,17.679,-2.024,297.75,479.536,-228.223,-65.4,-19.114,2.027,280.898,488.022,155.02,103.459,-1.888,4.098,1.334,4.406,-0.656,4.247,-0.084,0.249
24,17.857,-1.651,298.175,501.631,-229.86,-66.657,-18.956,2.422,280.467,503.543,153.465,108.011,-1.898,4.279,1.323,4.552,-0.687,4.411,-0.084,0.257
25,17.677,-1.591,296.436,508.057,-229.95,-66.057,-18.685,2.816,279.585,509.842,153.652,102.034,-1.911,4.359,1.33,4.622,-0.672,4.486,-0.085,0.266
26,17.271,-2.265,292.934,501.645,-230.241,-66.024,-18.292,3.13,279.131,519.201,155.59,102.82,-1.938,4.357,1.351,4.713,-0.609,4.531,-0.086,0.277
27,17.723,-3.066,292.958,495.387,-226.719,-68.221,-18.742,3.086,279.572,522.379,153.786,105.977,-1.905,4.306,1.331,4.735,-0.592,4.515,-0.087,0.289
28,17.594,-2.605,293.381,485.851,-228.511,-65.719,-18.82,2.362,279.549,516.216,157.279,100.911,-1.919,4.215,1.362,4.682,-0.594,4.443,-0.087,0.302
