"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,16.084,5.089,276.894,555.562,-211.63,-111.66,-17.955,-7.081,298.223,507.288,167.071,64.31,-1.883,5.078,1.363,4.344,0.224,4.697,-0.004,0.047
2,16.134,5.105,277.314,558.63,-213.363,-113.338,-17.86,-7.17,297.782,504.11,168.875,63.606,-1.896,5.098,1.381,4.324,0.208,4.697,-0.006,0.071
3,16.054,4.978,277.317,546.025,-213.422,-110.248,-17.502,-7.477,297.808,491.694,165.187,62.605,-1.897,4.983,1.351,4.219,0.192,4.587,-0.009,0.094
4,15.964,3.639,275.583,527.242,-213.629,-116.588,-18.036,-8.146,297.38,475.979,166.857,67.809,-1.911,4.846,1.365,4.093,0.224,4.455,-0.011,0.117
5,15.678,2.921,274.737,502.08,-210.259,-117.437,-17.668,-8.674,296.133,447.775,161.399,63.563,-1.887,4.631,1.325,3.87,0.208,4.236,-0.013,0.139
6,15.464,1.373,274.29,473.639,-212.202,-120.339,-17.529,-10.013,293.993,407.172,159.487,56.727,-1.909,4.381,1.319,3.552,0.157,3.952,-0.015,0.159
7,15.409,0.983,276.066,442.167,-208.671,-120.451,-17.452,-11.16,293.605,366.505,157.335,57.82,-1.864,4.065,1.302,3.208,0.12,3.623,-0.017,0.178
8,15.874,0.777,279.142,426.484,-206.743,-114.164,-18.059,-12.041,294.977,331.818,155.003,54.107,-1.825,3.878,1.274,2.898,0.083,3.374,-0.02,0.193
9,16.158,0.855,282.617,407.523,-210.128,-114.532,-17.774,-12.619,296.327,303.623,152.744,53.107,-1.832,3.66,1.25,2.645,0.016,3.14,-0.023,0.205
10,16.599,1.04,284.366,394.914,-210.06,-114.544,-17.804,-12.707,296.794,281.729,150.672,53.47,-1.818,3.524,1.23,2.453,-0.017,2.977,-0.026,0.214
11,16.499,1.083,285.685,385.42,-208.237,-111.388,-17.658,-12.782,296.402,259.641,148.715,50.987,-1.794,3.423,1.215,2.268,-0.051,2.835,-0.03,0.218
12,16.67,1.615,286.56,379.115,-208.203,-113.501,-17.511,-12.822,296.415,247.105,148.581,50.322,-1.788,3.355,1.215,2.16,-0.068,2.747,-0.034,0.219
13,16.776,2.227,288.737,375.995,-209.831,-110.9,-17.598,-11.834,296.834,244.121,150.27,50.273,-1.788,3.3,1.227,2.128,-0.102,2.706,-0.039,0.216
14,16.986,1.897,288.727,382.179,-209.809,-113.202,-17.821,-11.076,297.712,256.4,150.278,51.747,-1.787,3.356,1.223,2.224,-0.084,2.781,-0.044,0.21
15,16.977,1.441,288.304,391.715,-208.018,-113.235,-17.56,-10.545,298.127,271.994,152.162,53.208,-1.774,3.446,1.238,2.352,-0.051,2.89,-0.05,0.201
16,16.759,1.642,287.836,401.163,-213.328,-107.901,-17.671,-9.523,298.519,294.082,154.119,56.428,-1.825,3.534,1.253,2.534,-0.05,3.025,-0.056,0.189
17,16.98,1.67,287.823,419.951,-213.248,-113.428,-17.664,-9.167,298.042,309.934,156.13,56.462,-1.823,3.7,1.272,2.672,-0.049,3.177,-0.062,0.176
18,16.652,2.643,286.946,438.86,-213.223,-114.046,-17.686,-8.997,297.574,331.828,158.202,53.567,-1.83,3.876,1.292,2.862,-0.033,3.36,-0.069,0.161
19,16.876,3.266,286.499,454.654,-214.953,-113.007,-17.751,-8.507,296.666,350.544,162.077,59.199,-1.847,4.019,1.328,3.03,-0.032,3.516,-0.075,0.146
20,16.816,4.442,285.622,473.564,-214.929,-116.484,-17.484,-7.936,297.044,385.168,164.169,56.831,-1.853,4.196,1.346,3.32,0.002,3.749,-0.082,0.131
21,16.826,4.97,283.849,492.431,-218.518,-114.856,-17.642,-6.51,295.29,403.811,164.604,58.574,-1.896,4.389,1.357,3.495,-0.012,3.933,-0.089,0.117
22,17.007,6.009,282.544,501.851,-216.798,-112.529,-17.793,-5.622,294.8,432.198,166.749,58.221,-1.889,4.49,1.377,3.743,0.021,4.109,-0.095,0.103
23,16.831,6.382,280.794,514.46,-216.866,-107.547,-17.357,-4.723,294.332,454.093,168.821,62.541,-1.902,4.631,1.398,3.935,0.056,4.275,-0.102,0.092
24,16.531,6.404,279.475,523.954,-218.689,-113.889,-17.464,-4.64,293.009,469.87,167.392,63.958,-1.929,4.739,1.392,4.089,0.041,4.406,-0.108,0.082
25,16.629,6.787,277.742,523.884,-215.272,-109.499,-17.206,-4.697,292.127,476.17,167.579,64.984,-1.909,4.767,1.399,4.156,0.075,4.454,-0.114,0.074
26,16.402,6.094,278.624,524.001,-215.201,-111.715,-17.283,-5.59,292.591,472.855,165.703,67.13,-1.903,4.755,1.38,4.124,0.058,4.432,-0.12,0.068
27,15.698,5.835,277.298,527.074,-217.061,-111.924,-17.056,-6.358,292.591,472.855,165.703,66.411,-1.932,4.807,1.381,4.126,0.076,4.458,-0.126,0.064
28,16.451,5.556,277.752,517.701,-215.294,-112.41,-17.142,-6.795,293.045,463.497,163.765,66.453,-1.91,4.714,1.362,4.04,0.076,4.368,-0.131,0.062
29,15.686,4.767,279.071,508.207,-213.471,-111.948,-17.494,-7.78,294.345,454.212,165.267,64.263,-1.887,4.608,1.367,3.946,0.088,4.268,-0.136,0.061
30,16.035,4.438,279.922,508.16,-216.959,-109.219,-17.625,-7.732,295.655,450.971,166.83,66.437,-1.912,4.595,1.374,3.9,0.089,4.238,-0.141,0.061
31,16.781,4.147,280.797,501.855,-216.925,-111.803,-17.972,-7.553,296.538,444.671,166.642,67.785,-1.903,4.525,1.367,3.834,0.089,4.17,-0.146,0.062
32,16.08,3.755,281.227,498.74,-218.679,-107.087,-17.829,-7.372,297.42,438.371,166.455,64.592,-1.918,4.491,1.362,3.768,0.088,4.12,-0.15,0.063
33,16.631,3.937,281.695,489.293,-213.369,-110.415,-17.471,-7.589,298.302,432.071,166.268,60.834,-1.865,4.398,1.358,3.704,0.12,4.041,-0.154,0.065
34,16.997,3.439,281.695,489.293,-213.369,-113.024,-17.651,-7.366,297.874,429.013,164.517,63.957,-1.864,4.4,1.344,3.683,0.104,4.031,-0.158,0.067
35,16.238,3.126,279.959,483.114,-213.517,-114.268,-17.5,-7.543,298.315,419.535,166.134,64.336,-1.879,4.372,1.356,3.597,0.153,3.972,-0.162,0.069
36,16.263,3.258,278.204,476.697,-213.681,-112.448,-17.77,-7.86,298.792,416.339,160.703,65.362,-1.893,4.341,1.307,3.565,0.172,3.939,-0.165,0.071
37,15.985,3.312,278.659,467.324,-211.914,-112.909,-17.719,-8.165,298.769,410.177,164.196,66.832,-1.874,4.248,1.337,3.514,0.185,3.868,-0.168,0.072
38,16.167,3.099,278.659,467.324,-211.914,-112.555,-17.625,-8.296,299.197,413.235,165.946,62.917,-1.874,4.249,1.35,3.536,0.202,3.879,-0.17,0.073
39,16.247,3.075,278.661,454.72,-211.973,-111.934,-18.163,-9.109,300.102,413.098,162.266,61.455,-1.874,4.134,1.313,3.526,0.202,3.819,-0.172,0.074
40,16.116,2.548,279.105,451.53,-210.184,-108.587,-18.165,-8.883,300.52,410.113,163.955,66.774,-1.855,4.1,1.326,3.496,0.216,3.787,-0.173,0.075
41,16.037,2.744,279.113,457.951,-210.147,-114.923,-17.989,-8.878,300.53,416.156,164.016,63.968,-1.855,4.158,1.327,3.546,0.217,3.841,-0.175,0.075
42,15.999,2.713,279.103,464.135,-210.125,-112.803,-18.075,-8.392,300.935,425.708,165.839,62.923,-1.855,4.214,1.34,3.621,0.233,3.906,-0.175,0.074
43,15.755,2.33,279.531,473.624,-211.821,-112.602,-18.22,-8.983,300.912,432.201,165.912,64.272,-1.869,4.295,1.341,3.678,0.216,3.975,-0.176,0.074
44,16.594,4.101,280.821,495.597,-213.403,-110.774,-18.134,-7.991,300.468,447.602,167.911,68.621,-1.871,4.468,1.36,3.81,0.185,4.128,-0.176,0.074
45,16.333,4.947,281.69,514.502,-213.252,-111.728,-17.967,-8.006,300.027,457.08,166.295,67.889,-1.865,4.622,1.349,3.896,0.153,4.247,-0.176,0.074
46,16.542,5.161,281.664,533.365,-216.714,-111.391,-17.535,-7.43,298.262,469.68,166.669,67.577,-1.896,4.792,1.361,4.024,0.106,4.397,-0.176,0.075
47,16.108,5.771,281.231,549.084,-214.901,-110.184,-17.495,-7.248,296.962,478.964,165.168,74.328,-1.884,4.939,1.354,4.121,0.09,4.519,-0.176,0.077
48,15.987,6.221,280.784,564.879,-216.631,-113.117,-17.226,-6.631,294.747,482.343,167.285,73.625,-1.903,5.088,1.384,4.179,0.058,4.622,-0.176,0.08
49,16.248,6.105,279.909,571.183,-216.665,-114.78,-17.104,-7.12,293.032,476.033,163.899,71.409,-1.908,5.161,1.363,4.15,0.027,4.644,-0.176,0.085
50,16.464,5.863,279.909,571.183,-216.665,-110.126,-17.322,-7.035,293.032,476.033,163.899,70.304,-1.908,5.162,1.362,4.15,0.027,4.645,-0.176,0.091
51,16.171,4.882,278.165,558.583,-216.851,-108.977,-17.229,-7.123,292.604,472.975,162.148,68.862,-1.922,5.083,1.349,4.13,0.044,4.594,-0.177,0.099
52,16.299,4.3,277.272,545.937,-220.524,-112.05,-17.01,-7.12,293.068,469.659,160.272,69.325,-1.962,4.986,1.332,4.095,0.047,4.528,-0.178,0.107
53,16.696,3.875,278.17,533.374,-216.968,-108.925,-17.009,-7.066,295.238,466.611,161.72,66.853,-1.921,4.856,1.334,4.038,0.095,4.435,-0.179,0.116
54,16.699,4.041,279.024,520.723,-220.514,-111.051,-17.802,-7.058,297.002,454.011,161.345,65.397,-1.948,4.726,1.321,3.906,0.094,4.303,-0.18,0.126
55,16.158,3.483,279.922,508.16,-216.959,-112.757,-17.751,-7.502,298.776,447.454,161.032,67.196,-1.911,4.599,1.31,3.829,0.124,4.201,-0.18,0.135
56,16.057,3.314,280.797,501.855,-216.925,-110.781,-17.782,-7.507,300.517,441.348,160.73,61.869,-1.905,4.528,1.3,3.755,0.139,4.128,-0.181,0.144
57,16.34,3.903,280.799,489.251,-216.983,-108.971,-17.964,-8.259,301.399,435.048,160.542,62.963,-1.905,4.412,1.294,3.693,0.156,4.04,-0.182,0.152
58,16.512,3.549,281.674,482.946,-216.949,-112.523,-18.265,-8.258,302.281,428.748,160.355,60.388,-1.898,4.342,1.288,3.63,0.154,3.973,-0.182,0.16
59,16.258,3.765,280.792,482.829,-217.02,-112.138,-18.254,-8.61,301.412,422.512,160.408,63.957,-1.905,4.354,1.292,3.589,0.155,3.958,-0.183,0.167
60,16.205,3.537,280.371,479.761,-215.287,-107.24,-18.083,-8.885,301.854,425.69,158.605,64.672,-1.893,4.334,1.275,3.611,0.171,3.959,-0.183,0.173
61,16.287,3.735,279.507,479.882,-215.343,-107.717,-18.093,-9.207,301.39,429.005,160.481,63.594,-1.899,4.348,1.293,3.646,0.188,3.983,-0.183,0.178
62,15.72,3.668,279.497,486.066,-215.321,-106.308,-18.091,-8.581,300.517,441.348,160.73,62.177,-1.901,4.404,1.299,3.759,0.171,4.07,-0.183,0.183
