"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,11.765,-1.571,294.033,258.326,-71.562,-105.239,-13.343,-3.353,315.66,-15.575,-34.575,104.69,-0.578,2.237,-0.32,-0.115,-0.039,1.019,-0.001,-0.005
2,11.947,-1.083,293.579,267.699,-73.329,-105.008,-13.832,-3.572,315.624,-9.201,-30.948,103.927,-0.594,2.32,-0.292,-0.063,-0.024,1.085,-0.002,-0.009
3,11.913,-1.053,293.134,270.889,-75.117,-108.331,-13.789,-2.903,315.683,-9.412,-38.068,103.161,-0.61,2.351,-0.35,-0.067,-0.052,1.097,-0.004,-0.012
4,11.792,-1.07,293.555,273.957,-76.85,-104.613,-13.702,-2.862,315.205,-6.217,-32.637,105.685,-0.625,2.374,-0.306,-0.041,-0.053,1.124,-0.005,-0.014
5,11.773,-1.317,294.458,280.42,-73.199,-105.982,-13.532,-2.637,315.61,3.335,-30.814,101.843,-0.592,2.423,-0.29,0.035,-0.039,1.188,-0.007,-0.016
6,12.221,-0.596,294.427,280.257,-76.757,-109.261,-13.573,-2.688,315.183,0.277,-32.564,108.184,-0.621,2.42,-0.305,0.011,-0.068,1.174,-0.009,-0.016
7,11.82,-1.217,294.434,286.678,-76.721,-107.669,-13.709,-3.223,315.192,6.32,-32.503,101.436,-0.622,2.477,-0.305,0.061,-0.069,1.228,-0.011,-0.015
8,11.999,-1.4,294.855,289.747,-78.453,-110.311,-13.844,-2.956,315.192,6.32,-32.503,106.664,-0.635,2.501,-0.305,0.06,-0.084,1.24,-0.013,-0.014
9,11.999,-1.142,295.296,299.161,-76.606,-106.244,-14.198,-2.684,315.597,15.871,-30.68,102.478,-0.618,2.577,-0.291,0.136,-0.07,1.316,-0.015,-0.012
10,12.172,-0.854,295.296,299.161,-76.606,-112.358,-13.672,-2.826,314.274,18.993,-28.689,102.865,-0.618,2.576,-0.275,0.162,-0.085,1.332,-0.018,-0.008
11,12.407,-0.825,294.852,302.351,-78.395,-109.183,-14.173,-2.825,314.715,22.171,-30.492,101.673,-0.633,2.607,-0.291,0.188,-0.084,1.358,-0.02,-0.004
12,12.225,-0.751,294.422,305.466,-76.64,-110.483,-13.773,-2.741,314.261,31.529,-28.555,107.793,-0.62,2.638,-0.274,0.263,-0.069,1.412,-0.023,0.001
13,11.856,-0.57,293.978,308.656,-78.429,-115.99,-14.039,-2.652,314.702,34.707,-30.358,103.514,-0.637,2.669,-0.289,0.288,-0.068,1.438,-0.026,0.007
14,12.396,-0.44,293.523,318.029,-80.196,-107.363,-13.909,-2.573,314.238,38.023,-28.482,106.659,-0.652,2.754,-0.274,0.315,-0.067,1.493,-0.028,0.015
15,11.956,-0.139,293.521,330.634,-80.137,-111.064,-13.867,-2.386,313.784,47.381,-26.544,106.373,-0.653,2.862,-0.259,0.391,-0.068,1.585,-0.031,0.023
16,12.09,-0.229,294.395,324.329,-80.103,-112.271,-14.004,-2.614,314.653,53.617,-26.597,108.458,-0.65,2.799,-0.259,0.441,-0.068,1.581,-0.034,0.032
17,11.872,-0.349,293.972,333.865,-78.312,-112.819,-14.13,-2.299,314.653,53.617,-26.597,107.807,-0.636,2.886,-0.259,0.44,-0.053,1.621,-0.037,0.042
18,12.17,0.008,294.393,336.933,-80.044,-113.128,-14.001,-2.303,315.094,56.795,-28.401,105.303,-0.649,2.907,-0.273,0.465,-0.067,1.645,-0.039,0.053
19,12.477,-0.416,294.393,336.933,-80.044,-116.833,-13.876,-2.086,315.058,63.169,-24.774,104.574,-0.648,2.908,-0.243,0.516,-0.051,1.672,-0.042,0.065
20,12.265,-0.438,295.244,336.887,-83.532,-111.157,-13.964,-2.031,315.522,59.853,-26.651,106.367,-0.677,2.9,-0.258,0.488,-0.081,1.654,-0.045,0.078
21,12.496,-0.23,294.393,336.933,-80.044,-113.97,-14.185,-2.3,314.64,66.153,-26.463,105.335,-0.648,2.908,-0.258,0.541,-0.067,1.685,-0.047,0.091
22,11.924,0.06,294.813,340.002,-81.777,-113.449,-14.198,-2.127,314.603,72.527,-22.836,105.981,-0.664,2.929,-0.229,0.592,-0.068,1.723,-0.05,0.106
23,12.37,-0.209,294.821,346.423,-81.74,-109.38,-14.101,-2.124,315.509,72.39,-26.517,106.738,-0.662,2.985,-0.258,0.589,-0.066,1.747,-0.053,0.121
24,12.58,-0.144,293.946,352.728,-81.774,-111.238,-13.867,-1.77,315.045,75.705,-24.64,104.989,-0.664,3.048,-0.242,0.616,-0.05,1.79,-0.055,0.136
25,12.717,-0.093,294.39,349.538,-79.986,-109.064,-14.062,-2.042,315.045,75.705,-24.64,106.38,-0.647,3.016,-0.243,0.617,-0.051,1.776,-0.058,0.153
26,11.699,0.271,293.938,346.306,-81.811,-114.881,-13.925,-1.998,313.721,78.827,-22.649,103.536,-0.667,2.992,-0.227,0.645,-0.068,1.78,-0.06,0.169
27,12.4,-0.058,294.366,355.796,-83.507,-115.413,-14.148,-1.998,314.59,85.063,-22.702,107.404,-0.679,3.07,-0.228,0.693,-0.066,1.842,-0.063,0.187
28,12.405,0.316,294.366,355.796,-83.507,-112.396,-13.931,-1.594,314.59,85.063,-22.702,106.048,-0.679,3.069,-0.227,0.692,-0.066,1.841,-0.065,0.204
29,12.068,-0.005,294.366,355.796,-83.507,-112.728,-14.295,-1.544,315.032,88.241,-24.506,105.642,-0.68,3.07,-0.243,0.716,-0.066,1.853,-0.067,0.223
30,12.152,0.182,294.818,359.028,-81.682,-113.396,-14.201,-1.95,315.459,91.299,-22.756,107.443,-0.663,3.093,-0.228,0.741,-0.051,1.877,-0.069,0.241
31,12.266,0.427,294.366,355.796,-83.507,-110.417,-13.889,-1.767,315.923,87.984,-24.632,105.73,-0.679,3.069,-0.242,0.713,-0.049,1.849,-0.072,0.26
32,12.458,0.537,294.808,365.211,-81.66,-111.81,-14.33,-1.998,315.459,91.299,-22.756,110.27,-0.661,3.145,-0.228,0.741,-0.051,1.902,-0.074,0.279
33,12.191,0.749,294.364,368.401,-83.449,-115.555,-14.201,-1.546,315.459,91.299,-22.756,108.527,-0.679,3.176,-0.228,0.74,-0.05,1.916,-0.076,0.299
34,12.292,0.458,293.943,365.332,-81.716,-110.937,-14.065,-1.865,315.459,91.299,-22.756,104.242,-0.664,3.155,-0.227,0.741,-0.035,1.906,-0.078,0.318
35,11.871,0.609,293.943,365.332,-81.716,-114.863,-14.199,-1.416,315.459,91.299,-22.756,105.973,-0.666,3.155,-0.228,0.74,-0.036,1.905,-0.079,0.338
36,12.245,0.528,294.364,368.401,-83.449,-107.934,-13.889,-1.544,315.459,91.299,-22.756,102.515,-0.679,3.177,-0.227,0.74,-0.05,1.916,-0.081,0.358
37,11.924,0.263,293.492,362.101,-83.541,-116.526,-14.109,-1.456,315.459,91.299,-22.756,102.867,-0.683,3.133,-0.228,0.74,-0.034,1.893,-0.083,0.377
38,11.738,-0.153,293.943,365.332,-81.716,-110.685,-14.063,-1.505,315.459,91.299,-22.756,103.529,-0.666,3.157,-0.227,0.74,-0.036,1.906,-0.084,0.397
39,12.38,-0.053,293.936,358.911,-81.753,-110.749,-13.796,-1.732,315.923,87.984,-24.632,105.336,-0.664,3.102,-0.241,0.713,-0.033,1.864,-0.085,0.417
40,12.028,-0.089,293.943,365.332,-81.716,-112.381,-14.191,-1.641,315.45,85.256,-22.817,107.086,-0.665,3.157,-0.228,0.692,-0.036,1.881,-0.087,0.436
41,12.098,0.573,293.523,362.264,-79.983,-110.67,-13.756,-1.641,315.436,85.137,-19.263,106.395,-0.651,3.133,-0.198,0.691,-0.005,1.868,-0.088,0.455
42,11.782,0.491,293.523,362.264,-79.983,-110.242,-14.232,-2.087,316.341,84.999,-22.943,107.478,-0.652,3.133,-0.229,0.689,-0.005,1.865,-0.089,0.474
43,12.022,0.051,293.071,359.033,-81.809,-111.278,-14.109,-2.032,316.341,84.999,-22.943,107.491,-0.668,3.112,-0.228,0.689,-0.003,1.854,-0.09,0.492
44,11.553,0.029,293.516,355.843,-80.02,-112.953,-14.278,-1.99,316.341,84.999,-22.943,104.99,-0.653,3.079,-0.229,0.689,-0.005,1.839,-0.091,0.51
45,12.044,-0.16,293.071,359.033,-81.809,-113.263,-13.844,-1.992,315.9,81.821,-21.139,107.131,-0.668,3.112,-0.213,0.664,-0.004,1.842,-0.091,0.528
46,11.693,-0.189,293.516,355.843,-80.02,-110.829,-13.876,-1.989,315.9,81.821,-21.139,108.974,-0.653,3.08,-0.213,0.664,-0.005,1.828,-0.092,0.545
47,12.222,-0.221,292.62,355.801,-83.634,-112.548,-13.981,-2.439,315.914,81.941,-24.694,106.099,-0.684,3.089,-0.242,0.666,-0.017,1.831,-0.092,0.562
