"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,15.49,-3.337,313.46,551.058,-95.399,-107.486,-18.891,-1.289,293.373,223.935,-11.218,127.67,-0.724,4.476,-0.161,1.943,-0.83,3.251,-0.001,0.002
2,15.967,-2.608,313.881,554.126,-97.132,-103.796,-18.71,-1.197,293.373,223.935,-11.218,126.283,-0.735,4.492,-0.16,1.943,-0.844,3.261,-0.002,0.005
3,15.717,-3.052,313.891,547.943,-97.154,-108.461,-18.759,-0.833,293.387,224.055,-14.773,125.258,-0.736,4.444,-0.191,1.943,-0.859,3.235,-0.003,0.006
4,15.854,-3.399,313.46,551.058,-95.399,-103.914,-18.443,-0.385,293.373,223.935,-11.218,125.621,-0.723,4.476,-0.159,1.94,-0.829,3.25,-0.004,0.008
5,15.619,-3.636,313.891,547.943,-97.154,-106.071,-18.399,-0.747,292.945,220.877,-12.969,125.996,-0.737,4.445,-0.175,1.918,-0.86,3.225,-0.006,0.01
6,15.763,-3.149,313.439,544.711,-98.979,-104.602,-18.489,-0.928,292.086,220.683,-12.854,126.633,-0.752,4.424,-0.174,1.922,-0.876,3.217,-0.007,0.011
7,15.899,-3.413,313.891,547.943,-97.154,-105.653,-18.441,-1.06,292.076,214.641,-12.915,124.514,-0.736,4.445,-0.175,1.87,-0.877,3.204,-0.009,0.012
8,15.473,-3.545,314.311,551.011,-98.887,-110.167,-18.538,-1.113,291.658,217.625,-14.605,126.249,-0.75,4.464,-0.19,1.899,-0.908,3.229,-0.011,0.013
9,15.902,-3.71,314.755,547.822,-97.098,-101.809,-18.58,-1.113,290.789,211.389,-14.551,122.333,-0.733,4.433,-0.19,1.85,-0.925,3.192,-0.013,0.014
10,16.222,-3.45,314.311,551.011,-98.887,-102.788,-18.678,-1.114,290.325,214.704,-12.674,123.698,-0.748,4.464,-0.175,1.882,-0.926,3.224,-0.016,0.015
11,15.764,-3.884,314.332,557.358,-95.306,-104.235,-18.626,-1.467,290.325,214.704,-12.674,124.126,-0.72,4.516,-0.174,1.883,-0.912,3.252,-0.018,0.015
12,15.901,-3.495,315.183,557.311,-98.794,-102.132,-18.123,-1.197,290.789,211.389,-14.551,120.987,-0.746,4.502,-0.189,1.851,-0.939,3.23,-0.021,0.015
13,16.026,-2.869,315.183,557.311,-98.794,-101.786,-18.49,-1.502,289.92,205.153,-14.498,125.577,-0.746,4.5,-0.19,1.802,-0.957,3.208,-0.024,0.016
14,16.2,-3.049,315.611,566.801,-100.49,-105.443,-18.445,-1.326,290.361,208.331,-16.302,123.063,-0.758,4.571,-0.206,1.827,-0.969,3.256,-0.027,0.016
15,15.949,-3.5,316.032,569.869,-102.223,-101.088,-18.352,-1.284,289.92,205.153,-14.498,126.274,-0.771,4.591,-0.19,1.802,-0.986,3.257,-0.031,0.016
16,16.043,-2.688,316.053,576.216,-98.643,-105.957,-18.264,-1.418,289.92,205.153,-14.498,121.646,-0.742,4.639,-0.189,1.802,-0.971,3.282,-0.034,0.016
17,16.158,-2.783,316.483,573.101,-100.397,-105.525,-18.399,-1.1,289.456,208.468,-12.621,123.082,-0.755,4.608,-0.174,1.833,-0.987,3.283,-0.038,0.016
18,15.905,-2.911,316.911,582.591,-102.093,-102.473,-18.043,-0.886,290.325,214.704,-12.674,122.747,-0.768,4.679,-0.172,1.881,-0.984,3.341,-0.042,0.016
19,16.17,-2.784,316.925,582.516,-98.55,-107.008,-18.367,-0.98,290.325,214.704,-12.674,125.917,-0.739,4.677,-0.174,1.882,-0.969,3.341,-0.046,0.017
20,15.9,-2.644,316.901,588.774,-102.071,-101.733,-17.95,-0.21,289.907,217.689,-14.364,128.878,-0.768,4.727,-0.187,1.908,-0.999,3.38,-0.051,0.017
21,15.99,-2.473,316.901,588.774,-102.071,-110.818,-18.404,-0.705,289.443,221.004,-12.487,125.57,-0.768,4.727,-0.173,1.942,-1.001,3.397,-0.055,0.018
22,16.176,-2.451,316.901,588.774,-102.071,-106.547,-18.097,-0.886,290.776,223.925,-14.417,125.277,-0.767,4.727,-0.188,1.959,-0.981,3.402,-0.06,0.02
23,16.082,-2.709,316.502,592.052,-96.758,-106.315,-18.312,-0.842,289.884,224.182,-14.291,126.613,-0.726,4.76,-0.188,1.967,-0.97,3.425,-0.064,0.021
24,16.437,-2.164,316.478,598.31,-100.28,-104.957,-18.663,-1.023,289.871,224.062,-10.737,126.57,-0.753,4.809,-0.158,1.967,-0.97,3.45,-0.069,0.023
25,16.481,-2.89,315.596,598.194,-100.351,-106.024,-18.455,-0.715,289.43,233.54,-12.353,128.018,-0.756,4.824,-0.172,2.052,-0.971,3.498,-0.074,0.025
26,16.064,-2.555,315.572,604.452,-103.872,-109.851,-18.548,-0.753,289.43,233.54,-12.353,126.234,-0.785,4.873,-0.172,2.052,-0.986,3.524,-0.078,0.028
27,16.346,-2.755,315.152,601.383,-102.14,-102.526,-18.19,-0.625,289.858,236.599,-10.603,118.81,-0.772,4.856,-0.155,2.075,-0.954,3.524,-0.083,0.031
28,16.467,-2.271,315.152,601.383,-102.14,-113.604,-18.642,-0.447,289.394,239.914,-8.726,127.29,-0.771,4.854,-0.14,2.107,-0.956,3.539,-0.088,0.034
29,16.111,-2.589,315.572,604.452,-103.872,-106.256,-18.464,-0.531,289.835,243.092,-10.53,126.636,-0.785,4.873,-0.155,2.132,-0.97,3.561,-0.092,0.038
30,16.462,-2.198,315.572,604.452,-103.872,-106.045,-18.239,-0.269,289.417,246.076,-12.219,121.301,-0.784,4.872,-0.17,2.161,-0.984,3.575,-0.096,0.042
31,15.948,-2.499,316.024,607.683,-102.047,-107.578,-18.161,-0.321,289.845,249.135,-10.469,123.078,-0.77,4.892,-0.154,2.184,-0.969,3.597,-0.101,0.047
