"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,13.658,0.91,304.008,302.964,-207.317,-147.857,-16.224,-5.137,301.74,-236.934,85.87,116.1,-1.687,2.528,0.67,-1.978,-0.556,0.284,-0.001,0
2,13.437,1.042,304.04,303.127,-203.759,-145.777,-16.442,-5.087,301.74,-236.934,85.87,118.185,-1.658,2.529,0.669,-1.978,-0.542,0.284,-0.002,-0.001
3,13.995,0.879,304.452,299.774,-205.529,-145.096,-16.213,-5.528,301.74,-236.934,85.87,118.649,-1.669,2.498,0.67,-1.976,-0.556,0.271,-0.002,-0.001
4,13.366,0.604,303.588,299.895,-205.585,-146.336,-16.264,-5.355,301.74,-236.934,85.87,119.667,-1.676,2.507,0.669,-1.977,-0.542,0.272,-0.003,-0.002
5,13.809,1.06,303.588,299.895,-205.585,-145.134,-16.437,-5.981,302.194,-246.292,83.932,116.762,-1.675,2.506,0.652,-2.051,-0.541,0.233,-0.003,-0.003
6,13.757,0.919,303.157,303.01,-203.83,-144.474,-16.429,-6.34,302.194,-246.292,83.932,117.481,-1.663,2.536,0.652,-2.049,-0.525,0.247,-0.003,-0.004
7,13.892,0.703,304.032,296.706,-203.796,-143.696,-16.342,-5.71,302.194,-246.292,83.932,116.126,-1.657,2.476,0.652,-2.051,-0.541,0.219,-0.003,-0.006
8,13.944,0.788,303.588,299.895,-205.585,-143.245,-16.562,-5.575,302.612,-249.277,85.622,115.388,-1.674,2.507,0.664,-2.074,-0.525,0.22,-0.003,-0.007
9,14.076,0.691,304.032,296.706,-203.796,-146.538,-16.252,-5.302,302.194,-246.292,83.932,117.182,-1.656,2.477,0.652,-2.053,-0.54,0.219,-0.002,-0.009
10,13.942,0.687,304.484,299.937,-201.97,-148.298,-16.385,-5.442,301.753,-249.47,85.736,122.13,-1.639,2.5,0.668,-2.082,-0.542,0.219,-0.002,-0.011
11,13.802,0.775,304.032,296.706,-203.796,-142.392,-16.338,-5.796,301.789,-255.844,82.109,116.096,-1.657,2.476,0.637,-2.134,-0.557,0.18,-0.002,-0.014
12,13.729,0.973,303.612,293.638,-202.063,-144.316,-16.428,-5.534,302.635,-255.77,85.549,119.642,-1.645,2.453,0.664,-2.129,-0.511,0.166,-0.001,-0.016
13,13.719,0.775,303.588,299.895,-205.585,-146.593,-16.03,-5.622,302.207,-258.829,83.798,115.738,-1.675,2.507,0.652,-2.157,-0.54,0.18,0,-0.019
14,13.764,0.823,303.16,290.406,-203.889,-141.603,-16.424,-5.933,303.067,-258.635,83.684,115.749,-1.663,2.43,0.648,-2.148,-0.51,0.141,0.001,-0.022
15,13.726,1.103,303.588,299.895,-205.585,-141.254,-16.16,-6.332,303.958,-258.892,83.558,116.884,-1.675,2.505,0.646,-2.143,-0.507,0.18,0.001,-0.025
16,13.411,1.093,303.588,299.895,-205.585,-142.226,-16.374,-6.597,303.531,-261.951,81.807,116.492,-1.676,2.506,0.631,-2.171,-0.524,0.168,0.002,-0.029
17,13.99,0.91,303.157,303.01,-203.83,-147.577,-15.981,-6.371,303.958,-258.892,83.558,115.137,-1.662,2.536,0.646,-2.143,-0.491,0.193,0.004,-0.032
18,13.638,1.188,302.737,299.942,-202.097,-140.598,-16.073,-6.156,303.958,-258.892,83.558,114.704,-1.651,2.513,0.646,-2.143,-0.477,0.18,0.005,-0.036
19,13.716,0.717,302.293,303.132,-203.886,-144.143,-16.15,-6.195,303.089,-265.128,83.611,116.492,-1.668,2.545,0.648,-2.202,-0.493,0.168,0.006,-0.039
20,13.637,0.85,301.41,303.015,-203.957,-145.811,-16.106,-6.058,302.243,-265.202,80.171,116.465,-1.674,2.551,0.621,-2.209,-0.509,0.168,0.008,-0.043
21,13.332,1.356,301.41,303.015,-203.957,-142.063,-16.379,-5.522,302.671,-262.144,81.922,119.328,-1.675,2.549,0.634,-2.182,-0.494,0.179,0.009,-0.047
22,13.322,0.826,301.41,303.015,-203.957,-145.793,-15.935,-5.846,302.625,-261.813,85.488,114.017,-1.675,2.551,0.665,-2.178,-0.479,0.181,0.011,-0.051
23,13.462,0.63,300.99,299.947,-202.224,-145.455,-16.477,-5.972,303.089,-265.128,83.611,117.17,-1.662,2.529,0.647,-2.202,-0.464,0.155,0.013,-0.055
24,13.104,1.012,301.41,303.015,-203.957,-143.783,-16.245,-6.555,303.553,-268.444,81.734,112.208,-1.675,2.55,0.631,-2.225,-0.478,0.154,0.014,-0.058
25,12.985,1.226,300.99,299.947,-202.224,-144.678,-16.333,-6.506,303.971,-271.428,83.424,113.986,-1.664,2.527,0.644,-2.247,-0.448,0.128,0.016,-0.062
26,13.726,1.094,300.99,299.947,-202.224,-149.529,-16.185,-6.907,304.435,-274.744,81.547,115.445,-1.661,2.528,0.628,-2.27,-0.445,0.115,0.019,-0.067
27,13.474,0.944,301.41,303.015,-203.957,-150.567,-16.096,-6.411,305.759,-277.866,79.556,114.484,-1.674,2.55,0.609,-2.288,-0.443,0.114,0.021,-0.071
28,13.548,0.947,301.841,299.9,-205.711,-145.786,-16.006,-6.6,305.295,-274.55,81.432,112.958,-1.686,2.521,0.626,-2.263,-0.459,0.115,0.023,-0.075
29,12.885,1.177,301.862,306.247,-202.131,-147.04,-16.399,-6.686,305.759,-277.866,79.556,116.167,-1.658,2.573,0.608,-2.287,-0.445,0.128,0.026,-0.079
30,13.327,1.519,301.41,303.015,-203.957,-144.895,-16.268,-6.373,305.295,-274.55,81.432,114.78,-1.675,2.549,0.625,-2.264,-0.444,0.127,0.028,-0.084
31,13.244,1.001,301.41,303.015,-203.957,-144.866,-16.126,-6.406,304.89,-284.102,79.609,114.794,-1.675,2.55,0.611,-2.346,-0.46,0.088,0.031,-0.088
32,13.548,1.044,301.41,303.015,-203.957,-144.975,-16.407,-6.326,304.008,-277.802,79.796,116.839,-1.674,2.55,0.613,-2.3,-0.476,0.114,0.033,-0.093
