"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.378,-4.933,351.857,234.016,-49.686,-61.952,-16.411,-0.565,363.162,277.028,89.988,88.303,-0.318,1.703,0.585,1.939,0.321,1.823,-0.004,-0.014
2,14.55,-5.348,351.857,234.016,-49.686,-63.154,-16.507,-0.928,363.58,274.044,91.677,86.103,-0.317,1.704,0.596,1.917,0.334,1.812,-0.006,-0.021
3,14.956,-5.11,351.413,237.206,-51.475,-61.596,-16.219,-0.512,364.044,270.729,89.8,81.596,-0.33,1.729,0.582,1.89,0.336,1.811,-0.008,-0.028
4,14.298,-5.287,351.865,240.437,-49.649,-66.229,-16.405,-0.737,364.472,273.787,91.551,86.905,-0.318,1.751,0.593,1.91,0.347,1.832,-0.01,-0.035
5,14.252,-5.353,351.444,237.369,-47.916,-62.923,-16.628,-0.96,364.044,270.729,89.8,89.021,-0.306,1.731,0.581,1.892,0.347,1.813,-0.011,-0.042
6,14.373,-5.156,351.413,237.206,-51.475,-66.535,-16.312,-1.283,364.462,267.744,91.49,89.036,-0.331,1.729,0.593,1.869,0.348,1.801,-0.012,-0.049
7,14.246,-4.99,351.024,234.301,-46.183,-66.261,-16.265,-1.054,364.926,264.429,89.613,89.083,-0.294,1.71,0.58,1.843,0.373,1.778,-0.013,-0.056
8,14.964,-5.146,351.437,230.948,-47.953,-66.19,-16.398,-1.144,364.926,264.429,89.613,86.522,-0.304,1.684,0.579,1.844,0.361,1.765,-0.014,-0.063
9,14.56,-5.575,351.437,230.948,-47.953,-64.348,-16.21,-1.448,365.809,258.129,89.426,87.729,-0.305,1.685,0.577,1.796,0.374,1.742,-0.014,-0.07
10,14.636,-5.358,350.572,231.069,-48.009,-59.249,-16.255,-1.371,365.809,258.129,89.426,88.667,-0.306,1.689,0.577,1.796,0.388,1.744,-0.015,-0.077
11,14.022,-5.11,351.016,227.879,-46.22,-66.224,-16.075,-1.277,365.809,258.129,89.426,88.058,-0.295,1.663,0.577,1.796,0.386,1.731,-0.015,-0.084
12,14.207,-5.432,350.134,227.763,-46.291,-64.533,-16.62,-1.451,365.809,258.129,89.426,89.359,-0.295,1.668,0.576,1.796,0.4,1.733,-0.015,-0.091
13,14.469,-5.157,351.016,227.879,-46.22,-66.504,-16.52,-1.551,365.367,254.951,91.229,87.135,-0.293,1.664,0.589,1.777,0.386,1.721,-0.014,-0.098
14,14.546,-5.737,350.12,227.837,-49.835,-64.217,-15.942,-1.633,365.809,258.129,89.426,87.725,-0.32,1.669,0.578,1.797,0.389,1.734,-0.014,-0.105
15,14.468,-5.249,349.69,230.952,-48.08,-70.008,-16.745,-1.499,365.809,258.129,89.426,90.085,-0.308,1.692,0.576,1.796,0.401,1.746,-0.013,-0.112
16,14.292,-5.419,350.565,224.648,-48.046,-65.066,-16.299,-1.59,365.809,258.129,89.426,90.131,-0.307,1.643,0.577,1.797,0.387,1.721,-0.012,-0.119
17,14.215,-5.106,351.016,227.879,-46.22,-66.17,-16.487,-1.584,366.227,255.144,91.115,87.287,-0.294,1.663,0.587,1.774,0.398,1.72,-0.012,-0.126
18,14.247,-5.509,351.016,227.879,-46.22,-66.945,-16.52,-1.364,366.668,258.322,89.311,87.296,-0.294,1.665,0.574,1.793,0.399,1.73,-0.01,-0.133
19,14.518,-4.969,351.437,230.948,-47.953,-64.132,-16.491,-1.23,366.214,267.68,91.249,87.981,-0.305,1.683,0.588,1.86,0.386,1.773,-0.009,-0.14
20,14.905,-5.479,351.006,234.063,-46.199,-64.935,-16.353,-1.368,366.214,267.68,91.249,91.56,-0.292,1.709,0.589,1.86,0.4,1.786,-0.008,-0.147
21,14.319,-4.907,350.993,234.137,-49.742,-64.215,-16.572,-1.501,366.641,270.739,92.999,85.843,-0.319,1.708,0.6,1.88,0.399,1.796,-0.007,-0.153
22,14.692,-4.94,350.562,237.252,-47.987,-68.033,-16.627,-1.194,366.2,280.217,91.383,87.964,-0.306,1.733,0.589,1.947,0.401,1.842,-0.005,-0.16
23,14.694,-4.765,349.687,243.557,-48.021,-63.814,-16.5,-0.573,366.2,280.217,91.383,85.482,-0.307,1.783,0.589,1.945,0.415,1.866,-0.004,-0.165
24,14.839,-5.102,350.57,243.674,-47.95,-63.411,-16.859,-0.293,365.746,289.575,93.321,88.326,-0.305,1.78,0.602,2.012,0.4,1.898,-0.002,-0.171
25,14.423,-4.499,350.129,252.972,-46.174,-65.897,-16.374,-0.379,365.328,292.559,91.631,89.467,-0.294,1.848,0.593,2.035,0.402,1.944,-0.001,-0.176
26,14.486,-4.504,349.685,256.162,-47.963,-69.536,-16.235,-0.387,365.305,299.053,91.704,90.557,-0.307,1.874,0.594,2.08,0.403,1.979,0.001,-0.18
27,14.44,-4.72,349.685,256.162,-47.963,-67.479,-16.6,-0.215,365.305,299.053,91.704,92.603,-0.307,1.874,0.593,2.08,0.402,1.979,0.003,-0.184
28,14.664,-4.462,350.559,249.857,-47.929,-67.894,-15.923,0.097,365.746,302.231,89.901,93.446,-0.306,1.823,0.581,2.099,0.39,1.964,0.005,-0.187
29,14.614,-5.01,351.011,253.089,-46.103,-63.623,-16.418,-0.165,365.733,302.111,93.455,89.473,-0.292,1.846,0.605,2.099,0.4,1.975,0.006,-0.189
30,14.761,-4.98,350.536,256.115,-51.45,-67.01,-16.203,-0.078,365.756,308.273,89.962,94.845,-0.331,1.87,0.581,2.141,0.378,2.008,0.008,-0.191
31,14.836,-4.99,350.987,259.347,-49.625,-71.453,-16.285,-0.26,365.756,308.273,89.962,85.619,-0.317,1.891,0.581,2.142,0.377,2.019,0.01,-0.193
32,14.823,-4.747,351.862,253.042,-49.591,-68.28,-16.007,-0.258,364.851,308.411,93.642,90.522,-0.316,1.84,0.608,2.148,0.362,1.997,0.011,-0.194
33,15.051,-5.064,351.432,256.157,-47.836,-67.649,-16.639,-0.299,364.851,308.411,93.642,94.448,-0.303,1.866,0.607,2.148,0.375,2.009,0.013,-0.194
34,14.783,-5.066,351.41,249.81,-51.416,-62.77,-16.367,-0.441,364.887,302.037,90.015,95.51,-0.33,1.82,0.582,2.104,0.35,1.965,0.014,-0.195
35,14.649,-4.838,351.862,253.042,-49.591,-67.558,-16.508,-0.848,363.982,302.175,93.696,89.691,-0.317,1.84,0.609,2.111,0.348,1.978,0.016,-0.195
36,14.656,-5.137,351.862,253.042,-49.591,-65.093,-16.096,-0.664,363.982,302.175,93.696,93.012,-0.316,1.841,0.61,2.11,0.348,1.978,0.017,-0.194
37,14.749,-5.678,352.306,249.852,-47.802,-70.912,-16.605,-0.575,363.982,302.175,93.696,92.581,-0.303,1.817,0.609,2.11,0.347,1.966,0.018,-0.194
