"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,15.195,-6.378,383.136,265.132,-72.113,-57.193,-17.671,0.546,332.596,233.815,93.721,94.46,-0.439,1.774,0.663,1.784,-0.734,1.779,0.001,-0.004
2,15.339,-6.664,383.146,258.949,-72.135,-60.789,-18.034,0.896,331.69,233.952,97.402,90.809,-0.438,1.734,0.692,1.789,-0.737,1.759,0.001,-0.009
3,15.06,-6.901,383.59,255.759,-70.346,-62.692,-18.393,0.453,332.596,233.815,93.721,94.377,-0.427,1.711,0.661,1.784,-0.735,1.745,0.002,-0.013
4,14.923,-6.825,384.011,258.828,-72.079,-65.067,-17.556,0.988,331.69,233.952,97.402,96.228,-0.438,1.73,0.693,1.789,-0.749,1.757,0.003,-0.018
5,15.188,-7.088,384.011,258.828,-72.079,-65.776,-17.776,0.708,331.69,233.952,97.402,97.213,-0.437,1.73,0.693,1.789,-0.749,1.758,0.003,-0.023
6,15.022,-7.054,383.559,255.596,-73.905,-59.78,-17.374,0.539,331.286,237.056,92.159,94.091,-0.45,1.711,0.655,1.816,-0.774,1.76,0.004,-0.028
7,14.88,-6.903,384.885,252.523,-72.045,-61.868,-17.778,0.989,331.263,230.894,95.652,90.848,-0.437,1.684,0.68,1.767,-0.776,1.723,0.004,-0.033
8,15.066,-6.478,384.472,255.876,-70.275,-60.702,-17.505,0.844,330.844,233.878,93.962,90.495,-0.425,1.707,0.669,1.793,-0.776,1.747,0.004,-0.038
9,15.508,-7.359,384.011,258.828,-72.079,-60.666,-17.551,0.544,330.844,233.878,93.962,91.904,-0.437,1.731,0.669,1.794,-0.775,1.76,0.004,-0.043
10,15.424,-6.978,383.598,262.181,-70.309,-57.722,-17.508,0.721,330.808,240.252,97.589,96.615,-0.425,1.754,0.697,1.843,-0.75,1.795,0.004,-0.048
11,15.25,-6.87,384.018,265.249,-72.042,-58.103,-17.595,0.803,331.714,240.114,93.909,95.883,-0.437,1.772,0.667,1.836,-0.761,1.802,0.004,-0.053
12,15.547,-6.91,384.452,268.243,-70.232,-63.686,-17.057,1.074,330.822,240.372,94.035,93.089,-0.424,1.79,0.671,1.842,-0.774,1.814,0.004,-0.058
13,15.557,-6.582,383.994,271.507,-75.564,-60.305,-17.152,1.53,331.714,240.114,93.909,95.269,-0.459,1.813,0.668,1.834,-0.772,1.823,0.003,-0.063
14,15.115,-6.315,384.008,271.432,-72.021,-61.038,-17.691,1.073,331.677,246.488,97.536,95.881,-0.437,1.812,0.694,1.884,-0.749,1.845,0.003,-0.068
15,15.555,-6.061,384.016,277.854,-71.984,-61.907,-17.382,1.25,331.7,252.651,94.043,98.383,-0.436,1.854,0.668,1.931,-0.76,1.889,0.003,-0.072
16,15.202,-6.107,383.585,280.969,-70.229,-59.409,-17.565,0.895,331.7,252.651,94.043,96.248,-0.426,1.876,0.668,1.932,-0.748,1.902,0.002,-0.076
17,15.236,-5.983,384.005,284.037,-71.962,-60.799,-17.409,1.157,332.128,255.709,95.793,95.92,-0.436,1.894,0.681,1.952,-0.746,1.921,0.002,-0.08
18,15.012,-6.248,382.71,287.273,-70.263,-59.692,-17.737,1.065,331.223,255.846,99.474,96.233,-0.427,1.923,0.71,1.959,-0.724,1.94,0.001,-0.083
19,15.566,-6.219,384.013,290.458,-71.925,-63.689,-17.47,1.028,332.533,265.261,97.617,95.958,-0.435,1.937,0.694,2.023,-0.733,1.977,0.001,-0.086
20,15.375,-6.012,383.582,293.573,-70.17,-57.918,-17.512,1.104,332.533,265.261,97.617,94.1,-0.425,1.96,0.693,2.023,-0.72,1.989,0.001,-0.088
21,15.541,-5.952,383.138,296.763,-71.959,-60.128,-17.917,1.471,333.402,271.497,97.563,96.615,-0.437,1.983,0.69,2.064,-0.706,2.021,0.001,-0.09
22,15.066,-5.725,383.128,302.946,-71.937,-58.533,-17.786,1.197,334.271,277.733,97.51,97.048,-0.438,2.023,0.688,2.107,-0.691,2.062,0,-0.091
23,15.206,-5.893,383.136,309.368,-71.9,-61.687,-18.024,1.287,333.389,284.033,97.697,96.564,-0.437,2.066,0.691,2.16,-0.706,2.11,0,-0.092
24,14.985,-6.261,382.253,309.251,-71.971,-62.804,-18.106,1.324,333.353,290.407,101.324,95.489,-0.439,2.071,0.718,2.209,-0.681,2.135,0.001,-0.092
25,15.243,-5.816,382.261,315.672,-71.935,-59.36,-17.711,1.822,333.353,290.407,101.324,98.415,-0.438,2.113,0.719,2.207,-0.68,2.157,0.001,-0.092
26,15.254,-5.459,381.379,315.556,-72.005,-63.4,-18.422,1.733,333.376,296.569,97.831,96.916,-0.44,2.116,0.691,2.254,-0.68,2.18,0.001,-0.09
27,14.722,-5.869,380.956,325.092,-70.214,-63.854,-17.98,1.546,333.804,299.627,99.582,96.232,-0.43,2.183,0.704,2.275,-0.654,2.226,0.002,-0.088
28,14.852,-5.388,381.828,331.392,-70.121,-61.758,-17.575,1.826,334.232,302.686,101.332,96.715,-0.428,2.219,0.718,2.295,-0.653,2.254,0.002,-0.085
29,15.173,-5.906,381.384,334.582,-71.91,-57.314,-18.153,1.905,334.209,309.179,101.405,98.388,-0.439,2.244,0.717,2.344,-0.653,2.291,0.003,-0.082
30,15.013,-5.609,380.953,337.697,-70.155,-65.653,-18.166,1.906,334.637,312.237,103.155,99.097,-0.428,2.266,0.729,2.364,-0.627,2.312,0.004,-0.078
31,14.596,-5.374,380.953,337.697,-70.155,-60.995,-18.388,1.587,334.637,312.237,103.155,99.049,-0.43,2.266,0.729,2.365,-0.628,2.312,0.006,-0.073
32,15.117,-4.776,380.929,343.955,-73.677,-56.079,-18.326,2.088,335.078,315.415,101.351,101.237,-0.452,2.306,0.714,2.385,-0.638,2.343,0.007,-0.067
33,14.682,-5.026,380.499,347.07,-71.922,-61.586,-18.216,1.988,334.614,318.731,103.228,100.879,-0.442,2.33,0.73,2.414,-0.627,2.369,0.008,-0.061
34,14.643,-5.072,380.951,350.301,-70.097,-62.81,-18.56,1.989,335.087,321.458,101.412,96.577,-0.429,2.349,0.714,2.431,-0.626,2.387,0.01,-0.054
35,15.217,-5.398,379.624,353.374,-71.956,-62.516,-18.255,1.906,334.637,324.893,99.735,102.678,-0.442,2.379,0.703,2.46,-0.625,2.417,0.012,-0.047
36,14.903,-4.721,379.204,350.306,-70.223,-64.441,-18.076,1.715,334.623,324.773,103.289,101.229,-0.431,2.359,0.731,2.46,-0.6,2.406,0.014,-0.039
37,14.864,-5.21,380.055,350.259,-73.711,-58.077,-18.114,1.363,335.947,321.652,101.298,102.372,-0.454,2.355,0.712,2.428,-0.611,2.389,0.016,-0.03
38,14.989,-5.171,379.204,350.306,-70.223,-60.835,-18.278,1.862,335.506,318.474,103.102,102.042,-0.431,2.36,0.727,2.406,-0.586,2.381,0.018,-0.021
39,15.032,-5.162,379.624,353.374,-71.956,-61.263,-18.328,1.322,336.411,318.336,99.421,100.195,-0.442,2.378,0.697,2.4,-0.597,2.388,0.02,-0.011
40,14.725,-5.38,380.506,353.491,-71.885,-68.302,-18.201,1.185,335.97,315.158,101.225,103.021,-0.441,2.374,0.712,2.379,-0.611,2.376,0.023,-0.002
41,14.906,-5.132,380.52,353.416,-68.342,-63.423,-18.327,1.499,335.924,315.489,104.791,100.162,-0.417,2.373,0.738,2.381,-0.587,2.377,0.025,0.008
42,14.73,-5.125,380.076,356.606,-70.131,-66.161,-18.458,1.241,336.388,312.174,102.914,102.666,-0.43,2.397,0.723,2.354,-0.586,2.376,0.028,0.018
43,14.91,-5.193,380.506,353.491,-71.885,-56.32,-18.158,1.097,336.852,308.858,101.038,100.517,-0.441,2.373,0.708,2.326,-0.597,2.351,0.03,0.028
44,14.992,-5.392,380.496,359.674,-71.864,-58.511,-18.377,1.548,336.388,312.174,102.914,103.762,-0.44,2.415,0.723,2.353,-0.598,2.386,0.033,0.038
45,14.992,-4.941,380.052,362.864,-73.652,-57.659,-18.335,1.359,335.078,315.415,101.351,100.459,-0.453,2.438,0.714,2.387,-0.625,2.414,0.036,0.049
46,15.442,-5.123,380.948,362.906,-70.038,-65.408,-18.505,1.37,335.97,315.158,101.225,98.388,-0.427,2.433,0.711,2.379,-0.611,2.408,0.039,0.059
47,15.298,-4.87,380.504,366.096,-71.827,-65.053,-18.065,1.593,335.97,315.158,101.225,100.909,-0.439,2.457,0.712,2.378,-0.61,2.42,0.041,0.069
48,15.144,-5.047,380.052,362.864,-73.652,-64.737,-17.984,1.502,335.506,318.474,103.102,95.236,-0.453,2.438,0.727,2.407,-0.611,2.423,0.044,0.08
