"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,15.712,-4.124,359.401,54.594,-37.551,-66.392,-17.764,0.444,351.105,70.852,89.469,88.886,-0.222,0.397,0.597,0.511,0.049,0.454,-0.001,0.013
2,15.788,-4.181,358.949,51.363,-39.377,-63.288,-17.709,0.311,351.987,64.553,89.282,88.195,-0.235,0.375,0.594,0.465,0.064,0.42,-0.001,0.026
3,15.398,-4.603,359.37,54.431,-41.11,-63.491,-17.853,0.4,351.105,70.852,89.469,87.796,-0.248,0.397,0.597,0.511,0.037,0.454,-0.001,0.039
4,15.381,-4.593,359.401,54.594,-37.551,-61.881,-17.861,0,351.105,70.852,89.469,88.928,-0.223,0.399,0.597,0.513,0.049,0.455,-0.002,0.052
5,15.341,-4.401,359.821,57.663,-39.284,-63.523,-17.676,-0.136,351.546,74.03,87.665,90.705,-0.235,0.419,0.584,0.535,0.037,0.477,-0.002,0.065
6,15.522,-4.49,359.401,54.594,-37.551,-60.125,-17.803,0.439,351.546,74.03,87.665,87.774,-0.222,0.398,0.583,0.534,0.05,0.465,-0.002,0.077
7,15.833,-4.383,359.377,60.852,-41.073,-61.151,-18.028,0.498,351.105,70.852,89.469,89.911,-0.246,0.442,0.596,0.511,0.037,0.476,-0.002,0.09
8,15.839,-4.073,358.957,57.784,-39.34,-61.445,-17.768,0.41,351.105,70.852,89.469,87.807,-0.234,0.42,0.597,0.511,0.05,0.465,-0.002,0.103
9,15.585,-4.204,359.377,60.852,-41.073,-61.647,-18.353,0.172,351.532,73.911,91.219,92.634,-0.247,0.442,0.607,0.534,0.049,0.487,-0.002,0.115
10,16.015,-4.225,358.526,60.899,-37.585,-63.296,-18.42,0.408,351.105,70.852,89.469,94.534,-0.222,0.443,0.595,0.511,0.063,0.477,-0.002,0.127
11,15.97,-4.479,358.947,63.967,-39.318,-60,-18.256,0.127,351.546,74.03,87.665,86.687,-0.234,0.465,0.582,0.535,0.051,0.499,-0.002,0.139
12,15.919,-4.356,358.075,57.667,-39.411,-65.81,-17.987,0.089,351.546,74.03,87.665,90.005,-0.235,0.421,0.583,0.535,0.065,0.477,-0.002,0.151
13,15.659,-4.344,357.21,57.789,-39.467,-59.293,-18.068,0.179,351.951,70.926,92.909,87.805,-0.237,0.423,0.62,0.511,0.103,0.467,-0.001,0.163
14,15.79,-4.163,357.63,60.857,-41.2,-61.74,-18.442,0.354,351.546,74.03,87.665,94.9,-0.249,0.444,0.581,0.534,0.065,0.488,-0.001,0.175
15,15.522,-4.399,357.654,54.599,-37.678,-64.079,-17.804,0.223,351.964,71.046,89.355,89.664,-0.224,0.4,0.595,0.512,0.09,0.456,0,0.186
16,15.607,-4.196,357.203,51.367,-39.504,-61.151,-18.125,0.536,352.856,70.789,89.228,90.94,-0.237,0.377,0.591,0.508,0.105,0.442,0,0.197
17,15.627,-4.335,356.758,54.557,-41.292,-63.731,-17.991,0.315,352.392,74.104,91.105,89.617,-0.25,0.401,0.606,0.533,0.105,0.466,0.001,0.208
18,15.467,-4.555,357.654,54.599,-37.678,-62.211,-18.429,0.404,352.856,70.789,89.228,90.277,-0.224,0.4,0.591,0.508,0.103,0.454,0.002,0.218
19,15.305,-4.402,357.654,54.599,-37.678,-61.123,-17.847,0.137,352.856,70.789,89.228,87.855,-0.225,0.4,0.592,0.509,0.104,0.454,0.003,0.228
