"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,8.179,-3.614,356.155,581.958,-65.412,-62.401,-11.024,0.359,322.389,580.089,-55.853,81.499,-0.444,4.16,-0.474,4.569,-1.027,4.355,-0.001,-0.001
2,8.522,-3.314,357.037,582.075,-65.341,-62.848,-10.931,0.724,321.961,577.031,-57.603,81.552,-0.441,4.15,-0.488,4.55,-1.054,4.34,-0.002,-0.002
3,8.52,-3.487,355.735,578.89,-63.679,-67.647,-10.749,0.597,321.52,573.853,-55.799,83.347,-0.431,4.143,-0.474,4.532,-1.029,4.328,-0.003,-0.004
4,8.873,-3.472,356.165,575.775,-65.434,-64.135,-11.017,0.194,321.984,570.538,-57.676,85.82,-0.442,4.116,-0.489,4.5,-1.04,4.298,-0.003,-0.005
5,8.601,-3.538,357.061,575.817,-61.819,-64.609,-11.125,0.145,321.52,573.853,-55.799,80.452,-0.416,4.106,-0.475,4.533,-1.043,4.308,-0.004,-0.007
6,8.453,-2.999,356.61,572.585,-63.645,-58.916,-10.933,0.007,321.092,570.795,-57.55,78.662,-0.43,4.087,-0.489,4.515,-1.057,4.29,-0.005,-0.008
7,8.346,-3.467,356.179,575.7,-61.89,-62.642,-10.79,0.189,320.651,567.617,-55.746,84.061,-0.418,4.115,-0.475,4.496,-1.045,4.295,-0.006,-0.01
8,8.645,-3.601,355.737,566.285,-63.738,-63.376,-10.753,0.097,320.223,564.558,-57.496,86.512,-0.431,4.053,-0.489,4.478,-1.059,4.254,-0.007,-0.013
9,8.25,-3.682,355.293,569.475,-65.526,-62.144,-11.322,0.099,320.687,561.243,-59.373,82.533,-0.445,4.082,-0.505,4.445,-1.059,4.254,-0.008,-0.015
10,8.265,-3.635,355.737,566.285,-63.738,-61.63,-10.786,-0.211,321.115,564.301,-57.623,85.102,-0.432,4.054,-0.489,4.464,-1.044,4.248,-0.009,-0.018
11,8.566,-3.716,356.158,569.353,-65.47,-56.517,-10.884,0.057,321.128,564.421,-61.177,84.36,-0.443,4.071,-0.517,4.464,-1.069,4.257,-0.01,-0.021
12,8.153,-3.951,355.714,572.543,-67.259,-61.503,-11.064,0.004,321.069,564.632,-54.056,86.091,-0.457,4.099,-0.462,4.467,-1.045,4.274,-0.011,-0.024
13,8.249,-3.925,355.714,572.543,-67.259,-63.36,-10.609,-0.04,321.974,564.495,-57.737,83.706,-0.457,4.099,-0.488,4.453,-1.041,4.267,-0.012,-0.027
14,8.028,-3.46,356.158,569.353,-65.47,-57.895,-11.461,-0.398,321.974,564.495,-57.737,86.089,-0.444,4.07,-0.491,4.454,-1.043,4.253,-0.013,-0.03
15,8.586,-3.745,356.158,569.353,-65.47,-60.642,-10.563,0.236,321.974,564.495,-57.737,85.515,-0.443,4.071,-0.488,4.452,-1.04,4.252,-0.014,-0.034
16,8.245,-3.853,356.602,566.164,-63.682,-58.645,-10.973,-0.118,321.533,561.317,-55.933,82.941,-0.431,4.043,-0.476,4.435,-1.043,4.229,-0.015,-0.037
17,8.798,-3.361,356.165,575.775,-65.434,-61.158,-10.914,0.102,321.105,558.259,-57.684,85.776,-0.442,4.116,-0.49,4.416,-1.056,4.258,-0.016,-0.041
18,8.384,-3.321,356.158,569.353,-65.47,-60.368,-11.1,-0.127,321.533,561.317,-55.933,84.677,-0.443,4.07,-0.476,4.435,-1.043,4.243,-0.017,-0.044
19,8.159,-3.634,356.168,563.17,-65.492,-60.332,-11.099,0.004,321.105,558.259,-57.684,85.063,-0.444,4.026,-0.491,4.416,-1.058,4.211,-0.018,-0.048
20,8.734,-3.717,356.168,563.17,-65.492,-62.274,-11.054,0.007,321.533,561.317,-55.933,83.24,-0.443,4.027,-0.476,4.434,-1.043,4.22,-0.019,-0.052
21,8.284,-3.716,357.009,569.307,-68.958,-55.154,-11.455,0.009,320.664,555.081,-55.88,87.827,-0.467,4.061,-0.478,4.397,-1.085,4.22,-0.02,-0.056
22,8.22,-3.308,356.588,566.238,-67.225,-60.251,-11.054,-0.128,321.105,558.259,-57.684,91.411,-0.456,4.043,-0.49,4.416,-1.071,4.22,-0.022,-0.06
23,8.336,-3.623,357.484,566.28,-63.611,-62.523,-10.912,-0.08,321.569,554.943,-59.56,84.391,-0.429,4.034,-0.504,4.384,-1.069,4.199,-0.023,-0.064
24,7.912,-3.213,357.033,563.049,-65.436,-59.176,-11.312,0.103,320.664,555.081,-55.88,87.527,-0.443,4.015,-0.478,4.397,-1.073,4.195,-0.024,-0.069
25,8.874,-3.589,357.463,559.934,-67.191,-59.51,-10.747,0.29,320.664,555.081,-55.88,82.959,-0.453,3.989,-0.476,4.396,-1.084,4.181,-0.025,-0.073
26,8.171,-3.353,357.463,559.934,-67.191,-58.337,-11.009,-0.034,320.664,555.081,-55.88,83.935,-0.455,3.988,-0.477,4.397,-1.085,4.181,-0.026,-0.077
27,8.564,-3.182,357.915,563.165,-65.365,-57.303,-11.133,-0.173,320.664,555.081,-55.88,82.521,-0.44,4.005,-0.477,4.397,-1.085,4.191,-0.028,-0.082
28,8.478,-3.615,357.463,559.934,-67.191,-62.169,-11.231,0.142,320.664,555.081,-55.88,85.045,-0.454,3.989,-0.477,4.396,-1.085,4.182,-0.029,-0.086
29,8.565,-3.701,357.463,559.934,-67.191,-61.539,-11.047,-0.381,321.546,548.781,-56.067,84.373,-0.454,3.989,-0.477,4.336,-1.069,4.153,-0.031,-0.091
30,8.697,-3.56,357.463,559.934,-67.191,-54.599,-11.356,-0.033,321.128,551.765,-57.757,83.876,-0.453,3.989,-0.492,4.364,-1.084,4.166,-0.032,-0.096
31,8.417,-3.707,357.883,563.002,-68.924,-62.509,-10.916,-0.129,321.082,552.096,-54.19,81.8,-0.466,4.006,-0.462,4.368,-1.084,4.177,-0.033,-0.1
32,8.485,-3.524,357.463,559.934,-67.191,-61.491,-11.096,-0.03,321.546,548.781,-56.067,83.982,-0.454,3.989,-0.477,4.335,-1.069,4.153,-0.035,-0.105
33,8.467,-3.751,357.463,559.934,-67.191,-63.278,-10.692,0.025,321.546,548.781,-56.067,83.37,-0.454,3.989,-0.476,4.335,-1.069,4.153,-0.036,-0.11
34,7.808,-3.981,357.463,559.934,-67.191,-61.858,-11.275,0.235,321.082,552.096,-54.19,85.32,-0.456,3.99,-0.463,4.367,-1.072,4.168,-0.038,-0.115
35,8.52,-3.494,357.019,563.123,-68.98,-60.833,-10.969,0.418,321.092,558.139,-54.129,82.97,-0.467,4.016,-0.462,4.414,-1.07,4.204,-0.039,-0.12
36,8.377,-3.664,356.588,566.238,-67.225,-60.63,-11.055,0.321,321.523,555.274,-55.994,78.603,-0.455,4.044,-0.476,4.386,-1.056,4.206,-0.04,-0.124
37,8.386,-4.126,357.463,559.934,-67.191,-64.694,-11.144,0.102,321.105,558.259,-57.684,86.079,-0.454,3.99,-0.491,4.416,-1.084,4.192,-0.041,-0.129
38,8.516,-3.867,356.137,563.007,-69.051,-62.27,-10.921,0.142,321.533,561.317,-55.933,83.272,-0.469,4.026,-0.475,4.434,-1.056,4.22,-0.043,-0.133
39,8.525,-3.672,356.588,566.238,-67.225,-60.817,-10.884,0.19,321.533,561.317,-55.933,81.879,-0.455,4.044,-0.475,4.434,-1.056,4.229,-0.044,-0.138
40,8.517,-4.284,356.588,566.238,-67.225,-60.896,-10.821,0.186,321.533,561.317,-55.933,81.551,-0.455,4.045,-0.475,4.434,-1.055,4.229,-0.045,-0.142
41,8.52,-3.856,356.588,566.238,-67.225,-62.98,-11.142,0.193,321.533,561.317,-55.933,86.853,-0.455,4.044,-0.476,4.434,-1.056,4.229,-0.046,-0.146
42,8.551,-3.847,356.588,566.238,-67.225,-59.073,-11.457,0.233,321.533,561.317,-55.933,83.911,-0.455,4.044,-0.477,4.433,-1.056,4.229,-0.047,-0.149
43,8.438,-3.902,356.588,566.238,-67.225,-58.455,-11.022,-0.04,321.115,564.301,-57.623,81.81,-0.455,4.044,-0.49,4.464,-1.07,4.243,-0.048,-0.153
44,8.343,-3.673,356.588,566.238,-67.225,-60.835,-10.798,-0.081,321.51,567.81,-55.86,79.071,-0.456,4.044,-0.475,4.486,-1.056,4.253,-0.049,-0.156
45,8.401,-3.707,356.588,566.238,-67.225,-62.802,-11.11,0.316,321.069,564.632,-54.056,81.78,-0.455,4.044,-0.462,4.466,-1.058,4.244,-0.05,-0.159
46,8.307,-3.807,356.61,572.585,-63.645,-65.201,-11.013,0.145,321.533,561.317,-55.933,79.66,-0.43,4.089,-0.476,4.434,-1.043,4.252,-0.051,-0.162
47,8.515,-3.583,356.158,569.353,-65.47,-60.153,-10.972,0.099,322.402,567.553,-55.987,81.904,-0.443,4.07,-0.475,4.471,-1.027,4.261,-0.051,-0.165
48,8.773,-3.506,356.588,566.238,-67.225,-64.226,-10.988,0.045,322.402,567.553,-55.987,82.179,-0.454,4.043,-0.475,4.471,-1.04,4.246,-0.052,-0.168
49,8.196,-3.74,355.714,572.543,-67.259,-62.296,-11.005,0.503,322.843,570.731,-57.79,83.317,-0.457,4.099,-0.488,4.489,-1.026,4.284,-0.052,-0.17
50,8.344,-3.729,355.714,572.543,-67.259,-61.18,-10.794,0.41,322.843,570.731,-57.79,81.566,-0.457,4.099,-0.488,4.489,-1.025,4.284,-0.053,-0.172
51,8.479,-3.707,356.158,569.353,-65.47,-59.513,-10.836,0.094,322.402,567.553,-55.987,80.783,-0.443,4.071,-0.474,4.471,-1.027,4.261,-0.053,-0.174
52,8.617,-3.638,356.61,572.585,-63.645,-59.777,-10.932,0.14,321.938,570.868,-54.11,83.286,-0.429,4.088,-0.461,4.504,-1.028,4.285,-0.053,-0.175
53,8.377,-3.479,355.745,572.706,-63.701,-66.49,-10.876,0.412,321.984,570.538,-57.676,85.875,-0.431,4.099,-0.488,4.499,-1.028,4.289,-0.053,-0.177
54,8.339,-3.142,356.61,572.585,-63.645,-61.459,-11.057,0.008,322.843,570.731,-57.79,82.566,-0.43,4.087,-0.489,4.49,-1.026,4.279,-0.053,-0.178
55,8.475,-3.748,356.165,575.775,-65.434,-57.52,-11.24,-0.666,322.807,577.105,-54.163,82.178,-0.443,4.117,-0.461,4.543,-1.013,4.319,-0.053,-0.179
56,8.602,-4.869,358.33,591.443,-66.981,-59.165,-10.93,-1.563,324.127,592.562,-55.96,84.048,-0.451,4.206,-0.472,4.648,-1.034,4.416,-0.053,-0.18
57,8.588,-5.955,359.654,600.975,-65.063,-62.214,-11.382,-2.603,325.427,595.933,-57.878,84.33,-0.436,4.261,-0.486,4.659,-1.031,4.45,-0.053,-0.18
58,8.376,-5.358,361.85,616.806,-63.051,-62.103,-11.471,-1.794,326.747,611.39,-59.674,80.17,-0.42,4.344,-0.499,4.758,-1.04,4.541,-0.053,-0.18
59,8.062,-5.326,362.268,632.479,-64.726,-64.22,-10.951,-0.949,327.175,627.104,-61.344,84.059,-0.432,4.449,-0.509,4.871,-1.05,4.65,-0.053,-0.179
60,7.809,-5.716,362.707,654.499,-62.82,-67.969,-11.342,-1.756,327.59,642.699,-59.459,89.464,-0.418,4.599,-0.495,4.989,-1.036,4.784,-0.053,-0.177
61,7.809,-5.242,363.156,670.335,-60.935,-66.129,-11.268,-1.046,328.028,664.456,-61.068,90.883,-0.405,4.703,-0.507,5.148,-1.034,4.914,-0.052,-0.174
62,7.408,-5.157,364.046,695.586,-57.204,-67.935,-11.51,-1.15,327.574,686.47,-62.551,90.492,-0.379,4.867,-0.52,5.326,-1.048,5.085,-0.052,-0.169
63,7.278,-5.754,363.621,717.728,-55.353,-66.556,-11.026,-1.608,327.975,714.6,-60.532,94.534,-0.367,5.029,-0.502,5.539,-1.02,5.271,-0.052,-0.163
64,7.578,-6.03,363.616,742.937,-55.236,-71.927,-11.184,-1.933,327.521,736.615,-62.015,97.993,-0.365,5.206,-0.515,5.718,-1.033,5.449,-0.052,-0.154
65,8.002,-5.488,363.611,768.146,-55.119,-69.298,-10.375,-1.451,327.508,761.807,-65.301,98.469,-0.363,5.381,-0.538,5.913,-1.043,5.633,-0.051,-0.143
66,7.866,-5.5,361.849,799.544,-55.106,-72.527,-10.707,-2.038,327.054,783.821,-66.783,99.906,-0.365,5.628,-0.551,6.094,-1.031,5.849,-0.051,-0.129
67,7.74,-6.141,359.645,821.526,-56.941,-70.079,-10.496,-2.188,325.718,799.479,-64.658,101.256,-0.381,5.819,-0.536,6.241,-1.02,6.02,-0.051,-0.113
68,7.035,-6.788,357.472,843.672,-55.218,-72.33,-10.743,-3.214,324.823,818.315,-64.337,105.498,-0.373,6.014,-0.536,6.409,-0.997,6.202,-0.05,-0.093
69,6.894,-7.543,356.196,865.859,-49.88,-74.32,-10.794,-4.338,324.819,836.894,-64.142,102.621,-0.336,6.195,-0.534,6.558,-0.958,6.368,-0.05,-0.07
70,6.626,-8.491,356.162,878.301,-53.38,-76.116,-11.076,-4.797,323.496,852.671,-65.571,101.827,-0.362,6.287,-0.549,6.71,-1,6.488,-0.049,-0.044
71,7.33,-9.329,356.611,894.137,-51.496,-71.656,-10.55,-5.796,323.019,868.523,-63.56,99.024,-0.346,6.395,-0.532,6.847,-1,6.61,-0.049,-0.014
72,7.591,-10.141,356.585,912.999,-54.959,-76.068,-10.784,-6.744,323.006,881.059,-63.426,101.101,-0.37,6.532,-0.532,6.949,-1.012,6.73,-0.048,0.018
73,8.087,-11.255,357.003,928.673,-56.633,-69.169,-11.059,-7.461,323.006,893.715,-66.846,96.795,-0.38,6.639,-0.56,7.051,-1.037,6.834,-0.047,0.054
74,8.143,-12.951,356.998,953.882,-56.516,-69.378,-11.193,-8.537,323.016,899.758,-66.785,98.581,-0.379,6.823,-0.559,7.101,-1.036,6.955,-0.046,0.093
75,7.706,-13.271,356.995,966.487,-56.457,-69.777,-11.513,-9.977,323.421,909.309,-64.962,100.217,-0.38,6.914,-0.545,7.172,-1.023,7.036,-0.046,0.135
76,7.79,-14.558,357.867,972.786,-56.364,-66.77,-11.88,-10.371,324.313,921.708,-68.508,101.382,-0.378,6.945,-0.573,7.25,-1.033,7.09,-0.045,0.18
77,7.92,-15.667,357.896,985.554,-52.747,-68.963,-11.714,-11.368,324.727,937.303,-66.624,101.33,-0.352,7.038,-0.557,7.366,-1.005,7.194,-0.044,0.228
78,8.049,-16.573,358.765,1004.459,-52.596,-74.363,-11.317,-12.183,324.287,946.78,-68.24,94.617,-0.35,7.157,-0.569,7.453,-1.031,7.298,-0.044,0.278
79,8.576,-17.192,359.193,1013.949,-54.292,-73.121,-11.136,-12.949,323.359,953.411,-64.487,97.825,-0.36,7.218,-0.541,7.529,-1.046,7.365,-0.043,0.33
80,7.65,-17.786,359.659,1017.106,-48.923,-70.267,-10.87,-13.722,323.846,956.258,-69.857,100.257,-0.324,7.232,-0.581,7.542,-1.045,7.379,-0.042,0.385
81,7.954,-18.898,359.212,1032.9,-50.653,-76.136,-10.798,-14.261,322.536,959.5,-71.42,98.17,-0.336,7.356,-0.596,7.6,-1.074,7.471,-0.042,0.441
82,7.209,-19.914,358.337,1039.205,-50.687,-73.16,-10.401,-15.243,320.343,956.385,-69.375,92.785,-0.339,7.422,-0.582,7.63,-1.094,7.52,-0.042,0.5
83,6.907,-20.233,357.035,1036.02,-49.025,-76.006,-10.878,-16.194,319.461,962.685,-69.188,97.685,-0.329,7.427,-0.584,7.704,-1.084,7.558,-0.041,0.56
84,6.635,-21.529,354.867,1032.956,-47.419,-76.333,-10.441,-17.128,317.269,959.571,-67.143,98.767,-0.321,7.454,-0.57,7.736,-1.078,7.587,-0.041,0.622
85,6.945,-22.679,353.971,1032.914,-51.033,-77.704,-10.544,-18.661,314.221,950.34,-68.599,99.38,-0.347,7.476,-0.588,7.741,-1.14,7.6,-0.041,0.684
86,6.983,-23.523,352.227,1020.314,-51.219,-75.629,-10.102,-20.143,312.029,947.226,-66.555,98.241,-0.35,7.424,-0.574,7.775,-1.147,7.589,-0.042,0.748
87,6.978,-25.345,350.483,1007.714,-51.404,-78.981,-9.824,-21.125,310.709,931.769,-64.759,101.842,-0.353,7.375,-0.561,7.684,-1.138,7.52,-0.042,0.812
88,7.194,-25.624,350.034,991.878,-53.288,-81.439,-9.678,-21.889,310.281,916.055,-63.089,99.681,-0.366,7.27,-0.547,7.569,-1.139,7.411,-0.043,0.877
89,6.973,-26.855,348.268,972.931,-57.054,-83.092,-9.887,-23.176,311.199,903.381,-66.903,103.973,-0.396,7.173,-0.578,7.447,-1.124,7.302,-0.044,0.942
90,7.008,-28.732,347.829,950.912,-58.96,-80.999,-10.328,-24.703,312.94,884.619,-63.785,98.88,-0.41,7.026,-0.55,7.258,-1.08,7.136,-0.045,1.005
91,6.732,-31.252,346.92,906.709,-66.331,-84.391,-10.484,-26.436,313.835,865.783,-64.106,101.321,-0.466,6.728,-0.552,7.091,-1.079,6.9,-0.046,1.068
92,6.902,-34.258,346.486,859.48,-68.354,-83.341,-10.653,-27.728,313.384,843.906,-58.943,103.859,-0.481,6.399,-0.511,6.928,-1.069,6.65,-0.048,1.128
93,8.346,-36.881,345.141,799.366,-74.066,-88.734,-10.272,-30.277,312.96,809.613,-57.468,99.906,-0.521,5.989,-0.499,6.667,-1.069,6.311,-0.049,1.186
94,8.467,-41.217,345.532,726.718,-83.253,-97.215,-10.529,-32.689,310.343,772.205,-53.949,97.637,-0.588,5.461,-0.475,6.424,-1.148,5.917,-0.05,1.24
95,9.19,-45.535,346.356,638.35,-94.253,-94.718,-10.591,-34.958,306.87,716.025,-50.51,99.315,-0.665,4.812,-0.452,6.039,-1.256,5.389,-0.051,1.29
96,8.81,-49.856,348.055,543.677,-105.219,-98.61,-11.5,-36.862,306.04,659.525,-47.439,100.597,-0.743,4.11,-0.431,5.593,-1.331,4.804,-0.053,1.335
97,9.664,-54.308,349.74,449.079,-119.728,-99.492,-11.728,-39.938,306.119,584.308,-48.242,94.389,-0.842,3.416,-0.438,4.977,-1.414,4.145,-0.055,1.372
98,9.99,-58.222,351.46,360.753,-127.114,-101.615,-12.298,-42.91,310.964,506.053,-44.399,91.193,-0.89,2.772,-0.402,4.27,-1.36,3.475,-0.058,1.402
99,10.405,-60.287,354.506,269.354,-132.64,-102.568,-12.723,-47.395,317.619,414.867,-44.496,85.488,-0.921,2.099,-0.395,3.465,-1.3,2.745,-0.062,1.422
100,10.489,-61.96,358.417,177.834,-138.11,-93.892,-12.074,-48.647,322.576,273.601,-44.889,88.845,-0.95,1.432,-0.391,2.304,-1.286,1.845,-0.066,1.432
101,10.373,-57.715,355.821,58.097,-138.858,-94.961,-11.928,-48.965,323.99,170.07,-44.398,81.794,-0.962,0.576,-0.385,1.483,-1.222,1.008,-0.07,1.43
102,8.551,-56.715,353.659,-14.412,-137.582,-91.553,-11.349,-50.825,324.497,97.911,-43.451,75.442,-0.964,0.056,-0.375,0.921,-1.174,0.47,-0.074,1.416
103,7.908,-60.598,352.789,-96.265,-141.57,-90.995,-11.721,-54.255,321.073,22.822,-43.773,69.578,-0.997,-0.522,-0.382,0.348,-1.242,-0.108,-0.078,1.388
104,7.985,-65.025,352.78,-165.635,-145.444,-83.764,-11.085,-58.68,319.352,-33.422,-40.575,60.63,-1.025,-1.009,-0.357,-0.084,-1.276,-0.569,-0.082,1.346
105,8.208,-67.696,355.404,-247.497,-149.179,-79.716,-12.067,-60.075,317.679,-108.575,-41.138,58.005,-1.043,-1.579,-0.367,-0.681,-1.364,-1.155,-0.087,1.291
106,8.216,-67.877,357.563,-313.804,-154.658,-79.984,-12.22,-59.649,318.15,-174.36,-36.565,54.741,-1.076,-2.04,-0.33,-1.206,-1.391,-1.648,-0.091,1.222
107,8.946,-68.134,358.434,-370.453,-158.402,-74.231,-12.366,-60.397,318.634,-240.026,-35.545,44.315,-1.098,-2.436,-0.322,-1.726,-1.404,-2.102,-0.097,1.14
108,9.434,-68.869,356.232,-424.023,-164.133,-69.413,-13.315,-61.401,319.127,-299.648,-34.465,42.45,-1.144,-2.831,-0.316,-2.194,-1.381,-2.53,-0.102,1.045
109,10.235,-68.333,354.065,-471.322,-162.74,-69.413,-14.354,-61.511,319.179,-362.449,-31.581,43.389,-1.139,-3.189,-0.296,-2.694,-1.331,-2.954,-0.108,0.936
110,10.722,-67.388,351.43,-509.174,-166.657,-67.9,-14.929,-61.368,319.659,-409.535,-30.366,42.224,-1.174,-3.489,-0.288,-3.064,-1.293,-3.287,-0.113,0.815
111,10.881,-68.257,347.952,-540.557,-167.05,-64.213,-14.788,-62.738,318.82,-459.422,-30.776,40.03,-1.188,-3.751,-0.291,-3.465,-1.259,-3.614,-0.119,0.681
112,11.636,-69.389,346.189,-572.108,-170.874,-61.265,-14.134,-63.486,320.147,-493.779,-29.542,41.204,-1.22,-3.998,-0.278,-3.721,-1.214,-3.865,-0.125,0.536
113,11.187,-70.104,345.742,-600.549,-172.817,-64.089,-14.166,-64.102,320.65,-534.703,-31.82,37.983,-1.237,-4.21,-0.296,-4.038,-1.215,-4.127,-0.13,0.381
