"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,10.337,-3.202,351.248,376.604,-86.263,-83.751,-13.461,1.458,327.212,401.158,-28.19,110.891,-0.594,2.732,-0.26,3.11,-0.838,2.914,0.01,0.004
2,9.869,-3.151,350.827,373.535,-84.53,-80.852,-13.678,1.601,327.249,394.784,-31.817,110.912,-0.584,2.713,-0.288,3.059,-0.839,2.88,0.016,0.005
3,10.161,-3.42,350.827,373.535,-84.53,-80.493,-13.23,1.611,327.226,388.622,-28.324,104.552,-0.583,2.714,-0.26,3.012,-0.825,2.858,0.021,0.007
4,10.308,-3.276,351.258,370.42,-86.285,-79.999,-13.399,1.203,328.108,382.322,-28.511,107.75,-0.595,2.688,-0.261,2.956,-0.823,2.817,0.027,0.008
5,10.06,-3.48,350.375,370.304,-86.356,-81.6,-13.358,1.242,328.535,385.38,-26.761,107.011,-0.597,2.694,-0.247,2.976,-0.796,2.831,0.032,0.009
6,10.157,-3.431,349.955,367.236,-84.623,-82.701,-13.132,0.707,328.108,382.322,-28.511,105.222,-0.585,2.675,-0.26,2.958,-0.796,2.812,0.038,0.01
7,10.301,-3.523,349.955,367.236,-84.623,-77.524,-13.341,1.02,327.666,379.144,-26.707,105.913,-0.585,2.675,-0.247,2.936,-0.798,2.801,0.044,0.011
8,10.433,-3.45,349.083,360.936,-84.716,-82.892,-12.954,1.161,328.108,382.322,-28.511,105.337,-0.587,2.636,-0.26,2.956,-0.782,2.791,0.049,0.012
9,10.293,-3.578,349.075,354.514,-84.753,-82.752,-13.345,1.204,328.99,376.022,-28.699,107.468,-0.587,2.59,-0.262,2.899,-0.768,2.74,0.055,0.012
10,10.47,-3.774,349.958,354.631,-84.682,-75.965,-13.441,1.158,329.859,382.258,-28.752,104.237,-0.585,2.585,-0.262,2.94,-0.766,2.757,0.061,0.012
11,10.258,-3.604,349.958,354.631,-84.682,-81.3,-13.358,1.563,329.418,379.08,-26.948,103.163,-0.585,2.584,-0.248,2.918,-0.767,2.746,0.067,0.011
12,10.351,-3.816,349.516,345.216,-86.529,-79.526,-13.438,0.978,329.431,366.544,-27.082,101.957,-0.599,2.52,-0.249,2.823,-0.768,2.667,0.073,0.011
13,10.298,-3.657,349.086,348.331,-84.774,-79.246,-13.479,1.341,329.408,373.037,-27.009,107.345,-0.587,2.545,-0.249,2.872,-0.755,2.704,0.079,0.01
14,10.2,-3.638,349.516,345.216,-86.529,-78.601,-13.481,0.713,329.408,373.037,-27.009,105.303,-0.6,2.519,-0.249,2.874,-0.768,2.691,0.085,0.008
15,9.905,-3.687,348.665,345.263,-83.042,-84.126,-13.298,0.852,328.967,369.859,-25.205,104.211,-0.577,2.526,-0.235,2.853,-0.743,2.685,0.092,0.006
16,9.687,-3.716,348.213,342.031,-84.867,-76.947,-13.078,1.297,328.967,369.859,-25.205,105.332,-0.591,2.506,-0.234,2.852,-0.743,2.674,0.098,0.004
17,9.688,-3.277,348.213,342.031,-84.867,-77.04,-13.023,0.985,328.562,360.308,-27.029,100.287,-0.591,2.504,-0.248,2.782,-0.757,2.639,0.104,0.002
18,10.029,-3.743,349.088,335.726,-84.833,-80.071,-13.343,0.992,329.003,363.486,-28.833,104.208,-0.589,2.453,-0.263,2.803,-0.769,2.623,0.11,-0.001
19,9.725,-3.908,347.772,332.616,-86.715,-83.087,-13.31,1.038,328.098,363.623,-25.152,104.88,-0.605,2.441,-0.235,2.812,-0.758,2.621,0.116,-0.004
20,10.381,-3.877,348.216,329.426,-84.926,-83.84,-13.118,0.673,328.134,357.249,-28.779,102.812,-0.59,2.414,-0.262,2.763,-0.77,2.584,0.122,-0.007
21,9.737,-3.604,347.796,326.358,-83.193,-81.954,-13.031,0.993,328.98,357.323,-25.339,101.782,-0.58,2.394,-0.235,2.756,-0.73,2.57,0.128,-0.011
22,9.677,-4.051,347.344,323.126,-85.019,-75.384,-13.156,0.98,329.444,354.008,-27.216,104.912,-0.594,2.375,-0.249,2.726,-0.729,2.546,0.134,-0.016
23,9.904,-3.965,346.472,316.826,-85.111,-79.157,-13.692,0.049,329.908,350.692,-29.093,100.944,-0.595,2.334,-0.265,2.7,-0.714,2.512,0.14,-0.02
24,9.953,-4.172,347.798,313.753,-83.252,-79.228,-13.458,0.548,330.326,347.708,-27.404,108.118,-0.579,2.303,-0.251,2.672,-0.714,2.483,0.146,-0.025
25,10.038,-3.725,347.777,307.407,-86.832,-77.803,-13.368,0.413,330.79,344.393,-29.28,103.554,-0.605,2.256,-0.265,2.643,-0.726,2.445,0.151,-0.031
26,9.848,-4.174,347.769,300.985,-86.869,-80.561,-13.371,0.236,331.649,344.586,-29.395,102.77,-0.606,2.21,-0.265,2.638,-0.711,2.419,0.157,-0.037
27,10.21,-3.991,346.905,301.107,-86.925,-81.356,-13.544,-0.128,331.649,344.586,-29.395,104.198,-0.607,2.216,-0.266,2.639,-0.697,2.423,0.163,-0.044
28,10.158,-4.131,347.349,297.917,-85.136,-77.939,-12.87,0.366,331.208,341.408,-27.591,109.274,-0.593,2.19,-0.25,2.617,-0.698,2.399,0.169,-0.051
29,10.376,-4.225,347.78,294.802,-86.891,-80.953,-13.28,0.365,332.113,341.271,-31.272,103.88,-0.605,2.165,-0.279,2.609,-0.709,2.382,0.175,-0.058
30,10.251,-4.334,347.349,297.917,-85.136,-75.27,-12.651,0.284,332.113,341.271,-31.272,102.597,-0.593,2.191,-0.277,2.609,-0.695,2.395,0.18,-0.066
31,10.161,-4.305,346.897,294.685,-86.962,-79.144,-13.585,0.409,331.208,341.408,-27.591,104.556,-0.608,2.17,-0.252,2.617,-0.698,2.388,0.186,-0.074
32,10.303,-3.955,346.897,294.685,-86.962,-84.602,-13.016,0.27,331.222,341.528,-31.145,103.131,-0.607,2.169,-0.278,2.618,-0.71,2.388,0.192,-0.083
33,10.171,-4.172,346.477,291.617,-85.229,-77.367,-13.153,0.24,331.208,341.408,-27.591,101.057,-0.596,2.15,-0.251,2.618,-0.685,2.378,0.197,-0.092
34,10.441,-4.38,346.477,291.617,-85.229,-77.825,-13.521,0.322,331.208,341.408,-27.591,102.369,-0.595,2.15,-0.252,2.617,-0.685,2.379,0.203,-0.101
35,10.241,-4.418,346.477,291.617,-85.229,-73.974,-13.197,0.849,331.649,344.586,-29.395,98.548,-0.595,2.151,-0.265,2.637,-0.683,2.388,0.208,-0.11
36,9.906,-4.045,345.161,288.507,-87.11,-76.418,-13.148,0.325,331.649,344.586,-29.395,99.717,-0.612,2.135,-0.264,2.638,-0.67,2.381,0.213,-0.119
37,9.769,-4.169,345.605,285.317,-85.321,-76.338,-13.14,0.726,331.208,341.408,-27.591,97.829,-0.599,2.109,-0.251,2.616,-0.672,2.357,0.219,-0.129
38,9.946,-4.196,345.605,285.317,-85.321,-76.656,-12.921,0.417,331.672,338.093,-29.468,99.35,-0.598,2.109,-0.264,2.588,-0.67,2.344,0.224,-0.138
