"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,11.105,-3.272,351.027,361.524,-56.166,-53.403,-13.977,-0.147,323.819,411.892,9.716,64.512,-0.375,2.625,0.033,3.231,-0.64,2.916,-0.001,-0.001
2,11.177,-3.176,351.027,361.524,-56.166,-52.124,-14.036,-0.373,323.355,415.207,11.593,63.007,-0.375,2.625,0.048,3.263,-0.641,2.931,-0.002,-0.002
3,11.254,-3.395,351.472,358.334,-54.377,-53.219,-14.029,-0.596,323.355,415.207,11.593,64.813,-0.361,2.599,0.048,3.263,-0.641,2.917,-0.003,-0.003
4,11.015,-3.025,351.027,361.524,-56.166,-48.69,-14.08,-0.244,322.914,412.029,13.397,64.356,-0.375,2.625,0.062,3.242,-0.642,2.92,-0.003,-0.004
5,11.418,-3.129,351.027,361.524,-56.166,-51.353,-13.672,-0.065,322.914,412.029,13.397,64.126,-0.374,2.625,0.063,3.241,-0.641,2.92,-0.004,-0.005
6,11.046,-2.996,351.017,367.707,-56.144,-51.665,-13.844,-0.108,322.496,415.014,11.708,68.755,-0.375,2.669,0.05,3.269,-0.656,2.956,-0.004,-0.006
7,11.378,-3.023,351.027,361.524,-56.166,-50.295,-14.255,-0.821,323.355,415.207,11.593,66.229,-0.374,2.625,0.047,3.264,-0.641,2.931,-0.005,-0.006
8,10.852,-3.27,350.597,364.639,-54.412,-49.912,-14.38,-0.373,323.819,411.892,9.716,67.291,-0.363,2.651,0.032,3.232,-0.627,2.93,-0.006,-0.007
9,11.205,-2.636,351.041,361.449,-52.623,-56.845,-14.115,-0.602,323.819,411.892,9.716,64.763,-0.349,2.623,0.033,3.233,-0.627,2.915,-0.006,-0.008
10,11.274,-2.917,350.153,367.828,-56.2,-52.699,-13.986,-0.375,324.247,414.95,11.467,61.258,-0.376,2.677,0.047,3.252,-0.611,2.953,-0.007,-0.009
11,11.633,-2.678,351.017,367.707,-56.144,-53.792,-13.981,-0.281,323.796,418.385,9.789,65.534,-0.373,2.668,0.034,3.283,-0.639,2.963,-0.007,-0.009
12,11.284,-2.725,350.597,364.639,-54.412,-52.577,-13.93,-0.322,323.783,418.266,13.344,66.309,-0.362,2.649,0.062,3.282,-0.613,2.953,-0.008,-0.01
13,11.199,-2.853,350.597,364.639,-54.412,-53.685,-13.926,-0.381,323.365,421.25,11.654,66.599,-0.362,2.65,0.049,3.31,-0.627,2.967,-0.008,-0.01
14,11.267,-3.185,351.017,367.707,-56.144,-52.045,-14.167,-0.197,323.806,424.428,9.85,68.347,-0.374,2.67,0.034,3.33,-0.639,2.987,-0.008,-0.011
15,11.202,-2.932,351.469,370.939,-54.319,-52.836,-14.07,-0.162,324.224,421.444,11.54,67.95,-0.361,2.689,0.047,3.302,-0.626,2.983,-0.009,-0.011
16,11.239,-3.009,351.469,370.939,-54.319,-51.715,-13.988,-0.017,323.365,421.25,11.654,65.522,-0.361,2.689,0.049,3.309,-0.641,2.986,-0.009,-0.011
17,11.551,-2.938,351.469,370.939,-54.319,-48.947,-14.692,-0.149,323.365,421.25,11.654,67.201,-0.36,2.689,0.047,3.309,-0.641,2.986,-0.009,-0.011
18,11.596,-3.035,350.597,364.639,-54.412,-54.802,-14.117,-0.103,322.937,418.192,9.904,68.716,-0.361,2.65,0.035,3.29,-0.641,2.957,-0.009,-0.011
19,11.235,-2.911,351.469,370.939,-54.319,-52.345,-14.086,-0.299,322.901,424.566,13.531,66.194,-0.361,2.689,0.063,3.341,-0.642,3.001,-0.01,-0.011
20,11.296,-2.949,351.049,367.87,-52.586,-52.244,-14.076,0.065,322.519,421.176,8.215,66.2,-0.348,2.67,0.021,3.317,-0.655,2.98,-0.01,-0.01
21,11.274,-2.87,350.597,364.639,-54.412,-55.849,-13.891,0.031,322.947,424.235,9.965,68.084,-0.362,2.65,0.036,3.337,-0.641,2.979,-0.01,-0.01
22,11.454,-2.817,351.049,367.87,-52.586,-52.658,-13.899,-0.023,322.055,424.492,10.091,66.908,-0.348,2.67,0.037,3.348,-0.656,2.994,-0.011,-0.01
23,11.206,-3.081,350.597,364.639,-54.412,-54.023,-14.001,-0.294,322.473,421.507,11.781,66.193,-0.362,2.65,0.05,3.321,-0.642,2.972,-0.011,-0.009
24,11.329,-2.805,350.597,364.639,-54.412,-50.268,-14.077,0.067,322.937,418.192,9.904,66.919,-0.362,2.65,0.035,3.289,-0.641,2.956,-0.012,-0.009
25,11.106,-2.912,351.049,367.87,-52.586,-55.438,-13.895,-0.375,322.937,418.192,9.904,66.967,-0.349,2.67,0.035,3.29,-0.642,2.967,-0.012,-0.008
26,10.967,-2.78,351.049,367.87,-52.586,-54.14,-14.028,-0.506,322.496,415.014,11.708,69.783,-0.349,2.67,0.049,3.27,-0.643,2.957,-0.012,-0.008
27,11.183,-2.739,351.049,367.87,-52.586,-52.923,-14.344,-0.25,322.937,418.192,9.904,65.751,-0.349,2.669,0.034,3.29,-0.642,2.967,-0.013,-0.007
28,11.25,-3.027,350.597,364.639,-54.412,-49.821,-14.032,0.033,322.937,418.192,9.904,69.822,-0.362,2.65,0.035,3.289,-0.641,2.957,-0.013,-0.007
29,11.6,-3.319,351.049,367.87,-52.586,-55.612,-14.022,-0.2,322.937,418.192,9.904,68.007,-0.348,2.671,0.035,3.29,-0.641,2.968,-0.013,-0.006
30,11.286,-3.337,351.049,367.87,-52.586,-54.014,-14.287,-0.103,323.819,411.892,9.716,67.994,-0.348,2.671,0.033,3.231,-0.627,2.94,-0.014,-0.006
31,11.049,-2.907,351.479,364.755,-54.341,-48.899,-14.467,-0.243,322.937,418.192,9.904,69.034,-0.361,2.644,0.034,3.29,-0.656,2.953,-0.014,-0.005
32,11.553,-3.044,351.041,361.449,-52.623,-49.567,-14.065,-0.243,323.355,415.207,11.593,65.886,-0.348,2.624,0.048,3.262,-0.627,2.93,-0.014,-0.005
33,10.965,-2.991,351.892,361.402,-56.11,-51.712,-13.989,-0.379,323.355,415.207,11.593,72.576,-0.374,2.617,0.048,3.263,-0.655,2.926,-0.015,-0.005
34,11.226,-2.555,351.049,367.87,-52.586,-49.575,-14.028,-0.366,322.914,412.029,13.397,65.219,-0.349,2.669,0.062,3.242,-0.629,2.944,-0.015,-0.005
35,10.652,-3.207,351.027,361.524,-56.166,-50.255,-13.901,0.208,322.914,412.029,13.397,64.432,-0.376,2.625,0.063,3.24,-0.643,2.92,-0.015,-0.004
36,10.745,-3.026,351.041,361.449,-52.623,-52.265,-14.523,-0.241,322.937,418.192,9.904,67.93,-0.35,2.624,0.033,3.29,-0.643,2.943,-0.015,-0.004
37,11.098,-2.824,351.041,361.449,-52.623,-51.393,-13.803,-0.149,322.045,405.793,13.45,63.006,-0.349,2.623,0.064,3.201,-0.644,2.9,-0.016,-0.004
38,11.056,-2.677,351.472,358.334,-54.377,-51.135,-14.118,-0.241,322.486,408.971,11.647,68.307,-0.362,2.597,0.048,3.222,-0.657,2.896,-0.016,-0.004
39,11.225,-2.825,351.041,361.449,-52.623,-52.338,-14.211,-0.24,322.95,405.656,9.77,67.608,-0.349,2.623,0.033,3.191,-0.642,2.895,-0.016,-0.005
40,11.462,-3.529,351.472,358.334,-54.377,-47.266,-14.158,0.032,323.378,408.714,11.52,66.572,-0.36,2.6,0.047,3.21,-0.641,2.892,-0.016,-0.005
41,11.052,-3.147,351.472,358.334,-54.377,-57.029,-14.111,-0.325,322.95,405.656,9.77,65.503,-0.362,2.599,0.034,3.191,-0.656,2.882,-0.017,-0.006
42,11.293,-2.809,351.472,358.334,-54.377,-57.467,-14.021,-0.377,322.95,405.656,9.77,67.276,-0.361,2.598,0.034,3.192,-0.655,2.882,-0.017,-0.006
43,11.144,-3.252,351.472,358.334,-54.377,-54.428,-14.253,-0.59,322.95,405.656,9.77,69.389,-0.361,2.599,0.033,3.192,-0.656,2.883,-0.017,-0.007
44,11.194,-3.268,351.472,358.334,-54.377,-52.816,-14.021,-0.557,323.368,402.671,11.459,65.832,-0.361,2.599,0.047,3.165,-0.642,2.87,-0.018,-0.008
