"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,19.112,-0.726,337.777,12.862,127.505,-16.507,-19.71,-3.222,246.44,-17.62,-35.756,4,1.015,0.099,-0.448,-0.169,-1.389,-0.014,-0.01,-0.006
2,19.036,-0.372,336.912,12.983,127.449,-16.346,-19.567,-4.117,246.858,-20.604,-34.067,2.264,1.017,0.099,-0.429,-0.195,-1.358,-0.026,-0.015,-0.01
3,18.846,-0.469,337.357,9.793,129.238,-15.738,-19.398,-3.534,246.858,-20.604,-34.067,5.448,1.029,0.075,-0.428,-0.198,-1.358,-0.04,-0.019,-0.013
4,19.202,-1.255,336.905,6.562,127.412,-14.321,-19.614,-3.759,247.299,-30.082,-32.45,4.715,1.017,0.053,-0.412,-0.294,-1.341,-0.094,-0.023,-0.017
5,18.488,-0.805,337.359,-2.811,129.179,-12.882,-20.14,-3.899,247.717,-33.066,-30.761,4.248,1.027,-0.019,-0.396,-0.323,-1.327,-0.148,-0.026,-0.021
6,19.02,-0.721,337.352,-9.233,129.142,-15.762,-19.653,-4.063,247.717,-33.066,-30.761,1.874,1.029,-0.067,-0.394,-0.323,-1.325,-0.176,-0.029,-0.025
7,18.89,-1.289,337.362,-15.416,129.12,-15.053,-19.647,-4.078,248.171,-42.425,-32.699,5.362,1.028,-0.112,-0.413,-0.418,-1.324,-0.242,-0.032,-0.03
8,18.829,-1.589,336.934,-24.906,130.816,-21.791,-19.786,-4.296,249.063,-42.682,-32.825,6.829,1.042,-0.183,-0.413,-0.418,-1.291,-0.283,-0.034,-0.035
9,18.79,-2.034,336.482,-28.137,128.991,-17.31,-20.135,-4.337,248.194,-48.918,-32.772,5.002,1.029,-0.206,-0.416,-0.483,-1.31,-0.324,-0.036,-0.041
10,18.973,-2.46,335.19,-37.505,130.631,-18.653,-20.087,-4.337,249.481,-45.666,-31.136,6.114,1.046,-0.277,-0.397,-0.448,-1.245,-0.35,-0.038,-0.048
11,18.664,-2.952,334.717,-47.084,125.225,-22.925,-19.902,-4.692,249.04,-48.844,-29.332,5.46,1.006,-0.349,-0.378,-0.48,-1.262,-0.404,-0.039,-0.055
12,18.875,-2.885,333.858,-53.459,128.675,-24.707,-19.862,-4.693,249.04,-48.844,-29.332,2.937,1.035,-0.398,-0.378,-0.48,-1.232,-0.433,-0.04,-0.063
13,18.948,-3.115,332.986,-59.758,128.583,-20.671,-19.73,-4.788,249.458,-51.829,-27.643,-1.689,1.038,-0.447,-0.36,-0.509,-1.2,-0.473,-0.041,-0.072
14,18.968,-2.877,333.409,-69.295,126.791,-23.992,-19.688,-4.419,249.04,-48.844,-29.332,1.53,1.023,-0.519,-0.377,-0.481,-1.232,-0.503,-0.041,-0.081
15,19.286,-2.869,333.861,-66.063,128.617,-25.166,-20.293,-4.416,249.017,-55.007,-25.839,5.791,1.036,-0.494,-0.344,-0.544,-1.217,-0.515,-0.04,-0.091
16,18.92,-3.045,333.861,-66.063,128.617,-24.38,-20.477,-4.92,249.9,-48.651,-29.446,6.063,1.035,-0.494,-0.38,-0.475,-1.215,-0.486,-0.039,-0.102
17,19.323,-2.894,333.385,-63.037,123.269,-28.709,-20.262,-4.96,249.922,-55.144,-29.519,8.966,0.997,-0.472,-0.38,-0.541,-1.229,-0.501,-0.038,-0.113
18,19.508,-2.638,333.837,-59.805,125.095,-23.567,-20.348,-5.144,249.458,-51.829,-27.643,5.343,1.01,-0.447,-0.362,-0.507,-1.23,-0.473,-0.037,-0.124
19,19.715,-2.503,333.393,-56.616,123.306,-31.121,-20.158,-5.006,250.327,-45.592,-27.696,7.251,0.998,-0.424,-0.361,-0.443,-1.211,-0.432,-0.035,-0.136
20,19.891,-2.445,332.97,-47.079,125.098,-27.252,-20.305,-5.02,250.755,-42.534,-25.946,6.09,1.014,-0.352,-0.343,-0.411,-1.179,-0.377,-0.034,-0.148
21,19.732,-2.158,333.39,-44.011,123.365,-25.192,-20.438,-4.478,250.291,-39.219,-24.069,7.863,0.999,-0.329,-0.325,-0.38,-1.196,-0.351,-0.032,-0.16
22,19.68,-2.178,332.064,-40.938,121.505,-29.066,-20.078,-4.479,250.742,-29.998,-25.812,10.073,0.988,-0.307,-0.341,-0.286,-1.178,-0.298,-0.029,-0.172
23,19.775,-1.636,332.936,-34.638,121.598,-28.224,-20.336,-4.026,251.16,-32.983,-24.122,10.064,0.987,-0.259,-0.324,-0.318,-1.177,-0.284,-0.027,-0.183
24,20.219,-1.987,332.492,-31.448,119.809,-29.613,-20.658,-3.71,252.029,-26.746,-24.176,8.61,0.976,-0.234,-0.325,-0.255,-1.158,-0.243,-0.024,-0.194
25,19.93,-1.643,331.617,-25.143,119.775,-29.556,-20.971,-4.216,253.316,-23.495,-22.54,11.386,0.977,-0.188,-0.308,-0.219,-1.109,-0.201,-0.021,-0.205
26,20.175,-1.418,330.742,-18.839,119.741,-25.393,-20.915,-4.07,254.198,-29.794,-22.727,11.463,0.98,-0.14,-0.309,-0.282,-1.075,-0.202,-0.017,-0.215
27,19.954,-0.63,329.447,-15.602,121.44,-29.066,-21.279,-4.02,255.531,-26.874,-24.657,13.995,0.997,-0.118,-0.328,-0.252,-1.026,-0.177,-0.013,-0.224
28,20.056,-1.127,329.423,-9.344,117.918,-29.538,-21.224,-3.883,256.841,-30.115,-23.094,15.426,0.97,-0.069,-0.31,-0.283,-1.006,-0.162,-0.009,-0.233
29,20.448,-0.906,327.677,-9.34,117.792,-28.76,-21.669,-3.966,257.723,-36.415,-23.282,11.847,0.975,-0.07,-0.313,-0.344,-0.958,-0.19,-0.004,-0.242
30,19.994,-0.468,327.246,-6.225,119.546,-27.425,-21.619,-4.071,259.011,-33.163,-21.646,15.724,0.989,-0.047,-0.295,-0.31,-0.909,-0.163,0.001,-0.249
31,20.158,0.022,325.951,-2.988,121.245,-27.932,-21.837,-4.423,259.88,-26.927,-21.699,13.289,1.006,-0.023,-0.295,-0.246,-0.86,-0.122,0.007,-0.257
32,19.967,-0.148,325.499,-6.22,119.419,-26.475,-21.257,-4.334,261.19,-30.169,-20.136,15.147,0.993,-0.048,-0.276,-0.277,-0.825,-0.15,0.014,-0.263
33,19.856,-0.37,324.204,-2.984,121.118,-33.671,-22.008,-4.24,262.049,-29.975,-20.251,13.259,1.01,-0.022,-0.279,-0.275,-0.778,-0.135,0.021,-0.27
34,19.653,-0.18,323.76,0.206,119.33,-29.935,-21.791,-4.054,263.8,-30.039,-20.492,15.879,0.997,0.002,-0.279,-0.274,-0.743,-0.122,0.03,-0.275
35,19.587,-0.212,322.878,0.089,119.259,-26.514,-22.581,-4.195,264.682,-36.339,-20.679,17.524,0.999,0.001,-0.283,-0.333,-0.711,-0.149,0.038,-0.28
36,19.262,-0.438,323.332,-9.284,121.026,-30.548,-22.401,-4.374,266.015,-33.418,-22.609,17.534,1.01,-0.072,-0.299,-0.303,-0.693,-0.176,0.048,-0.285
37,19.359,-0.417,322.46,-15.584,120.933,-28.556,-22.835,-4.368,266.433,-36.402,-20.92,16.834,1.012,-0.121,-0.284,-0.331,-0.662,-0.216,0.058,-0.289
38,19.671,-0.848,322.029,-12.469,122.687,-28.629,-22.833,-4.554,266.433,-36.402,-20.92,20.38,1.029,-0.096,-0.284,-0.33,-0.646,-0.202,0.069,-0.294
39,19.745,-0.493,322.029,-12.469,122.687,-30.903,-22.735,-4.634,267.743,-39.644,-19.357,19.692,1.029,-0.097,-0.268,-0.359,-0.612,-0.216,0.081,-0.298
40,19.265,-0.895,320.737,-21.837,124.328,-29.343,-22.954,-4.449,268.207,-42.959,-21.234,22.195,1.044,-0.17,-0.286,-0.39,-0.581,-0.27,0.093,-0.301
41,19.042,-0.582,321.157,-18.769,122.595,-31.385,-23.135,-4.444,267.756,-52.18,-19.491,20.038,1.029,-0.147,-0.27,-0.479,-0.598,-0.298,0.106,-0.305
42,19.412,-0.787,320.285,-25.068,122.502,-33.121,-23.13,-5.396,268.639,-58.48,-19.678,19.646,1.032,-0.196,-0.271,-0.533,-0.565,-0.35,0.12,-0.309
43,19.038,-0.829,319.865,-28.137,124.235,-30.585,-23.176,-5.296,268.639,-58.48,-19.678,24.294,1.046,-0.221,-0.271,-0.533,-0.55,-0.364,0.133,-0.313
44,19.36,-1.075,318.538,-25.064,122.375,-34.413,-22.898,-5.489,268.197,-61.658,-17.875,18.597,1.036,-0.196,-0.254,-0.564,-0.534,-0.364,0.148,-0.317
45,19.312,-0.641,317.664,-18.759,122.341,-32.451,-22.807,-5.392,268.197,-61.658,-17.875,20.747,1.039,-0.148,-0.253,-0.564,-0.518,-0.338,0.163,-0.322
46,18.995,-0.898,317.22,-15.569,120.552,-29.977,-22.944,-5.071,268.625,-58.6,-16.124,17.264,1.025,-0.122,-0.237,-0.535,-0.502,-0.311,0.178,-0.326
47,19.49,-0.864,316.345,-9.265,120.518,-31.344,-22.594,-5.574,268.602,-52.106,-16.051,14.755,1.029,-0.072,-0.235,-0.472,-0.484,-0.256,0.193,-0.33
48,19.039,-0.966,315.891,0.108,118.751,-30.625,-22.725,-5.303,268.602,-52.106,-16.051,22.983,1.015,0.004,-0.236,-0.473,-0.484,-0.215,0.209,-0.334
