"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,19.049,1.915,324.553,-25.377,108.608,-52.149,-21.394,-4.656,260.395,-105.699,-17.272,17.988,0.908,-0.204,-0.25,-1.013,-0.861,-0.565,0,0.005
2,19.131,1.907,324.102,-28.608,106.782,-48.018,-21.876,-4.656,259.526,-111.935,-17.218,21.069,0.896,-0.23,-0.252,-1.078,-0.879,-0.607,0.001,0.01
3,19.132,1.941,324.102,-28.608,106.782,-46.228,-21.739,-4.878,259.526,-111.935,-17.218,17.528,0.896,-0.23,-0.251,-1.077,-0.879,-0.607,0.001,0.015
4,19.046,1.651,324.102,-28.608,106.782,-48.699,-21.647,-5.102,259.526,-111.935,-17.218,15.034,0.895,-0.229,-0.251,-1.076,-0.879,-0.606,0.001,0.02
5,18.961,1.992,324.553,-25.377,108.608,-50.096,-21.822,-4.925,260.409,-118.235,-17.406,17.86,0.908,-0.205,-0.253,-1.135,-0.862,-0.619,0.002,0.025
6,18.867,1.644,324.102,-28.608,106.782,-45.099,-21.742,-4.795,259.945,-114.92,-15.529,16.77,0.895,-0.229,-0.235,-1.105,-0.863,-0.619,0.002,0.03
7,19.358,1.646,324.984,-28.492,106.853,-49.758,-21.696,-4.968,259.99,-115.25,-19.095,18.627,0.894,-0.228,-0.269,-1.107,-0.893,-0.619,0.003,0.035
8,19.318,1.687,325.849,-28.613,106.909,-51.84,-21.604,-4.704,260.836,-115.177,-15.655,16.462,0.892,-0.228,-0.234,-1.104,-0.875,-0.617,0.003,0.04
9,18.828,1.911,324.553,-25.377,108.608,-49.794,-21.291,-4.749,260.409,-118.235,-17.406,17.962,0.908,-0.204,-0.251,-1.135,-0.861,-0.619,0.003,0.045
10,19.183,1.682,324.984,-28.492,106.853,-46.022,-21.699,-4.39,259.945,-114.92,-15.529,18.963,0.894,-0.228,-0.234,-1.106,-0.878,-0.618,0.004,0.05
11,19.187,1.48,325.428,-31.681,108.642,-46.302,-21.569,-4.519,259.517,-117.978,-17.279,19.66,0.907,-0.252,-0.251,-1.137,-0.895,-0.645,0.004,0.055
12,19.113,1.806,324.976,-34.913,106.816,-45.69,-21.289,-5.193,259.981,-121.293,-19.156,12.938,0.893,-0.278,-0.268,-1.165,-0.893,-0.673,0.004,0.06
13,19.26,1.564,324.556,-37.981,108.549,-47.67,-21.497,-5.365,259.994,-133.829,-19.29,16.138,0.909,-0.302,-0.27,-1.287,-0.878,-0.74,0.005,0.064
14,18.88,1.478,324.559,-50.586,108.49,-47.208,-21.326,-5.681,259.553,-137.007,-17.486,15.062,0.907,-0.4,-0.252,-1.319,-0.88,-0.809,0.005,0.069
15,19.118,0.541,324.107,-53.818,106.665,-46.313,-21.508,-5.548,259.994,-133.829,-19.29,18.231,0.895,-0.423,-0.27,-1.286,-0.878,-0.808,0.005,0.072
16,18.979,1.254,324.131,-60.076,110.186,-48.63,-20.978,-5.817,259.994,-133.829,-19.29,17.564,0.922,-0.475,-0.268,-1.285,-0.863,-0.835,0.005,0.075
17,19.361,0.597,324.561,-63.191,108.432,-46.281,-21.415,-5.497,260.017,-140.323,-19.363,17.195,0.908,-0.496,-0.271,-1.35,-0.878,-0.876,0.005,0.078
