"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,25.638,-7.149,382.707,515.884,-358.669,-101.337,-28.027,2.19,342.3,472.725,101.987,137.257,-2.314,3.442,0.676,3.501,-1.539,3.47,-0.002,0.007
2,25.902,-7.459,382.7,509.462,-358.705,-102.484,-27.697,2.222,342.764,469.409,100.11,139.403,-2.313,3.401,0.662,3.472,-1.537,3.434,-0.002,0.01
3,25.732,-7.51,382.269,512.577,-356.951,-98.787,-27.974,2.402,342.754,463.367,100.049,138.653,-2.305,3.425,0.661,3.427,-1.526,3.426,-0.003,0.013
4,26.22,-7.184,382.7,509.462,-358.705,-101.366,-27.875,1.867,343.218,460.051,98.172,133.656,-2.312,3.4,0.646,3.399,-1.535,3.4,-0.003,0.016
5,25.652,-7.106,382.713,509.388,-355.162,-100.494,-27.928,1.914,343.636,457.067,99.862,130.84,-2.29,3.399,0.658,3.373,-1.511,3.387,-0.003,0.018
6,25.628,-6.968,383.596,509.504,-355.091,-97.233,-28.235,1.742,344.064,460.125,101.612,136.174,-2.285,3.392,0.669,3.392,-1.509,3.392,-0.003,0.02
7,25.566,-7.263,383.144,506.273,-356.917,-96.888,-28.504,2.141,344.505,463.303,99.808,140.023,-2.3,3.375,0.654,3.41,-1.508,3.392,-0.003,0.022
8,26.022,-7.1,383.151,512.694,-356.88,-97.296,-28.144,1.789,344.505,463.303,99.808,133.769,-2.298,3.417,0.655,3.411,-1.507,3.414,-0.002,0.023
9,25.74,-6.904,383.151,512.694,-356.88,-94.765,-28.096,2.275,344.505,463.303,99.808,135.142,-2.299,3.417,0.655,3.409,-1.507,3.413,-0.001,0.024
10,25.929,-6.984,383.572,515.762,-358.613,-99.874,-28.363,2.358,344.933,466.361,101.559,131.481,-2.307,3.434,0.666,3.427,-1.506,3.431,-0.001,0.025
11,25.852,-6.655,383.548,522.02,-362.134,-95.184,-28.681,2.45,344.028,466.499,105.239,135.438,-2.331,3.474,0.694,3.437,-1.521,3.457,0,0.026
12,25.865,-6.43,383.118,525.135,-360.38,-97.454,-28.109,2.407,344.051,472.661,101.746,134.037,-2.322,3.498,0.67,3.483,-1.52,3.491,0.001,0.027
13,25.954,-6.356,383.094,531.393,-363.901,-98.319,-28.418,2.267,343.587,475.976,103.623,135.414,-2.345,3.54,0.684,3.512,-1.534,3.527,0.002,0.028
14,25.789,-6.342,382.243,531.44,-360.414,-99.579,-28.421,2.274,343.587,475.976,103.623,138.301,-2.328,3.548,0.684,3.512,-1.511,3.531,0.003,0.03
15,26.084,-6.101,382.649,534.583,-365.69,-95.321,-28.153,2.407,344.015,479.035,105.373,136.511,-2.36,3.564,0.697,3.53,-1.52,3.548,0.005,0.031
16,25.598,-5.994,381.799,534.63,-362.202,-95.305,-28.418,2.629,344.92,478.897,101.693,137.556,-2.343,3.572,0.667,3.519,-1.494,3.547,0.006,0.032
17,25.997,-6.175,381.799,534.63,-362.202,-99.221,-28.114,2.442,345.338,475.913,103.382,136.523,-2.342,3.573,0.68,3.493,-1.48,3.535,0.007,0.034
18,25.647,-6.258,381.791,528.208,-362.239,-97.867,-28.411,2.42,345.802,472.597,101.505,137.262,-2.343,3.53,0.664,3.464,-1.479,3.499,0.009,0.035
19,25.771,-6.26,381.822,528.372,-358.681,-99.578,-28.374,2.05,346.684,466.298,101.318,134.025,-2.319,3.531,0.661,3.41,-1.452,3.474,0.01,0.037
20,26.055,-6.66,381.371,525.14,-360.506,-97.821,-28.678,1.961,346.22,469.613,103.195,134.395,-2.333,3.515,0.675,3.44,-1.454,3.479,0.012,0.039
21,25.726,-6.127,381.394,518.882,-356.985,-96.075,-28.634,2.092,346.22,469.613,103.195,135.062,-2.31,3.472,0.675,3.439,-1.442,3.456,0.014,0.04
22,25.906,-6.31,380.95,522.072,-358.774,-96.253,-28.414,2.366,346.684,466.298,101.318,136.156,-2.324,3.497,0.661,3.41,-1.44,3.456,0.016,0.042
23,25.824,-6.761,381.394,518.882,-356.985,-98.261,-28.936,2.099,346.684,466.298,101.318,135.398,-2.31,3.473,0.66,3.41,-1.441,3.443,0.018,0.043
24,25.96,-6.037,381.371,525.14,-360.506,-98.442,-28.417,2.362,346.243,463.12,103.122,134.053,-2.333,3.513,0.675,3.391,-1.453,3.455,0.021,0.044
25,25.832,-6.426,380.95,522.072,-358.774,-95.673,-28.589,2.694,346.243,463.12,103.122,135.859,-2.325,3.498,0.675,3.39,-1.442,3.446,0.023,0.045
26,25.386,-5.99,380.52,525.187,-357.019,-99.129,-28.323,2.102,346.684,466.298,101.318,138.323,-2.317,3.521,0.661,3.41,-1.429,3.468,0.026,0.046
27,25.687,-6.365,380.068,521.955,-358.845,-99.527,-28.497,2.361,346.243,463.12,103.122,134.709,-2.331,3.505,0.675,3.391,-1.43,3.45,0.028,0.047
28,25.272,-6.454,380.52,525.187,-357.019,-101.318,-28.769,2.007,345.779,466.435,104.998,134.055,-2.317,3.523,0.689,3.421,-1.433,3.474,0.031,0.048
29,25.662,-6.785,379.648,518.887,-357.112,-94.254,-28.586,1.917,346.243,463.12,103.122,132.626,-2.322,3.489,0.675,3.392,-1.419,3.443,0.034,0.048
30,25.211,-6.747,379.227,515.818,-355.379,-98.209,-28.95,2.098,345.815,460.061,101.371,134.692,-2.314,3.473,0.662,3.373,-1.421,3.425,0.037,0.049
31,25.8,-6.85,379.206,509.472,-358.959,-97.118,-28.454,2.184,344.91,460.199,105.052,136.485,-2.337,3.431,0.692,3.383,-1.435,3.408,0.04,0.049
32,25.574,-7.121,377.483,503.218,-355.564,-100.303,-28.421,1.792,344.482,457.14,103.301,137.905,-2.325,3.405,0.68,3.366,-1.414,3.386,0.042,0.05
33,25.477,-7.027,377.507,496.961,-352.043,-96.118,-28.591,1.826,344.041,453.962,105.105,135.395,-2.301,3.362,0.694,3.346,-1.403,3.355,0.046,0.05
34,25.846,-7.203,378.382,490.656,-352.009,-98.287,-28.327,1.38,344.946,453.825,101.425,133.305,-2.295,3.313,0.666,3.338,-1.411,3.325,0.049,0.049
35,25.355,-7.539,377.533,478.098,-348.58,-99.202,-28.435,1.164,346.292,444.21,99.36,136.212,-2.278,3.236,0.647,3.255,-1.372,3.245,0.052,0.049
36,25.206,-7.857,377.988,468.725,-346.813,-96.609,-28.435,1.03,347.174,437.91,99.173,135.111,-2.264,3.17,0.644,3.201,-1.357,3.185,0.055,0.047
37,24.985,-7.783,379.283,465.489,-348.512,-97.037,-28.475,0.547,347.211,431.536,95.546,130.142,-2.268,3.138,0.618,3.155,-1.394,3.146,0.059,0.046
38,25.387,-7.985,379.306,459.231,-344.99,-96.81,-28.609,0.411,348.52,428.295,97.109,135.852,-2.244,3.096,0.626,3.12,-1.353,3.108,0.062,0.043
39,25.063,-7.818,379.727,462.299,-346.723,-95.099,-28.342,0.359,348.047,425.567,98.925,132.65,-2.253,3.113,0.641,3.105,-1.367,3.109,0.066,0.04
40,24.899,-7.832,379.751,456.041,-343.201,-96.017,-28.736,0.507,348.511,422.252,97.048,129.057,-2.23,3.071,0.626,3.076,-1.354,3.073,0.069,0.036
41,25.659,-8.066,379.737,456.115,-346.745,-93.303,-28.691,0.678,349.844,425.173,95.118,130.178,-2.252,3.072,0.609,3.085,-1.348,3.078,0.073,0.032
