"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.058,-2.292,328.721,-116.29,142.205,-56.106,-17.315,0.262,254.201,-116.069,-60.968,74.78,1.141,-0.892,-0.677,-1.161,-1.113,-1.009,0.011,0.039
2,14.111,-2.518,328.742,-109.944,145.786,-53.998,-17.319,0.081,253.318,-109.769,-60.78,73.299,1.169,-0.842,-0.677,-1.101,-1.115,-0.955,0.015,0.06
3,13.829,-2.578,328.288,-100.571,144.019,-54.282,-17.148,0.255,253.318,-109.769,-60.78,68.386,1.156,-0.77,-0.676,-1.102,-1.115,-0.915,0.02,0.081
4,13.899,-2.063,328.288,-100.571,144.019,-49.844,-17.323,0.125,253.76,-106.591,-62.584,72.259,1.156,-0.772,-0.694,-1.067,-1.114,-0.901,0.025,0.103
5,14.191,-2.197,329.59,-97.386,142.357,-51.362,-16.927,-0.011,253.341,-103.607,-64.273,68.727,1.14,-0.744,-0.711,-1.039,-1.159,-0.872,0.029,0.125
6,14.366,-2.21,330.486,-97.344,145.971,-56.323,-16.919,0.041,252.877,-100.291,-62.397,74.11,1.165,-0.741,-0.693,-1.008,-1.161,-0.857,0.033,0.148
7,14.283,-2.439,330.93,-100.533,147.76,-51.974,-17.202,-0.106,252.414,-96.976,-60.52,65.807,1.177,-0.764,-0.676,-0.975,-1.163,-0.856,0.036,0.171
8,14.155,-2.121,331.789,-94.159,144.309,-58.876,-17.301,0.74,251.995,-93.991,-62.209,71.159,1.147,-0.714,-0.695,-0.95,-1.21,-0.816,0.04,0.194
9,14.064,-1.897,331.781,-100.58,144.272,-58.489,-16.819,0.477,251.113,-87.692,-62.022,69.454,1.147,-0.764,-0.694,-0.889,-1.228,-0.818,0.042,0.218
10,14.382,-2.015,332.233,-97.348,146.098,-54.221,-16.982,0.516,251.577,-91.007,-63.899,71.904,1.16,-0.738,-0.712,-0.921,-1.226,-0.817,0.045,0.242
11,14.548,-1.658,332.661,-87.859,144.402,-54.206,-16.861,0.553,250.231,-81.392,-61.835,72.559,1.146,-0.666,-0.694,-0.828,-1.26,-0.736,0.047,0.266
12,14.315,-1.901,332.661,-87.859,144.402,-56.345,-16.984,1.192,250.231,-81.392,-61.835,73.714,1.145,-0.665,-0.695,-0.831,-1.261,-0.736,0.048,0.291
13,14.606,-1.793,331.779,-87.975,144.331,-58.399,-16.689,1.01,249.349,-75.092,-61.647,71.209,1.149,-0.668,-0.694,-0.769,-1.263,-0.711,0.05,0.315
14,14.491,-1.652,332.199,-84.907,142.598,-59.301,-16.605,0.784,249.349,-75.092,-61.647,66.644,1.134,-0.644,-0.694,-0.768,-1.278,-0.697,0.05,0.34
15,14.55,-2.368,332.661,-87.859,144.402,-55.549,-17.233,1.276,249.79,-71.914,-63.451,68.296,1.146,-0.664,-0.714,-0.736,-1.278,-0.695,0.051,0.365
16,14.623,-2.557,332.653,-94.28,144.365,-55.718,-17.085,1.276,249.349,-75.092,-61.647,72.934,1.146,-0.712,-0.696,-0.77,-1.279,-0.737,0.051,0.39
17,14.365,-1.889,333.105,-91.048,146.191,-60.737,-16.963,0.919,248.931,-72.107,-63.336,70.428,1.158,-0.689,-0.714,-0.739,-1.296,-0.71,0.05,0.415
18,14.408,-2.71,333.084,-97.395,142.61,-56.7,-17.136,1.007,248.921,-78.15,-63.397,71.108,1.131,-0.735,-0.715,-0.801,-1.312,-0.763,0.05,0.44
19,14.241,-2.329,333.084,-97.395,142.61,-58.415,-16.83,1.097,247.598,-75.028,-61.406,71.527,1.13,-0.736,-0.697,-0.774,-1.332,-0.752,0.048,0.464
20,14.678,-2.542,333.956,-91.095,142.703,-55.423,-16.774,1.45,248.526,-81.659,-65.16,70.435,1.129,-0.685,-0.733,-0.84,-1.342,-0.751,0.047,0.488
