"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,23.902,1.59,448.129,209.84,-25.005,-128.927,-27.613,-1.531,409.472,68.615,164.986,114.943,-0.089,1.186,0.957,0.429,-0.105,0.825,0.002,0.053
2,23.902,1.574,448.549,212.909,-26.738,-129.751,-27.416,-1.177,409.9,71.674,166.736,119.232,-0.098,1.202,0.967,0.447,-0.104,0.842,0.003,0.08
3,24.424,1.451,450.296,212.904,-26.612,-130.324,-27.7,-1.225,409.887,84.21,166.87,122.436,-0.096,1.198,0.967,0.525,-0.126,0.877,0.004,0.108
4,24.455,1.382,450.717,215.972,-28.344,-129.586,-27.651,-1.22,410.792,84.072,163.189,118.495,-0.106,1.214,0.942,0.523,-0.136,0.884,0.006,0.137
5,24.385,1.691,451.599,216.089,-28.273,-130.921,-28.283,-1.145,411.22,87.131,164.94,119.114,-0.105,1.212,0.951,0.541,-0.137,0.892,0.007,0.166
6,24.291,1.678,452.033,219.083,-26.463,-133.754,-27.482,-1.172,410.756,90.446,166.817,119.67,-0.095,1.227,0.965,0.562,-0.137,0.911,0.008,0.195
7,24.414,1.603,452.043,212.899,-26.485,-131.312,-27.709,-0.556,410.766,96.489,166.878,116.369,-0.095,1.193,0.965,0.598,-0.137,0.91,0.01,0.225
8,24.203,1.784,452.043,212.899,-26.485,-128.055,-27.757,-0.513,410.743,102.982,166.951,118.496,-0.095,1.192,0.965,0.638,-0.138,0.928,0.011,0.255
9,24.681,1.28,452.463,215.968,-28.218,-129.789,-27.615,-0.38,410.743,102.982,166.951,114.978,-0.104,1.21,0.966,0.638,-0.147,0.937,0.013,0.285
10,24.156,1.361,451.613,216.014,-24.73,-131.647,-27.762,-0.514,409.861,109.282,167.138,117.77,-0.086,1.212,0.969,0.678,-0.138,0.958,0.014,0.315
11,23.942,1.514,450.74,209.714,-24.823,-127.971,-27.401,-0.613,409.015,109.208,163.698,117.054,-0.087,1.178,0.95,0.68,-0.148,0.941,0.015,0.345
12,24.076,1.416,450.717,215.972,-28.344,-128.364,-27.672,-0.3,408.11,109.346,167.379,118.125,-0.107,1.214,0.975,0.681,-0.16,0.961,0.017,0.376
13,23.455,1.444,449.866,216.019,-24.857,-129.497,-27.68,-0.024,408.11,109.346,167.379,118.141,-0.088,1.216,0.975,0.681,-0.139,0.962,0.018,0.406
14,23.941,1.187,450.31,212.829,-23.068,-131.371,-27.236,-0.748,407.264,109.272,163.939,114.519,-0.077,1.198,0.956,0.683,-0.16,0.953,0.019,0.435
15,23.732,1.73,450.296,212.904,-26.612,-135.642,-28.086,-0.566,406.823,106.094,165.743,119.046,-0.098,1.197,0.966,0.664,-0.172,0.944,0.021,0.465
16,24.161,1.508,449.866,216.019,-24.857,-129.817,-27.671,-0.563,407.264,109.272,163.939,118.861,-0.087,1.216,0.955,0.683,-0.16,0.963,0.022,0.494
17,23.788,1.211,449.845,209.672,-28.437,-130.456,-27.728,-0.971,406.823,106.094,165.743,120.919,-0.108,1.181,0.967,0.665,-0.171,0.936,0.023,0.523
18,23.551,1.356,448.994,209.719,-24.95,-125.225,-27.409,-0.832,407.705,99.794,165.555,119.549,-0.089,1.183,0.965,0.624,-0.138,0.917,0.024,0.552
19,23.891,0.883,449.417,200.183,-26.741,-129.951,-27.496,-1.094,407.3,90.242,163.732,119.532,-0.098,1.129,0.954,0.565,-0.16,0.861,0.025,0.58
20,24.03,0.934,449.448,200.346,-23.183,-124.972,-27.979,-1.32,407.254,90.573,167.298,116.601,-0.078,1.13,0.975,0.568,-0.14,0.863,0.026,0.607
21,24.004,0.971,448.996,197.114,-25.008,-129.783,-27.67,-1.807,407.695,81.095,168.915,116.624,-0.088,1.113,0.985,0.51,-0.128,0.826,0.026,0.633
22,23.705,0.478,449.006,190.931,-25.03,-130.293,-28.136,-1.667,408.149,71.737,166.977,122.322,-0.089,1.079,0.971,0.45,-0.129,0.78,0.027,0.659
23,23.796,0.264,448.999,184.51,-25.067,-126.438,-27.569,-1.895,408.613,68.422,165.1,115.244,-0.089,1.043,0.959,0.43,-0.128,0.751,0.028,0.683
24,23.577,0.036,449.873,178.205,-25.033,-124.451,-27.96,-2.202,408.626,55.886,164.966,120.234,-0.089,1.006,0.958,0.353,-0.14,0.695,0.029,0.707
25,23.794,-0.041,449.453,175.137,-23.3,-127.512,-28.044,-1.891,409.044,52.901,166.655,115.536,-0.079,0.99,0.967,0.333,-0.119,0.677,0.03,0.73
26,23.421,-0.18,449.001,171.905,-25.126,-128.105,-27.945,-2.416,409.508,49.586,164.779,113.503,-0.09,0.973,0.954,0.313,-0.118,0.658,0.031,0.751
27,23.438,-0.403,448.56,162.49,-26.973,-124.728,-28.079,-2.421,409.499,43.543,164.718,115.202,-0.101,0.921,0.954,0.276,-0.118,0.613,0.032,0.771
28,23.655,-0.028,449.448,156.111,-23.396,-123.608,-28.036,-2.689,408.63,37.307,164.771,117.001,-0.08,0.882,0.956,0.238,-0.13,0.576,0.034,0.79
29,23.314,0.088,449.448,156.111,-23.396,-125.378,-28.213,-2.501,409.512,31.007,164.584,115.571,-0.081,0.882,0.953,0.198,-0.119,0.556,0.035,0.808
30,23.519,-0.082,449.458,149.927,-23.417,-125.792,-28.389,-2.999,409.071,27.829,166.388,113.001,-0.08,0.847,0.964,0.18,-0.12,0.529,0.036,0.824
31,23.305,-0.478,449.007,146.696,-25.243,-124.257,-27.806,-3.039,409.107,21.455,162.76,114.506,-0.091,0.831,0.943,0.141,-0.129,0.502,0.037,0.84
