"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,27.652,1.003,428.459,-83.573,-36.693,-130.964,-30.64,-9.286,428.369,-407.962,150.263,89.876,-0.153,-0.498,0.82,-2.398,0.332,-1.448,0.005,0.019
2,27.479,1.455,428.459,-83.573,-36.693,-132.183,-30.985,-9.053,428.81,-404.784,148.46,90.967,-0.154,-0.499,0.808,-2.377,0.332,-1.438,0.008,0.029
3,27.616,0.776,428.459,-83.573,-36.693,-128.187,-30.907,-9.289,428.81,-404.784,148.46,89.772,-0.153,-0.497,0.808,-2.376,0.332,-1.437,0.011,0.039
4,27.471,1.711,428.015,-80.384,-38.481,-130.855,-31.346,-9.461,428.81,-404.784,148.46,96.211,-0.164,-0.481,0.807,-2.376,0.332,-1.429,0.013,0.049
5,27.331,1.489,428.467,-77.152,-36.656,-132.205,-30.81,-9.324,429.238,-401.726,150.21,93.845,-0.154,-0.461,0.818,-2.356,0.343,-1.409,0.016,0.059
6,27.866,1.362,428.036,-74.037,-34.901,-127.801,-30.911,-9.248,428.356,-395.426,150.397,94.427,-0.142,-0.443,0.82,-2.323,0.343,-1.383,0.018,0.069
7,27.952,1.025,427.584,-77.269,-36.727,-130.335,-31.178,-9.191,428.797,-392.248,148.594,96.954,-0.153,-0.461,0.808,-2.302,0.344,-1.383,0.021,0.08
8,27.453,0.915,428.036,-74.037,-34.901,-130.194,-30.92,-9.472,429.225,-389.19,150.344,94.079,-0.143,-0.441,0.818,-2.281,0.354,-1.363,0.024,0.09
9,27.745,1.314,427.582,-64.664,-36.668,-126.418,-30.785,-9.161,429.211,-376.653,150.478,96.274,-0.153,-0.387,0.819,-2.208,0.356,-1.299,0.026,0.101
10,27.524,1.354,428.002,-61.596,-38.401,-129.797,-30.832,-9.564,429.653,-373.475,148.674,92.64,-0.164,-0.369,0.808,-2.186,0.345,-1.279,0.029,0.112
11,27.392,1.181,428.464,-64.547,-36.597,-130.168,-30.694,-8.757,429.189,-370.16,150.551,94.518,-0.153,-0.385,0.82,-2.17,0.344,-1.279,0.031,0.123
12,27.247,1.099,428.454,-58.364,-36.575,-129.674,-30.607,-8.761,429.198,-364.117,150.612,99.556,-0.153,-0.349,0.821,-2.135,0.344,-1.242,0.034,0.135
13,27.532,1.098,428.884,-61.479,-38.33,-129.867,-30.993,-8.759,429.185,-351.581,150.746,96.628,-0.163,-0.367,0.821,-2.061,0.333,-1.214,0.036,0.146
14,27.284,0.856,428.454,-58.364,-36.575,-125.195,-30.672,-8.261,429.613,-348.523,152.496,93.877,-0.153,-0.348,0.831,-2.042,0.355,-1.196,0.039,0.158
15,27.622,1.079,427.135,-48.87,-38.398,-129.892,-30.757,-8.457,429.6,-335.987,152.63,101.605,-0.164,-0.293,0.832,-1.967,0.368,-1.132,0.041,0.17
16,27.647,1.161,428.428,-39.501,-40.038,-125.345,-31.083,-8.19,429.587,-323.45,152.764,98.397,-0.173,-0.237,0.832,-1.894,0.345,-1.066,0.043,0.183
17,27.27,1.168,428.449,-33.155,-36.458,-129.119,-30.721,-7.789,429.564,-316.957,152.837,103.84,-0.153,-0.199,0.833,-1.856,0.356,-1.029,0.046,0.196
18,27.565,0.848,428.446,-20.55,-36.399,-129.98,-30.896,-8.243,429.574,-310.914,152.898,103.76,-0.152,-0.124,0.833,-1.819,0.356,-0.973,0.048,0.21
19,27.559,1.239,428.002,-17.36,-38.188,-133.071,-30.289,-7.895,430.002,-295.2,151.228,103.103,-0.162,-0.106,0.824,-1.726,0.358,-0.918,0.05,0.224
20,27.44,1.066,428.864,-4.877,-38.073,-132.68,-30.921,-7.405,430.416,-279.606,153.113,106.261,-0.162,-0.031,0.832,-1.633,0.357,-0.834,0.052,0.239
21,27.562,1.458,427.989,1.428,-38.108,-129.826,-31.11,-6.872,429.939,-263.754,155.123,103.348,-0.162,0.005,0.845,-1.542,0.369,-0.77,0.055,0.255
22,27.281,1.368,428.861,7.728,-38.015,-136.369,-30.981,-6.334,429.936,-245.175,155.318,110.201,-0.162,0.043,0.846,-1.434,0.357,-0.697,0.057,0.271
23,27.252,1.671,428.859,20.332,-37.956,-131.205,-30.598,-6.07,429.041,-226.339,155.64,108.477,-0.161,0.117,0.851,-1.326,0.347,-0.605,0.059,0.288
24,27.829,1.711,428.436,29.869,-36.165,-136.972,-30.736,-5.622,429.027,-213.803,155.774,104.598,-0.15,0.173,0.851,-1.253,0.359,-0.54,0.061,0.307
25,27.581,1.81,428.864,39.358,-37.861,-132.687,-30.703,-5.176,428.155,-201.46,156.022,109.913,-0.16,0.229,0.855,-1.183,0.337,-0.477,0.063,0.326
26,27.365,1.94,428.409,48.731,-39.628,-135.187,-30.926,-4.514,429.001,-188.731,156.042,114.189,-0.171,0.284,0.853,-1.107,0.349,-0.412,0.065,0.347
27,27.532,2.232,428.431,55.078,-36.047,-136.462,-30.342,-4.701,429.011,-182.688,156.103,117.423,-0.15,0.321,0.854,-1.071,0.36,-0.375,0.067,0.368
28,27.234,1.712,428.851,58.146,-37.78,-140.212,-31.028,-4.749,428.106,-169.895,156.363,119.474,-0.16,0.34,0.856,-0.997,0.337,-0.328,0.069,0.391
29,27.188,2.47,428.407,61.336,-39.569,-135.977,-30.845,-4.436,428.534,-166.836,158.114,119.862,-0.171,0.358,0.866,-0.979,0.349,-0.31,0.07,0.415
30,27.442,1.928,428.859,64.568,-37.743,-134.728,-30.498,-4.444,428.093,-157.359,156.497,118.434,-0.16,0.378,0.858,-0.923,0.338,-0.272,0.072,0.439
31,27.281,1.857,428.859,64.568,-37.743,-134.715,-30.938,-4.753,428.093,-157.359,156.497,118.802,-0.16,0.378,0.857,-0.923,0.338,-0.272,0.074,0.465
