"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,22.095,-1.799,472.911,-615.52,-2.216,-75.246,-25.289,-4.226,379.452,-696.099,61.512,56.847,0.035,-3.302,0.346,-4.649,-1.08,-3.902,-0.002,-0.008
2,22.316,-1.89,472.039,-621.82,-2.309,-74.273,-24.536,-4.537,378.129,-692.977,63.503,55.482,0.035,-3.342,0.362,-4.643,-1.082,-3.921,-0.003,-0.012
3,22.397,-1.936,472.459,-618.752,-4.042,-73.958,-25.173,-4.181,378.57,-689.799,61.699,58.298,0.025,-3.322,0.348,-4.617,-1.092,-3.898,-0.005,-0.016
4,22.234,-1.745,472.467,-612.331,-4.005,-75.211,-25.248,-3.956,378.57,-689.799,61.699,59.375,0.025,-3.288,0.348,-4.618,-1.092,-3.88,-0.006,-0.019
5,22.271,-1.703,472.459,-618.752,-4.042,-73.884,-25.013,-4.269,379.034,-693.114,59.822,58.652,0.025,-3.323,0.336,-4.634,-1.091,-3.906,-0.007,-0.023
6,22.171,-1.737,473.342,-618.635,-3.971,-71.375,-24.839,-4.009,378.998,-686.741,63.449,58.698,0.025,-3.316,0.36,-4.592,-1.091,-3.883,-0.009,-0.026
7,22.266,-1.668,472.911,-615.52,-2.216,-70.087,-24.797,-4.541,378.57,-689.799,61.699,56.208,0.035,-3.302,0.349,-4.616,-1.092,-3.887,-0.01,-0.029
8,22.367,-1.85,473.331,-612.452,-3.949,-74.488,-24.9,-4.315,378.152,-686.815,60.01,59.346,0.026,-3.283,0.338,-4.602,-1.113,-3.869,-0.012,-0.032
9,21.994,-1.836,473.342,-618.635,-3.971,-71.475,-25.119,-4.445,378.116,-680.441,63.637,61.498,0.025,-3.316,0.362,-4.559,-1.104,-3.868,-0.014,-0.035
10,21.842,-1.702,473.331,-612.452,-3.949,-74.447,-24.86,-4.501,377.674,-683.619,65.441,57.525,0.025,-3.283,0.375,-4.586,-1.105,-3.861,-0.015,-0.037
11,22.076,-1.745,473.762,-615.567,-5.704,-72.841,-24.809,-4.37,377.688,-683.499,61.886,60.414,0.016,-3.297,0.351,-4.585,-1.125,-3.868,-0.017,-0.04
12,22.018,-1.921,473.342,-618.635,-3.971,-73.573,-24.719,-4.321,377.688,-683.499,61.886,60.067,0.025,-3.316,0.351,-4.585,-1.115,-3.879,-0.019,-0.042
13,22.059,-1.302,474.214,-612.335,-3.878,-73.2,-24.446,-4.331,377.27,-680.515,60.197,58.675,0.026,-3.277,0.341,-4.57,-1.136,-3.85,-0.021,-0.044
14,21.53,-1.297,474.206,-618.757,-3.915,-74.475,-24.583,-4.144,378.116,-680.441,63.637,61.925,0.024,-3.312,0.363,-4.56,-1.114,-3.865,-0.022,-0.046
15,21.906,-1.458,474.634,-609.267,-5.611,-71.281,-24.5,-4.184,377.697,-677.456,61.947,60.139,0.016,-3.257,0.352,-4.545,-1.135,-3.828,-0.024,-0.047
16,21.91,-1.484,474.634,-609.267,-5.611,-70.694,-24.641,-4.456,376.806,-677.199,62.074,61.146,0.016,-3.257,0.354,-4.553,-1.148,-3.831,-0.027,-0.049
17,22.146,-1.996,474.634,-609.267,-5.611,-71.722,-24.452,-4.279,377.233,-674.141,63.824,64.083,0.016,-3.256,0.366,-4.528,-1.136,-3.819,-0.029,-0.05
18,21.828,-1.169,474.634,-609.267,-5.611,-73.218,-24.406,-4.322,377.233,-674.141,63.824,64.096,0.016,-3.258,0.366,-4.528,-1.136,-3.82,-0.031,-0.051
19,22.038,-1.573,474.204,-606.152,-3.857,-75.203,-24.497,-4.416,376.815,-671.156,62.135,61.126,0.026,-3.243,0.354,-4.512,-1.137,-3.805,-0.033,-0.052
20,22.196,-1.428,474.655,-602.92,-2.031,-73.762,-24.458,-4.142,376.815,-671.156,62.135,61.576,0.036,-3.223,0.355,-4.513,-1.137,-3.794,-0.035,-0.052
21,21.871,-1.377,474.655,-602.92,-2.031,-77.275,-24.409,-4.142,376.815,-671.156,62.135,60.49,0.035,-3.223,0.355,-4.513,-1.137,-3.794,-0.038,-0.053
22,22.313,-1.476,474.634,-609.267,-5.611,-72.487,-24.413,-3.921,376.351,-667.841,64.012,61.585,0.017,-3.257,0.368,-4.497,-1.148,-3.806,-0.04,-0.053
23,22.186,-0.981,474.655,-602.92,-2.031,-73.746,-24.491,-3.886,376.351,-667.841,64.012,63.256,0.036,-3.224,0.368,-4.497,-1.138,-3.787,-0.042,-0.053
24,21.967,-1.485,473.781,-596.616,-2.065,-73.86,-24.41,-3.965,376.351,-667.841,64.012,61.916,0.035,-3.195,0.368,-4.497,-1.128,-3.772,-0.044,-0.052
25,21.555,-1.696,474.211,-599.731,-3.82,-73.108,-24.542,-3.837,376.351,-667.841,64.012,57.618,0.025,-3.209,0.367,-4.497,-1.139,-3.779,-0.047,-0.052
26,21.829,-1.077,473.759,-602.962,-5.645,-74.507,-24.636,-3.747,376.793,-664.663,62.208,64.726,0.016,-3.23,0.355,-4.471,-1.137,-3.78,-0.049,-0.051
27,21.75,-0.94,473.759,-602.962,-5.645,-70.574,-25.048,-4.195,376.793,-664.663,62.208,64.336,0.015,-3.231,0.354,-4.47,-1.138,-3.78,-0.051,-0.05
28,22.135,-1.304,473.781,-596.616,-2.065,-75.161,-24.51,-3.746,376.351,-667.841,64.012,58.66,0.035,-3.196,0.368,-4.497,-1.127,-3.772,-0.053,-0.049
29,22.174,-1.307,474.211,-599.731,-3.82,-77.099,-24.856,-4.013,377.684,-664.92,62.081,63.646,0.026,-3.21,0.352,-4.461,-1.124,-3.764,-0.056,-0.048
30,22.277,-1.394,473.781,-596.616,-2.065,-74.905,-24.499,-4.053,376.793,-664.663,62.208,61.224,0.036,-3.196,0.355,-4.47,-1.126,-3.76,-0.058,-0.047
31,21.93,-1.037,473.781,-596.616,-2.065,-75.517,-24.762,-4.15,377.675,-670.963,62.02,64.744,0.035,-3.196,0.352,-4.502,-1.114,-3.775,-0.06,-0.046
32,22.322,-0.999,473.336,-593.426,-3.854,-75.62,-24.849,-4.189,377.233,-674.141,63.824,63.623,0.026,-3.182,0.365,-4.528,-1.115,-3.779,-0.062,-0.044
33,21.836,-1.293,473.781,-596.616,-2.065,-74.102,-24.541,-3.835,377.675,-670.963,62.02,63.328,0.035,-3.196,0.353,-4.502,-1.114,-3.775,-0.064,-0.042
34,22.24,-1.46,473.336,-593.426,-3.854,-73.539,-24.674,-4.362,378.102,-667.905,63.771,64.441,0.026,-3.181,0.364,-4.475,-1.102,-3.756,-0.065,-0.041
35,22.188,-1.445,473.781,-596.616,-2.065,-75.256,-24.726,-4.236,377.684,-664.92,62.081,62.965,0.036,-3.195,0.353,-4.461,-1.114,-3.757,-0.067,-0.039
36,22.365,-1.31,473.329,-599.847,-3.891,-76.316,-24.77,-4.02,377.684,-664.92,62.081,61.493,0.026,-3.216,0.353,-4.461,-1.114,-3.769,-0.069,-0.037
37,22.269,-1.346,473.781,-596.616,-2.065,-73.139,-24.498,-3.609,377.684,-664.92,62.081,60.489,0.036,-3.196,0.353,-4.462,-1.113,-3.758,-0.07,-0.035
38,21.996,-0.906,473.781,-596.616,-2.065,-77.307,-24.283,-3.429,377.662,-658.427,62.154,59.509,0.035,-3.197,0.354,-4.419,-1.114,-3.739,-0.072,-0.033
39,21.958,-1.225,473.329,-599.847,-3.891,-73.873,-24.325,-3.339,377.684,-664.92,62.081,60.566,0.025,-3.216,0.354,-4.463,-1.114,-3.77,-0.073,-0.031
40,22.061,-1.205,473.336,-593.426,-3.854,-75.179,-24.289,-3.655,377.662,-658.427,62.154,57.667,0.026,-3.182,0.354,-4.419,-1.113,-3.731,-0.074,-0.029
41,22.337,-1.38,473.305,-593.589,-7.412,-76.629,-24.277,-3.833,377.648,-658.546,65.709,60.563,0.007,-3.183,0.378,-4.419,-1.113,-3.731,-0.076,-0.027
42,22.006,-1.579,474.201,-593.547,-3.798,-76.236,-24.371,-3.394,377.243,-655.442,60.465,62.657,0.026,-3.176,0.343,-4.404,-1.135,-3.72,-0.077,-0.024
43,22.42,-0.955,473.781,-596.616,-2.065,-76.692,-24.328,-3.619,377.243,-655.442,60.465,59.097,0.036,-3.197,0.343,-4.404,-1.124,-3.732,-0.078,-0.022
44,21.922,-1.138,474.201,-593.547,-3.798,-77.63,-24.415,-3.746,377.662,-658.427,62.154,59.435,0.026,-3.177,0.354,-4.418,-1.124,-3.727,-0.079,-0.019
45,21.852,-1.204,474.201,-593.547,-3.798,-74.742,-24.368,-3.431,378.553,-658.684,62.028,59.499,0.026,-3.177,0.352,-4.411,-1.111,-3.724,-0.08,-0.017
46,22.022,-1.398,474.201,-593.547,-3.798,-77.563,-24.636,-3.62,377.671,-652.384,62.215,60.817,0.026,-3.176,0.354,-4.378,-1.124,-3.709,-0.082,-0.014
47,21.651,-1.31,473.781,-596.616,-2.065,-75.46,-24.512,-3.395,377.243,-655.442,60.465,60.077,0.034,-3.196,0.343,-4.404,-1.125,-3.731,-0.083,-0.012
48,22.145,-1.074,473.35,-593.501,-0.31,-77.608,-24.11,-2.893,377.671,-652.384,62.215,62.321,0.045,-3.182,0.355,-4.38,-1.102,-3.714,-0.084,-0.009
