"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,16.626,-1.178,304.772,221.791,-42.509,-102.652,-19.401,-1.742,349.814,322.232,-65.886,112.082,-0.3,1.852,-0.533,2.345,0.362,2.115,0.003,0.028
2,16.647,-1.336,305.203,218.676,-44.263,-105.453,-19.583,-1.737,350.683,328.468,-65.94,109.266,-0.314,1.824,-0.533,2.384,0.362,2.124,0.005,0.041
3,17.352,-1.17,305.203,218.676,-44.263,-104.866,-20.296,-1.926,350.255,325.41,-67.69,109.819,-0.312,1.824,-0.548,2.365,0.348,2.113,0.006,0.054
4,16.509,-1.689,304.772,221.791,-42.509,-103.75,-19.762,-1.867,350.683,328.468,-65.94,111.068,-0.3,1.854,-0.533,2.384,0.376,2.138,0.007,0.067
5,16.818,-1.663,304.782,215.607,-42.53,-101.046,-19.635,-2.103,350.683,328.468,-65.94,106.757,-0.299,1.802,-0.533,2.385,0.376,2.114,0.009,0.079
6,17.009,-1.458,305.226,212.418,-40.742,-105.109,-20.02,-2.142,349.814,322.232,-65.886,110.94,-0.284,1.772,-0.535,2.346,0.36,2.079,0.01,0.091
7,16.943,-1.511,305.226,212.418,-40.742,-107.277,-19.982,-1.742,350.241,325.29,-64.136,112.362,-0.284,1.773,-0.522,2.364,0.374,2.089,0.011,0.102
8,17.036,-1.341,305.226,212.418,-40.742,-102.969,-19.541,-2.044,349.814,322.232,-65.886,109.241,-0.283,1.772,-0.534,2.346,0.361,2.078,0.012,0.113
9,16.957,-1.42,306.077,212.371,-44.229,-100.245,-19.799,-2.003,350.278,318.916,-67.763,110.263,-0.312,1.767,-0.547,2.318,0.332,2.061,0.013,0.124
10,16.893,-1.555,305.205,206.071,-44.322,-100.83,-20.109,-1.689,350.278,318.916,-67.763,110.913,-0.314,1.72,-0.548,2.317,0.347,2.039,0.014,0.133
11,16.717,-1.745,306.101,206.113,-40.707,-106.493,-19.94,-1.874,350.278,318.916,-67.763,107.391,-0.283,1.716,-0.548,2.318,0.345,2.037,0.015,0.143
12,16.404,-1.549,305.649,202.881,-42.533,-103.273,-19.567,-1.914,349.836,315.738,-65.959,104.194,-0.3,1.691,-0.534,2.298,0.345,2.015,0.015,0.151
13,16.935,-1.838,305.205,206.071,-44.322,-102.003,-19.847,-1.967,350.278,318.916,-67.763,108.796,-0.314,1.721,-0.547,2.318,0.347,2.04,0.016,0.16
14,16.279,-1.736,306.08,199.766,-44.288,-101.741,-19.438,-1.873,349.409,312.68,-67.71,106.371,-0.315,1.663,-0.547,2.278,0.317,1.991,0.017,0.167
15,16.874,-1.559,306.08,199.766,-44.288,-101.966,-19.877,-2.049,349.409,312.68,-67.71,109.907,-0.313,1.663,-0.549,2.279,0.317,1.991,0.017,0.175
16,16.917,-1.533,305.649,202.881,-42.533,-101.705,-19.698,-1.994,348.958,303.459,-65.967,108.829,-0.298,1.691,-0.536,2.214,0.331,1.97,0.017,0.181
17,16.912,-1.904,306.08,199.766,-44.288,-102.353,-19.515,-2.23,349.827,309.696,-66.02,107.771,-0.312,1.664,-0.535,2.255,0.331,1.979,0.017,0.187
18,16.555,-1.885,305.659,196.698,-42.555,-100.213,-19.919,-2.268,348.958,303.459,-65.967,107.732,-0.3,1.641,-0.537,2.215,0.33,1.947,0.017,0.193
19,16.776,-1.701,306.104,193.508,-40.766,-103.09,-20.201,-2.182,349.399,306.637,-67.771,107.67,-0.284,1.611,-0.55,2.235,0.329,1.944,0.017,0.198
20,16.903,-1.828,306.082,187.162,-44.346,-101.735,-19.929,-2.14,349.863,303.322,-69.647,102.369,-0.313,1.559,-0.562,2.208,0.317,1.905,0.017,0.202
21,16.496,-1.629,306.978,187.204,-40.732,-102.664,-19.85,-1.873,349.386,306.518,-64.216,104.475,-0.283,1.554,-0.523,2.234,0.327,1.916,0.017,0.206
22,16.856,-1.72,306.978,187.204,-40.732,-104.039,-19.793,-1.827,348.958,303.459,-65.967,108.087,-0.282,1.555,-0.536,2.214,0.314,1.905,0.017,0.209
23,17.088,-1.758,306.527,183.972,-42.558,-98.554,-19.614,-2.273,349.422,300.144,-67.844,105.94,-0.297,1.53,-0.549,2.188,0.316,1.881,0.016,0.212
24,16.885,-2.028,306.988,181.02,-40.754,-105.663,-19.749,-2.093,350.709,303.396,-66.208,108.428,-0.282,1.504,-0.535,2.203,0.343,1.877,0.016,0.214
25,16.969,-2.368,306.957,180.857,-44.312,-101.826,-19.706,-1.689,350.709,303.396,-66.208,109.92,-0.312,1.504,-0.535,2.202,0.33,1.876,0.016,0.216
26,17.053,-1.657,307.409,184.089,-42.487,-100.247,-19.536,-2.044,350.709,303.396,-66.208,103.49,-0.296,1.526,-0.535,2.203,0.329,1.887,0.015,0.218
27,16.9,-1.628,306.527,183.972,-42.558,-96.741,-19.84,-1.907,351.173,300.08,-68.084,107.762,-0.298,1.53,-0.548,2.176,0.344,1.875,0.015,0.218
