"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,17.348,-4.214,321.015,80.309,-36.65,-92.69,-19.73,0.825,334.142,240.974,-61.041,120.574,-0.236,0.649,-0.522,1.829,-0.153,1.251,-0.008,0.04
2,17.52,-3.696,321.457,89.724,-34.803,-96.206,-19.383,0.644,334.142,240.974,-61.041,122.064,-0.221,0.72,-0.521,1.83,-0.153,1.286,-0.011,0.06
3,17.276,-3.681,321.457,89.724,-34.803,-96.825,-19.164,0.965,333.259,247.274,-60.854,120.729,-0.221,0.72,-0.521,1.882,-0.168,1.312,-0.015,0.081
4,17.599,-3.787,321.478,96.07,-31.222,-97.549,-19.465,0.737,333.701,250.452,-62.658,122.802,-0.192,0.771,-0.535,1.904,-0.153,1.348,-0.019,0.102
5,17.751,-3.757,321.454,102.328,-34.744,-92.313,-19.43,0.645,334.128,253.51,-60.908,122.428,-0.22,0.82,-0.521,1.925,-0.152,1.383,-0.024,0.124
6,18.19,-3.766,321.475,108.675,-31.164,-96.597,-19.84,0.773,334.57,256.688,-62.711,123.063,-0.19,0.87,-0.535,1.946,-0.138,1.419,-0.028,0.146
7,17.701,-3.148,321.475,108.675,-31.164,-92.598,-19.397,0.864,333.687,262.988,-62.524,122.409,-0.191,0.868,-0.533,1.999,-0.153,1.444,-0.032,0.168
8,17.63,-3.368,321.896,111.743,-32.897,-92.871,-19.486,1.356,334.129,266.166,-64.328,123.485,-0.205,0.892,-0.547,2.019,-0.166,1.466,-0.036,0.191
9,17.273,-3.513,321.031,111.865,-32.952,-91.921,-19.574,0.991,333.651,269.362,-58.897,120.575,-0.207,0.896,-0.506,2.048,-0.139,1.483,-0.04,0.215
10,17.566,-2.921,321.021,118.048,-32.931,-93.881,-19.934,1.53,334.093,272.54,-60.701,124.134,-0.206,0.943,-0.521,2.068,-0.138,1.517,-0.044,0.238
11,17.351,-3.43,321.473,121.28,-31.105,-96.834,-19.576,1.533,334.138,272.209,-64.267,123.471,-0.192,0.969,-0.547,2.065,-0.152,1.527,-0.048,0.262
12,17.809,-3.513,320.6,114.98,-31.198,-93.988,-19.402,1.253,333.674,275.524,-62.39,123.41,-0.192,0.922,-0.532,2.094,-0.137,1.519,-0.052,0.286
13,17.355,-3.156,321.052,118.211,-29.372,-95.331,-19.712,1.443,334.557,269.225,-62.577,122.368,-0.179,0.945,-0.533,2.04,-0.124,1.504,-0.056,0.31
14,17.794,-3.785,321.021,118.048,-32.931,-94.801,-19.663,1.342,334.557,269.225,-62.577,121.29,-0.205,0.946,-0.533,2.04,-0.137,1.504,-0.06,0.335
