"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,17.948,-4.692,318.939,-530.287,27.775,-67.849,-20.521,0.553,338.744,-210.107,-30.883,93.146,0.277,-4.209,-0.292,-1.577,0.328,-2.853,0.001,0.004
2,18.123,-4.863,319.803,-530.408,27.83,-63.062,-20.074,0.775,338.744,-210.107,-30.883,92.852,0.277,-4.198,-0.29,-1.578,0.314,-2.85,0.002,0.008
3,18.12,-4.823,319.803,-530.408,27.83,-64.812,-20.476,0.644,338.767,-203.944,-34.377,91.417,0.277,-4.198,-0.318,-1.531,0.301,-2.826,0.002,0.012
4,18.159,-4.864,319.803,-530.408,27.83,-62.573,-20.252,0.911,337.434,-206.865,-32.446,93.894,0.278,-4.198,-0.304,-1.56,0.286,-2.843,0.003,0.017
5,17.95,-4.608,318.508,-527.172,29.529,-61.623,-20.615,0.862,337.862,-203.807,-30.696,94.173,0.292,-4.19,-0.291,-1.535,0.329,-2.823,0.004,0.021
6,18.036,-4.921,319.359,-527.218,26.042,-63.367,-20.474,0.773,336.97,-203.55,-30.57,91.01,0.263,-4.178,-0.291,-1.537,0.286,-2.822,0.005,0.026
7,18.163,-4.6,318.939,-530.287,27.775,-63.972,-20.121,0.95,337.434,-206.865,-32.446,91.733,0.278,-4.209,-0.303,-1.56,0.301,-2.847,0.006,0.03
8,18.401,-4.779,318.929,-524.103,27.796,-66.541,-20.583,0.854,336.98,-197.507,-30.509,91.644,0.279,-4.159,-0.29,-1.491,0.301,-2.788,0.006,0.035
9,17.681,-4.55,318.064,-523.982,27.74,-62.54,-20.266,0.906,336.552,-200.565,-32.259,86.029,0.277,-4.17,-0.303,-1.516,0.302,-2.806,0.007,0.04
10,18.129,-4.301,318.064,-523.982,27.74,-63.377,-20.04,0.906,336.98,-197.507,-30.509,91.467,0.278,-4.171,-0.289,-1.491,0.317,-2.792,0.008,0.045
11,17.454,-4.523,317.189,-517.677,27.706,-63.929,-20.664,1.215,336.552,-200.565,-32.259,93.765,0.277,-4.131,-0.304,-1.517,0.316,-2.786,0.009,0.05
12,18.071,-4.966,317.62,-520.792,25.952,-62.641,-20.307,1.04,336.98,-197.507,-30.509,91.013,0.264,-4.149,-0.29,-1.492,0.317,-2.781,0.009,0.055
13,17.631,-4.529,317.612,-527.214,25.915,-63.353,-20.345,0.639,336.552,-200.565,-32.259,89.568,0.263,-4.202,-0.303,-1.516,0.302,-2.82,0.01,0.06
14,18.251,-4.892,317.182,-524.099,27.669,-61.982,-20.213,1.081,336.993,-197.387,-34.063,92.816,0.279,-4.182,-0.316,-1.491,0.319,-2.796,0.011,0.065
15,17.833,-4.427,318.033,-524.145,24.182,-65.365,-20.216,0.947,336.98,-197.507,-30.509,88.181,0.249,-4.172,-0.289,-1.491,0.303,-2.793,0.012,0.07
16,18.39,-4.483,318.477,-527.335,25.971,-62.688,-20.16,1.032,337.862,-203.807,-30.696,87.788,0.265,-4.192,-0.29,-1.535,0.317,-2.824,0.012,0.075
17,17.899,-4.69,319.359,-527.218,26.042,-60.512,-20.348,0.635,337.876,-203.687,-34.25,90.291,0.263,-4.179,-0.317,-1.533,0.287,-2.819,0.013,0.08
18,17.937,-5.046,319.359,-527.218,26.042,-64.414,-20.033,0.671,337.862,-203.807,-30.696,90.303,0.263,-4.177,-0.289,-1.534,0.301,-2.819,0.014,0.085
19,17.799,-4.659,320.255,-527.176,29.656,-64.461,-20.396,0.594,337.434,-206.865,-32.446,89.583,0.291,-4.167,-0.304,-1.559,0.284,-2.829,0.014,0.09
20,18.21,-4.463,319.811,-523.987,27.867,-62,-20.161,0.636,337.434,-206.865,-32.446,93.16,0.278,-4.148,-0.303,-1.559,0.286,-2.819,0.015,0.095
21,17.77,-4.674,319.811,-523.987,27.867,-67.801,-19.765,0.425,337.898,-210.18,-34.323,86.853,0.277,-4.147,-0.316,-1.581,0.287,-2.829,0.015,0.099
22,18.164,-4.512,319.359,-527.218,26.042,-66.783,-20.346,0.9,337.411,-213.028,-28.953,90.242,0.264,-4.179,-0.278,-1.606,0.3,-2.857,0.016,0.104
23,17.9,-4.782,318.939,-530.287,27.775,-64.781,-19.844,0.694,336.993,-210.043,-30.643,90.404,0.277,-4.208,-0.289,-1.585,0.301,-2.861,0.016,0.108
