"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,10.797,4.215,299.639,-269.058,107.374,-55.432,-11.304,-6.235,378.99,-264.525,-166.746,-0.266,0.946,-2.295,-1.147,-1.757,1.114,-1.994,-0.01,0.021
2,10.886,4.584,299.194,-265.868,105.586,-53.19,-11.662,-6.468,379.418,-261.467,-164.995,2.132,0.933,-2.272,-1.135,-1.734,1.128,-1.971,-0.015,0.033
3,10.927,4.264,299.639,-269.058,107.374,-51.121,-11.647,-5.933,380.741,-264.589,-166.987,3.589,0.947,-2.295,-1.144,-1.75,1.139,-1.99,-0.019,0.046
4,10.966,4.06,299.208,-265.943,109.129,-47.657,-11.437,-6.597,380.705,-258.215,-163.359,-2.738,0.963,-2.271,-1.12,-1.706,1.167,-1.954,-0.023,0.06
5,11.018,4.042,298.764,-262.753,107.34,-52.245,-11.652,-6.422,380.705,-258.215,-163.359,4,0.949,-2.247,-1.12,-1.706,1.168,-1.944,-0.027,0.074
6,11.2,4.501,298.32,-259.564,105.552,-48.663,-11.751,-5.839,380.705,-258.215,-163.359,0.759,0.936,-2.225,-1.12,-1.708,1.17,-1.935,-0.03,0.089
7,11.067,4.278,298.75,-262.679,103.797,-43.759,-11.659,-6.055,381.574,-251.979,-163.413,-0.221,0.919,-2.248,-1.118,-1.662,1.168,-1.919,-0.033,0.105
8,11.546,4.531,298.32,-259.564,105.552,-48.332,-11.478,-6.107,381.146,-255.037,-165.163,0.775,0.937,-2.225,-1.13,-1.684,1.171,-1.921,-0.035,0.121
9,11.414,4.276,298.75,-262.679,103.797,-46.636,-11.257,-5.973,381.574,-251.979,-163.413,-0.543,0.921,-2.248,-1.117,-1.662,1.169,-1.919,-0.038,0.137
10,11.069,4.489,298.298,-265.91,101.971,-49.729,-11.467,-6.012,381.61,-258.353,-167.04,2.258,0.905,-2.279,-1.142,-1.704,1.157,-1.956,-0.04,0.154
11,11.154,3.742,298.298,-265.91,101.971,-52.259,-11.875,-6.683,381.169,-261.531,-165.236,-1.37,0.906,-2.277,-1.132,-1.725,1.157,-1.967,-0.042,0.17
12,11.058,4.526,297.868,-262.795,103.726,-51.446,-11.556,-6.417,382.492,-264.653,-167.227,-1.698,0.921,-2.256,-1.14,-1.741,1.184,-1.966,-0.043,0.187
13,11.049,3.835,298.322,-272.168,105.493,-56.286,-11.48,-6.367,381.16,-267.573,-165.297,0.821,0.935,-2.33,-1.131,-1.767,1.169,-2.014,-0.045,0.204
14,10.875,3.975,297.878,-268.978,103.704,-57.257,-11.771,-6.638,381.623,-270.889,-167.174,0.434,0.921,-2.307,-1.143,-1.786,1.17,-2.014,-0.046,0.221
15,11.027,3.925,297.44,-272.285,105.422,-56.11,-11.277,-6.683,381.646,-277.382,-167.247,-2.375,0.937,-2.338,-1.142,-1.829,1.186,-2.052,-0.047,0.237
16,10.96,3.771,298.322,-272.168,105.493,-54.729,-11.377,-7.133,381.637,-283.425,-167.308,-0.283,0.935,-2.33,-1.143,-1.868,1.169,-2.071,-0.047,0.253
17,11.706,3.441,296.998,-281.7,103.575,-56.256,-11.773,-6.808,381.637,-283.425,-167.308,-0.93,0.925,-2.421,-1.144,-1.869,1.187,-2.11,-0.048,0.269
18,11.31,3.821,297.443,-284.89,105.363,-52.932,-11.489,-6.987,382.114,-299.276,-169.319,0.471,0.938,-2.446,-1.155,-1.971,1.185,-2.179,-0.048,0.284
19,10.7,3.551,297.022,-287.958,107.096,-54.984,-11.895,-7.791,382.136,-305.77,-169.392,-3.516,0.952,-2.474,-1.157,-2.012,1.198,-2.214,-0.049,0.299
