"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,31.314,-1.486,379.753,-483.086,-145.089,-10.963,-32.25,-3.978,330.793,-359.169,203.266,-1.447,-0.888,-3.227,1.464,-2.746,-0.581,-3.003,-0.002,-0.021
2,31.398,-3.525,379.328,-505.18,-143.452,-8.255,-32.118,-3.854,328.614,-362.163,201.756,-3.639,-0.878,-3.373,1.463,-2.788,-0.61,-3.102,-0.005,-0.042
3,31.62,-4.56,378.038,-527.153,-141.871,-9.874,-31.904,-3.085,326.922,-374.967,198.297,-0.073,-0.87,-3.53,1.444,-2.904,-0.626,-3.24,-0.008,-0.065
4,31.581,-4.658,376.738,-542.943,-140.267,-2.814,-31.87,-3.406,326.03,-374.71,198.423,-2.951,-0.862,-3.648,1.449,-2.909,-0.615,-3.305,-0.012,-0.089
5,31.671,-5.114,376.341,-552.269,-135.013,-8.41,-31.943,-3.71,326.043,-387.246,198.289,-1.9,-0.827,-3.714,1.448,-3.006,-0.59,-3.385,-0.016,-0.113
6,31.569,-4.948,375.479,-564.752,-135.127,-6.34,-32.154,-4.026,328.677,-393.609,197.861,-9.051,-0.83,-3.807,1.432,-3.03,-0.534,-3.444,-0.02,-0.14
7,31.707,-3.827,375.926,-580.547,-133.397,-6.313,-32.505,-4.459,331.323,-412.509,197.299,-8.31,-0.817,-3.912,1.415,-3.149,-0.492,-3.555,-0.024,-0.167
8,31.462,-3.232,376.848,-599.367,-126.32,-0.875,-32.657,-4.63,334.411,-428.231,194.933,-13.227,-0.768,-4.031,1.384,-3.239,-0.438,-3.659,-0.028,-0.196
9,31.061,-3.764,377.749,-624.535,-122.823,-0.542,-33.035,-5.819,337.916,-446.937,194.256,-14.579,-0.744,-4.189,1.363,-3.342,-0.385,-3.79,-0.032,-0.226
10,30.71,-4.928,378.674,-655.96,-115.804,3.886,-32.744,-6.675,341.422,-478.299,197,-11.353,-0.696,-4.387,1.371,-3.539,-0.307,-3.985,-0.036,-0.258
11,30.239,-6.162,378.73,-706.29,-108.937,1.641,-33.214,-8.412,342.771,-506.493,194.74,-16.374,-0.651,-4.721,1.347,-3.729,-0.271,-4.249,-0.039,-0.292
12,31.004,-7.206,379.237,-753.388,-100.244,11.626,-33.641,-9.791,344.111,-540.73,192.42,-13.199,-0.59,-5.027,1.324,-3.963,-0.235,-4.521,-0.042,-0.329
13,30.606,-8.642,377.976,-806.828,-95.258,15.048,-33.812,-10.761,343.71,-568.861,190.402,-15.434,-0.559,-5.399,1.31,-4.173,-0.212,-4.815,-0.044,-0.368
14,30.715,-9.866,378.483,-853.927,-86.566,14.825,-33.752,-10.703,342.89,-594.007,186.694,-21.079,-0.5,-5.705,1.285,-4.369,-0.215,-5.07,-0.046,-0.41
15,30.629,-11.05,378.504,-891.815,-83.198,17.958,-33.803,-11.695,340.701,-615.7,188.544,-23.001,-0.478,-5.956,1.307,-4.556,-0.233,-5.293,-0.046,-0.455
16,30.806,-13.036,377.676,-916.74,-79.813,14.717,-33.176,-12.586,338.117,-628.246,185.211,-22.31,-0.456,-6.131,1.294,-4.683,-0.261,-5.447,-0.047,-0.505
17,30.672,-13.705,375.906,-910.477,-83.461,15.893,-33.591,-12.502,335.938,-631.241,183.701,-26.309,-0.483,-6.116,1.29,-4.736,-0.288,-5.465,-0.047,-0.557
18,30.978,-13.495,375.031,-904.173,-83.495,14.633,-34.302,-12.051,333.733,-621.819,185.88,-26.43,-0.483,-6.088,1.313,-4.697,-0.303,-5.433,-0.046,-0.613
19,31.19,-12.394,373.248,-879.122,-87.063,11.132,-34.555,-10.172,333.243,-593.432,188.025,-26.761,-0.509,-5.949,1.33,-4.493,-0.289,-5.262,-0.046,-0.672
20,31.229,-11.75,370.586,-853.875,-94.231,12.222,-34.846,-8.168,333.631,-565.421,193.597,-27.899,-0.562,-5.821,1.37,-4.28,-0.246,-5.091,-0.045,-0.732
21,31.35,-10.836,368.831,-816.056,-94.181,8.175,-35.068,-5.975,334.915,-543.59,195.428,-24.283,-0.564,-5.591,1.378,-4.105,-0.19,-4.884,-0.044,-0.793
22,31.212,-10.81,368.771,-784.753,-101.144,1.23,-34.739,-5.185,336.995,-502.776,204.46,-25.672,-0.612,-5.376,1.439,-3.774,-0.147,-4.611,-0.043,-0.854
23,31.483,-9.823,366.961,-740.839,-108.175,5.069,-34.373,-4.749,341.281,-471.383,211.313,-23.357,-0.663,-5.101,1.473,-3.495,-0.048,-4.327,-0.041,-0.915
24,31.27,-8.183,365.614,-699.878,-113.402,3.942,-34.199,-3.861,346.472,-440.128,214.486,-16.009,-0.703,-4.84,1.475,-3.216,0.05,-4.05,-0.038,-0.974
25,31.241,-7.001,363.811,-649.543,-120.396,3.32,-34.422,-3.991,350.78,-415.229,221.266,-16.684,-0.755,-4.516,1.505,-2.995,0.146,-3.769,-0.034,-1.031
26,31.513,-4.881,362.033,-605.466,-123.869,5.573,-34.05,-3.864,354.197,-390.073,228.172,-11.869,-0.782,-4.234,1.541,-2.786,0.242,-3.518,-0.03,-1.084
27,31.34,-3.271,362.438,-571.005,-125.462,1.152,-34.37,-4.092,356.363,-374.542,229.816,-9.785,-0.793,-3.993,1.543,-2.658,0.268,-3.331,-0.024,-1.134
28,30.902,-2.092,361.991,-555.211,-127.193,1.523,-35.455,-4.644,358.065,-355.696,233.336,-5.681,-0.807,-3.89,1.557,-2.51,0.306,-3.204,-0.017,-1.18
29,30.631,-1.811,361.979,-536.423,-127.112,-0.904,-35.308,-4.411,359.362,-346.401,235.033,-8.363,-0.808,-3.759,1.564,-2.436,0.332,-3.1,-0.009,-1.222
30,30.328,-1.527,361.532,-520.629,-128.842,-7.389,-35.729,-4.056,359.776,-330.807,236.918,-8.074,-0.822,-3.654,1.574,-2.324,0.346,-2.991,0.001,-1.26
31,30.03,-0.991,364.569,-498.66,-130.297,-3.49,-35.469,-3.306,358.881,-311.971,237.239,-0.592,-0.826,-3.472,1.581,-2.199,0.278,-2.84,0.011,-1.294
32,30.293,0.169,366.265,-473.545,-137.155,-3.453,-36.059,-2.583,356.675,-302.549,239.418,-1.06,-0.869,-3.284,1.605,-2.147,0.2,-2.723,0.022,-1.324
33,29.85,1.052,368.406,-451.618,-142.224,-5.423,-36.032,-1.296,353.601,-286.708,238.229,1.007,-0.9,-3.117,1.61,-2.056,0.095,-2.597,0.033,-1.349
34,30.085,1.096,368.808,-423.266,-147.382,-2.758,-36.095,-0.405,350.559,-271.317,237.029,-0.785,-0.934,-2.918,1.615,-1.965,0.019,-2.453,0.045,-1.37
35,30.816,1.125,370.074,-395.035,-152.486,-11.917,-35.16,-0.546,347.08,-265.027,234.018,2.069,-0.964,-2.714,1.612,-1.938,-0.083,-2.339,0.056,-1.387
36,30.847,1.114,371.35,-372.988,-157.61,-12.192,-35.273,-0.202,344.875,-255.605,236.196,-2.287,-0.995,-2.554,1.638,-1.882,-0.15,-2.23,0.066,-1.4
37,31.653,1.692,373.46,-351.225,-166.238,-9.806,-34.601,-0.162,341.396,-249.316,233.185,0.578,-1.046,-2.393,1.635,-1.854,-0.279,-2.136,0.077,-1.408
38,31.431,2.185,374.736,-329.177,-171.363,-16.157,-34.567,-0.111,339.667,-243.089,229.933,4.194,-1.078,-2.237,1.619,-1.817,-0.357,-2.038,0.086,-1.412
39,32.125,2.251,375.14,-313.429,-176.58,-12.098,-34.104,-0.704,337.903,-230.49,230.307,-2.261,-1.11,-2.128,1.631,-1.731,-0.408,-1.94,0.094,-1.412
40,32.219,2.532,375.558,-297.757,-178.255,-15.304,-34.104,-0.795,336.603,-221.205,228.805,4.868,-1.12,-2.021,1.626,-1.667,-0.447,-1.853,0.1,-1.409
