"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,10.062,2.299,299.026,-224.407,150.128,-49.103,-10.051,-4.558,380.921,-85.123,-163.337,22.468,1.309,-1.914,-1.115,-0.556,1.327,-1.153,-0.009,0.018
2,10.071,2.137,299.026,-224.407,150.128,-51.224,-10.172,-4.473,380.493,-88.182,-165.087,25.626,1.309,-1.913,-1.129,-0.577,1.314,-1.165,-0.014,0.026
3,10.163,2.001,298.582,-221.217,148.339,-46.603,-10.159,-4.061,380.516,-94.675,-165.16,25.33,1.296,-1.889,-1.129,-0.621,1.316,-1.179,-0.019,0.035
4,10.407,1.983,299.026,-224.407,150.128,-47.472,-10.221,-4.646,380.47,-94.344,-161.594,19.589,1.31,-1.913,-1.105,-0.618,1.327,-1.188,-0.024,0.043
5,9.975,2.348,299.05,-230.665,153.649,-48.774,-10.488,-4.905,380.506,-100.718,-165.221,19.538,1.338,-1.967,-1.13,-0.66,1.326,-1.235,-0.03,0.05
6,9.922,1.803,298.606,-227.475,151.861,-47.714,-10.302,-5.042,379.637,-106.954,-165.168,19.197,1.325,-1.941,-1.132,-0.702,1.315,-1.248,-0.035,0.058
7,9.792,1.599,299.05,-230.665,153.649,-49.868,-10.342,-4.997,379.66,-113.447,-165.241,20.605,1.338,-1.964,-1.132,-0.746,1.313,-1.283,-0.041,0.064
8,10.11,2.315,298.598,-233.897,151.824,-49.309,-10.162,-5.265,378.791,-119.684,-165.187,21.277,1.325,-1.997,-1.134,-0.789,1.303,-1.322,-0.047,0.07
9,9.934,2.086,299.481,-233.78,151.895,-47.768,-9.935,-5.435,378.804,-132.22,-165.321,18.156,1.321,-1.99,-1.135,-0.872,1.287,-1.366,-0.053,0.076
10,10.325,1.988,299.473,-240.201,151.858,-48.825,-10.372,-6.564,378.399,-141.772,-167.144,19.743,1.322,-2.044,-1.149,-0.934,1.274,-1.425,-0.06,0.081
11,9.941,1.378,299.053,-243.27,153.591,-45.065,-9.748,-6.998,377.994,-151.323,-168.968,18.511,1.338,-2.071,-1.161,-0.999,1.275,-1.472,-0.066,0.085
12,10.056,1.244,299.497,-246.459,155.379,-50.716,-10.274,-6.778,377.971,-157.486,-165.475,22.341,1.351,-2.094,-1.139,-1.041,1.286,-1.506,-0.073,0.088
13,9.671,1.557,299.497,-246.459,155.379,-49.106,-9.736,-6.549,377.566,-167.037,-167.298,18.44,1.35,-2.095,-1.151,-1.107,1.273,-1.544,-0.079,0.09
14,10.02,1.52,299.927,-249.574,153.625,-43.21,-10.084,-6.633,378.853,-163.786,-165.662,20.62,1.334,-2.119,-1.137,-1.081,1.284,-1.539,-0.086,0.092
15,9.651,1.465,299.927,-249.574,153.625,-47.193,-10.362,-6.33,378.389,-160.47,-163.785,21.584,1.333,-2.118,-1.127,-1.061,1.283,-1.528,-0.092,0.092
16,9.787,1.478,299.951,-255.832,157.146,-46.613,-10.264,-5.655,379.281,-160.727,-163.912,20.603,1.363,-2.171,-1.124,-1.062,1.309,-1.552,-0.099,0.092
17,9.526,1.329,299.92,-255.996,153.588,-45.699,-10.398,-5.744,379.258,-154.234,-163.839,20.949,1.332,-2.172,-1.124,-1.018,1.296,-1.528,-0.106,0.091
