"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,5.1,-7.279,297.853,-621.293,236.866,-7.699,-9.342,-3.048,375.975,-635.911,-166.704,12.496,2.037,-5.274,-1.151,-4.288,1.583,-4.724,0.026,-0.093
2,5.096,-7.155,298.305,-618.061,238.691,-5.318,-8.938,-3.177,376.403,-632.853,-164.954,11.156,2.049,-5.239,-1.137,-4.262,1.595,-4.694,0.038,-0.138
3,5.438,-7.487,298.305,-618.061,238.691,-11.537,-8.634,-3.007,375.962,-623.375,-166.57,10.084,2.051,-5.238,-1.148,-4.204,1.583,-4.661,0.051,-0.183
4,5.316,-6.617,298.756,-614.829,240.517,-9.197,-8.363,-3.005,375.926,-617.001,-162.943,13.009,2.063,-5.205,-1.123,-4.161,1.595,-4.623,0.063,-0.227
5,5.503,-6.551,299.177,-611.761,238.784,-10.905,-8.68,-2.785,375.926,-617.001,-162.943,10.84,2.046,-5.172,-1.124,-4.162,1.58,-4.609,0.075,-0.27
6,5.693,-6.335,299.628,-608.529,240.61,-7.022,-8.585,-2.788,376.795,-610.765,-162.996,13.681,2.059,-5.138,-1.121,-4.11,1.591,-4.565,0.087,-0.312
7,5.547,-6.086,300.501,-602.229,240.703,-11.705,-8.717,-2.879,376.795,-610.765,-162.996,11.222,2.053,-5.07,-1.122,-4.11,1.574,-4.536,0.098,-0.352
8,5.674,-6.13,300.942,-592.814,242.55,-6.743,-8.725,-2.645,377.245,-601.544,-164.739,8.045,2.066,-4.983,-1.132,-4.043,1.573,-4.46,0.11,-0.392
9,5.873,-5.702,301.349,-589.671,237.274,-5.497,-8.725,-3.013,376.781,-598.229,-162.862,13.615,2.019,-4.951,-1.121,-4.025,1.546,-4.437,0.121,-0.429
10,5.545,-5.406,301.349,-589.671,237.274,-10.588,-8.911,-2.252,376.781,-598.229,-162.862,12.618,2.018,-4.952,-1.121,-4.027,1.545,-4.438,0.132,-0.466
11,5.638,-5.404,301.791,-580.256,239.121,-9.062,-8.775,-2.522,376.781,-598.229,-162.862,10.845,2.031,-4.866,-1.121,-4.026,1.544,-4.4,0.142,-0.501
12,5.456,-5.437,301.346,-577.067,237.332,-10.814,-8.809,-2.336,377.2,-601.213,-161.173,10.504,2.018,-4.846,-1.108,-4.042,1.558,-4.399,0.152,-0.534
13,5.385,-5.04,301.346,-577.067,237.332,-11.137,-8.947,-2.616,376.758,-604.391,-159.369,16.538,2.018,-4.847,-1.098,-4.068,1.558,-4.414,0.162,-0.566
14,5.497,-4.958,301.356,-583.25,237.311,-8.691,-8.552,-2.84,377.2,-601.213,-161.173,13.72,2.018,-4.9,-1.108,-4.041,1.558,-4.422,0.171,-0.596
15,5.637,-5.116,300.926,-580.135,239.065,-10.946,-8.934,-2.964,377.664,-604.529,-163.05,13.72,2.037,-4.88,-1.12,-4.058,1.572,-4.422,0.18,-0.625
16,5.92,-5.204,300.482,-576.945,237.277,-12.689,-8.905,-2.654,376.758,-604.391,-159.369,15.799,2.025,-4.86,-1.098,-4.068,1.575,-4.419,0.189,-0.653
17,5.592,-5.067,300.051,-573.83,239.031,-11.573,-8.805,-2.739,376.758,-604.391,-159.369,10.143,2.042,-4.841,-1.098,-4.067,1.59,-4.41,0.198,-0.68
18,5.686,-5.205,300.051,-573.83,239.031,-9.127,-9.391,-2.477,377.2,-601.213,-161.173,15.399,2.042,-4.84,-1.11,-4.042,1.589,-4.396,0.206,-0.705
19,5.544,-4.843,300.051,-573.83,239.031,-12.23,-8.852,-2.209,377.2,-601.213,-161.173,14.082,2.042,-4.842,-1.109,-4.043,1.589,-4.397,0.214,-0.729
20,5.983,-5.152,300.027,-567.572,235.51,-6.314,-8.956,-2.486,376.781,-598.229,-162.862,11.831,2.014,-4.788,-1.121,-4.026,1.565,-4.364,0.222,-0.752
21,5.54,-4.71,300.027,-567.572,235.51,-13.886,-8.73,-2.033,376.745,-591.855,-159.235,15.809,2.012,-4.789,-1.097,-3.985,1.577,-4.342,0.229,-0.774
