"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,15.858,-6.247,318.783,-310.94,25.174,-3.879,-16.583,1.958,268.848,-159.311,-31.437,29.306,0.25,-2.458,-0.358,-1.512,-0.999,-2.025,-0.002,-0.008
2,16.203,-6.319,318.363,-314.008,26.907,-6.471,-16.407,1.857,268.848,-159.311,-31.437,30.029,0.265,-2.485,-0.357,-1.512,-0.984,-2.04,-0.003,-0.017
3,15.77,-5.845,317.911,-317.24,25.082,-4.742,-16.761,2.352,268.848,-159.311,-31.437,33.918,0.25,-2.516,-0.359,-1.514,-0.985,-2.057,-0.005,-0.026
4,15.468,-5.963,318.386,-320.266,30.429,-0.622,-16.812,1.964,268.421,-162.369,-33.187,30.384,0.291,-2.536,-0.376,-1.544,-0.987,-2.082,-0.006,-0.036
5,15.684,-6.238,318.389,-332.871,30.37,-4.555,-16.543,2.177,268.885,-165.685,-35.064,27.169,0.291,-2.636,-0.392,-1.573,-0.985,-2.149,-0.007,-0.047
6,15.389,-6.677,318.809,-329.802,28.637,-1.351,-16.526,1.967,269.339,-175.043,-37.001,27.633,0.276,-2.607,-0.41,-1.658,-0.999,-2.172,-0.009,-0.058
7,15.41,-6.653,318.381,-339.292,30.333,-2.921,-16.966,1.389,269.78,-184.521,-35.385,27.851,0.29,-2.686,-0.395,-1.742,-0.969,-2.253,-0.01,-0.07
8,15.013,-7.037,317.961,-342.36,32.066,-2.87,-16.781,1.378,269.352,-187.579,-37.135,31.4,0.303,-2.713,-0.412,-1.774,-0.971,-2.282,-0.011,-0.083
9,15.246,-7.266,317.089,-348.66,31.974,-3.554,-16.513,1.11,268.911,-190.757,-35.332,29.287,0.304,-2.77,-0.395,-1.806,-0.956,-2.328,-0.012,-0.096
10,15.102,-8.317,317.113,-354.918,35.495,4.381,-16.517,0.758,268.483,-193.815,-37.082,30.761,0.332,-2.817,-0.412,-1.836,-0.958,-2.367,-0.013,-0.111
11,14.983,-7.925,316.241,-361.218,35.402,-1.155,-16.481,0.977,267.614,-200.052,-37.029,30.694,0.332,-2.876,-0.412,-1.902,-0.961,-2.43,-0.013,-0.126
12,14.965,-8.111,315.789,-364.45,33.577,3.057,-16.733,0.762,267.173,-203.23,-35.225,28.195,0.317,-2.906,-0.397,-1.935,-0.963,-2.461,-0.014,-0.142
13,15.171,-8.106,314.938,-364.403,37.064,1.6,-16.471,0.498,267.637,-206.545,-37.102,28.238,0.347,-2.913,-0.413,-1.962,-0.93,-2.476,-0.014,-0.158
14,15.367,-8.189,315.368,-367.518,35.31,2.639,-16.78,0.808,267.627,-212.588,-37.163,28.89,0.333,-2.934,-0.415,-2.021,-0.946,-2.515,-0.014,-0.176
15,15.559,-8.318,315.392,-373.776,38.831,4.465,-16.41,0.402,267.65,-219.081,-37.235,29.348,0.362,-2.984,-0.414,-2.081,-0.93,-2.569,-0.015,-0.194
16,15.45,-8.855,314.941,-377.008,37.006,5.087,-16.869,0.496,268.091,-215.903,-39.039,27.11,0.347,-3.013,-0.432,-2.047,-0.93,-2.569,-0.015,-0.213
17,15.017,-8.72,314.52,-380.076,38.739,2.798,-17.168,0.047,268.091,-215.903,-39.039,29.563,0.36,-3.042,-0.433,-2.046,-0.916,-2.583,-0.014,-0.232
18,15.147,-8.993,313.648,-386.376,38.646,3.564,-16.955,0.309,268.091,-215.903,-39.039,29.208,0.361,-3.1,-0.432,-2.047,-0.9,-2.615,-0.014,-0.252
19,15.635,-8.736,313.225,-376.84,40.437,5.271,-17.263,0.362,268.937,-215.829,-35.6,29.936,0.378,-3.028,-0.4,-2.04,-0.851,-2.572,-0.014,-0.273
20,15.461,-9.09,314.068,-383.308,36.913,0.412,-17.352,0.319,268.937,-215.829,-35.6,31.689,0.348,-3.071,-0.4,-2.04,-0.882,-2.595,-0.013,-0.294
21,15.069,-8.668,314.076,-376.886,36.95,2.746,-17.35,0.497,270.247,-206.415,-37.457,33.156,0.347,-3.02,-0.416,-1.942,-0.863,-2.522,-0.012,-0.315
22,15.198,-8.46,314.058,-377.125,36.935,6.871,-17.48,0.227,270.247,-206.415,-37.457,34.905,0.347,-3.023,-0.416,-1.941,-0.863,-2.523,-0.011,-0.336
23,15.263,-8.555,313.194,-377.003,36.879,4.284,-17.537,0.494,270.675,-203.357,-35.706,32.381,0.348,-3.03,-0.399,-1.91,-0.831,-2.511,-0.009,-0.357
24,15.121,-8.346,312.319,-370.698,36.845,6.643,-17.794,1.268,271.998,-206.479,-37.698,32.823,0.348,-2.988,-0.417,-1.933,-0.797,-2.497,-0.007,-0.378
25,15.193,-8.429,312.763,-373.888,38.633,3.65,-17.648,0.638,273.331,-203.558,-39.628,39.569,0.362,-3.01,-0.432,-1.894,-0.777,-2.489,-0.005,-0.399
26,15.191,-8.651,312.333,-370.773,40.388,5.435,-17.613,1.17,273.331,-203.558,-39.628,36.382,0.377,-2.988,-0.432,-1.896,-0.762,-2.478,-0.003,-0.42
27,15.294,-8.412,312.763,-373.888,38.633,5.967,-17.218,0.941,272.449,-197.258,-39.44,32.82,0.362,-3.01,-0.43,-1.842,-0.794,-2.466,0,-0.44
28,15.034,-8.427,311.899,-373.767,38.578,9.32,-17.263,1.391,272.854,-187.706,-37.617,28.973,0.362,-3.017,-0.413,-1.752,-0.763,-2.427,0.003,-0.46
29,15.482,-7.939,311.889,-367.583,38.599,9.085,-18.03,1.613,273.305,-178.485,-39.36,35.994,0.364,-2.968,-0.431,-1.665,-0.761,-2.359,0.006,-0.479
30,15.296,-7.75,311.896,-361.162,38.636,9.101,-17.952,1.738,272.841,-175.17,-37.483,35.589,0.364,-2.916,-0.414,-1.637,-0.763,-2.319,0.009,-0.498
31,15.64,-7.723,311.444,-364.394,36.811,10.822,-17.994,1.877,273.269,-159.456,-39.153,36.387,0.35,-2.947,-0.429,-1.489,-0.76,-2.266,0.013,-0.516
32,15.69,-7.849,311.444,-364.394,36.811,5.373,-17.685,2.142,273.269,-159.456,-39.153,36.041,0.35,-2.947,-0.428,-1.49,-0.76,-2.266,0.017,-0.532
33,15.659,-7.971,311.896,-361.162,38.636,12.242,-17.854,2.593,273.233,-153.082,-35.526,41.067,0.365,-2.916,-0.395,-1.432,-0.745,-2.223,0.021,-0.548
34,15.461,-8.25,311.452,-357.972,36.848,6.595,-17.893,2.589,273.279,-153.413,-39.092,39.262,0.35,-2.893,-0.428,-1.435,-0.76,-2.212,0.025,-0.563
35,15.284,-8.484,310.57,-358.089,36.777,6.131,-17.718,2.813,273.72,-150.235,-40.896,38.923,0.35,-2.901,-0.444,-1.404,-0.743,-2.2,0.029,-0.578
36,15.596,-8.352,310.57,-358.089,36.777,8.388,-17.866,2.224,273.72,-150.235,-40.896,40.944,0.351,-2.902,-0.444,-1.402,-0.742,-2.199,0.034,-0.591
37,15.659,-8.52,310.57,-358.089,36.777,9.363,-17.912,2.544,274.138,-153.22,-39.206,39.578,0.351,-2.901,-0.428,-1.429,-0.726,-2.211,0.038,-0.603
38,15.375,-8.811,310.118,-361.321,34.951,3.608,-17.801,2.369,274.138,-153.22,-39.206,41.772,0.336,-2.931,-0.428,-1.428,-0.726,-2.226,0.043,-0.615
39,15.431,-8.53,308.823,-358.084,36.65,7.609,-17.814,1.828,274.138,-153.22,-39.206,37.475,0.351,-2.918,-0.428,-1.426,-0.695,-2.216,0.048,-0.625
40,15.774,-8.278,307.528,-354.848,38.349,7.586,-18.159,2.098,274.566,-150.161,-37.456,41.02,0.368,-2.904,-0.412,-1.397,-0.647,-2.193,0.053,-0.635
41,15.556,-8.297,308.379,-354.895,34.861,6.915,-17.94,2.048,274.566,-150.161,-37.456,38.148,0.337,-2.896,-0.411,-1.397,-0.678,-2.19,0.058,-0.645
42,15.522,-8.224,307.528,-354.848,38.349,6.647,-18.308,1.835,275.007,-146.983,-39.26,36.391,0.367,-2.904,-0.429,-1.364,-0.647,-2.177,0.063,-0.653
43,15.313,-8.516,307.972,-358.038,40.137,13.604,-18.522,2.584,275.853,-146.91,-35.82,43.477,0.381,-2.925,-0.396,-1.362,-0.615,-2.187,0.069,-0.661
44,16.188,-8.633,307.086,-364.263,36.501,5.797,-18.76,2.731,276.722,-140.673,-35.873,39.95,0.354,-2.985,-0.396,-1.301,-0.596,-2.187,0.075,-0.669
45,15.162,-8.531,307.538,-361.031,38.327,9.033,-18.351,2.503,276.722,-140.673,-35.873,41.46,0.366,-2.954,-0.395,-1.3,-0.597,-2.171,0.081,-0.675
46,15.376,-8.734,307.076,-358.08,36.523,4.387,-18.699,2.411,277.604,-146.973,-36.061,39.92,0.352,-2.934,-0.397,-1.353,-0.58,-2.183,0.087,-0.682
47,15.387,-8.812,306.656,-361.148,38.256,-0.699,-18.463,2.639,278.928,-150.095,-38.052,38.573,0.367,-2.963,-0.412,-1.376,-0.545,-2.207,0.094,-0.687
48,15.072,-8.657,306.648,-367.569,38.219,3.859,-18.509,2.061,279.81,-156.395,-38.239,41.43,0.366,-3.016,-0.413,-1.427,-0.529,-2.258,0.101,-0.692
49,15.748,-9.02,305.783,-367.448,38.163,7.721,-18.81,2.023,279.81,-156.395,-38.239,44.989,0.368,-3.023,-0.414,-1.427,-0.512,-2.26,0.108,-0.697
50,15.733,-9.267,305.353,-364.333,39.918,7.053,-18.634,1.519,279.796,-156.515,-34.685,41.806,0.383,-3,-0.381,-1.426,-0.481,-2.248,0.115,-0.702
51,15.502,-9.444,305.773,-361.265,38.185,7.444,-18.956,1.478,278.487,-153.273,-36.248,43.868,0.368,-2.97,-0.398,-1.403,-0.531,-2.223,0.123,-0.706
52,15.822,-9.182,304.909,-361.143,38.129,9.885,-18.952,1.703,278.914,-150.215,-34.498,42.104,0.369,-2.978,-0.381,-1.374,-0.498,-2.212,0.131,-0.71
53,16.043,-8.652,304.457,-364.375,36.303,6.801,-19.141,1.517,277.568,-140.6,-32.434,44.876,0.355,-3.012,-0.365,-1.292,-0.516,-2.192,0.139,-0.714
54,15.826,-8.24,304.457,-364.375,36.303,6.933,-19.148,2.506,277.14,-143.658,-34.184,44.895,0.355,-3.013,-0.382,-1.326,-0.533,-2.209,0.147,-0.717
55,15.571,-7.966,304.457,-364.375,36.303,4.156,-19.327,3.224,275.853,-146.91,-35.82,47.67,0.354,-3.014,-0.399,-1.364,-0.568,-2.23,0.155,-0.72
56,15.836,-7.024,304.481,-370.633,39.825,5.345,-18.979,4.293,275.412,-150.088,-34.016,44.127,0.384,-3.069,-0.382,-1.4,-0.553,-2.276,0.164,-0.723
57,15.931,-7.292,304.46,-376.98,36.245,5.295,-18.608,4.437,274.553,-150.281,-33.902,49.565,0.355,-3.121,-0.381,-1.406,-0.585,-2.308,0.172,-0.726
58,16.404,-7.114,305.356,-376.938,39.859,12.522,-18.693,4.114,274.089,-146.966,-32.025,44.194,0.385,-3.112,-0.364,-1.377,-0.586,-2.291,0.179,-0.729
59,16.284,-6.932,306.23,-383.242,39.893,11.52,-18.688,4.424,274.125,-153.339,-35.652,44.521,0.384,-3.156,-0.398,-1.437,-0.618,-2.344,0.187,-0.732
60,16.174,-6.575,306.219,-395.772,36.291,8.778,-18.959,4.658,273.684,-156.517,-33.848,44.857,0.354,-3.261,-0.383,-1.469,-0.635,-2.416,0.195,-0.734
61,16.491,-6.477,307.107,-402.152,39.869,7.11,-18.699,4.343,273.279,-166.069,-35.672,38.757,0.383,-3.305,-0.399,-1.559,-0.651,-2.483,0.202,-0.738
62,15.993,-5.906,307.562,-411.525,41.636,4.291,-18.695,4.843,272.828,-175.29,-33.929,40.567,0.396,-3.379,-0.384,-1.65,-0.655,-2.566,0.209,-0.741
63,16.283,-5.756,308.426,-411.646,41.691,5.329,-18.421,5.018,272.818,-181.333,-33.99,39.901,0.396,-3.371,-0.383,-1.706,-0.67,-2.59,0.215,-0.745
64,15.926,-4.948,308.881,-421.019,43.458,9.716,-18.674,5.699,272.831,-193.869,-34.124,42.355,0.409,-3.446,-0.385,-1.826,-0.672,-2.686,0.221,-0.75
65,15.961,-4.29,310.612,-433.866,43.511,15.241,-18.096,6.013,271.962,-200.105,-34.07,41.721,0.407,-3.534,-0.384,-1.891,-0.721,-2.767,0.227,-0.755
