"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,18.055,-3.468,309.465,-87.129,6.039,-17.109,-20.364,-1.791,272.633,-273.017,-50.931,22.81,0.108,-0.704,-0.548,-2.537,-0.923,-1.563,-0.007,-0.004
2,17.613,-3.211,309.02,-83.939,4.25,-21.184,-20.119,-2.235,272.656,-279.51,-51.004,22.532,0.092,-0.68,-0.548,-2.596,-0.923,-1.578,-0.014,-0.008
3,17.526,-3.382,309.465,-87.129,6.039,-20.675,-20.384,-1.971,272.669,-279.39,-54.558,25.987,0.106,-0.704,-0.582,-2.595,-0.939,-1.59,-0.02,-0.012
4,17.253,-2.989,309.475,-93.312,6.017,-21.571,-20.242,-2.106,273.551,-285.69,-54.745,30.34,0.105,-0.756,-0.582,-2.645,-0.921,-1.642,-0.026,-0.017
5,17.559,-3.113,309.895,-90.244,4.284,-21.644,-19.972,-2.153,274.015,-289.006,-56.622,29.996,0.092,-0.73,-0.597,-2.671,-0.934,-1.641,-0.031,-0.022
6,17.699,-3.25,309.475,-93.312,6.017,-25.213,-20.071,-2.859,273.587,-292.064,-58.372,23.573,0.106,-0.755,-0.615,-2.701,-0.935,-1.668,-0.035,-0.028
7,17.746,-3.215,309.919,-96.502,7.806,-21.074,-20.062,-2.372,273.146,-295.242,-56.568,27.448,0.121,-0.781,-0.599,-2.737,-0.937,-1.697,-0.039,-0.034
8,17.629,-3.999,309.919,-96.502,7.806,-25.502,-19.167,-2.589,273.146,-295.242,-56.568,24.418,0.121,-0.778,-0.596,-2.736,-0.936,-1.695,-0.043,-0.04
9,17.614,-3.739,310.373,-105.875,9.573,-23.453,-18.942,-2.554,272.277,-301.478,-56.515,22.954,0.135,-0.854,-0.596,-2.803,-0.954,-1.765,-0.047,-0.047
10,17.248,-3.952,309.921,-109.106,7.747,-24.484,-19.485,-2.911,272.277,-301.478,-56.515,25.716,0.119,-0.881,-0.598,-2.802,-0.955,-1.78,-0.05,-0.054
11,17.207,-3.608,311.238,-105.996,9.629,-26.139,-19.038,-2.953,272.718,-298.3,-58.319,21.177,0.134,-0.853,-0.612,-2.768,-0.969,-1.747,-0.053,-0.062
12,16.827,-2.936,311.238,-105.996,9.629,-28.164,-18.647,-2.955,272.718,-298.3,-58.319,20.17,0.132,-0.856,-0.611,-2.768,-0.969,-1.749,-0.055,-0.07
13,16.913,-3.301,311.214,-99.738,6.107,-29.04,-18.766,-2.779,272.718,-298.3,-58.319,28.349,0.104,-0.803,-0.611,-2.768,-0.984,-1.721,-0.058,-0.078
