"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,18.302,-7.541,305.781,-328.396,-176.334,-29.651,-20.862,1.472,276.898,-111.802,204.366,65.757,-1.405,-2.703,1.8,-1.031,-0.449,-1.909,0.001,-0.068
2,18.122,-7.412,306.232,-325.164,-174.509,-32.145,-20.86,1.567,275.565,-114.723,206.296,70.703,-1.388,-2.673,1.827,-1.063,-0.468,-1.91,0.001,-0.104
3,17.888,-7.357,306.211,-331.511,-178.089,-29.521,-20.597,1.12,275.601,-121.097,202.669,65.004,-1.419,-2.726,1.794,-1.12,-0.498,-1.965,0,-0.139
4,18.006,-7.785,306.665,-340.884,-176.322,-32.017,-20.359,0.802,275.196,-130.648,200.846,66.411,-1.402,-2.798,1.781,-1.209,-0.515,-2.046,-0.001,-0.175
5,17.68,-7.851,307.961,-344.12,-178.021,-29.919,-19.923,0.983,275.196,-130.648,200.846,65.061,-1.411,-2.813,1.782,-1.209,-0.546,-2.056,-0.002,-0.212
6,17.953,-7.924,308.412,-340.888,-176.195,-32.942,-20.187,0.991,274.327,-136.885,200.899,66.466,-1.393,-2.782,1.787,-1.271,-0.564,-2.071,-0.003,-0.248
7,17.869,-8.196,308.825,-344.241,-177.965,-31.427,-20.509,1.211,273.445,-130.585,201.087,67.111,-1.406,-2.805,1.794,-1.217,-0.598,-2.059,-0.005,-0.286
8,17.895,-8.192,308.833,-337.82,-177.928,-30.305,-20.38,0.494,272.158,-133.837,199.451,64.572,-1.406,-2.752,1.787,-1.251,-0.631,-2.049,-0.007,-0.323
9,18.309,-8.406,308.388,-334.63,-179.717,-30.319,-19.874,0.404,271.266,-133.579,199.577,66.487,-1.421,-2.729,1.796,-1.252,-0.647,-2.038,-0.01,-0.36
10,18.574,-8.024,308.388,-334.63,-179.717,-30.002,-20.153,0.713,270.42,-133.653,196.137,68.223,-1.42,-2.73,1.768,-1.258,-0.68,-2.042,-0.014,-0.397
11,18.168,-8.443,308.819,-337.745,-181.471,-32.415,-19.616,1.072,269.979,-136.831,197.941,65.352,-1.434,-2.751,1.79,-1.291,-0.697,-2.07,-0.018,-0.434
12,18.263,-9.196,309.707,-344.125,-177.894,-30.091,-19.262,0.808,269.979,-136.831,197.941,63.297,-1.4,-2.793,1.792,-1.29,-0.697,-2.093,-0.022,-0.471
13,18.335,-9.494,310.138,-347.24,-179.649,-30.379,-19.933,0.406,269.551,-139.89,196.191,67.479,-1.412,-2.813,1.776,-1.32,-0.73,-2.119,-0.027,-0.507
14,18.288,-8.667,310.582,-350.429,-177.86,-33.939,-19.709,0.711,268.705,-139.963,192.751,64.59,-1.396,-2.838,1.749,-1.326,-0.763,-2.137,-0.033,-0.544
15,18.2,-8.99,311.013,-353.544,-179.614,-35.114,-19.927,-0.048,268.264,-143.141,194.555,64.546,-1.409,-2.859,1.769,-1.355,-0.781,-2.162,-0.039,-0.58
16,18.5,-8.935,312.308,-356.781,-181.313,-31.596,-19.799,-0.225,268.3,-149.515,190.928,69.188,-1.416,-2.873,1.734,-1.415,-0.826,-2.199,-0.045,-0.615
17,19.082,-9.373,312.762,-366.154,-179.546,-28.624,-19.835,-0.677,267.849,-158.736,192.671,65.263,-1.397,-2.944,1.754,-1.503,-0.828,-2.279,-0.052,-0.651
18,18.601,-10.08,312.786,-372.412,-176.025,-35.934,-19.958,-1.253,267.863,-171.272,192.537,63.061,-1.37,-2.992,1.752,-1.619,-0.814,-2.359,-0.06,-0.686
19,18.676,-10.298,313.618,-391.41,-183.151,-28.664,-20.105,-1.338,266.575,-174.524,190.901,63.382,-1.424,-3.137,1.744,-1.658,-0.895,-2.458,-0.068,-0.722
20,18.68,-11.05,314.094,-394.436,-177.804,-31.916,-20.019,-0.797,265.265,-171.282,189.338,61.998,-1.379,-3.155,1.738,-1.637,-0.915,-2.46,-0.076,-0.757
21,18.812,-11.229,315.41,-391.326,-175.922,-33.76,-19.887,-0.398,265.229,-164.908,192.965,64.879,-1.357,-3.116,1.774,-1.578,-0.915,-2.413,-0.085,-0.793
22,18.796,-10.415,316.258,-378.768,-179.351,-30.766,-19.937,-0.053,264.347,-158.608,193.152,60.829,-1.381,-3.009,1.781,-1.524,-0.963,-2.333,-0.095,-0.828
23,19.132,-10.414,317.107,-366.21,-182.78,-32.45,-19.981,-0.501,264.357,-152.566,193.213,64.78,-1.404,-2.901,1.782,-1.464,-0.993,-2.247,-0.105,-0.863
24,19.24,-10.307,318.407,-350.42,-184.383,-32.558,-20.118,-0.453,263.916,-143.088,191.597,68.343,-1.411,-2.763,1.769,-1.375,-1.039,-2.134,-0.115,-0.897
25,19.515,-10.298,317.952,-341.047,-186.15,-31.369,-19.949,-0.898,263.88,-136.714,195.224,60.534,-1.426,-2.692,1.804,-1.313,-1.023,-2.067,-0.126,-0.931
26,19.495,-9.827,319.673,-322.189,-189.487,-35.221,-19.964,-1.139,263.448,-121.193,193.669,66.541,-1.445,-2.529,1.792,-1.164,-1.084,-1.913,-0.138,-0.963
