"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,34.62,0.438,344.684,111.847,-217.605,-60.638,-38.124,-0.442,375.051,35.258,-59.938,59.433,-1.503,0.823,-0.507,0.24,-0.502,0.519,-0.001,0.032
2,34,0.346,344.266,96.174,-215.931,-59.881,-37.818,-0.665,372.859,32.144,-57.894,55.111,-1.495,0.709,-0.495,0.221,-0.519,0.455,-0.001,0.046
3,34.039,-0.842,345.571,86.754,-217.651,-65.731,-37.053,-0.574,371.18,19.46,-64.907,62.712,-1.502,0.64,-0.543,0.135,-0.597,0.378,0,0.059
4,33.919,-0.728,346.028,64.776,-215.943,-61.581,-36.739,-0.759,368.537,7.125,-61.12,59.402,-1.487,0.478,-0.52,0.051,-0.628,0.258,0,0.071
5,34.256,-1.622,345.161,33.267,-216.153,-61.859,-36.156,-1.919,366.381,-2.363,-62.702,62.652,-1.492,0.249,-0.532,-0.011,-0.657,0.115,0.001,0.082
6,34.155,-3.436,344.296,-10.847,-216.422,-58.906,-36.104,-2.537,363.369,-30.623,-64.365,58.756,-1.498,-0.07,-0.548,-0.207,-0.702,-0.14,0.001,0.09
7,34.112,-4.884,344.304,-48.661,-216.598,-58.137,-35.747,-3.075,362.049,-46.08,-62.569,62.21,-1.499,-0.345,-0.537,-0.315,-0.719,-0.329,0.001,0.097
8,33.618,-5.871,344.319,-80.053,-216.737,-61.5,-36.192,-3.512,362.062,-58.617,-62.703,62.189,-1.502,-0.574,-0.539,-0.402,-0.721,-0.485,0.001,0.1
9,33.435,-6.329,344.745,-102.194,-218.587,-55.536,-35.85,-3.365,363.849,-77.71,-63.151,58.052,-1.514,-0.735,-0.538,-0.533,-0.705,-0.631,0.001,0.101
10,33.487,-7.084,343.011,-120.978,-218.794,-53.726,-36.197,-4.135,364.744,-96.546,-63.472,57.594,-1.523,-0.875,-0.54,-0.661,-0.666,-0.765,0,0.099
11,33.611,-6.988,342.139,-127.278,-218.887,-56.672,-36.18,-5.066,367.854,-118.761,-65.911,57.255,-1.527,-0.925,-0.552,-0.806,-0.608,-0.863,-0.001,0.093
12,33.157,-6.924,339.94,-130.505,-220.839,-55.85,-36.394,-5.904,370.501,-125.005,-69.894,53.778,-1.553,-0.955,-0.576,-0.841,-0.552,-0.896,-0.001,0.085
13,33.742,-6.576,339.52,-133.573,-219.107,-55.752,-36.965,-5.994,373.562,-128.31,-68.572,54.072,-1.54,-0.98,-0.564,-0.857,-0.483,-0.915,-0.001,0.074
14,34.249,-5.985,339.066,-124.2,-220.874,-51.418,-36.95,-5.718,375.755,-125.195,-70.616,57.069,-1.554,-0.913,-0.575,-0.831,-0.453,-0.87,-0.001,0.06
15,33.81,-4.743,338.643,-114.664,-219.082,-49.889,-37.001,-5.007,377.911,-115.707,-69.034,59.584,-1.544,-0.846,-0.561,-0.765,-0.399,-0.803,-0.001,0.044
16,34.403,-4.357,339.925,-99.112,-220.7,-53.089,-37.841,-4.336,379.207,-106.413,-67.337,59.469,-1.548,-0.728,-0.55,-0.701,-0.397,-0.714,0,0.026
17,34.226,-3.404,340.353,-89.622,-222.396,-48.805,-38.381,-3.485,379.636,-90.699,-69.007,64.822,-1.56,-0.659,-0.562,-0.598,-0.41,-0.627,0.002,0.007
18,34.237,-2.351,341.222,-70.718,-222.245,-55.937,-37.945,-3.451,380.468,-78.089,-65.433,65.222,-1.554,-0.52,-0.536,-0.512,-0.396,-0.516,0.004,-0.013
19,33.978,-2.211,341.22,-58.113,-222.186,-56.061,-37.734,-3.049,380.478,-59.39,-68.792,65.947,-1.555,-0.426,-0.557,-0.389,-0.407,-0.406,0.007,-0.033
20,34.033,-1.923,342.082,-45.63,-222.072,-50.584,-38.094,-2.476,379.583,-40.554,-68.471,66.97,-1.55,-0.333,-0.558,-0.265,-0.434,-0.297,0.01,-0.054
21,33.896,-1.226,342.962,-32.908,-221.942,-59.985,-38.346,-1.176,378.678,-27.761,-68.21,64.826,-1.545,-0.24,-0.558,-0.183,-0.461,-0.21,0.013,-0.074
22,33.487,-2.063,342.959,-20.304,-221.883,-61.622,-38.168,-0.775,376.496,-24.832,-66.105,64.47,-1.546,-0.144,-0.546,-0.165,-0.49,-0.155,0.016,-0.094
23,33.5,-2.327,342.959,-20.304,-221.883,-62.791,-37.592,-1.095,373.853,-24.512,-65.737,68.717,-1.546,-0.144,-0.546,-0.164,-0.532,-0.154,0.019,-0.113
24,33.884,-2.53,342.507,-23.535,-223.709,-60.681,-37.115,-1.68,371.232,-30.684,-65.443,65.831,-1.56,-0.167,-0.547,-0.205,-0.573,-0.187,0.022,-0.131
25,33.978,-2.285,342.962,-32.908,-221.942,-62.966,-36.787,-2.221,369.54,-43.488,-68.902,68.293,-1.545,-0.237,-0.572,-0.293,-0.614,-0.266,0.025,-0.149
26,34.263,-3.072,342.943,-51.86,-225.581,-63.042,-35.802,-2.794,366.933,-62.197,-68.742,64.547,-1.571,-0.375,-0.572,-0.423,-0.669,-0.4,0.028,-0.166
27,33.77,-3.835,342.969,-70.722,-222.118,-57.744,-35.665,-3.962,363.908,-77.921,-70.271,66.22,-1.547,-0.513,-0.588,-0.533,-0.714,-0.523,0.03,-0.184
28,33.879,-4.217,343.844,-77.027,-222.084,-61.102,-35.595,-4.94,361.324,-103.123,-70.184,62.223,-1.542,-0.557,-0.591,-0.711,-0.772,-0.636,0.031,-0.202
29,33.576,-5.199,345.163,-86.521,-220.261,-65.705,-35.478,-5.611,360.004,-118.58,-68.388,61.475,-1.524,-0.622,-0.58,-0.821,-0.802,-0.724,0.032,-0.22
30,33.83,-4.886,345.173,-92.705,-220.283,-58.32,-35.342,-5.378,359.135,-124.816,-68.334,64.364,-1.523,-0.668,-0.581,-0.868,-0.816,-0.77,0.033,-0.239
31,34.27,-4.707,346.468,-95.941,-221.982,-61.869,-35.93,-4.84,358.266,-131.053,-68.281,60.319,-1.529,-0.69,-0.583,-0.916,-0.857,-0.805,0.033,-0.258
32,34.439,-4.239,348.645,-99.061,-223.61,-58.468,-35.7,-4.118,359.553,-127.801,-66.645,60.074,-1.531,-0.71,-0.569,-0.891,-0.866,-0.802,0.032,-0.278
33,35.05,-3.92,352.569,-102.185,-225.111,-54.701,-35.793,-3.815,360.004,-118.58,-68.388,57.519,-1.523,-0.725,-0.581,-0.826,-0.928,-0.776,0.03,-0.299
34,35.133,-3.507,354.739,-111.726,-226.775,-54.316,-36.029,-3.411,361.278,-102.792,-66.618,56.107,-1.525,-0.79,-0.567,-0.713,-0.937,-0.751,0.028,-0.32
35,35.708,-4.202,356.917,-114.846,-228.403,-56.903,-36.124,-1.987,362.134,-84.02,-66.537,61.076,-1.526,-0.806,-0.565,-0.584,-0.959,-0.694,0.025,-0.341
36,35.534,-4.55,358.656,-121.272,-228.313,-58.344,-36.219,-0.556,364.313,-68.369,-68.448,59.033,-1.518,-0.846,-0.576,-0.475,-0.954,-0.659,0.021,-0.362
37,35.653,-4.81,359.528,-114.972,-228.221,-55.272,-36.486,-0.601,365.169,-49.597,-68.367,55.091,-1.514,-0.799,-0.574,-0.343,-0.951,-0.569,0.016,-0.383
38,35.747,-3.392,360.831,-111.787,-229.882,-51.566,-36.227,0.107,366.015,-36.867,-68.348,63.028,-1.52,-0.778,-0.572,-0.256,-0.961,-0.515,0.011,-0.403
39,35.718,-3.229,359.105,-105.436,-226.429,-56.89,-35.887,0.191,366.43,-21.273,-66.463,63.109,-1.502,-0.737,-0.558,-0.148,-0.91,-0.439,0.006,-0.423
40,35.293,-2.512,358.23,-99.131,-226.463,-49.568,-35.617,-0.345,364.679,-21.209,-66.223,64.493,-1.508,-0.696,-0.558,-0.147,-0.927,-0.419,0,-0.442
41,34.911,-3.056,356.914,-102.241,-228.345,-55.222,-35.362,-1.287,360.726,-30.303,-63.998,64.794,-1.528,-0.719,-0.548,-0.21,-0.974,-0.463,-0.006,-0.46
42,35.195,-3.313,356.938,-108.499,-224.823,-54.651,-35.399,-2.359,358.57,-39.791,-65.581,65.118,-1.502,-0.763,-0.562,-0.275,-1.005,-0.519,-0.012,-0.478
43,34.969,-3.698,357.382,-111.689,-223.034,-55.838,-34.826,-3.616,356.391,-42.785,-67.09,66.126,-1.488,-0.783,-0.575,-0.295,-1.048,-0.54,-0.019,-0.495
44,34.582,-3.919,356.056,-108.616,-224.894,-57.229,-34.509,-3.94,355.067,-39.664,-65.099,69.04,-1.508,-0.764,-0.562,-0.273,-1.051,-0.519,-0.026,-0.511
45,34.352,-4.69,355.188,-95.89,-224.891,-51.153,-34.562,-3.267,353.767,-30.379,-66.601,68.261,-1.512,-0.673,-0.575,-0.209,-1.067,-0.441,-0.034,-0.527
46,34.917,-4.399,353.847,-61.424,-226.612,-58.719,-34.472,-3.046,352.849,-17.706,-62.786,66.536,-1.528,-0.429,-0.549,-0.119,-1.055,-0.274,-0.042,-0.542
47,34.978,-3.932,352.071,-29.952,-230.143,-58.209,-34.704,-2.552,354.55,1.141,-59.266,69.426,-1.561,-0.205,-0.522,0.015,-1,-0.094,-0.05,-0.556
48,35.776,-3.207,350.758,17.281,-228.246,-59.101,-34.807,-1.579,355.848,23.091,-60.989,72.27,-1.551,0.134,-0.532,0.169,-0.956,0.152,-0.059,-0.568
49,35.482,-0.996,349.844,61.237,-231.663,-61.406,-34.856,-0.547,358.027,38.742,-62.9,69.509,-1.581,0.447,-0.543,0.276,-0.924,0.361,-0.067,-0.578
50,35.176,0.848,349.86,92.793,-227.965,-62.191,-35.215,-0.328,360.657,50.957,-63.133,70.559,-1.555,0.671,-0.541,0.36,-0.867,0.513,-0.075,-0.586
51,35.353,1.509,350.73,111.697,-227.814,-63.211,-34.812,-0.685,361.944,54.209,-61.497,67.395,-1.549,0.805,-0.527,0.382,-0.85,0.59,-0.083,-0.59
52,34.388,1.209,352.477,111.692,-227.687,-69.131,-35.112,-1.144,363.731,47.772,-65.365,71.992,-1.544,0.801,-0.552,0.337,-0.86,0.565,-0.091,-0.593
53,34.601,0.594,350.312,96.024,-226.14,-64.477,-35.374,-1.3,364.59,35.309,-62.06,67.784,-1.541,0.695,-0.528,0.25,-0.796,0.468,-0.099,-0.593
54,34.575,2.681,348.14,73.935,-224.629,-64.416,-35.266,5.15,365.495,22.516,-62.32,67.145,-1.54,0.532,-0.529,0.143,-0.744,0.332,-0.105,-0.591
55,35.538,12.222,343.812,61.311,-217.91,-60.463,-35.509,14.888,363.708,28.953,-58.452,70.77,-1.507,0.418,-0.505,0.162,-0.67,0.286,-0.112,-0.587
56,35.386,17.446,332.509,74.154,-211.567,-58.133,-35.711,19.048,357.127,50.845,-55.543,75.308,-1.51,0.514,-0.494,0.309,-0.576,0.408,-0.117,-0.582
