"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,13.257,-2.937,316.62,-12.271,-110.174,-51.773,-15.739,-0.422,328.986,-58.018,92.913,59.413,-0.842,-0.089,0.67,-0.447,0.147,-0.271,0,0.004
2,13.587,-2.902,316.63,-18.454,-110.196,-49.792,-15.719,-0.78,329.022,-64.392,89.286,58.023,-0.841,-0.139,0.642,-0.495,0.134,-0.32,0.001,0.007
3,13.509,-2.956,317.074,-21.644,-108.407,-53.696,-15.903,-0.913,329.441,-67.377,90.976,55.445,-0.826,-0.164,0.654,-0.517,0.147,-0.344,0.001,0.01
4,13.642,-3.282,317.505,-24.759,-110.162,-51.183,-15.682,-0.865,329.868,-64.318,92.726,59.103,-0.838,-0.188,0.667,-0.493,0.147,-0.343,0.002,0.013
5,13.448,-2.767,317.053,-27.991,-111.988,-51.692,-15.854,-0.909,330.751,-70.618,92.539,59.446,-0.855,-0.216,0.663,-0.54,0.162,-0.381,0.003,0.015
6,13.55,-3.072,316.622,-24.876,-110.233,-53.53,-15.583,-0.867,331.192,-67.44,90.735,49.862,-0.842,-0.19,0.649,-0.515,0.178,-0.356,0.003,0.017
7,13.282,-2.614,317.053,-27.991,-111.988,-51.391,-16.113,-1.137,331.214,-73.933,90.662,56.863,-0.855,-0.216,0.647,-0.564,0.162,-0.394,0.004,0.019
8,13.445,-2.945,315.758,-24.754,-110.289,-50.326,-15.931,-0.912,330.751,-70.618,92.539,58.716,-0.845,-0.19,0.663,-0.54,0.192,-0.369,0.005,0.02
9,13.605,-2.41,317.053,-27.991,-111.988,-54.93,-15.804,-1.131,331.633,-76.918,92.351,53.059,-0.854,-0.217,0.66,-0.586,0.177,-0.405,0.006,0.021
10,13.613,-2.545,316.202,-27.944,-108.5,-53.889,-15.892,-0.914,332.074,-73.74,90.547,54.101,-0.829,-0.216,0.645,-0.561,0.206,-0.393,0.007,0.022
11,13.274,-2.277,316.202,-27.944,-108.5,-54.893,-15.721,-0.777,330.751,-70.618,92.539,56.568,-0.83,-0.217,0.664,-0.54,0.191,-0.382,0.008,0.023
12,13.96,-2.757,315.75,-31.176,-110.326,-51.385,-15.814,-0.862,331.182,-73.483,90.674,55.87,-0.843,-0.242,0.648,-0.561,0.193,-0.405,0.01,0.023
13,12.611,-2.162,315.75,-31.176,-110.326,-51.977,-15.854,-0.683,330.764,-70.498,88.984,57.642,-0.848,-0.244,0.636,-0.539,0.177,-0.395,0.011,0.023
14,13.321,-2.748,314.878,-37.476,-110.418,-51.044,-15.759,-0.552,330.751,-70.618,92.539,55.196,-0.849,-0.294,0.663,-0.541,0.207,-0.42,0.012,0.023
15,13.146,-2.494,315.76,-37.359,-110.347,-49.15,-15.984,-0.729,331.205,-79.976,90.601,54.047,-0.846,-0.293,0.647,-0.611,0.191,-0.456,0.014,0.022
16,13.236,-2.583,315.784,-43.617,-106.826,-52.696,-15.769,-0.945,329.895,-76.735,89.038,53.378,-0.817,-0.343,0.638,-0.588,0.176,-0.468,0.015,0.021
17,13.287,-2.615,315.784,-43.617,-106.826,-47.879,-15.901,-0.732,331.205,-79.976,90.601,53.343,-0.817,-0.343,0.647,-0.611,0.205,-0.48,0.017,0.02
18,13.461,-2.659,315.777,-50.038,-106.863,-50.277,-16.036,-0.734,330.764,-83.154,92.405,52.923,-0.817,-0.394,0.662,-0.636,0.204,-0.518,0.019,0.018
19,13.387,-2.833,315.325,-53.27,-108.688,-48.079,-15.704,-1.307,331.623,-82.961,92.29,51.656,-0.833,-0.42,0.66,-0.632,0.22,-0.528,0.02,0.016
20,13.458,-3.072,315.787,-56.222,-106.885,-51.506,-15.846,-1.221,332.087,-86.276,90.413,52.661,-0.817,-0.443,0.644,-0.656,0.219,-0.552,0.022,0.014
21,13.55,-2.834,314.915,-62.522,-106.977,-48.987,-15.66,-1.126,332.087,-86.276,90.413,54.164,-0.82,-0.495,0.645,-0.657,0.235,-0.578,0.024,0.011
22,13.249,-3.341,314.915,-62.522,-106.977,-46.884,-15.964,-1.347,331.659,-89.334,88.663,56.241,-0.821,-0.494,0.631,-0.68,0.22,-0.589,0.026,0.008
23,13.51,-3.241,314.487,-72.011,-105.281,-49.693,-16.017,-1.259,331.218,-92.512,90.467,55.17,-0.808,-0.571,0.646,-0.706,0.234,-0.64,0.028,0.004
24,13.511,-2.758,314.466,-78.358,-108.862,-51.534,-16.2,-1.166,331.682,-95.828,88.59,55.132,-0.836,-0.624,0.63,-0.73,0.221,-0.679,0.03,0
25,13.584,-2.991,314.045,-81.426,-107.129,-52.65,-16.371,-1.217,332.1,-98.812,90.28,49.794,-0.823,-0.649,0.642,-0.752,0.249,-0.702,0.032,-0.004
26,13.397,-3.47,314.489,-84.616,-105.34,-49.364,-16.274,-1.351,332.1,-98.812,90.28,50.818,-0.808,-0.672,0.642,-0.752,0.248,-0.713,0.034,-0.01
27,13.705,-3.554,314.069,-87.684,-103.607,-46.465,-16.192,-1.077,332.541,-95.634,88.476,51.569,-0.794,-0.698,0.628,-0.727,0.263,-0.713,0.036,-0.015
28,13.299,-3.226,314.499,-90.799,-105.362,-50.647,-16.142,-1.302,333.423,-101.934,88.288,52.321,-0.809,-0.723,0.625,-0.773,0.263,-0.749,0.039,-0.022
29,13.26,-3.367,313.197,-93.984,-103.7,-49.976,-15.967,-1.205,333.423,-101.934,88.288,54.533,-0.799,-0.751,0.625,-0.773,0.293,-0.763,0.041,-0.028
30,13.202,-3.537,313.197,-93.984,-103.7,-47.401,-15.693,-1.389,333.41,-102.054,91.842,50.242,-0.799,-0.751,0.653,-0.773,0.307,-0.763,0.044,-0.036
31,13.239,-3.416,313.197,-93.984,-103.7,-48.861,-16.101,-1.202,333.423,-101.934,88.288,52.013,-0.799,-0.751,0.625,-0.773,0.293,-0.762,0.047,-0.043
32,13.064,-3.936,313.199,-106.589,-103.758,-48.17,-16.069,-1.337,333.851,-98.876,90.039,51.266,-0.8,-0.852,0.637,-0.748,0.306,-0.798,0.05,-0.051
33,12.982,-3.582,313.62,-103.521,-105.491,-43.886,-15.886,-1.024,333.41,-102.054,91.842,46.675,-0.813,-0.827,0.653,-0.774,0.292,-0.8,0.053,-0.059
34,12.941,-3.724,313.199,-106.589,-103.758,-46.064,-16.417,-1.343,334.269,-101.861,91.728,52.651,-0.8,-0.853,0.648,-0.77,0.32,-0.81,0.056,-0.068
35,12.972,-3.775,312.755,-103.399,-105.547,-45.314,-16.37,-0.93,334.733,-105.176,89.851,47.759,-0.816,-0.828,0.633,-0.795,0.321,-0.811,0.059,-0.077
36,12.986,-3.52,312.317,-106.706,-103.829,-48.435,-16.108,-0.801,334.269,-101.861,91.728,53.816,-0.803,-0.857,0.649,-0.772,0.336,-0.813,0.063,-0.086
37,12.988,-3.719,312.748,-109.821,-105.584,-46.423,-16.279,-1.031,333.842,-104.919,89.978,54.08,-0.816,-0.88,0.636,-0.795,0.307,-0.836,0.066,-0.096
38,13.204,-3.263,312.327,-112.889,-103.851,-42.468,-16.108,-1.16,333.423,-101.934,88.288,48.07,-0.802,-0.908,0.625,-0.773,0.308,-0.838,0.07,-0.106
39,12.942,-3.714,312.327,-112.889,-103.851,-45.493,-16.506,-0.988,333.842,-104.919,89.978,50.464,-0.803,-0.906,0.636,-0.795,0.321,-0.849,0.073,-0.115
40,13.067,-3.407,311.876,-116.121,-105.677,-45.307,-16.236,-0.893,333.423,-101.934,88.288,54.794,-0.819,-0.935,0.624,-0.774,0.308,-0.852,0.077,-0.125
41,12.757,-3.548,313.202,-119.194,-103.817,-43.914,-16.1,-1.213,333.842,-104.919,89.978,51.221,-0.801,-0.955,0.637,-0.795,0.305,-0.872,0.08,-0.136
42,13.175,-4.112,311.899,-122.379,-102.155,-48.924,-15.963,-1.204,333.864,-111.412,89.905,53.116,-0.79,-0.983,0.637,-0.844,0.336,-0.911,0.084,-0.146
43,13.248,-3.932,312.33,-125.494,-103.91,-43.373,-16.097,-1.207,333.864,-111.412,89.905,50.562,-0.803,-1.008,0.636,-0.844,0.322,-0.923,0.088,-0.157
44,13.15,-3.727,311.909,-128.562,-102.177,-45.068,-16.184,-1.428,334.283,-114.397,91.594,49.463,-0.79,-1.035,0.648,-0.865,0.35,-0.947,0.091,-0.168
45,13.146,-3.765,311.909,-128.562,-102.177,-45.418,-16.274,-1.463,335.188,-114.534,87.913,51.305,-0.79,-1.035,0.618,-0.864,0.351,-0.946,0.095,-0.179
46,13.064,-3.568,312.784,-134.867,-102.143,-42.611,-16.236,-1.464,334.747,-117.712,89.717,50.893,-0.788,-1.084,0.633,-0.889,0.334,-0.983,0.099,-0.19
47,13.113,-3.909,311.902,-134.983,-102.214,-46.851,-16.077,-1.38,335.629,-124.012,89.53,47.742,-0.791,-1.087,0.63,-0.934,0.365,-1.008,0.103,-0.201
48,13.645,-3.896,311.482,-138.052,-100.481,-43.405,-16.169,-1.335,335.201,-127.07,87.78,48.086,-0.776,-1.113,0.617,-0.959,0.366,-1.033,0.106,-0.213
49,12.972,-3.585,311.46,-144.398,-104.061,-44.539,-16.358,-1.832,334.737,-123.755,89.656,45.55,-0.807,-1.166,0.632,-0.934,0.35,-1.046,0.11,-0.225
50,12.809,-3.964,311.484,-150.656,-100.54,-41.444,-16.392,-1.733,335.201,-127.07,87.78,53.767,-0.779,-1.216,0.617,-0.958,0.364,-1.082,0.114,-0.237
51,12.885,-3.658,311.484,-150.656,-100.54,-39.781,-16.356,-1.83,335.201,-127.07,87.78,51.239,-0.779,-1.217,0.617,-0.957,0.364,-1.082,0.118,-0.249
52,13.025,-4.497,311.484,-150.656,-100.54,-46.082,-16.092,-1.51,334.76,-130.248,89.583,50.909,-0.778,-1.214,0.632,-0.984,0.364,-1.095,0.122,-0.262
53,13.338,-3.831,311.484,-150.656,-100.54,-42.517,-15.952,-1.697,334.332,-133.306,87.833,45.561,-0.777,-1.216,0.62,-1.008,0.351,-1.108,0.126,-0.275
54,13.29,-5.173,311.915,-153.771,-102.294,-43.733,-15.819,-2.547,334.319,-120.77,87.967,47.713,-0.791,-1.236,0.621,-0.91,0.336,-1.067,0.13,-0.288
55,13.062,-5.794,311.912,-141.167,-102.236,-42.785,-16.136,-3.312,334.296,-114.277,88.04,49.119,-0.791,-1.131,0.621,-0.858,0.336,-0.99,0.134,-0.301
56,13.323,-6.378,311.902,-134.983,-102.214,-42.449,-16.277,-3.054,334.283,-101.741,88.174,47.308,-0.79,-1.079,0.622,-0.764,0.336,-0.916,0.137,-0.313
57,12.801,-5.359,311.886,-122.304,-105.699,-42.678,-16.026,-2.917,334.279,-83.162,88.369,52.655,-0.82,-0.979,0.624,-0.623,0.323,-0.795,0.141,-0.326
