"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,12.614,-7.221,330.722,-371.334,-103.722,-36.102,-15.736,2.248,318.621,-164.3,89.659,76.955,-0.759,-2.83,0.666,-1.317,-0.273,-2.088,0.001,0
2,12.705,-6.895,330.301,-374.402,-101.989,-34.209,-15.735,2.252,318.607,-164.419,93.214,74.87,-0.746,-2.858,0.694,-1.318,-0.245,-2.102,0.002,-0.001
3,13.001,-7.128,331.152,-374.449,-105.477,-39.379,-15.29,2.163,318.621,-164.3,89.659,73.531,-0.77,-2.851,0.667,-1.316,-0.286,-2.098,0.002,-0.001
4,12.486,-7.041,331.176,-380.707,-101.955,-35.749,-15.47,2.613,318.621,-164.3,89.659,74.892,-0.744,-2.899,0.667,-1.318,-0.273,-2.124,0.003,-0.002
5,12.916,-6.922,331.176,-380.707,-101.955,-37.102,-15.728,2.562,319.075,-173.658,87.722,72.344,-0.743,-2.899,0.65,-1.39,-0.272,-2.159,0.003,-0.003
6,12.661,-7.017,332.051,-387.012,-101.921,-35.021,-15.507,2.341,318.657,-170.673,86.032,75.96,-0.742,-2.939,0.638,-1.368,-0.302,-2.17,0.004,-0.004
7,12.665,-7.162,332.051,-387.012,-101.921,-38.158,-15.596,2.481,318.657,-170.673,86.032,74.879,-0.742,-2.939,0.637,-1.368,-0.302,-2.17,0.004,-0.006
8,12.834,-7.429,331.599,-390.243,-103.747,-36.087,-15.504,2.299,317.752,-170.536,89.713,72.727,-0.756,-2.967,0.669,-1.37,-0.303,-2.186,0.005,-0.008
9,12.562,-7.65,332.474,-396.548,-103.713,-30.819,-15.236,2.479,318.216,-173.851,87.836,75.624,-0.755,-3.007,0.654,-1.395,-0.316,-2.219,0.005,-0.01
10,12.88,-7.555,332.029,-393.358,-105.502,-33.895,-15.649,1.989,317.788,-176.91,86.086,71.302,-0.768,-2.986,0.639,-1.42,-0.33,-2.221,0.005,-0.012
11,12.436,-7.442,332.904,-399.663,-105.468,-35.313,-15.372,1.893,317.788,-176.91,86.086,75.538,-0.767,-3.027,0.64,-1.42,-0.346,-2.242,0.005,-0.015
12,12.601,-8.178,332.032,-405.963,-105.56,-35.466,-15.548,2.035,317.801,-189.446,85.952,72.325,-0.77,-3.081,0.639,-1.52,-0.331,-2.318,0.005,-0.018
13,12.755,-7.905,332.907,-412.268,-105.526,-31.695,-15.542,1.226,317.801,-189.446,85.952,73.025,-0.767,-3.122,0.639,-1.518,-0.346,-2.339,0.005,-0.022
14,12.432,-7.855,332.486,-415.336,-103.793,-37.11,-15.534,1.49,317.36,-192.624,87.756,73.093,-0.756,-3.149,0.654,-1.546,-0.333,-2.367,0.004,-0.026
15,13.047,-7.908,332.486,-415.336,-103.793,-35.395,-15.145,1.816,316.932,-195.682,86.005,68.125,-0.754,-3.149,0.642,-1.574,-0.346,-2.38,0.004,-0.03
16,12.865,-7.903,333.361,-421.641,-103.759,-33.41,-15.103,1.538,316.932,-195.682,86.005,69.861,-0.752,-3.189,0.642,-1.573,-0.361,-2.401,0.003,-0.036
17,12.874,-8.516,332.489,-427.941,-103.852,-31.412,-15.421,1.502,316.932,-195.682,86.005,68.425,-0.755,-3.244,0.641,-1.573,-0.347,-2.428,0.002,-0.041
18,12.97,-8.118,332.489,-427.941,-103.852,-35.851,-15.155,1.053,316.504,-198.74,84.255,72.723,-0.754,-3.245,0.629,-1.598,-0.361,-2.442,0.002,-0.047
19,12.918,-7.977,332.489,-427.941,-103.852,-29.537,-15.323,2.079,316.527,-205.234,84.182,71.625,-0.755,-3.245,0.628,-1.653,-0.362,-2.469,0.001,-0.054
20,13.141,-8.386,332.489,-427.941,-103.852,-35.278,-15.311,1.641,316.527,-205.234,84.182,69.515,-0.754,-3.244,0.628,-1.652,-0.361,-2.468,0,-0.061
21,12.904,-8.018,333.364,-434.245,-103.818,-32.791,-15.224,1.495,316.945,-208.218,85.871,68.449,-0.752,-3.285,0.641,-1.673,-0.362,-2.499,-0.001,-0.068
22,13.122,-8.252,333.377,-434.32,-100.275,-33.347,-15.006,1.65,316.527,-205.234,84.182,74.233,-0.725,-3.284,0.629,-1.652,-0.362,-2.489,-0.003,-0.076
23,13.315,-8.41,332.912,-437.477,-105.644,-34.116,-15.457,1.596,316.527,-205.234,84.182,70.93,-0.766,-3.313,0.627,-1.652,-0.375,-2.503,-0.004,-0.085
24,12.817,-8.691,332.912,-437.477,-105.644,-36.513,-15.144,1.811,315.635,-204.977,84.308,65.253,-0.768,-3.312,0.631,-1.655,-0.391,-2.506,-0.005,-0.093
25,12.653,-8.638,334.238,-440.55,-103.784,-31.199,-15.074,1.724,315.635,-204.977,84.308,69.464,-0.751,-3.322,0.631,-1.655,-0.407,-2.512,-0.007,-0.102
26,12.953,-8.557,334.238,-440.55,-103.784,-32.474,-15.266,1.725,315.194,-208.154,86.112,68.467,-0.75,-3.322,0.646,-1.683,-0.408,-2.527,-0.009,-0.112
27,12.965,-8.533,334.238,-440.55,-103.784,-31.594,-15.059,1.863,315.217,-201.992,82.619,67.801,-0.75,-3.322,0.618,-1.633,-0.421,-2.503,-0.01,-0.121
28,12.952,-8.333,333.387,-440.503,-100.296,-35.451,-15.31,1.762,314.776,-205.17,84.423,71.936,-0.725,-3.331,0.633,-1.661,-0.394,-2.52,-0.012,-0.131
29,12.652,-9.355,333.366,-446.85,-103.877,-39.842,-14.969,1.283,314.776,-205.17,84.423,69.553,-0.754,-3.377,0.634,-1.66,-0.408,-2.543,-0.015,-0.14
30,13.104,-9.252,333.81,-450.04,-102.088,-39.08,-14.844,1.502,313.884,-204.913,84.549,64.572,-0.738,-3.397,0.637,-1.663,-0.423,-2.557,-0.017,-0.15
31,13.172,-9.046,333.366,-446.85,-103.877,-35.368,-14.976,1.542,314.312,-201.855,86.299,68.07,-0.752,-3.378,0.65,-1.636,-0.408,-2.532,-0.019,-0.16
32,12.966,-9.302,333.39,-453.108,-100.355,-32.713,-15.273,1.458,315.217,-201.992,82.619,72.002,-0.726,-3.424,0.618,-1.632,-0.393,-2.553,-0.021,-0.171
33,13.044,-9.044,334.241,-453.155,-103.843,-36.993,-15.325,1.452,314.753,-198.677,84.496,68.019,-0.75,-3.417,0.634,-1.608,-0.422,-2.539,-0.024,-0.181
34,12.794,-9.069,334.217,-446.897,-107.364,-28.245,-15.244,1.542,316.086,-195.756,82.565,70.892,-0.778,-3.369,0.616,-1.578,-0.419,-2.499,-0.026,-0.191
35,12.947,-8.641,334.238,-440.55,-103.784,-31.084,-14.795,1.489,315.622,-192.44,84.442,64.861,-0.75,-3.322,0.633,-1.553,-0.406,-2.463,-0.028,-0.201
36,12.426,-8.586,334.215,-434.292,-107.305,-38.235,-15.423,1.672,316.05,-189.382,86.193,74.127,-0.778,-3.275,0.644,-1.527,-0.406,-2.426,-0.031,-0.211
37,12.518,-8.35,333.784,-431.177,-105.551,-31.387,-15.512,1.669,315.181,-195.618,86.246,71.933,-0.766,-3.256,0.646,-1.582,-0.408,-2.443,-0.033,-0.22
38,12.787,-8.423,333.34,-427.987,-107.34,-33.419,-15.559,1.628,315.168,-183.082,86.38,70.519,-0.78,-3.236,0.647,-1.481,-0.406,-2.383,-0.036,-0.229
39,12.999,-8.372,333.361,-421.641,-103.759,-32.671,-15.208,2.029,315.586,-186.067,88.069,72.353,-0.752,-3.188,0.661,-1.504,-0.378,-2.369,-0.038,-0.238
40,12.887,-7.935,333.781,-418.572,-105.492,-35.811,-15.068,2.072,315.595,-180.024,88.13,74.503,-0.764,-3.162,0.662,-1.455,-0.391,-2.332,-0.041,-0.246
41,12.867,-8.023,333.351,-415.457,-103.738,-34.382,-15.288,1.944,315.595,-180.024,88.13,69.493,-0.752,-3.142,0.661,-1.455,-0.377,-2.321,-0.043,-0.254
42,13.099,-7.766,332.035,-418.568,-105.619,-33.329,-15.261,2.11,316.037,-176.846,86.327,69.098,-0.769,-3.179,0.646,-1.428,-0.361,-2.325,-0.045,-0.261
43,12.922,-7.898,332.907,-412.268,-105.526,-32.347,-15.197,2.161,316.037,-176.846,86.327,74.832,-0.766,-3.122,0.646,-1.428,-0.376,-2.297,-0.047,-0.268
44,13.091,-7.994,332.907,-412.268,-105.526,-38.002,-15.245,2.17,315.595,-180.024,88.13,73.046,-0.766,-3.122,0.661,-1.456,-0.376,-2.311,-0.049,-0.274
45,13.042,-8.355,332.907,-412.268,-105.526,-34.839,-15.334,2.336,315.573,-173.531,88.203,70.235,-0.766,-3.121,0.662,-1.404,-0.377,-2.285,-0.051,-0.28
46,12.433,-7.626,333.781,-418.572,-105.492,-35.466,-15.382,2.123,316.037,-176.846,86.327,72.368,-0.766,-3.162,0.646,-1.428,-0.391,-2.319,-0.053,-0.285
47,13.22,-8.082,333.337,-415.383,-107.281,-36.213,-14.887,2.248,316.037,-176.846,86.327,68.159,-0.778,-3.141,0.647,-1.428,-0.389,-2.308,-0.055,-0.289
48,12.756,-7.77,333.781,-418.572,-105.492,-29.765,-15.34,2.616,316.464,-173.788,88.077,74.528,-0.765,-3.162,0.659,-1.403,-0.376,-2.306,-0.056,-0.294
49,12.991,-8.153,334.212,-421.687,-107.247,-34.347,-15.417,1.899,315.595,-180.024,88.13,72.365,-0.776,-3.181,0.661,-1.455,-0.406,-2.342,-0.058,-0.297
50,13.009,-8.196,333.781,-418.572,-105.492,-37.649,-14.988,2.071,315.609,-179.904,84.576,72.377,-0.764,-3.161,0.634,-1.454,-0.405,-2.331,-0.06,-0.301
