"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,13.697,-6.094,328.604,-780.255,-38.359,-24.511,-15.373,1.004,314.292,-555.566,70.135,51.702,-0.255,-6.013,0.518,-4.493,-0.131,-5.27,-0.005,0.01
2,13.187,-6.419,328.604,-780.255,-38.359,-22.733,-15.284,1.312,313.387,-555.429,73.816,52.023,-0.257,-6.012,0.55,-4.506,-0.134,-5.277,-0.008,0.016
3,13.484,-5.991,329.025,-777.186,-40.092,-25.972,-15.028,1.003,313.41,-549.266,70.323,48.188,-0.269,-5.982,0.522,-4.455,-0.161,-5.237,-0.01,0.023
4,13.366,-6.244,328.612,-773.833,-38.322,-27.016,-15.03,1.356,312.968,-552.444,72.126,50.288,-0.256,-5.962,0.538,-4.488,-0.147,-5.243,-0.013,0.029
5,13.193,-6.02,329.476,-773.955,-38.266,-21.606,-15.167,1.43,312.504,-549.129,74.003,54.137,-0.255,-5.948,0.553,-4.468,-0.164,-5.228,-0.015,0.036
6,13.217,-5.887,329.032,-770.765,-40.055,-29.504,-15.391,1.265,312.086,-546.144,72.314,56.632,-0.269,-5.932,0.54,-4.449,-0.178,-5.21,-0.017,0.044
7,13.323,-6.107,329.453,-767.697,-41.788,-21.263,-15.126,1.27,311.622,-542.829,74.19,51.006,-0.282,-5.9,0.557,-4.429,-0.192,-5.185,-0.019,0.051
8,13.232,-6.737,329.032,-770.765,-40.055,-23.556,-15.11,1.174,312.086,-546.144,72.314,57.455,-0.269,-5.93,0.541,-4.449,-0.177,-5.209,-0.021,0.059
9,13.449,-6.305,329.032,-770.765,-40.055,-23.915,-15.154,0.682,312.077,-552.187,72.253,56.682,-0.268,-5.931,0.54,-4.496,-0.177,-5.233,-0.023,0.068
10,13.227,-6.426,329.032,-770.765,-40.055,-26.59,-15.291,1.081,312.504,-549.129,74.003,53.114,-0.269,-5.931,0.553,-4.467,-0.163,-5.217,-0.026,0.076
11,13.094,-6.616,329.032,-770.765,-40.055,-26.443,-15.388,0.819,312.504,-549.129,74.003,58.096,-0.27,-5.93,0.553,-4.466,-0.163,-5.217,-0.028,0.085
12,13.541,-6.447,329.032,-770.765,-40.055,-28.542,-14.839,0.949,312.968,-552.444,72.126,52.833,-0.268,-5.93,0.538,-4.487,-0.161,-5.227,-0.03,0.093
13,13.222,-6.787,329.032,-770.765,-40.055,-28.819,-14.935,0.86,313.41,-549.266,70.323,54.97,-0.269,-5.929,0.523,-4.454,-0.161,-5.21,-0.031,0.102
14,13.489,-6.645,329.032,-770.765,-40.055,-24.986,-14.713,0.406,312.968,-552.444,72.126,53.147,-0.268,-5.93,0.539,-4.485,-0.161,-5.225,-0.033,0.111
15,13.226,-6.472,329.453,-767.697,-41.788,-27.766,-15.059,0.95,312.923,-552.113,75.692,58.132,-0.282,-5.899,0.567,-4.485,-0.163,-5.21,-0.035,0.119
16,13.305,-6.351,329.032,-770.765,-40.055,-26.736,-15.024,0.736,313.387,-555.429,73.816,51.039,-0.269,-5.931,0.551,-4.504,-0.147,-5.235,-0.037,0.128
17,13.307,-6.067,328.602,-767.65,-38.3,-25.137,-15.281,1.045,313.828,-552.251,72.012,54.929,-0.256,-5.915,0.535,-4.473,-0.132,-5.211,-0.038,0.137
18,13.203,-6.2,329.022,-764.582,-40.033,-28.091,-15.213,1.269,312.946,-545.951,72.199,53.837,-0.269,-5.884,0.538,-4.435,-0.162,-5.178,-0.04,0.145
19,12.953,-6.49,328.157,-764.46,-40.089,-29.003,-15.382,1.269,313.373,-542.893,73.95,53.856,-0.271,-5.897,0.551,-4.404,-0.133,-5.168,-0.041,0.154
20,13.281,-6.396,329.022,-764.582,-40.033,-27.446,-14.986,1.048,312.946,-545.951,72.199,54.596,-0.269,-5.883,0.539,-4.434,-0.161,-5.177,-0.042,0.163
21,13.535,-6.04,328.578,-761.392,-41.822,-29.598,-15.211,1.267,312.491,-536.593,74.137,54.55,-0.282,-5.867,0.554,-4.366,-0.161,-5.135,-0.043,0.171
22,13.496,-6.033,328.578,-761.392,-41.822,-27.089,-15.026,1.262,312.527,-542.966,70.51,57.375,-0.282,-5.867,0.525,-4.417,-0.175,-5.16,-0.045,0.18
23,13.315,-6.312,328.578,-761.392,-41.822,-25.671,-15.261,1.258,312.063,-539.651,72.387,51.279,-0.283,-5.867,0.541,-4.396,-0.176,-5.15,-0.046,0.189
24,13.442,-6.214,328.578,-761.392,-41.822,-25.253,-15.208,1.314,312.063,-539.651,72.387,51.32,-0.283,-5.867,0.541,-4.397,-0.176,-5.151,-0.047,0.198
25,13.598,-6.255,328.578,-761.392,-41.822,-30.162,-15.072,1.186,312.063,-539.651,72.387,52.126,-0.282,-5.867,0.541,-4.396,-0.176,-5.15,-0.048,0.206
26,13.575,-6.034,329.474,-761.35,-38.208,-29.815,-15.519,1.541,312.955,-539.908,72.26,53.506,-0.254,-5.851,0.537,-4.387,-0.162,-5.138,-0.049,0.215
27,13.313,-6.355,329.453,-767.697,-41.788,-26.022,-15.343,0.903,312.955,-539.908,72.26,54.892,-0.282,-5.9,0.538,-4.385,-0.176,-5.162,-0.05,0.223
28,13.495,-6.52,329.904,-764.465,-39.962,-23.173,-15.161,1.36,312.955,-539.908,72.26,54.974,-0.267,-5.866,0.539,-4.386,-0.176,-5.146,-0.051,0.232
29,13.548,-6.292,329.022,-764.582,-40.033,-28.054,-14.997,1.476,312.527,-542.966,70.51,49.542,-0.268,-5.883,0.526,-4.418,-0.175,-5.169,-0.052,0.24
30,13.31,-6.617,329.474,-761.35,-38.208,-25.953,-15.208,1.086,312.527,-542.966,70.51,53.836,-0.254,-5.849,0.525,-4.416,-0.177,-5.152,-0.053,0.248
31,13.366,-6.478,329.453,-767.697,-41.788,-26.777,-15.386,0.996,312.955,-539.908,72.26,55.228,-0.282,-5.899,0.538,-4.385,-0.176,-5.162,-0.054,0.256
32,13.452,-6.792,329.022,-764.582,-40.033,-29.282,-15.478,0.864,312.527,-542.966,70.51,51.285,-0.268,-5.882,0.524,-4.416,-0.176,-5.168,-0.056,0.264
33,13.319,-6.305,328.157,-764.46,-40.089,-24.943,-15.567,1.083,311.622,-542.829,74.19,53.765,-0.27,-5.898,0.555,-4.428,-0.163,-5.182,-0.056,0.272
34,13.535,-6.491,328.157,-764.46,-40.089,-28.203,-15.13,0.992,312.063,-539.651,72.387,49.529,-0.269,-5.897,0.541,-4.396,-0.162,-5.165,-0.057,0.279
35,13.346,-6.363,328.157,-764.46,-40.089,-28.593,-15.208,1.082,312.086,-546.144,72.314,52.326,-0.27,-5.898,0.54,-4.448,-0.162,-5.191,-0.058,0.286
36,12.992,-7.099,328.157,-764.46,-40.089,-19.043,-15.303,1.362,312.527,-542.966,70.51,53.106,-0.271,-5.896,0.525,-4.417,-0.162,-5.174,-0.059,0.293
37,13.417,-6.439,328.15,-770.882,-40.126,-26.687,-15.26,0.95,312.063,-539.651,72.387,51.643,-0.27,-5.947,0.541,-4.395,-0.162,-5.191,-0.06,0.3
38,13.011,-6.43,328.157,-764.46,-40.089,-29.083,-14.943,0.688,313.373,-542.893,73.95,54.236,-0.271,-5.898,0.552,-4.403,-0.132,-5.167,-0.061,0.307
39,13.51,-6.562,328.157,-764.46,-40.089,-22.687,-15.251,1.003,312.946,-545.951,72.199,54.197,-0.269,-5.897,0.538,-4.434,-0.147,-5.183,-0.061,0.313
40,13.142,-6.712,327.275,-764.577,-40.16,-26.032,-14.988,0.906,313.373,-542.893,73.95,53.484,-0.272,-5.913,0.552,-4.403,-0.117,-5.175,-0.062,0.319
41,13.445,-6.811,327.285,-770.76,-40.182,-27.139,-15.262,0.78,313.373,-542.893,73.95,53.197,-0.271,-5.961,0.551,-4.403,-0.117,-5.199,-0.062,0.325
42,13.179,-6.26,328.157,-764.46,-40.089,-25.586,-15.248,0.732,313.41,-549.266,70.323,50.642,-0.27,-5.898,0.522,-4.454,-0.146,-5.193,-0.062,0.33
43,12.922,-6.536,327.727,-761.345,-38.334,-27.786,-15.116,0.924,313.837,-546.208,72.073,50.341,-0.258,-5.881,0.536,-4.424,-0.117,-5.168,-0.063,0.336
44,12.965,-6.477,327.727,-761.345,-38.334,-25.548,-15.207,0.511,314.256,-549.193,73.762,47.842,-0.258,-5.881,0.548,-4.441,-0.103,-5.176,-0.063,0.341
45,13.321,-6.544,328.171,-764.535,-36.546,-25.368,-15.066,0.728,314.256,-549.193,73.762,52.8,-0.242,-5.898,0.549,-4.441,-0.103,-5.185,-0.063,0.346
46,13.184,-6.448,327.727,-761.345,-38.334,-29.159,-15.388,0.552,314.256,-549.193,73.762,49.517,-0.257,-5.881,0.548,-4.441,-0.103,-5.176,-0.062,0.351
47,13.492,-6.68,327.727,-761.345,-38.334,-30.601,-14.983,0.56,314.256,-549.193,73.762,50.019,-0.256,-5.88,0.549,-4.441,-0.102,-5.176,-0.062,0.356
48,13.219,-6.412,327.283,-758.156,-40.123,-26.403,-15.156,0.321,314.256,-549.193,73.762,49.575,-0.271,-5.864,0.548,-4.44,-0.102,-5.167,-0.062,0.36
49,13.219,-6.577,326.845,-761.462,-38.405,-24.308,-15.291,0.372,314.256,-549.193,73.762,50.98,-0.258,-5.897,0.548,-4.44,-0.087,-5.183,-0.061,0.364
50,13.1,-6.535,326.852,-755.041,-38.368,-29.139,-15.064,0.556,314.697,-546.015,71.958,50.764,-0.258,-5.848,0.533,-4.409,-0.086,-5.142,-0.06,0.369
51,13.232,-6.051,326.432,-758.109,-36.636,-29.746,-15.372,0.683,314.256,-549.193,73.762,51.378,-0.245,-5.88,0.548,-4.441,-0.073,-5.174,-0.06,0.373
52,12.907,-6.525,326.408,-751.851,-40.157,-27.784,-15.293,0.686,314.697,-546.015,71.958,53.466,-0.273,-5.831,0.533,-4.409,-0.086,-5.133,-0.059,0.377
53,12.824,-6.319,325.977,-748.736,-38.403,-26.789,-15.284,0.51,314.683,-546.134,75.513,52.83,-0.26,-5.815,0.561,-4.41,-0.058,-5.125,-0.058,0.381
54,13.183,-6.692,325.977,-748.736,-38.403,-27.313,-15.108,0.56,314.697,-546.015,71.958,51.84,-0.259,-5.814,0.533,-4.409,-0.071,-5.124,-0.056,0.384
55,13.138,-5.82,326.429,-745.504,-36.577,-23.779,-15.285,0.28,315.125,-542.956,73.709,51.755,-0.245,-5.783,0.546,-4.377,-0.058,-5.093,-0.055,0.388
56,13.018,-6.193,325.977,-748.736,-38.403,-29.817,-15.204,0.142,314.661,-539.641,75.586,51.352,-0.259,-5.815,0.562,-4.357,-0.058,-5.099,-0.054,0.392
57,12.83,-6.022,325.954,-742.478,-41.924,-27.655,-15.29,0.681,315.125,-542.956,73.709,55.657,-0.287,-5.767,0.546,-4.379,-0.071,-5.085,-0.052,0.396
58,12.977,-6.014,326.85,-742.436,-38.31,-24.56,-15.648,0.733,315.994,-536.72,73.655,56.714,-0.258,-5.751,0.543,-4.317,-0.057,-5.046,-0.05,0.4
59,13.109,-6.141,325.523,-739.363,-40.169,-26.561,-15.522,0.634,315.088,-536.583,77.336,52.019,-0.273,-5.75,0.575,-4.328,-0.042,-5.051,-0.049,0.404
60,12.817,-6.19,326.405,-739.246,-40.098,-30.565,-15.786,1.002,315.552,-539.898,75.459,51.332,-0.273,-5.734,0.558,-4.349,-0.058,-5.053,-0.047,0.408
61,12.693,-5.84,325.975,-736.131,-38.344,-27.944,-15.616,0.823,315.53,-533.405,75.532,49.221,-0.26,-5.718,0.559,-4.296,-0.043,-5.019,-0.045,0.412
62,12.838,-6.116,326.395,-733.063,-40.077,-31.913,-15.527,0.911,316.421,-533.662,75.406,50.669,-0.273,-5.686,0.557,-4.287,-0.042,-4.997,-0.043,0.417
63,13.193,-6.044,326.395,-733.063,-40.077,-26.567,-15.607,0.735,315.994,-536.72,73.655,52.133,-0.272,-5.686,0.543,-4.317,-0.056,-5.012,-0.041,0.421
64,12.837,-6.143,326.847,-729.831,-38.251,-28.622,-15.389,0.597,315.957,-530.346,77.283,47.117,-0.258,-5.653,0.573,-4.265,-0.043,-4.971,-0.039,0.426
65,12.912,-6.107,325.521,-726.758,-40.111,-28.338,-15.284,0.908,315.994,-536.72,73.655,52.472,-0.273,-5.652,0.544,-4.317,-0.04,-4.995,-0.037,0.431
66,13.092,-5.796,325.959,-723.452,-41.829,-27.201,-15.434,1,316.421,-533.662,75.406,49.971,-0.286,-5.62,0.557,-4.287,-0.04,-4.963,-0.035,0.436
67,12.797,-5.907,325.521,-726.758,-40.111,-24.389,-15.386,0.371,316.421,-533.662,75.406,51.759,-0.274,-5.653,0.557,-4.285,-0.026,-4.979,-0.033,0.441
68,13,-5.716,325.076,-723.569,-41.9,-31.428,-15.43,0.724,315.957,-530.346,77.283,45.695,-0.288,-5.636,0.573,-4.266,-0.026,-4.961,-0.03,0.446
69,13.023,-5.617,325.528,-720.337,-40.074,-27.966,-15.388,0.953,315.957,-530.346,77.283,53.541,-0.273,-5.603,0.573,-4.266,-0.027,-4.945,-0.028,0.451
70,12.929,-5.655,324.646,-720.454,-40.145,-24.07,-15.573,0.819,315.957,-530.346,77.283,49.578,-0.274,-5.619,0.572,-4.266,-0.012,-4.952,-0.026,0.457
