"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,26.311,0.278,390.635,260.131,-194.052,-46.962,-28.138,-1.437,252.983,62.787,69.061,39.78,-1.195,1.691,0.583,0.636,-2.94,1.276,-0.002,0.006
2,26.167,-0.129,390.205,263.246,-192.298,-47.083,-27.965,-0.814,252.947,69.16,72.688,39.158,-1.185,1.714,0.62,0.698,-2.914,1.314,-0.003,0.009
3,25.833,-0.17,390.205,263.246,-192.298,-44.405,-27.803,-1.573,252.056,69.417,72.814,36.629,-1.186,1.714,0.625,0.706,-2.934,1.318,-0.004,0.014
4,26.167,0.13,389.761,266.436,-194.086,-49.182,-28.237,-0.594,253.389,72.338,70.884,36.531,-1.198,1.736,0.6,0.727,-2.913,1.339,-0.005,0.019
5,26.048,-0.095,388.458,263.251,-192.425,-45.66,-28.052,-0.952,252.925,75.654,72.761,41.593,-1.191,1.722,0.621,0.763,-2.892,1.344,-0.006,0.024
6,26.04,0.303,388.889,260.136,-194.179,-40.353,-27.782,-0.907,253.389,72.338,70.884,37.688,-1.202,1.698,0.602,0.729,-2.901,1.316,-0.006,0.03
7,26.078,-0.147,388.889,260.136,-194.179,-45.695,-27.83,-0.995,254.676,75.59,72.52,38.092,-1.201,1.699,0.615,0.758,-2.866,1.327,-0.007,0.036
8,26.229,-0.121,388.912,253.878,-190.658,-47.332,-28.051,-0.682,254.676,75.59,72.52,39.52,-1.178,1.658,0.614,0.757,-2.853,1.302,-0.008,0.043
9,26.277,-0.217,388.461,250.646,-192.483,-42.848,-28.238,-1.223,255.103,78.648,74.271,34.457,-1.191,1.639,0.63,0.788,-2.838,1.302,-0.008,0.05
10,25.552,-0.542,389.335,244.342,-192.449,-45.993,-27.878,-1.349,255.094,72.605,74.21,38.465,-1.19,1.595,0.631,0.728,-2.85,1.252,-0.008,0.057
11,25.949,-0.309,390.218,244.458,-192.378,-43.283,-28.453,-0.949,255.558,69.29,72.333,41.214,-1.186,1.592,0.609,0.692,-2.859,1.236,-0.008,0.064
12,26.255,-0.511,389.756,247.41,-194.182,-44.511,-28.181,-1.386,255.558,69.29,72.333,37.741,-1.198,1.614,0.61,0.694,-2.859,1.249,-0.007,0.071
13,26.121,-0.484,389.763,253.831,-194.145,-42.544,-27.79,-1.434,255.558,69.29,72.333,42.043,-1.198,1.655,0.611,0.694,-2.859,1.275,-0.007,0.078
14,26.128,-0.137,389.763,253.831,-194.145,-43.942,-27.821,-1.314,255.13,66.232,70.582,41.981,-1.198,1.655,0.595,0.664,-2.875,1.263,-0.007,0.085
15,26.444,-0.491,389.309,263.204,-195.912,-50.04,-28.101,-1.037,254.676,75.59,72.52,41.299,-1.211,1.719,0.614,0.758,-2.879,1.339,-0.006,0.092
16,26.004,0.099,389.309,263.204,-195.912,-44.501,-27.823,-0.728,254.676,75.59,72.52,42.382,-1.212,1.717,0.615,0.757,-2.879,1.337,-0.006,0.099
17,26.054,0.373,388.855,272.577,-197.679,-42.539,-28.011,-1.037,254.212,78.905,74.397,37.01,-1.224,1.78,0.634,0.792,-2.883,1.389,-0.005,0.106
18,26.417,0.257,388.855,272.577,-197.679,-47.093,-27.921,-0.986,254.234,72.412,74.324,43.849,-1.224,1.78,0.634,0.727,-2.882,1.364,-0.005,0.114
