"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,24.875,-1.834,381.059,-463.22,-77.462,-1.708,-25.382,-2.294,264.807,-306.965,49.326,0.116,-0.451,-3.083,0.378,-2.936,-2.169,-3.023,-0.005,0.017
2,24.753,-2.526,382.825,-488.508,-73.909,2.722,-25.279,-2.913,263.951,-325.737,49.246,-4.177,-0.426,-3.235,0.379,-3.124,-2.198,-3.189,-0.01,0.032
3,24.786,-3.194,382.83,-513.718,-74.027,2.657,-24.965,-3.352,263.977,-338.154,45.558,-2.308,-0.427,-3.4,0.345,-3.241,-2.212,-3.335,-0.015,0.044
4,24.418,-4.096,383.731,-538.885,-70.53,3.76,-25.182,-4.069,263.131,-350.883,45.538,-1.342,-0.403,-3.556,0.345,-3.372,-2.23,-3.481,-0.02,0.054
5,24.691,-4.275,384.611,-570.399,-70.613,7.067,-25.05,-4.74,262.252,-363.162,45.531,-8.506,-0.402,-3.756,0.346,-3.499,-2.261,-3.652,-0.026,0.061
6,24.869,-4.755,385.964,-592.335,-65.29,3.107,-24.549,-4.877,260.978,-378.95,43.761,-6.259,-0.365,-3.886,0.333,-3.67,-2.292,-3.799,-0.032,0.065
7,24.875,-5.119,385.094,-611.239,-65.442,8.493,-24.562,-5.277,259.668,-375.709,42.198,-9.582,-0.367,-4.018,0.319,-3.655,-2.314,-3.872,-0.037,0.066
8,24.718,-5.678,385.572,-626.87,-60.153,5.243,-24.21,-5.235,257.93,-388.181,42.305,-7.778,-0.332,-4.115,0.324,-3.803,-2.337,-3.99,-0.044,0.064
9,25.496,-6.138,385.567,-645.896,-60.249,8.617,-24.429,-5.143,257.512,-385.197,40.615,-7.427,-0.331,-4.239,0.307,-3.78,-2.352,-4.055,-0.05,0.059
10,25.132,-6.194,385.578,-652.08,-60.271,6.201,-24.115,-5,256.215,-394.491,38.918,-4.576,-0.332,-4.28,0.293,-3.891,-2.387,-4.125,-0.057,0.051
11,25.376,-6.515,385.57,-658.501,-60.307,11.986,-23.938,-5.093,256.215,-394.491,38.918,-8.786,-0.332,-4.321,0.293,-3.891,-2.386,-4.149,-0.064,0.039
12,25.566,-6.44,385.57,-658.501,-60.307,14.821,-24.173,-4.878,255.774,-397.669,40.722,-5.369,-0.331,-4.321,0.311,-3.93,-2.388,-4.165,-0.071,0.026
