"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,23.099,0.06,341.283,-144.838,-73.543,-11.509,-24.748,-2.992,300.339,-229.208,-22.274,-5.008,-0.48,-1.078,-0.27,-1.929,-1.111,-1.476,0.001,0.026
2,23.311,0.217,341.26,-138.58,-77.065,-10.601,-24.083,-3.211,300.803,-232.523,-24.15,-5.619,-0.506,-1.032,-0.283,-1.953,-1.122,-1.463,0.001,0.04
3,22.74,0.187,340.395,-138.458,-77.121,-10.96,-24.355,-2.721,301.244,-229.345,-25.954,-3.197,-0.509,-1.034,-0.299,-1.925,-1.108,-1.452,0.002,0.054
4,22.826,0.233,340.392,-125.854,-77.062,-14.916,-24.481,-2.813,301.672,-226.287,-24.204,-7.097,-0.508,-0.94,-0.284,-1.896,-1.092,-1.389,0.002,0.068
5,22.468,0.367,340.385,-132.275,-77.099,-13.075,-24.442,-2.942,301.672,-226.287,-24.204,-4.902,-0.51,-0.988,-0.284,-1.896,-1.093,-1.415,0.003,0.082
6,22.692,0.313,339.931,-122.902,-78.866,-10.204,-24.167,-3.072,301.244,-229.345,-25.954,-0.982,-0.523,-0.919,-0.298,-1.924,-1.107,-1.391,0.004,0.096
7,22.657,0.847,339.938,-116.481,-78.829,-9.09,-24.165,-2.901,302.09,-229.272,-22.515,-3.836,-0.523,-0.873,-0.269,-1.918,-1.077,-1.365,0.005,0.111
8,22.822,0.394,339.066,-122.781,-78.922,-12.098,-24.154,-2.94,301.662,-232.33,-24.265,-2.065,-0.524,-0.921,-0.284,-1.947,-1.078,-1.404,0.005,0.126
9,22.914,0.571,339.066,-122.781,-78.922,-14.256,-24.478,-3.309,302.126,-235.645,-26.142,-6.807,-0.524,-0.921,-0.3,-1.97,-1.077,-1.416,0.006,0.141
10,22.873,0.623,339.087,-116.434,-75.341,-12.686,-24.337,-2.984,302.554,-232.587,-24.391,-1.694,-0.497,-0.874,-0.284,-1.943,-1.048,-1.378,0.008,0.156
11,22.595,0.177,339.066,-122.781,-78.922,-11.394,-24.333,-2.851,302.544,-238.63,-24.452,-2.735,-0.525,-0.92,-0.285,-1.994,-1.062,-1.427,0.009,0.17
12,22.873,0.309,339.09,-129.039,-75.4,-10.965,-24.603,-3.254,303.008,-241.945,-26.329,-3.899,-0.498,-0.967,-0.301,-2.017,-1.047,-1.463,0.01,0.185
13,22.662,0.053,339.09,-129.039,-75.4,-12.075,-24.653,-3.338,302.567,-245.123,-24.525,-4.228,-0.498,-0.967,-0.287,-2.047,-1.049,-1.476,0.012,0.2
14,22.705,0.101,338.669,-132.107,-73.667,-10.659,-24.608,-3.026,303.436,-238.887,-24.579,-6.328,-0.486,-0.991,-0.286,-1.99,-1.019,-1.463,0.013,0.214
15,22.366,-0.048,338.218,-135.339,-75.493,-9.919,-24.74,-3.3,303.008,-241.945,-26.329,-3.205,-0.501,-1.016,-0.302,-2.017,-1.034,-1.489,0.015,0.227
16,22.739,0.183,337.811,-138.482,-70.217,-9.423,-24.331,-3.206,303.031,-248.438,-26.402,-7.741,-0.461,-1.042,-0.301,-2.072,-1.006,-1.529,0.017,0.241
17,22.478,0.098,337.821,-144.665,-70.238,-10.941,-24.791,-2.937,302.139,-248.181,-26.276,-3.577,-0.462,-1.088,-0.302,-2.077,-1.024,-1.555,0.019,0.254
18,22.761,0.063,337.393,-154.155,-68.542,-11.229,-24.698,-2.983,302.603,-251.497,-28.152,-5.363,-0.449,-1.161,-0.317,-2.101,-1.008,-1.605,0.021,0.266
19,22.482,-0.383,337.417,-160.413,-65.021,-9.897,-24.415,-3.513,303.021,-254.481,-26.463,-7.38,-0.423,-1.206,-0.302,-2.122,-0.979,-1.639,0.023,0.278
20,21.989,-0.697,336.975,-169.828,-66.868,-10.643,-24.96,-3.298,303.021,-254.481,-26.463,-6.448,-0.439,-1.278,-0.303,-2.122,-0.981,-1.678,0.026,0.289
21,22.398,-0.659,337.433,-173.092,-61.536,-10.713,-24.691,-3.423,303.485,-257.797,-28.34,-11.004,-0.397,-1.301,-0.318,-2.146,-0.965,-1.701,0.028,0.299
22,22.45,-0.83,337.864,-176.207,-63.291,-8.818,-24.517,-3.739,304.772,-254.545,-26.704,-9.231,-0.41,-1.322,-0.302,-2.109,-0.947,-1.695,0.031,0.308
23,22.709,-0.649,337.412,-179.439,-65.116,-11.724,-24.622,-3.783,304.795,-261.038,-26.777,-12.02,-0.423,-1.349,-0.303,-2.163,-0.947,-1.735,0.034,0.317
24,21.99,-0.286,337.443,-179.275,-61.558,-9.452,-24.596,-3.197,305.236,-257.86,-28.581,-8.442,-0.398,-1.349,-0.318,-2.135,-0.933,-1.722,0.037,0.325
25,21.905,-0.377,337.864,-176.207,-63.291,-6.754,-24.941,-3.109,304.795,-261.038,-26.777,-8.486,-0.411,-1.324,-0.304,-2.165,-0.949,-1.723,0.041,0.332
26,22.028,0.384,337.443,-179.275,-61.558,-7.939,-24.72,-3.42,305.236,-257.86,-28.581,-7.756,-0.398,-1.351,-0.318,-2.135,-0.933,-1.723,0.044,0.338
27,22.431,0.08,337.864,-176.207,-63.291,-8.291,-24.683,-3.111,304.772,-254.545,-26.704,-7.041,-0.41,-1.325,-0.303,-2.111,-0.948,-1.698,0.048,0.344
28,22.258,0.146,337.412,-179.439,-65.116,-10.171,-24.812,-2.974,304.331,-257.723,-24.9,-9.878,-0.424,-1.351,-0.289,-2.141,-0.949,-1.726,0.051,0.349
29,22.363,-0.059,337.864,-176.207,-63.291,-11.198,-24.683,-2.98,303.449,-251.423,-24.713,-3.889,-0.41,-1.325,-0.287,-2.095,-0.965,-1.689,0.055,0.354
30,22.222,0.064,336.999,-176.086,-63.347,-8.984,-24.965,-2.845,304.782,-248.502,-26.643,-7.835,-0.412,-1.327,-0.303,-2.062,-0.934,-1.676,0.059,0.358
31,23.027,-0.51,337.864,-176.207,-63.291,-7.421,-25.036,-2.573,303.89,-248.245,-26.516,-3.508,-0.408,-1.323,-0.303,-2.067,-0.963,-1.675,0.063,0.362
