"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,15.788,-2.467,312.988,-525.883,121.418,-18.719,-18.745,-1.179,302.79,-482.867,6.725,14.105,1.036,-4.26,-0.005,-4.047,0.335,-4.155,0.01,0.013
2,15.467,-2.811,313.433,-529.073,123.206,-16.864,-18.706,-1.094,303.672,-489.167,6.538,18.021,1.048,-4.279,-0.006,-4.088,0.348,-4.185,0.015,0.018
3,15.74,-2.773,313.863,-532.188,121.452,-16.054,-18.832,-1.267,303.686,-489.047,2.984,16.939,1.033,-4.298,-0.036,-4.086,0.319,-4.194,0.02,0.023
4,15.962,-2.985,312.56,-535.373,123.114,-14.7,-18.846,-1.848,304.554,-495.466,6.35,9.492,1.051,-4.341,-0.008,-4.126,0.38,-4.235,0.026,0.026
5,15.566,-2.71,312.991,-538.488,121.359,-12.001,-19.103,-1.438,304.554,-495.466,6.35,14.805,1.034,-4.361,-0.009,-4.128,0.364,-4.246,0.032,0.029
6,15.93,-3.07,312.983,-544.909,121.322,-15.648,-18.477,-1.581,304.104,-504.687,8.093,11.661,1.035,-4.412,0.007,-4.21,0.364,-4.313,0.038,0.031
7,15.687,-2.846,312.119,-544.788,121.266,-16.305,-19.009,-1.434,304.14,-511.061,4.466,11.326,1.037,-4.424,-0.025,-4.263,0.365,-4.345,0.044,0.032
8,15.402,-3.023,312.111,-551.209,121.229,-10.885,-18.464,-1.616,304.59,-514.496,6.143,15.594,1.036,-4.476,-0.009,-4.285,0.38,-4.382,0.05,0.032
9,15.516,-3.177,312.111,-551.209,121.229,-15.292,-19.179,-1.52,305.008,-517.481,7.833,13.382,1.036,-4.476,0.003,-4.304,0.394,-4.391,0.056,0.031
10,15.48,-3.028,312.111,-551.209,121.229,-18.081,-19.036,-1.524,304.581,-520.539,6.082,17.996,1.036,-4.476,-0.011,-4.336,0.379,-4.407,0.062,0.029
11,16.057,-3.297,311.239,-557.509,121.137,-15.108,-18.761,-1.474,305.463,-526.839,5.895,17.031,1.04,-4.539,-0.012,-4.376,0.412,-4.458,0.069,0.026
12,15.878,-3.324,311.239,-557.509,121.137,-16.615,-18.858,-1.926,304.999,-523.523,7.772,13.431,1.039,-4.539,0.004,-4.354,0.411,-4.447,0.075,0.022
13,15.463,-3.331,311.239,-557.509,121.137,-13.376,-18.808,-2.012,305.012,-536.059,7.638,9.492,1.038,-4.539,0.003,-4.458,0.41,-4.499,0.082,0.017
