"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,17.479,-0.9,342.929,-255.18,21.989,-39.419,-19.249,-2.172,271.523,-322.426,21.588,30.721,0.214,-1.887,0.132,-3.008,-1.151,-2.383,-0.014,0.012
2,17.459,-0.729,343.359,-258.295,20.234,-43.194,-19.109,-1.856,271.546,-316.264,18.094,30.027,0.2,-1.909,0.1,-2.952,-1.179,-2.369,-0.021,0.02
3,17.311,-0.456,344.231,-251.995,20.327,-40.693,-19.066,-1.595,271.082,-312.948,19.971,33.238,0.2,-1.858,0.117,-2.926,-1.195,-2.329,-0.029,0.029
4,17.484,-0.702,344.231,-251.995,20.327,-40.591,-19.204,-1.681,270.2,-306.648,20.159,34.958,0.201,-1.857,0.119,-2.876,-1.212,-2.306,-0.036,0.039
5,17.669,-0.725,345.103,-245.695,20.42,-41.421,-18.901,-1.774,270.651,-297.428,18.416,33.997,0.201,-1.806,0.104,-2.785,-1.224,-2.236,-0.044,0.051
6,17.435,-0.861,345.103,-245.695,20.42,-37.301,-18.849,-1.235,270.651,-297.428,18.416,32.88,0.201,-1.806,0.104,-2.787,-1.224,-2.237,-0.052,0.063
7,17.442,-0.645,345.125,-239.348,24,-41.217,-18.761,-1.282,270.232,-294.443,16.727,35.414,0.227,-1.76,0.088,-2.763,-1.225,-2.2,-0.061,0.077
8,17.809,-0.552,345.555,-242.463,22.246,-40.475,-18.905,-1.103,270.196,-288.069,20.354,33.639,0.215,-1.781,0.122,-2.704,-1.225,-2.186,-0.069,0.092
9,17.834,-0.425,346.427,-236.164,22.338,-42.559,-18.9,-1.456,269.792,-284.965,15.11,35.752,0.215,-1.73,0.073,-2.678,-1.269,-2.145,-0.078,0.108
10,17.455,-0.561,345.997,-233.049,24.093,-39.042,-18.501,-1.463,268.886,-284.828,18.791,38.277,0.227,-1.709,0.109,-2.685,-1.258,-2.136,-0.086,0.124
11,17.489,-0.378,346.42,-242.585,22.301,-39.42,-18.461,-1.427,269.328,-281.65,16.987,34.694,0.214,-1.778,0.092,-2.651,-1.27,-2.16,-0.095,0.141
12,18.122,-0.581,346.427,-236.164,22.338,-41.805,-18.773,-0.97,268.886,-284.828,18.791,33.607,0.216,-1.73,0.108,-2.687,-1.271,-2.148,-0.104,0.159
13,17.664,-0.697,345.555,-242.463,22.246,-40.53,-18.687,-1.514,268.886,-284.828,18.791,32.15,0.214,-1.78,0.109,-2.685,-1.258,-2.176,-0.114,0.178
14,17.397,-0.927,345.976,-239.395,20.513,-42.982,-18.635,-1.592,268.459,-287.886,17.04,34.72,0.201,-1.755,0.092,-2.718,-1.289,-2.176,-0.123,0.197
15,17.633,-0.584,345.976,-239.395,20.513,-41.588,-18.687,-1.421,268.459,-287.886,17.04,35.74,0.201,-1.756,0.092,-2.719,-1.288,-2.176,-0.132,0.216
16,17.674,-0.858,345.999,-245.653,24.034,-39.938,-18.374,-2.089,268.017,-291.064,18.844,32.198,0.227,-1.801,0.111,-2.751,-1.275,-2.215,-0.141,0.235
17,17.705,-1.038,345.548,-248.885,22.209,-36.637,-18.6,-1.779,268.017,-291.064,18.844,35.036,0.214,-1.826,0.11,-2.752,-1.276,-2.231,-0.151,0.254
18,17.844,-0.742,345.978,-252,20.454,-42.929,-18.684,-1.956,267.59,-294.122,17.094,36.43,0.202,-1.848,0.093,-2.785,-1.306,-2.256,-0.16,0.274
