"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,12.643,-2.559,362.642,-371.7,28.203,-53.556,-14.649,-5.153,247.682,-562.58,-13.235,31.128,0.232,-2.596,-0.194,-5.749,-2.094,-3.876,-0.013,-0.028
2,13.173,-2.484,363.538,-371.658,31.818,-54.449,-14.826,-5.19,247.682,-562.58,-13.235,32.893,0.258,-2.59,-0.195,-5.749,-2.092,-3.87,-0.019,-0.043
3,12.994,-2.871,363.969,-374.773,30.063,-51.829,-14.597,-4.874,247.682,-562.58,-13.235,32.277,0.245,-2.608,-0.194,-5.75,-2.106,-3.88,-0.026,-0.059
4,12.814,-2.532,363.969,-374.773,30.063,-54.595,-14.877,-4.883,246.79,-562.323,-13.109,29.312,0.245,-2.608,-0.195,-5.768,-2.126,-3.885,-0.033,-0.075
5,12.541,-2.666,363.969,-374.773,30.063,-53.583,-14.164,-5.419,246.79,-562.323,-13.109,30.139,0.244,-2.608,-0.192,-5.766,-2.125,-3.884,-0.04,-0.091
6,12.681,-2.477,363.969,-374.773,30.063,-53.299,-14.602,-5.419,246.79,-562.323,-13.109,30.058,0.245,-2.609,-0.194,-5.766,-2.125,-3.884,-0.048,-0.108
7,12.853,-2.471,363.969,-374.773,30.063,-54.701,-14.03,-5.194,245.921,-568.559,-13.056,30.107,0.245,-2.609,-0.191,-5.851,-2.143,-3.916,-0.056,-0.125
8,13.006,-2.825,363.961,-381.195,30.026,-55.731,-14.324,-4.922,245.931,-562.517,-12.995,29.015,0.245,-2.653,-0.192,-5.79,-2.143,-3.918,-0.063,-0.142
9,12.897,-2.648,364.843,-381.078,30.097,-51.51,-14.877,-5.334,245.467,-559.201,-11.118,31.47,0.245,-2.646,-0.175,-5.765,-2.16,-3.9,-0.071,-0.16
10,12.646,-2.079,363.969,-374.773,30.063,-53.211,-14.701,-5.152,245.048,-556.217,-12.807,33.585,0.244,-2.61,-0.192,-5.745,-2.163,-3.871,-0.079,-0.177
11,13.035,-2.972,365.264,-378.01,28.364,-51.563,-14.436,-4.887,245.048,-556.217,-12.807,32.18,0.233,-2.621,-0.191,-5.746,-2.189,-3.875,-0.087,-0.194
12,13.388,-2.378,365.716,-374.778,30.19,-54.773,-14.347,-4.569,245.49,-553.039,-14.611,29.725,0.246,-2.596,-0.209,-5.704,-2.185,-3.844,-0.095,-0.212
13,12.736,-2.167,365.716,-374.778,30.19,-52.508,-14.524,-4.792,245.49,-553.039,-14.611,29.358,0.244,-2.597,-0.21,-5.703,-2.186,-3.844,-0.104,-0.229
14,13.235,-2.294,366.167,-371.546,32.015,-56.838,-14.395,-4.663,245.895,-543.487,-12.788,31.492,0.258,-2.571,-0.19,-5.595,-2.168,-3.786,-0.112,-0.246
15,13.387,-2.26,366.588,-368.478,30.283,-55.905,-14.931,-4.845,245.049,-543.561,-16.227,30.686,0.246,-2.547,-0.229,-5.615,-2.215,-3.776,-0.121,-0.262
16,13.082,-1.998,366.564,-362.22,26.761,-54.741,-14.525,-4.756,245.035,-543.681,-12.673,34,0.221,-2.504,-0.19,-5.616,-2.215,-3.751,-0.129,-0.278
17,13.13,-2.342,366.564,-362.22,26.761,-53.017,-14.626,-4.628,245.013,-537.187,-12.6,33.575,0.221,-2.504,-0.19,-5.55,-2.215,-3.724,-0.138,-0.293
18,13.034,-2.38,366.585,-355.873,30.341,-54.623,-13.996,-4.661,244.571,-540.365,-10.797,32.608,0.246,-2.459,-0.169,-5.593,-2.202,-3.713,-0.146,-0.308
19,12.777,-1.994,366.141,-352.684,28.553,-55.753,-14.799,-4.927,245.022,-531.144,-12.539,29.717,0.233,-2.441,-0.19,-5.486,-2.202,-3.662,-0.155,-0.322
20,13.087,-1.815,365.71,-349.569,30.307,-56.727,-13.959,-4.625,244.131,-530.887,-12.413,35.454,0.246,-2.423,-0.186,-5.505,-2.205,-3.657,-0.163,-0.336
21,13.049,-2.027,366.583,-343.269,30.4,-56.662,-14.319,-4.632,243.676,-521.529,-10.475,28.97,0.246,-2.373,-0.167,-5.417,-2.221,-3.589,-0.172,-0.349
22,13.104,-1.458,366.138,-340.079,28.611,-53.131,-14.493,-4.811,244.117,-518.351,-12.279,33.956,0.234,-2.355,-0.187,-5.374,-2.22,-3.563,-0.18,-0.361
23,12.812,-1.517,365.708,-336.964,30.366,-52.847,-14.411,-4.364,243.235,-512.051,-12.092,33.982,0.246,-2.336,-0.185,-5.329,-2.225,-3.532,-0.189,-0.372
24,13.089,-1.515,366.16,-333.732,32.191,-59.956,-14.726,-4.181,243.699,-515.367,-13.968,32.909,0.259,-2.311,-0.205,-5.355,-2.222,-3.527,-0.197,-0.382
25,12.819,-1.458,366.16,-333.732,32.191,-57.335,-14.288,-4.59,243.663,-508.993,-10.341,32.567,0.258,-2.311,-0.166,-5.287,-2.207,-3.5,-0.205,-0.391
26,12.863,-1.814,367.01,-333.779,28.704,-59.907,-14.369,-4.358,243.663,-508.993,-10.341,30.074,0.234,-2.305,-0.166,-5.288,-2.235,-3.495,-0.213,-0.399
27,13.142,-1.986,367.455,-336.969,30.493,-57.743,-14.05,-4.443,244.104,-505.815,-12.145,32.7,0.246,-2.324,-0.183,-5.245,-2.231,-3.49,-0.221,-0.407
28,13.133,-1.947,367.462,-330.547,30.53,-55.988,-14.24,-4.851,244.104,-505.815,-12.145,28.69,0.247,-2.28,-0.184,-5.244,-2.231,-3.463,-0.229,-0.413
