"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,17.548,0.111,293.414,34.501,-113.444,-41.615,-18.408,-2.263,337.317,-217.006,136.327,39.176,-0.922,0.298,0.973,-1.627,0.887,-0.732,0,0.028
2,17.672,0.276,294.262,47.059,-116.873,-46.966,-18.865,-2.667,335.566,-216.942,136.568,46.532,-0.949,0.405,0.978,-1.634,0.827,-0.681,-0.001,0.044
3,17.447,0.317,293.388,53.364,-116.907,-44.217,-18.99,-2.446,336.017,-207.721,134.825,40.839,-0.953,0.461,0.963,-1.563,0.844,-0.62,-0.002,0.062
4,17.463,0.66,293.377,59.547,-116.885,-42.77,-18.823,-2.449,335.981,-201.348,138.452,44.429,-0.953,0.513,0.991,-1.515,0.859,-0.569,-0.003,0.08
5,17.94,0.258,292.933,62.737,-118.674,-46.344,-19.134,-2.498,335.981,-201.348,138.452,41.486,-0.968,0.543,0.99,-1.515,0.861,-0.556,-0.004,0.1
6,17.457,0.586,293.805,69.037,-118.581,-42.005,-18.995,-1.77,335.563,-198.363,136.763,40.512,-0.966,0.595,0.979,-1.496,0.829,-0.52,-0.006,0.121
7,17.754,0.664,294.678,75.337,-118.489,-43.167,-18.821,-2.228,336.409,-198.29,140.202,41.238,-0.961,0.647,1.003,-1.491,0.842,-0.492,-0.007,0.143
8,17.71,0.177,294.233,78.526,-120.277,-47.354,-18.959,-2.233,335.968,-188.812,138.586,42.236,-0.978,0.677,0.992,-1.421,0.829,-0.441,-0.009,0.166
9,17.842,0.351,294.226,72.105,-120.314,-45.026,-18.812,-2.228,337.719,-188.875,138.345,39.832,-0.978,0.621,0.985,-1.414,0.858,-0.466,-0.011,0.19
10,17.476,0.475,294.654,81.595,-122.01,-53.025,-18.868,-2.102,337.719,-188.875,138.345,38.319,-0.993,0.702,0.985,-1.414,0.842,-0.428,-0.013,0.215
11,17.85,1.059,295.105,84.826,-120.185,-47.675,-18.912,-2.356,337.278,-192.053,140.149,42.346,-0.974,0.727,1,-1.439,0.841,-0.429,-0.015,0.241
12,17.767,1.16,294.654,81.595,-122.01,-47.54,-18.636,-2.228,337.719,-188.875,138.345,42.767,-0.992,0.699,0.986,-1.414,0.843,-0.429,-0.017,0.267
13,18.337,1.491,294.651,94.199,-121.952,-50.184,-18.955,-2.268,337.719,-188.875,138.345,37.735,-0.989,0.807,0.985,-1.414,0.844,-0.379,-0.019,0.293
14,18.199,1.446,294.644,87.778,-121.988,-48.796,-18.957,-2.997,337.719,-188.875,138.345,41.891,-0.99,0.752,0.985,-1.412,0.843,-0.404,-0.021,0.32
15,18.34,1.093,293.779,87.899,-122.044,-55.494,-19.721,-2.498,337.719,-188.875,138.345,39.711,-0.993,0.756,0.983,-1.413,0.859,-0.404,-0.024,0.347
16,18.205,0.793,293.779,87.899,-122.044,-53.278,-19.618,-2.366,337.719,-188.875,138.345,41.495,-0.993,0.757,0.983,-1.414,0.859,-0.404,-0.026,0.374
17,18.427,0.895,295.074,84.663,-123.743,-46.044,-18.692,-2.233,337.278,-192.053,140.149,38.77,-1.003,0.726,1.001,-1.44,0.829,-0.429,-0.028,0.402
18,17.992,1.52,294.199,90.968,-123.777,-51.423,-19.362,-2.137,336.409,-185.634,136.782,41.166,-1.008,0.78,0.976,-1.395,0.815,-0.38,-0.031,0.429
19,18.516,2.138,294.651,94.199,-121.952,-49.375,-19.003,-2.048,335.968,-188.812,138.586,42.655,-0.989,0.805,0.992,-1.421,0.815,-0.381,-0.033,0.457
20,18.57,0.978,295.072,97.267,-123.684,-51.925,-19.412,-1.882,335.086,-182.512,138.773,46.468,-1.002,0.834,0.995,-1.378,0.785,-0.342,-0.036,0.484
21,18.769,0.777,294.627,100.457,-125.473,-44.693,-18.885,-1.834,334.631,-173.154,140.711,44.742,-1.018,0.863,1.012,-1.309,0.788,-0.292,-0.038,0.512
22,18.472,1.677,294.204,109.994,-123.682,-49.083,-18.795,-1.339,335.537,-173.291,137.031,39.426,-1.005,0.944,0.982,-1.308,0.804,-0.256,-0.041,0.539
23,18.874,1.635,294.183,103.647,-127.262,-49.15,-19.062,-1.064,335.537,-173.291,137.031,44.452,-1.035,0.889,0.981,-1.309,0.79,-0.282,-0.044,0.566
24,19,1.137,293.753,106.762,-125.507,-47.809,-19.24,-1.158,335.964,-170.233,138.781,37.945,-1.021,0.919,0.993,-1.284,0.82,-0.256,-0.047,0.594
25,18.041,0.912,294.197,103.572,-123.719,-52.211,-19.063,-0.845,336.847,-176.533,138.594,38.38,-1.007,0.891,0.989,-1.329,0.831,-0.294,-0.049,0.621
26,18.31,0.98,293.776,100.504,-121.986,-47.64,-19.191,-1.015,336.837,-182.575,138.533,40.9,-0.993,0.866,0.988,-1.374,0.846,-0.331,-0.052,0.648
27,18.349,1.101,293.779,87.899,-122.044,-49.073,-19.053,-1.549,337.278,-192.053,140.149,39.103,-0.993,0.756,1,-1.442,0.86,-0.419,-0.055,0.674
28,18.428,0.954,294.654,81.595,-122.01,-44.87,-18.816,-1.91,337.755,-195.249,134.718,40.18,-0.989,0.7,0.958,-1.463,0.83,-0.455,-0.057,0.7
29,18.055,1.152,293.782,75.295,-122.103,-49.484,-18.825,-1.997,337.732,-201.411,138.211,39.479,-0.994,0.647,0.984,-1.509,0.859,-0.506,-0.06,0.725
30,18.023,0.972,293.784,62.69,-122.162,-49.202,-18.717,-2.357,337.745,-213.948,138.077,40.931,-0.995,0.539,0.984,-1.602,0.859,-0.606,-0.062,0.749
31,18.04,0.943,293.829,62.779,-115.06,-40.186,-18.322,-2.802,336.458,-217.199,136.441,37.022,-0.933,0.539,0.976,-1.631,0.859,-0.619,-0.065,0.772
32,18.118,0.364,293.832,50.174,-115.118,-43.58,-18.761,-2.525,335.58,-229.478,136.434,36.992,-0.934,0.432,0.977,-1.729,0.843,-0.72,-0.067,0.794
33,18.236,-0.082,294.231,46.896,-120.432,-46.096,-18.717,-3.245,334.292,-232.73,134.798,33.712,-0.978,0.405,0.969,-1.759,0.786,-0.746,-0.069,0.814
34,18.248,-0.108,294.709,31.265,-115.143,-38.662,-18.978,-2.758,333.841,-241.951,136.541,37.57,-0.931,0.27,0.983,-1.833,0.797,-0.847,-0.071,0.833
35,18.548,-0.621,293.837,24.965,-115.236,-41.695,-18.798,-2.92,333.878,-248.325,132.913,38.348,-0.933,0.218,0.955,-1.88,0.8,-0.898,-0.073,0.851
36,18.25,-0.636,295.166,9.287,-113.435,-40.148,-18.881,-2.795,333.891,-260.861,132.779,41.503,-0.915,0.082,0.954,-1.976,0.781,-1.01,-0.075,0.867
37,18.586,-0.955,296.041,2.982,-113.401,-37.895,-18.793,-2.977,333.891,-260.861,132.779,37.89,-0.91,0.029,0.954,-1.976,0.765,-1.034,-0.078,0.881
38,18.141,-1.381,296.939,-9.58,-109.845,-41.941,-19.018,-2.969,333.868,-267.023,136.273,38.248,-0.879,-0.077,0.98,-2.023,0.774,-1.107,-0.08,0.893
39,18.008,-1.297,296.466,-19.159,-115.251,-42.228,-18.734,-2.876,334.322,-276.381,134.335,33.303,-0.927,-0.16,0.965,-2.091,0.762,-1.183,-0.083,0.903
40,18.268,-1.634,296.944,-34.79,-109.962,-39.654,-18.692,-3.273,335.645,-279.503,132.344,38.411,-0.879,-0.292,0.946,-2.105,0.789,-1.254,-0.085,0.912
41,18.296,-2.298,297.843,-47.352,-106.407,-42.816,-18.969,-3.36,334.776,-285.74,132.397,36.163,-0.846,-0.396,0.948,-2.158,0.771,-1.329,-0.088,0.918
42,17.465,-2.217,297.845,-59.957,-106.465,-41.256,-18.737,-3.178,334.799,-292.233,132.324,35.126,-0.85,-0.504,0.948,-2.208,0.77,-1.406,-0.09,0.923
43,17.797,-2.242,297.417,-69.447,-104.769,-39.266,-18.948,-3.59,334.79,-298.276,132.263,40.748,-0.835,-0.586,0.947,-2.252,0.785,-1.468,-0.093,0.925
44,17.893,-2.465,297.007,-78.698,-103.058,-37.49,-18.635,-3.63,334.362,-301.334,130.513,39.37,-0.821,-0.665,0.936,-2.278,0.786,-1.519,-0.095,0.926
45,17.738,-2.788,296.579,-88.188,-101.362,-36.242,-18.399,-3.676,334.803,-310.812,132.129,40.137,-0.809,-0.746,0.948,-2.347,0.815,-1.595,-0.098,0.924
46,18.13,-3.186,296.582,-100.793,-101.421,-36.251,-18.621,-4.35,334.793,-316.855,132.068,39.332,-0.808,-0.853,0.947,-2.391,0.814,-1.668,-0.1,0.921
47,18.009,-3.669,296.584,-113.397,-101.48,-35.592,-18.353,-4.159,334.816,-323.348,131.995,40.866,-0.809,-0.959,0.947,-2.441,0.814,-1.745,-0.103,0.915
