"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,19.808,-0.335,325.5,23.591,-215.867,-58.089,-21.563,-1.173,300.301,-228.068,-29.358,49.963,-1.624,0.185,-0.319,-1.925,-1.458,-0.828,-0.024,0.013
2,19.814,-0.554,325.532,23.755,-212.309,-60.385,-21.566,-1.127,299.419,-221.768,-29.171,48.896,-1.596,0.187,-0.319,-1.878,-1.462,-0.802,-0.035,0.02
3,19.955,-0.313,324.657,30.059,-212.343,-54.087,-21.517,-1.22,299.883,-225.083,-31.048,49.217,-1.6,0.236,-0.334,-1.902,-1.446,-0.791,-0.047,0.028
4,19.994,-0.41,324.213,33.249,-214.131,-56.575,-21.354,-1.307,299.883,-225.083,-31.048,49.244,-1.616,0.262,-0.333,-1.902,-1.445,-0.778,-0.058,0.036
5,19.785,-0.335,323.328,45.737,-214.144,-61.106,-21.35,-1.441,299.883,-225.083,-31.048,47.478,-1.621,0.36,-0.333,-1.902,-1.432,-0.728,-0.07,0.045
6,19.377,-0.339,323.328,45.737,-214.144,-54.372,-21.518,-2.016,300.301,-228.068,-29.358,49.981,-1.623,0.36,-0.319,-1.922,-1.417,-0.739,-0.081,0.055
7,19.741,-0.161,322.033,48.973,-212.445,-61.494,-21.164,-2.198,300.301,-228.068,-29.358,47.902,-1.615,0.387,-0.318,-1.922,-1.388,-0.727,-0.091,0.064
8,19.57,-0.644,321.581,45.742,-214.271,-56.903,-21.615,-2.92,298.991,-224.826,-30.921,48.496,-1.632,0.363,-0.334,-1.9,-1.423,-0.727,-0.102,0.075
9,19.211,-1.362,319.834,45.746,-214.397,-56.25,-21.619,-3.327,298.978,-224.946,-27.367,46.687,-1.643,0.368,-0.304,-1.9,-1.381,-0.728,-0.112,0.085
10,19.383,-0.588,319.834,45.746,-214.397,-57.573,-21.534,-3.01,298.55,-228.004,-29.117,39.258,-1.642,0.365,-0.319,-1.93,-1.397,-0.743,-0.121,0.096
11,19.958,0.421,321.581,45.742,-214.271,-59.291,-21.661,-1.434,298.991,-237.482,-27.501,47.112,-1.631,0.36,-0.305,-2.013,-1.408,-0.783,-0.131,0.108
12,19.814,0.905,324.203,39.432,-214.11,-57.068,-21.439,-0.133,299.432,-234.304,-29.305,44.314,-1.617,0.306,-0.319,-1.987,-1.448,-0.795,-0.14,0.119
13,19.556,1.54,328.095,36.145,-219.169,-61.369,-21.279,0.403,301.647,-237.683,-31.422,48.31,-1.637,0.275,-0.334,-2.003,-1.493,-0.816,-0.149,0.13
14,19.815,1.59,331.145,39.325,-220.704,-56.414,-21.413,0.627,304.28,-244.046,-31.851,48.995,-1.633,0.297,-0.336,-2.039,-1.495,-0.822,-0.158,0.141
15,20.717,1.371,334.208,42.43,-218.696,-57.489,-21.983,0.584,306.89,-256.572,-28.786,46.825,-1.6,0.318,-0.309,-2.125,-1.469,-0.851,-0.166,0.152
16,20.738,1.513,336.83,36.121,-218.535,-56.956,-22.141,0.407,308.642,-256.636,-29.027,48.31,-1.587,0.268,-0.31,-2.113,-1.475,-0.871,-0.175,0.163
