"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.982,-2.04,296.888,-439.737,-78.08,-51.367,-15.829,-3.825,325.948,-573.192,-25.848,37.824,-0.618,-3.755,-0.25,-4.455,0.108,-4.121,-0.015,-0.009
2,15.313,-1.926,297.34,-436.505,-76.254,-54.648,-15.918,-4.491,326.83,-579.492,-26.036,41.749,-0.6,-3.722,-0.251,-4.49,0.123,-4.124,-0.021,-0.014
3,14.835,-1.667,297.34,-436.505,-76.254,-49.252,-15.383,-4.047,327.272,-576.314,-27.84,43.263,-0.602,-3.723,-0.263,-4.461,0.124,-4.11,-0.027,-0.02
4,14.7,-1.309,297.76,-433.437,-77.987,-50.989,-15.683,-3.847,328.154,-582.614,-28.027,46.531,-0.616,-3.693,-0.264,-4.498,0.123,-4.115,-0.033,-0.025
5,14.853,-1.906,297.34,-436.505,-76.254,-47.707,-15.457,-3.763,328.154,-582.614,-28.027,41.191,-0.602,-3.722,-0.264,-4.498,0.139,-4.129,-0.038,-0.031
6,14.274,-1.73,297.76,-433.437,-77.987,-48.754,-15.728,-3.942,329.477,-585.736,-30.018,39.043,-0.618,-3.692,-0.279,-4.504,0.138,-4.118,-0.042,-0.037
7,14.859,-1.904,297.33,-430.322,-76.233,-47.013,-15.33,-4.209,328.572,-585.599,-26.338,38.674,-0.601,-3.67,-0.25,-4.514,0.154,-4.113,-0.046,-0.044
8,14.566,-2.157,296.886,-427.132,-78.021,-50.36,-15.51,-4.26,329.464,-585.856,-26.464,39.697,-0.619,-3.647,-0.251,-4.504,0.169,-4.098,-0.049,-0.05
9,14.995,-1.697,296.035,-427.085,-74.534,-50.504,-15.638,-4.571,329.036,-588.914,-28.214,36.856,-0.589,-3.659,-0.265,-4.532,0.185,-4.119,-0.053,-0.056
10,14.803,-2.1,295.16,-420.781,-74.568,-48.15,-15.734,-4.262,329.477,-585.736,-30.018,37.221,-0.592,-3.614,-0.279,-4.503,0.201,-4.083,-0.055,-0.062
11,14.451,-1.223,294.285,-414.476,-74.602,-49.368,-15.871,-4.34,329.477,-585.736,-30.018,37.587,-0.595,-3.573,-0.279,-4.503,0.217,-4.064,-0.057,-0.069
12,15.114,-1.504,294.262,-408.218,-78.124,-52.047,-15.646,-4.751,329.905,-582.678,-28.268,38.989,-0.623,-3.519,-0.265,-4.472,0.219,-4.022,-0.059,-0.075
13,14.768,-1.296,293.418,-401.75,-74.599,-51.162,-15.771,-4.979,330.369,-585.993,-30.144,38.969,-0.596,-3.473,-0.279,-4.49,0.249,-4.012,-0.06,-0.081
14,14.583,-0.79,292.988,-398.635,-72.845,-50.569,-16.27,-4.973,330.323,-585.662,-26.578,37.182,-0.582,-3.453,-0.253,-4.489,0.277,-4.002,-0.06,-0.087
15,14.679,-0.644,292.536,-401.867,-74.67,-49.356,-15.855,-5.108,332.074,-585.726,-26.819,35.828,-0.598,-3.487,-0.252,-4.465,0.309,-4.007,-0.06,-0.092
16,14.297,-0.69,292.105,-398.752,-72.916,-48.551,-15.767,-4.212,332.943,-579.49,-26.873,38.026,-0.585,-3.465,-0.252,-4.408,0.339,-3.967,-0.06,-0.097
17,14.908,0.187,292.082,-392.494,-76.437,-50.805,-16.114,-4.206,334.276,-576.569,-28.803,35.14,-0.614,-3.414,-0.267,-4.369,0.341,-3.923,-0.058,-0.102
18,14.635,-0.708,291.661,-395.562,-74.704,-50.071,-15.723,-4.034,334.694,-579.553,-27.113,36.939,-0.601,-3.442,-0.252,-4.386,0.371,-3.947,-0.057,-0.106
19,14.272,-0.678,291.661,-395.562,-74.704,-49.843,-15.94,-3.676,336.455,-573.574,-27.293,40.947,-0.602,-3.443,-0.253,-4.319,0.4,-3.912,-0.054,-0.11
20,14.295,-0.613,292.103,-386.147,-72.857,-47.252,-16.118,-4.48,336.027,-576.632,-29.044,42.328,-0.585,-3.356,-0.267,-4.346,0.384,-3.885,-0.052,-0.114
21,14.472,-0.621,291.238,-386.026,-72.913,-54.261,-16.118,-4.336,336.896,-570.396,-29.097,38.46,-0.586,-3.365,-0.267,-4.288,0.416,-3.86,-0.048,-0.117
22,14.628,-0.895,290.332,-379.884,-76.505,-53.586,-16.164,-4.93,336.432,-567.081,-27.22,34.814,-0.619,-3.32,-0.253,-4.267,0.418,-3.828,-0.044,-0.12
23,14.644,-1.176,289.037,-376.648,-74.806,-56.302,-16.169,-5.025,336.432,-567.081,-27.22,38.397,-0.607,-3.306,-0.253,-4.267,0.45,-3.823,-0.04,-0.122
24,14.309,-0.751,288.607,-373.533,-73.052,-51.67,-15.779,-4.715,335.968,-563.765,-25.344,35.558,-0.594,-3.285,-0.238,-4.248,0.464,-3.803,-0.035,-0.123
25,14.188,-0.877,287.732,-367.228,-73.086,-51.764,-16.354,-5.02,335.55,-560.781,-27.033,36.194,-0.596,-3.239,-0.253,-4.23,0.466,-3.772,-0.03,-0.124
26,14.281,-0.877,286.844,-360.849,-76.663,-55.289,-16.005,-4.979,335.109,-551.303,-28.649,38.048,-0.629,-3.192,-0.264,-4.164,0.454,-3.716,-0.024,-0.124
27,14.767,-0.799,285.531,-357.85,-74.98,-51.498,-16.102,-4.934,335.537,-548.245,-26.899,36.194,-0.615,-3.181,-0.251,-4.136,0.502,-3.697,-0.018,-0.124
28,14.193,-0.561,285.983,-354.619,-73.154,-50.765,-16.018,-4.949,335.942,-538.693,-25.076,33.372,-0.6,-3.148,-0.237,-4.058,0.514,-3.64,-0.011,-0.123
29,14.431,-0.573,285.108,-348.314,-73.188,-55.284,-16.812,-4.099,336.811,-532.457,-25.129,35.807,-0.602,-3.101,-0.239,-4.003,0.545,-3.59,-0.004,-0.121
30,14.304,-0.224,285.108,-348.314,-73.188,-58.242,-16.071,-4.006,337.252,-529.279,-26.933,37.672,-0.602,-3.102,-0.25,-3.974,0.546,-3.575,0.003,-0.119
31,14.34,-0.471,285.528,-345.246,-74.921,-55.314,-16.048,-4.138,339.013,-523.299,-27.113,33.126,-0.616,-3.07,-0.25,-3.909,0.561,-3.525,0.011,-0.116
32,14.436,-0.206,285.108,-348.314,-73.188,-55.834,-16.2,-4.188,338.977,-516.926,-23.486,38.751,-0.602,-3.102,-0.223,-3.861,0.59,-3.515,0.019,-0.112
33,14.384,-0.435,285.98,-342.014,-73.095,-57.996,-16.196,-3.92,340.323,-513.885,-28.97,34.545,-0.599,-3.036,-0.263,-3.824,0.575,-3.464,0.027,-0.107
34,14.557,-0.086,285.55,-338.899,-71.341,-59.449,-16.28,-3.374,341.192,-507.649,-29.023,38.163,-0.584,-3.014,-0.263,-3.769,0.605,-3.425,0.036,-0.101
35,14.379,-0.085,285.528,-345.246,-74.921,-58.74,-16.329,-3.783,342.061,-501.413,-29.077,38.158,-0.616,-3.071,-0.263,-3.712,0.606,-3.421,0.045,-0.094
36,14.253,-0.489,285.098,-342.131,-73.166,-56.683,-16.549,-4.24,342.489,-498.354,-27.326,37.022,-0.602,-3.046,-0.251,-3.684,0.635,-3.394,0.055,-0.087
37,14.309,-0.412,285.105,-335.709,-73.129,-59.84,-16.641,-3.971,342.025,-495.039,-25.45,39.156,-0.602,-2.989,-0.237,-3.665,0.635,-3.358,0.064,-0.079
38,14.224,0.107,283.81,-332.473,-71.431,-55.691,-16.689,-3.92,342.466,-491.861,-27.253,38.471,-0.589,-2.976,-0.25,-3.637,0.667,-3.337,0.074,-0.07
39,14.255,0.043,283.356,-323.1,-73.198,-62.126,-16.653,-3.967,342.908,-488.683,-29.057,36.343,-0.606,-2.896,-0.263,-3.608,0.669,-3.286,0.084,-0.061
40,14.092,0.213,282.505,-323.053,-69.71,-60.567,-16.645,-3.338,342.917,-482.64,-28.996,39.923,-0.577,-2.905,-0.263,-3.565,0.699,-3.267,0.095,-0.05
41,14.141,0.273,280.734,-316.791,-73.358,-56.394,-16.916,-3.162,342.012,-482.503,-25.316,39.844,-0.614,-2.867,-0.237,-3.574,0.718,-3.255,0.105,-0.039
42,14.424,0.237,281.176,-307.376,-71.511,-59.719,-17.017,-3.069,342.881,-476.267,-25.369,36.986,-0.595,-2.778,-0.237,-3.519,0.732,-3.185,0.116,-0.028
43,14.386,0.625,280.304,-313.676,-71.604,-56.168,-16.475,-3.118,343.75,-470.03,-25.422,34.604,-0.598,-2.845,-0.235,-3.464,0.764,-3.186,0.127,-0.015
44,14.229,0.474,279.873,-310.561,-69.849,-56.681,-16.7,-2.899,343.75,-470.03,-25.422,35.971,-0.583,-2.82,-0.236,-3.465,0.779,-3.175,0.139,-0.002
45,14.087,0.319,280.746,-304.261,-69.756,-62.461,-16.877,-3.25,345.073,-473.152,-27.414,36.714,-0.581,-2.754,-0.25,-3.473,0.776,-3.151,0.15,0.011
