"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,32.93,2.093,339.058,183.809,-198.199,-91.937,-37.387,-6.595,369.002,84.755,140.488,67.504,-1.388,1.371,0.867,0.601,0.27,0.97,0.005,-0.002
2,32.618,2.184,339.478,186.877,-199.932,-90.822,-37.396,-6.552,369.002,84.755,140.488,64.346,-1.4,1.392,0.867,0.601,0.257,0.98,0.01,-0.003
3,32.759,2.108,339.93,190.109,-198.106,-88.985,-37.129,-6.727,369.453,93.975,138.745,67.99,-1.384,1.414,0.854,0.664,0.257,1.024,0.014,-0.005
4,32.37,2.064,339.909,183.762,-201.686,-88.882,-37.042,-6.463,368.561,94.232,138.872,67.211,-1.412,1.367,0.858,0.667,0.231,1.003,0.019,-0.006
5,32.815,1.834,339.478,186.877,-199.932,-91.593,-37.222,-6.47,368.129,97.097,140.737,67.168,-1.4,1.393,0.871,0.687,0.244,1.026,0.023,-0.007
6,32.676,1.974,339.899,189.946,-201.664,-88.625,-37.089,-5.843,366.82,100.339,139.174,68.279,-1.411,1.414,0.864,0.711,0.205,1.049,0.028,-0.008
7,33.028,1.752,339.034,190.067,-201.72,-91.096,-36.696,-6.11,366.82,100.339,139.174,65.118,-1.414,1.419,0.865,0.711,0.22,1.051,0.032,-0.009
8,33.114,1.476,338.583,186.835,-203.546,-89.807,-36.562,-6.202,365.51,103.58,137.611,67.568,-1.43,1.397,0.857,0.737,0.195,1.054,0.036,-0.01
9,33.515,2.162,339.899,189.946,-201.664,-90.402,-36.333,-5.666,363.758,103.644,137.852,62.945,-1.409,1.413,0.864,0.739,0.154,1.065,0.039,-0.01
10,33.677,2.143,339.899,189.946,-201.664,-90.519,-36.387,-5.803,363.34,106.629,136.162,64.318,-1.408,1.413,0.853,0.761,0.141,1.076,0.043,-0.01
11,33.284,2.137,341.202,193.131,-203.326,-87.968,-36.297,-5.807,362.899,103.451,137.966,64.354,-1.416,1.431,0.867,0.74,0.112,1.075,0.046,-0.01
12,33.194,2.06,342.076,186.826,-203.292,-90.82,-35.991,-5.704,362.044,97.334,134.465,62.66,-1.413,1.381,0.845,0.698,0.072,1.03,0.048,-0.01
13,33.146,1.798,342.951,180.521,-203.258,-89.153,-36.123,-6.151,362.044,97.334,134.465,62.252,-1.409,1.332,0.845,0.7,0.058,1.007,0.05,-0.009
14,32.795,1.356,344.698,180.517,-203.131,-90.535,-36.435,-6.196,362.926,91.034,134.278,65.056,-1.402,1.326,0.84,0.654,0.042,0.981,0.052,-0.009
15,33.332,1.446,344.277,177.448,-201.398,-91.989,-36.513,-6.154,363.808,84.734,134.09,64.637,-1.389,1.305,0.837,0.608,0.07,0.947,0.053,-0.009
