"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,7.866,-2.864,271.302,-382.522,30.3,-9.713,-9.224,-0.761,264.038,-170.922,66.868,17.173,0.313,-3.571,0.609,-1.641,0.304,-2.619,-0.016,0.028
2,7.633,-2.477,269.999,-385.707,31.962,-7.408,-9.254,-1.161,264.502,-174.237,64.992,17.857,0.329,-3.619,0.589,-1.669,0.34,-2.654,-0.024,0.041
3,7.861,-2.135,270.419,-382.639,30.229,-5.905,-9.66,-0.714,265.361,-174.044,64.877,21.036,0.313,-3.586,0.585,-1.663,0.34,-2.634,-0.031,0.055
4,7.742,-2.776,269.579,-388.776,33.695,-9.817,-9.476,-0.848,265.825,-177.359,63,18.608,0.346,-3.653,0.567,-1.692,0.375,-2.679,-0.039,0.067
5,7.78,-2.236,269.999,-385.707,31.962,-5.306,-9.354,-0.855,265.789,-170.985,66.628,21.815,0.329,-3.62,0.602,-1.631,0.375,-2.633,-0.045,0.08
6,7.971,-2.688,269.999,-385.707,31.962,-9.412,-9.219,-1.121,266.253,-174.301,64.751,16.496,0.33,-3.619,0.583,-1.659,0.376,-2.645,-0.052,0.092
7,7.659,-2.239,269.579,-388.776,33.695,-4.214,-9.658,-0.582,266.253,-174.301,64.751,23.567,0.346,-3.655,0.582,-1.661,0.392,-2.664,-0.058,0.104
8,8.017,-2.322,269.579,-388.776,33.695,-7.745,-9.608,-0.889,265.384,-180.537,64.804,17.853,0.347,-3.655,0.584,-1.725,0.375,-2.697,-0.064,0.116
9,7.725,-2.641,269.999,-385.707,31.962,-8.092,-9.259,-0.666,265.825,-177.359,63,19.7,0.329,-3.619,0.567,-1.692,0.358,-2.663,-0.069,0.127
10,7.421,-2.976,269.579,-388.776,33.695,-4.81,-8.859,-0.985,266.253,-174.301,64.751,14.76,0.345,-3.652,0.585,-1.659,0.393,-2.662,-0.074,0.137
11,7.917,-2.77,269.579,-388.776,33.695,-9.198,-9.115,-0.494,266.253,-174.301,64.751,18.674,0.347,-3.653,0.584,-1.661,0.394,-2.663,-0.079,0.148
12,7.514,-2.918,268.707,-395.076,33.602,-8.503,-9.173,-0.716,266.253,-174.301,64.751,21.512,0.345,-3.724,0.584,-1.66,0.412,-2.697,-0.084,0.158
13,7.596,-3.176,268.675,-395.239,30.044,-5.629,-9.255,-0.665,266.671,-177.285,66.44,19.755,0.312,-3.725,0.598,-1.686,0.412,-2.709,-0.088,0.167
14,8.098,-3.639,269.151,-398.265,35.391,-8.237,-9.223,-0.806,266.243,-180.343,64.69,18.923,0.364,-3.745,0.583,-1.718,0.411,-2.737,-0.092,0.176
15,7.753,-3.217,268.255,-398.307,31.777,-7.698,-9.085,-0.99,266.243,-180.343,64.69,17.177,0.33,-3.759,0.583,-1.717,0.413,-2.742,-0.095,0.185
16,7.835,-2.858,268.699,-401.497,33.566,-8.497,-9.033,-1.29,265.802,-183.521,66.494,18.647,0.346,-3.785,0.602,-1.749,0.411,-2.772,-0.098,0.193
17,7.79,-3.085,267.834,-401.376,33.51,-9.866,-9.03,-0.989,266.243,-180.343,64.69,18.284,0.347,-3.795,0.584,-1.717,0.431,-2.759,-0.101,0.2
18,7.524,-3.088,268.279,-404.565,35.298,-4.301,-9.259,-1.246,266.684,-189.821,66.306,12.202,0.362,-3.819,0.597,-1.803,0.445,-2.814,-0.104,0.207
19,7.776,-2.974,267.834,-401.376,33.51,-13.108,-9.293,-1.295,267.126,-186.643,64.502,15.054,0.347,-3.795,0.579,-1.77,0.447,-2.784,-0.106,0.214
20,7.334,-3.093,266.532,-404.561,35.172,-7.76,-8.863,-0.714,267.126,-186.643,64.502,16.913,0.363,-3.844,0.58,-1.772,0.484,-2.807,-0.108,0.22
21,7.375,-3.409,266.532,-404.561,35.172,-9.107,-9.426,-1.062,267.148,-193.137,64.429,17.202,0.363,-3.843,0.578,-1.832,0.484,-2.836,-0.11,0.225
22,7.251,-3.176,266.088,-401.371,33.383,-9.153,-9.417,-1.205,267.566,-196.121,66.119,16.829,0.346,-3.819,0.593,-1.857,0.501,-2.836,-0.111,0.23
