"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,6.783,-2.155,241.936,-291.081,12.634,-18.957,-7.434,-3.12,289.847,-343.433,84.618,5.086,0.161,-3.047,0.716,-2.999,1.493,-3.021,0,0.022
2,6.667,-2.112,242.366,-294.196,10.879,-18.936,-7.743,-3.375,290.739,-343.69,84.491,3.326,0.141,-3.074,0.712,-2.991,1.49,-3.029,0.001,0.033
3,6.622,-2.027,242.38,-294.27,14.422,-17.008,-7.784,-3.602,291.598,-343.497,84.377,4.737,0.178,-3.075,0.709,-2.98,1.521,-3.023,0.001,0.044
4,6.348,-1.796,242.356,-288.012,10.901,-17.469,-7.965,-3.338,291.18,-340.512,82.688,6.18,0.14,-3.011,0.694,-2.959,1.489,-2.983,0.002,0.055
5,6.489,-1.705,241.936,-291.081,12.634,-16.967,-8.187,-3.106,291.598,-343.497,84.377,8.995,0.159,-3.049,0.707,-2.982,1.523,-3.012,0.003,0.066
6,6.448,-1.521,241.926,-284.897,12.655,-18.766,-8.239,-3.147,292.49,-343.754,84.251,3.953,0.159,-2.985,0.704,-2.975,1.539,-2.979,0.004,0.077
7,6.951,-1.947,241.912,-284.823,9.112,-19.995,-7.779,-2.705,292.026,-340.439,86.127,6.179,0.124,-2.983,0.723,-2.952,1.524,-2.966,0.006,0.088
8,6.875,-1.944,241.481,-281.708,10.867,-17.87,-7.968,-3.464,292.444,-343.423,87.817,6.529,0.143,-2.955,0.736,-2.971,1.558,-2.964,0.007,0.099
9,6.4,-1.445,241.481,-281.708,10.867,-15.668,-8.197,-2.743,292.895,-334.202,86.074,10.461,0.141,-2.957,0.719,-2.889,1.557,-2.92,0.009,0.11
10,6.846,-1.712,240.617,-281.586,10.811,-15.633,-8.276,-3.11,293.323,-331.144,87.824,9.726,0.142,-2.965,0.733,-2.857,1.595,-2.906,0.011,0.121
