"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,6.764,-1.951,262.498,74.164,-40.928,-31.288,-7.839,-2.797,270.259,118.035,136.599,29.983,-0.37,0.725,1.255,1.12,0.621,0.925,-0.004,-0.015
2,6.889,-1.696,261.616,74.048,-40.999,-32.489,-7.751,-2.754,269.795,121.35,138.476,24.662,-0.372,0.725,1.275,1.153,0.64,0.942,-0.007,-0.031
3,6.862,-1.984,261.626,67.864,-41.021,-31.615,-7.84,-2.981,269.831,114.977,134.849,28.516,-0.372,0.666,1.241,1.093,0.623,0.883,-0.011,-0.048
4,6.844,-1.948,262.046,70.933,-42.754,-30.624,-8.061,-2.399,269.818,114.857,138.403,29.188,-0.388,0.695,1.273,1.09,0.622,0.895,-0.014,-0.065
5,6.71,-2.252,262.5,61.56,-40.987,-32.818,-7.885,-2.792,269.39,111.799,136.653,28.882,-0.371,0.604,1.259,1.064,0.603,0.837,-0.018,-0.082
6,6.907,-2.121,262.056,64.749,-42.775,-30.254,-7.924,-2.395,269.39,111.799,136.653,31.043,-0.388,0.636,1.259,1.063,0.605,0.852,-0.021,-0.1
7,6.552,-1.615,262.49,67.743,-40.965,-29.012,-7.669,-2.526,269.39,111.799,136.653,30.674,-0.372,0.662,1.26,1.063,0.603,0.865,-0.025,-0.118
8,6.924,-1.994,262.5,61.56,-40.987,-27.57,-7.832,-2.483,269.854,108.483,134.776,28.149,-0.37,0.603,1.24,1.03,0.604,0.82,-0.028,-0.136
9,6.933,-2.163,262.923,52.023,-42.778,-30.388,-8.19,-2.52,269.403,99.262,136.519,30.589,-0.387,0.511,1.257,0.945,0.584,0.731,-0.032,-0.155
10,6.939,-1.687,262.923,52.023,-42.778,-26.602,-7.702,-2.567,269.403,99.262,136.519,24.975,-0.387,0.509,1.259,0.945,0.585,0.73,-0.035,-0.174
11,6.937,-1.58,262.945,58.37,-39.198,-26.988,-7.7,-2.435,269.439,92.889,132.892,27.433,-0.352,0.57,1.224,0.885,0.585,0.729,-0.038,-0.193
12,6.822,-2.094,262.923,52.023,-42.778,-28.063,-7.641,-2.788,269.439,92.889,132.892,22.094,-0.387,0.511,1.225,0.886,0.568,0.701,-0.042,-0.213
13,6.927,-1.987,262.923,52.023,-42.778,-28.869,-7.822,-2.702,269.416,86.726,136.385,30.658,-0.387,0.51,1.257,0.828,0.584,0.671,-0.045,-0.233
