"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,7.831,-0.228,303.396,-609.113,137.995,-55.489,-9.423,-5.071,336.373,-775.745,-208.974,34.734,1.181,-5.099,-1.606,-5.843,0.305,-5.49,-0.002,0.004
2,7.973,0.103,303.382,-609.038,134.452,-54.673,-9.558,-5.077,335.932,-778.923,-207.17,32.124,1.152,-5.099,-1.595,-5.875,0.291,-5.507,-0.004,0.009
3,8.057,-0.237,303.372,-602.855,134.473,-58.713,-9.557,-4.936,335.91,-772.43,-207.097,31.837,1.152,-5.047,-1.594,-5.826,0.291,-5.456,-0.006,0.014
4,7.882,-0.346,303.802,-605.97,132.719,-54.076,-9.463,-5.252,336.373,-775.745,-208.974,30.774,1.135,-5.065,-1.606,-5.842,0.277,-5.474,-0.008,0.019
5,7.562,0.046,303.824,-599.623,136.299,-56.841,-9.24,-5.205,336.373,-775.745,-208.974,30.113,1.164,-5.013,-1.605,-5.842,0.29,-5.449,-0.01,0.024
6,7.981,0.09,303.824,-599.623,136.299,-57.515,-9.564,-4.983,336.373,-775.745,-208.974,31.497,1.166,-5.013,-1.606,-5.843,0.29,-5.449,-0.012,0.029
7,8.028,-0.08,304.254,-602.738,134.544,-54.452,-9.423,-5.613,336.373,-775.745,-208.974,30.389,1.15,-5.032,-1.606,-5.841,0.276,-5.457,-0.014,0.034
8,7.985,0.191,303.824,-599.623,136.299,-60.294,-9.509,-5.296,335.932,-778.923,-207.17,30.743,1.166,-5.014,-1.594,-5.874,0.29,-5.465,-0.017,0.04
9,7.873,0.045,303.824,-599.623,136.299,-52.324,-9.78,-5.522,336.373,-775.745,-208.974,31.811,1.165,-5.013,-1.607,-5.842,0.29,-5.448,-0.019,0.046
10,7.964,-0.191,303.372,-602.855,134.473,-50.672,-9.475,-4.939,336.801,-772.687,-207.224,33.953,1.152,-5.047,-1.591,-5.813,0.306,-5.45,-0.021,0.051
