"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,14.407,-4.78,307.701,-75.864,-139.524,-12.302,-15.309,0.802,242.493,123.561,119.129,33.774,-1.105,-0.611,1.185,1.291,-1.45,0.227,-0.013,0.038
2,14.642,-4.687,308.145,-79.053,-137.736,-10.659,-15.22,0.887,242.493,123.561,119.129,34.508,-1.088,-0.636,1.186,1.291,-1.449,0.212,-0.021,0.054
3,14.179,-4.732,308.576,-82.168,-139.49,-12.358,-15,1.06,242.911,120.576,120.818,36.933,-1.102,-0.661,1.202,1.256,-1.448,0.184,-0.028,0.068
4,14.598,-4.813,308.155,-85.237,-137.758,-10.599,-14.994,1.072,242.911,120.576,120.818,32.039,-1.088,-0.687,1.202,1.256,-1.432,0.17,-0.035,0.081
5,14.596,-5.117,308.586,-88.352,-139.512,-8.129,-15.174,1.205,243.339,123.635,122.569,38.029,-1.101,-0.711,1.218,1.286,-1.43,0.169,-0.043,0.092
6,14.634,-5.136,307.704,-88.468,-139.583,-12.775,-15.009,0.889,242.875,126.95,124.445,32.702,-1.105,-0.714,1.24,1.324,-1.416,0.185,-0.05,0.102
7,14.627,-4.83,308.155,-85.237,-137.758,-6.826,-15.186,1.247,242.457,129.935,122.756,36.279,-1.088,-0.687,1.224,1.356,-1.434,0.213,-0.058,0.11
8,14.224,-4.527,307.281,-78.932,-137.792,-9.701,-15.097,0.978,242.029,126.876,121.006,34.142,-1.093,-0.638,1.208,1.328,-1.437,0.228,-0.065,0.118
9,14.049,-4.656,307.257,-72.674,-141.313,-7.057,-15.441,1.557,241.993,133.25,124.633,36.657,-1.123,-0.586,1.245,1.392,-1.438,0.286,-0.072,0.124
10,14.369,-4.571,306.826,-69.559,-139.559,-9.522,-15.236,1.155,242.002,139.293,124.694,33.058,-1.109,-0.561,1.246,1.457,-1.42,0.329,-0.08,0.129
11,14.224,-4.529,306.382,-66.369,-141.347,-10.28,-15.362,1.386,242.002,139.293,124.694,35.882,-1.126,-0.535,1.246,1.456,-1.421,0.343,-0.087,0.134
12,14.276,-4.566,306.382,-66.369,-141.347,-4.004,-15.364,1.109,242.421,136.308,126.383,30.877,-1.125,-0.535,1.261,1.424,-1.403,0.33,-0.094,0.138
13,14.414,-3.904,306.358,-60.111,-144.869,-14.436,-15.279,1.105,242.862,139.486,124.579,31.604,-1.154,-0.486,1.241,1.454,-1.417,0.372,-0.102,0.142
14,14.618,-3.872,306.358,-60.111,-144.869,-11.039,-15.76,0.795,242.421,136.308,126.383,37.31,-1.154,-0.486,1.26,1.425,-1.419,0.358,-0.109,0.145
15,14.5,-3.979,306.802,-63.301,-143.08,-8.013,-15.036,0.616,242.016,126.757,124.56,33.077,-1.137,-0.511,1.246,1.328,-1.436,0.3,-0.115,0.148
16,14.507,-3.991,306.824,-56.954,-139.5,-13.71,-15.534,0.617,242.875,126.95,124.445,31.294,-1.108,-0.459,1.238,1.325,-1.401,0.33,-0.122,0.15
17,14.68,-3.851,307.675,-57.001,-142.987,-10.694,-15.626,-0.01,243.339,123.635,122.569,34.749,-1.133,-0.458,1.216,1.291,-1.43,0.314,-0.129,0.152
18,14.448,-4.386,306.802,-63.301,-143.08,-9.492,-15.402,0.217,242.898,120.457,124.373,30.525,-1.138,-0.51,1.238,1.259,-1.417,0.272,-0.135,0.154
19,14.51,-4.029,307.677,-69.606,-143.046,-8.466,-15.212,0.616,242.47,117.398,122.622,35.158,-1.134,-0.562,1.222,1.227,-1.45,0.227,-0.141,0.155
20,14.137,-4.26,307.257,-72.674,-141.313,-11.57,-15.263,0.487,242.042,114.34,120.872,32.304,-1.122,-0.587,1.206,1.198,-1.453,0.2,-0.148,0.155
21,14.316,-3.579,307.257,-72.674,-141.313,-11.124,-15.178,-0.17,241.637,104.789,119.048,29.869,-1.122,-0.589,1.189,1.102,-1.471,0.155,-0.154,0.155
22,14.421,-4.023,307.711,-82.047,-139.546,-6.37,-15.165,0.089,240.804,92.179,115.475,30.494,-1.105,-0.664,1.156,0.972,-1.507,0.054,-0.16,0.154
23,14.444,-4.459,307.714,-94.652,-139.605,-8.06,-15.11,0.182,241.259,82.82,113.537,33.748,-1.106,-0.767,1.133,0.871,-1.505,-0.047,-0.166,0.152
24,14.356,-4.465,308.158,-97.841,-137.816,-7.373,-14.709,-0.839,240.426,70.211,109.963,29.5,-1.09,-0.792,1.101,0.745,-1.541,-0.118,-0.172,0.15
25,14.625,-4.275,308.16,-110.446,-137.875,-4.524,-14.788,-1.112,240.011,54.616,108.079,30.122,-1.089,-0.897,1.083,0.583,-1.559,-0.249,-0.179,0.146
26,14.095,-4.624,309.035,-116.751,-137.841,-7.433,-14.655,-1.685,239.632,32.648,102.567,30.855,-1.087,-0.945,1.027,0.353,-1.61,-0.378,-0.185,0.14
27,14.531,-4.735,308.625,-126.002,-136.13,-11.022,-14.827,-1.85,239.691,19.781,98.867,23.681,-1.073,-1.022,0.986,0.217,-1.61,-0.48,-0.192,0.134
28,14.167,-5.526,308.617,-132.424,-136.167,-11.807,-14.719,-1.4,240.123,4.26,100.423,25.185,-1.075,-1.072,1.002,0.051,-1.593,-0.581,-0.199,0.125
29,14.58,-5.85,309.05,-148.143,-137.98,-7.921,-14.678,-1.937,241.028,4.123,96.742,22.007,-1.087,-1.199,0.959,0.051,-1.604,-0.651,-0.205,0.115
30,14.578,-6.5,308.622,-157.633,-136.284,-6.049,-14.626,-1.67,242.779,4.059,96.501,24.521,-1.075,-1.276,0.95,0.049,-1.548,-0.693,-0.213,0.102
31,14.566,-7.044,308.205,-173.306,-134.61,-5.578,-14.796,-1.216,243.197,1.075,98.191,25.232,-1.062,-1.405,0.965,0.016,-1.516,-0.778,-0.219,0.088
