"DP","L.Fx","L.Fy","L.Fz","L.Mx","L.My","L.Mz","R.Fx","R.Fy","R.Fz","R.Mx","R.My","R.Mz","L.COFx","L.COFy","R.COFx","R.COFy","COFx","COFy","COGx","COGy"
1,13.538,-7.016,301.909,-10.127,-152.076,-14.964,-15.816,2.04,244.182,271.763,164.895,57.602,-1.235,-0.062,1.651,2.819,-1.153,1.226,0.011,-0.001
2,13.478,-6.694,302.34,-13.242,-153.831,-22.662,-16.124,2.185,244.182,271.763,164.895,58.342,-1.248,-0.089,1.65,2.818,-1.17,1.21,0.016,-0.002
3,13.443,-6.898,302.319,-19.588,-157.411,-19.716,-15.891,2.221,243.754,268.705,163.145,57.614,-1.278,-0.142,1.635,2.791,-1.203,1.167,0.021,-0.002
4,13.573,-6.776,302.77,-16.357,-155.585,-23.349,-15.99,1.854,244.623,274.941,163.091,56.819,-1.261,-0.115,1.629,2.847,-1.184,1.209,0.025,-0.002
5,13.442,-6.963,302.76,-10.173,-155.563,-23.678,-15.676,2.216,243.336,271.689,161.455,57.222,-1.261,-0.062,1.622,2.827,-1.22,1.225,0.029,-0.003
6,13.296,-7.315,303.635,-16.478,-155.529,-18.381,-15.668,2.361,243.336,271.689,161.455,54.069,-1.257,-0.114,1.622,2.826,-1.237,1.194,0.033,-0.003
7,14.059,-7.473,303.645,-22.661,-155.551,-20.314,-15.627,2.478,243.764,274.747,163.206,58.321,-1.255,-0.165,1.637,2.853,-1.218,1.179,0.037,-0.003
8,13.778,-7.228,303.645,-22.661,-155.551,-19.546,-15.87,2.349,242.872,275.005,163.332,56.807,-1.256,-0.166,1.643,2.866,-1.239,1.182,0.04,-0.004
9,13.969,-7.219,304.517,-16.361,-155.458,-21.762,-15.687,2.393,242.454,277.989,161.643,57.236,-1.251,-0.113,1.629,2.903,-1.271,1.224,0.043,-0.004
10,13.553,-7.179,304.089,-25.851,-153.762,-19.603,-15.602,2.523,242.026,274.931,159.892,58.283,-1.24,-0.192,1.614,2.875,-1.274,1.167,0.045,-0.004
11,13.932,-7.354,304.962,-19.551,-153.67,-20.4,-15.28,2.343,241.99,281.304,163.519,57.928,-1.234,-0.139,1.654,2.943,-1.273,1.225,0.048,-0.005
12,13.535,-6.944,304.51,-22.783,-155.495,-21.677,-15.366,2.797,242.454,277.989,161.643,55.156,-1.253,-0.167,1.631,2.901,-1.271,1.193,0.049,-0.005
13,13.909,-7.341,305.392,-22.666,-155.424,-19.599,-15.332,2.661,241.99,281.304,163.519,58.69,-1.247,-0.165,1.654,2.942,-1.289,1.209,0.051,-0.005
14,14.061,-7.259,304.066,-19.593,-157.284,-21.421,-15.635,2.835,241.572,284.289,161.83,60.426,-1.268,-0.14,1.637,2.978,-1.291,1.24,0.052,-0.005
